Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Princess Principal,,7.68,1158,1284,211,TV,12,Finished Airing,"Jul 9, 2017 to Sep 24, 2017",Summer 2017,Sundays at 23:00 (JST),"Bandai Visual,       Lantis,       Movic,       Tokyo MX,       Q-Tec,       Hakuhodo DY Music & Pictures,       Medicos Entertainment",Sentai Filmworks,"Actas,       Studio 3Hz",Original,"Action, Mystery",Historical,,24 min. per ep.,R - 17+ (violence & profanity),"2,442"
Seitokai Yakuindomo*,,7.68,953,1286,257,TV,13,Finished Airing,"Jan 4, 2014 to Mar 30, 2014",Winter 2014,Unknown,Starchild Records,Sentai Filmworks,GoHands,4-koma manga,Comedy,"Gag Humor, School",Shounen,23 min. per ep.,R - 17+ (violence & profanity),592
Princess Sara,A Little Princess Sara,7.68,4747,1285,21,TV,46,Finished Airing,"Jan 6, 1985 to Dec 29, 1985",Winter 1985,Sundays at 19:30 (JST),"None found, add some","None found, add some",Nippon Animation,Novel,Drama,"Historical, School",,25 min. per ep.,G - All Ages,136
Yao Shen Ji 6th Season,Tales of Demons and Gods Season 6,7.68,11310,1289,2,ONA,52,Finished Airing,"Jan 14, 2023 to Jul 8, 2023",,,"bilibili,       Tencent Penguin Pictures","None found, add some",Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance","Martial Arts, Mythology",,8 min. per ep.,PG-13 - Teens 13 or older,14
Uchuu Kaizoku Captain Herlock,Space Pirate Captain Harlock,7.68,3623,1288,38,TV,42,Finished Airing,"Mar 14, 1978 to Feb 13, 1979",Spring 1978,Tuesdays at Unknown,"TV Asahi,       Harmony Gold",Discotek Media,Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",Space,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,335
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,7.68,1887,1287,115,Movie,1,Finished Airing,"Oct 22, 2022",,,Aniplex,Aniplex of America,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",Video Game,,1 hr. 40 min.,PG-13 - Teens 13 or older,463
Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,7.67,1466,1290,161,TV,49,Finished Airing,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,Fridays at 17:00 (JST),TV Asahi,"Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",,24 min. per ep.,PG-13 - Teens 13 or older,"2,378"
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,7.67,573,1291,402,TV,12,Finished Airing,"Apr 11, 2017 to Jun 27, 2017",Spring 2017,Tuesdays at 23:30 (JST),"Lantis,       AT-X,       DAX Production,       KlockWorx,       Kadokawa Media House,       Production Ace,       Kadokawa",Funimation,"Satelight,       C2C",Light novel,"Drama, Fantasy, Romance, Sci-Fi",,,24 min. per ep.,PG-13 - Teens 13 or older,"4,535"
Soukou Kihei Votoms,Armored Trooper Votoms,7.67,4384,1292,25,TV,52,Finished Airing,"Apr 1, 1983 to Mar 23, 1984",Spring 1983,Unknown,TV Tokyo,"Central Park Media,       Maiden Japan",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",,25 min. per ep.,R+ - Mild Nudity,372
Tsurune: Kazemai Koukou Kyuudou-bu,Tsurune: Kazemai High School Kyudo Club,7.67,1454,1294,162,TV,13,Finished Airing,"Oct 22, 2018 to Jan 21, 2019",Fall 2018,Mondays at 00:10 (JST),"Lantis,       Pony Canyon,       Rakuonsha,       Bandai Namco Arts","Sentai Filmworks,       Ponycan USA",Kyoto Animation,Light novel,Sports,School,,24 min. per ep.,PG-13 - Teens 13 or older,"1,201"
