Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Mitsudomoe Zouryouchuu!,,7.65,3254,1353,46,TV,8,Finished Airing,"Jan 9, 2011 to Feb 27, 2011",Winter 2011,Unknown,"Lantis,       Cospa,       Studio Mausu","None found, add some",Bridge,Manga,Comedy,"Gag Humor, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,88
Kuroko no Basket NG-shuu,Kuroko's Basketball Specials,7.65,2685,1352,66,Special,9,Finished Airing,"Jul 27, 2012 to Mar 22, 2013",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports","School, Team Sports",Shounen,4 min. per ep.,PG-13 - Teens 13 or older,55
Ojamajo Carnival!!,,7.65,11931,1356,1,ONA,1,Finished Airing,"Mar 23, 2024",,,Tavac,"None found, add some",Toei Animation,Original,,Mahou Shoujo,,1 min.,G - All Ages,5
Kimi to Boku.,You and Me.,7.65,1295,1351,186,TV,13,Finished Airing,"Oct 4, 2011 to Dec 27, 2011",Fall 2011,Tuesdays at 01:30 (JST),"TV Tokyo,       Aniplex,       Square Enix,       Nihon Ad Systems,       Movic","None found, add some",J.C.Staff,Manga,"Comedy, Romance","Iyashikei, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"1,386"
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,Natsume’s Book of Friends: Nyanko-Sensei and the First Errand,7.65,3778,1355,35,Special,1,Finished Airing,"Dec 15, 2013",,,"Aniplex,       Nihon Ad Systems,       Ai Addiction","None found, add some",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,22 min.,PG-13 - Teens 13 or older,32
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,Mob Psycho 100 II: The Spirits and Such Consultation Office's First Company Outing ~A Healing Trip That Warms the Heart~,7.65,2002,1354,106,OVA,1,Finished Airing,"Sep 25, 2019",,,"Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","None found, add some",Bones,Original,"Action, Comedy, Supernatural",Super Power,,24 min.,PG-13 - Teens 13 or older,88
Pandora Hearts,,7.65,529,1357,433,TV,25,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",Spring 2009,Fridays at 01:29 (JST),"Square Enix,       TBS,       flying DOG","NIS America, Inc.",Xebec,Manga,"Adventure, Fantasy, Mystery",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"5,229"
Pokemon Movie 01: Mewtwo no Gyakushuu,Pokémon: The First Movie - Mewtwo Strikes Back,7.65,918,1358,267,Movie,1,Finished Airing,"Jul 18, 1998",,,"TV Tokyo,       Shogakukan-Shueisha Productions,       Imagica,       Studio Jack","4Kids Entertainment,       Warner Bros. Pictures",OLM,Game,"Action, Adventure, Award Winning, Comedy, Fantasy",,Kids,1 hr. 25 min.,PG - Children,425
Shoujo Kakumei Utena: Adolescence Mokushiroku,Revolutionary Girl Utena: The Adolescence of Utena,7.65,3005,1361,54,Movie,1,Finished Airing,"Aug 14, 1999",,,"Movic,       Sega,       King Records,       Audio Tanaka","Nozomi Entertainment,       Central Park Media",J.C.Staff,Original,"Avant Garde, Drama, Fantasy, Girls Love","Mahou Shoujo, School",,1 hr. 25 min.,R+ - Mild Nudity,665
Seikai no Senki,Banner of the Stars,7.65,3813,1359,34,TV,13,Finished Airing,"Apr 14, 2000 to Jul 14, 2000",Spring 2000,Unknown,"Bandai Visual,       WOWOW","Funimation,       Bandai Entertainment",Sunrise,Light novel,"Action, Romance, Sci-Fi","Military, Space",,25 min. per ep.,PG-13 - Teens 13 or older,277
Tsuritama,,7.65,1403,1362,169,TV,12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",Spring 2012,Fridays at 01:15 (JST),"Aniplex,       Dentsu,       Fuji TV,       Sakura Create",Sentai Filmworks,A-1 Pictures,Original,"Comedy, Sci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,"2,280"
Shin Mazinger Shougeki! Z-hen,Mazinger Edition Z: The Impact!,7.65,5295,1360,16,TV,26,Finished Airing,"Apr 4, 2009 to Sep 26, 2009",Spring 2009,Unknown,"Lantis,       Dynamic Planning",Discotek Media,"Bee Media,       Code",Manga,"Action, Drama","Mecha, Super Power",Shounen,23 min. per ep.,R - 17+ (violence & profanity),166
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,Yuki Yuna is a Hero: The Hero Chapter,7.65,3451,1364,42,TV,6,Finished Airing,"Nov 25, 2017 to Jan 6, 2018",Fall 2017,Fridays at 01:55 (JST),"Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Movic,       KlockWorx,       Kadokawa","Sentai Filmworks,       Ponycan USA",Studio Gokumi,Original,"Drama, Fantasy",Mahou Shoujo,,24 min. per ep.,PG-13 - Teens 13 or older,227
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,,7.64,5115,1365,17,Movie,1,Finished Airing,"Jul 15, 1995",,,"None found, add some","None found, add some",Toei Animation,Manga,Sports,"School, Team Sports",Shounen,40 min.,PG-13 - Teens 13 or older,12
Xingchen Bian: Po Tian Mi Ju,,7.65,10723,1363,2,ONA,16,Finished Airing,"Jan 23, 2022 to Apr 24, 2022",,,Tencent Penguin Pictures,"None found, add some",Foch Films,Novel,"Action, Adventure, Fantasy, Romance",Martial Arts,,25 min. per ep.,PG-13 - Teens 13 or older,22
