Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Shokugeki no Souma,Food Wars! Shokugeki no Soma,8.14,61,454,1,TV,24,Finished Airing,"Apr 4, 2015 to Sep 26, 2015","Dentsu,       Frontier Works,       Mainichi Broadcasting System,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       Showgate,       Shueisha,       I Will",Sentai Filmworks,J.C.Staff,Manga,"Gourmet, Ecchi",School,25 min. per ep.,PG-13 - Teens 13 or older,"23,632",Shounen,Spring 2015,Saturdays at 02:25 (JST)
Working!!! Lord of the Takanashi,,8.14,2049,456,103,Special,1,Finished Airing,"Mar 30, 2016","None found, add some",Aniplex of America,A-1 Pictures,4-koma manga,"Comedy, Romance",Workplace,49 min.,PG-13 - Teens 13 or older,213,Seinen,,
Wu Liuqi: Anying Suming,Scissor Seven: Shadow Fate,8.14,4645,457,22,ONA,10,Finished Airing,"Jan 18, 2023 to Mar 15, 2023",bilibili,"None found, add some","Sharefun Studio,       AHA Entertainment",Original,"Action, Adventure, Comedy, Drama, Mystery","Martial Arts, Super Power",15 min. per ep.,R - 17+ (violence & profanity),161,,,
Skip to Loafer,Skip and Loafer,8.13,919,458,267,TV,12,Finished Airing,"Apr 4, 2023 to Jun 20, 2023","Kodansha,       Kansai Telecasting,       Crunchyroll,       A-Sketch,       DMM pictures,       DMM Music,       NetEase","None found, add some",P.A. Works,Manga,Drama,School,23 min. per ep.,PG-13 - Teens 13 or older,"3,063",Seinen,Spring 2023,Tuesdays at 23:00 (JST)
Yi Nian Yong Heng: Chuan Cheng Pian,A Will Eternal 2nd Season,8.13,7806,459,6,ONA,54,Finished Airing,"Jul 20, 2022 to Jul 12, 2023",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Novel,"Action, Adventure, Fantasy","Historical, Martial Arts",19 min. per ep.,PG-13 - Teens 13 or older,92,,,
Lupin III: Part 5,Lupin the Third Part 5,8.13,3337,461,44,TV,24,Finished Airing,"Apr 4, 2018 to Sep 19, 2018","Nippon Television Network,       TMS Music",Discotek Media,Telecom Animation Film,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,22 min. per ep.,PG-13 - Teens 13 or older,404,Seinen,Spring 2018,Wednesdays at 01:29 (JST)
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.13,4566,460,23,TV,13,Finished Airing,"Apr 29, 2019 to Aug 12, 2019",Sunrise Music,"None found, add some",Sunrise,Manga,"Action, Sci-Fi","Mecha, Military, Space",25 min. per ep.,PG-13 - Teens 13 or older,115,Shounen,Spring 2019,Mondays at 00:35 (JST)
Nisemonogatari,,8.13,272,462,733,TV,11,Finished Airing,"Jan 8, 2012 to Mar 18, 2012","Aniplex,       Kodansha,       Rakuonsha",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural, Ecchi",,25 min. per ep.,R - 17+ (violence & profanity),"3,897",,Winter 2012,Sundays at 00:00 (JST)
Nodame Cantabile: Paris-hen,,8.13,1777,463,125,TV,11,Finished Airing,"Oct 10, 2008 to Dec 19, 2008","Dentsu,       Genco,       SKY Perfect Well Think,       Kodansha,       Fuji TV,       Asmik Ace,       Sony Music Entertainment","None found, add some",J.C.Staff,Manga,"Comedy, Romance","Adult Cast, Music",23 min. per ep.,PG-13 - Teens 13 or older,284,Josei,Fall 2008,Fridays at 00:45 (JST)
Princess Tutu,,8.13,1390,464,170,TV,38,Finished Airing,"Aug 16, 2002 to May 23, 2003","Memory-Tech,       GANSIS,       Marvelous AQL","ADV Films,       Sentai Filmworks",HAL Film Maker,Original,"Drama, Fantasy, Mystery, Romance","Anthropomorphic, Love Polygon, Mahou Shoujo, Performing Arts",16 min. per ep.,PG-13 - Teens 13 or older,"5,032",,Summer 2002,Fridays at 20:30 (JST)
