Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Attack on Titan: The Roar of Awakening,7.89,2555,805,72,Movie,1,Finished Airing,"Jan 13, 2018","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Survival",Shounen,2 hr.,R - 17+ (violence & profanity),93,,
"Natsu e no Tunnel, Sayonara no Deguchi","The Tunnel to Summer, the Exit of Goodbyes",7.89,1528,802,152,Movie,1,Finished Airing,"Sep 9, 2022","Pony Canyon,       Studio Mausu",Sentai Filmworks,CLAP,Light novel,"Drama, Mystery, Romance, Sci-Fi",,,1 hr. 22 min.,PG-13 - Teens 13 or older,"1,679",,
Mahoutsukai no Yome Season 2 Part 2,The Ancient Magus' Bride Season 2 Part 2,7.89,2232,801,90,TV,12,Finished Airing,"Oct 5, 2023 to Dec 21, 2023","flying DOG,       bilibili,       Mag Garden,       Chiptune,       Twin Engine","None found, add some",Studio Kafka,Manga,"Drama, Fantasy, Romance","Mythology, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,268,Fall 2023,Thursdays at 22:00 (JST)
Shirokuma Cafe,Polar Bear Cafe,7.89,2158,806,95,TV,50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013","TV Tokyo,       Avex Entertainment","None found, add some",Pierrot,Manga,Slice of Life,"Anthropomorphic, Iyashikei, Workplace",Josei,24 min. per ep.,G - All Ages,963,Spring 2012,Thursdays at 17:30 (JST)
School Rumble,,7.89,733,804,329,TV,26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo,       Sotsu,       Marvelous Entertainment,       Starchild Records,       Media Factory,       DAX Production,       Studio Jack",Funimation,Studio Comet,Manga,"Comedy, Romance","Gag Humor, Love Polygon, School",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"5,241",Fall 2004,Tuesdays at 18:00 (JST)
Sakigake!! Cromartie Koukou,Cromartie High School,7.89,1635,803,140,TV,26,Finished Airing,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,"ADV Films,       Sentai Filmworks,       Discotek Media",Production I.G,Manga,Comedy,"Delinquents, Gag Humor, School",Shounen,11 min. per ep.,PG-13 - Teens 13 or older,"1,653",Fall 2003,Fridays at 01:00 (JST)
Summer Ghost,,7.89,1954,807,111,Movie,1,Finished Airing,"Nov 12, 2021","Avex Pictures,       Flagship Line",GKIDS,Flat Studio,Mixed media,"Drama, Supernatural",,,39 min.,PG-13 - Teens 13 or older,950,,
Undead Girl Murder Farce,Undead Murder Farce,7.89,1585,808,145,TV,13,Finished Airing,"Jul 6, 2023 to Sep 28, 2023","Dentsu,       Kodansha,       Fuji TV,       KlockWorx,       BS Fuji,       Crunchyroll,       Tohan Corporation,       NetEase","None found, add some",Lapin Track,Novel,"Fantasy, Mystery","Adult Cast, Detective, Historical, Vampire",,22 min. per ep.,R - 17+ (violence & profanity),774,Summer 2023,Thursdays at 00:55 (JST)
Yuzuki-san Chi no Yonkyoudai.,The Yuzuki Family's Four Sons,7.89,2999,811,54,TV,12,Finished Airing,"Oct 5, 2023 to Dec 21, 2023","Pierrot,       Movic,       AT-X,       Tokyo MX,       Avex Pictures,       BS11,       Shogakukan,       U-NEXT,       A-Sketch,       Bit grooove promotion","None found, add some",Shuka,Manga,Slice of Life,School,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,310,Fall 2023,Thursdays at 23:30 (JST)
Ushio to Tora (TV) 2nd Season,Ushio & Tora (2016),7.89,1700,809,133,TV,13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016","Sotsu,       Showgate,       Tokuma Japan Communications,       Daiichi Shokai",Sentai Filmworks,"MAPPA,       Studio VOLN",Manga,"Action, Adventure, Supernatural",Mythology,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,323,Spring 2016,Fridays at 22:30 (JST)
