Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,,7.72,8757,1195,4,Movie,1,Finished Airing,"Oct 27, 2018","None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,,1 hr. 13 min.,G - All Ages,21,,
JoJo no Kimyou na Bouken: Phantom Blood,JoJo's Bizarre Adventure: Phantom Blood,7.72,2622,1197,69,Movie,1,Finished Airing,"Feb 17, 2007","TV Tokyo,       Bandai,       KlockWorx,       Asmik Ace,       Shueisha,       Sumitomo,       Sony PCL","None found, add some",APPP,Manga,"Action, Adventure, Horror",Vampire,Shounen,1 hr. 30 min.,R - 17+ (violence & profanity),617,,
Inazuma Eleven,,7.72,1127,1196,217,TV,127,Finished Airing,"Oct 5, 2008 to Apr 27, 2011","TV Tokyo,       Dentsu,       Half H.P Studio","None found, add some",OLM,Game,Sports,"Super Power, Team Sports",,24 min. per ep.,G - All Ages,"4,248",Fall 2008,Unknown
Ai no Utagoe wo Kikasete,Sing a Bit of Harmony,7.71,2074,1198,101,Movie,1,Finished Airing,"Oct 29, 2021","Shochiku,       Bandai Namco Arts",Funimation,J.C.Staff,Original,"Drama, Sci-Fi","Music, School",,1 hr. 48 min.,PG-13 - Teens 13 or older,696,,
Aikatsu! 10th Story: Mirai e no Starway (2023),,7.71,12034,1199,1,Movie,1,Finished Airing,"Jan 20, 2023","None found, add some","None found, add some",Bandai Namco Pictures,Original,,"Idols (Female), Music",,48 min.,PG - Children,25,,
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",Snow White with the Red Hair OVA,7.71,2404,1200,80,OVA,1,Finished Airing,"Jan 5, 2016","None found, add some","None found, add some",Bones,Manga,"Drama, Fantasy, Romance",,Shoujo,24 min.,PG-13 - Teens 13 or older,172,,
Seitokai Yakuindomo OVA,,7.75,1737,1101,130,OVA,8,Finished Airing,"Apr 15, 2011 to Oct 17, 2013",Starchild Records,"None found, add some",GoHands,4-koma manga,Comedy,"Gag Humor, School",Shounen,26 min. per ep.,R - 17+ (violence & profanity),123,,
Sekaiichi Hatsukoi: Valentine-hen,,7.75,3463,1102,41,Movie,1,Finished Airing,"Mar 15, 2014",Kadokawa Shoten,"None found, add some",Studio Deen,Manga,Boys Love,"Adult Cast, Workplace",,15 min.,PG-13 - Teens 13 or older,61,,
Shiki Specials,,7.75,2572,1103,71,Special,2,Finished Airing,"May 25, 2011 to Jun 22, 2011",Aniplex,Funimation,Daume,Manga,"Horror, Mystery, Supernatural","Gore, Psychological, Vampire",Shounen,23 min. per ep.,R - 17+ (violence & profanity),83,,
Taiyou no Ko Esteban,The Mysterious Cities of Gold,7.75,5623,1104,14,TV,39,Finished Airing,"May 1, 1982 to Feb 5, 1983",DiC Entertainment,"None found, add some",Pierrot,Novel,"Adventure, Sci-Fi",Historical,,27 min. per ep.,PG-13 - Teens 13 or older,119,Spring 1982,Unknown
Udon no Kuni no Kiniro Kemari,Poco's Udon World,7.75,1672,1105,135,TV,12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016","VAP,       Nippon Television Network,       Nippon Television Music,       Nishinippon Broadcasting,       Dai Nippon Printing,       Shinchosha",Discotek Media,LIDENFILMS,Manga,"Slice of Life, Supernatural","Anthropomorphic, Childcare, Iyashikei",Seinen,22 min. per ep.,PG-13 - Teens 13 or older,657,Fall 2016,Sundays at 01:55 (JST)
Urusei Yatsura (2022) 2nd Season,,7.75,3492,1106,41,TV,23,Currently Airing,"Jan 12, 2024 to Jun 21, 2024","Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Fuji TV,       Shogakukan,       Fuji Creative",Sentai Filmworks,David Production,Manga,"Comedy, Romance, Sci-Fi",,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,153,Winter 2024,Fridays at 00:55 (JST)
Watashi no Shiawase na Kekkon,My Happy Marriage,7.75,885,1107,277,TV,12,Finished Airing,"Jul 5, 2023 to Sep 20, 2023","Square Enix,       Glovision,       Toy's Factory,       Miracle Bus,       Kadokawa,       Bandai Namco Music Live","None found, add some",Kinema Citrus,Novel,"Drama, Fantasy, Romance","Adult Cast, Historical",,23 min. per ep.,PG-13 - Teens 13 or older,"2,774",Summer 2023,Wednesdays at 23:30 (JST)
Charlotte,,7.75,65,1108,1,TV,13,Finished Airing,"Jul 5, 2015 to Sep 27, 2015","Aniplex,       Mainichi Broadcasting System,       Movic,       Visual Arts,       ASCII Media Works,       Tokyo MX,       BS11",Aniplex of America,P.A. Works,Original,Drama,"School, Super Power",,24 min. per ep.,PG-13 - Teens 13 or older,"23,301",Summer 2015,Sundays at 00:00 (JST)
City Hunter '91,,7.75,4446,1109,25,TV,13,Finished Airing,"Apr 28, 1991 to Oct 10, 1991","None found, add some",Discotek Media,Sunrise,Manga,"Action, Comedy, Mystery",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,71,Spring 1991,Unknown
Colorful (Movie),Colorful: The Motion Picture,7.75,1217,1110,199,Movie,1,Finished Airing,"Aug 21, 2010","Aniplex,       Sony Music Entertainment,       Imagine",Sentai Filmworks,"Sunrise,       Ascension",Novel,"Award Winning, Drama, Supernatural",,,2 hr. 7 min.,PG-13 - Teens 13 or older,"1,252",,
Devilman: Crybaby,,7.75,125,1111,1,ONA,10,Finished Airing,"Jan 5, 2018","Aniplex,       Dynamic Planning,       Netflix","None found, add some",Science SARU,Manga,"Action, Avant Garde, Horror, Supernatural","Gore, Mythology",Shounen,25 min. per ep.,R+ - Mild Nudity,"24,265",,
Dragon Ball Kai,Dragon Ball Z Kai,7.75,591,1112,394,TV,97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",Fuji TV,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy","Martial Arts, Super Power",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"3,458",Spring 2009,Sundays at 09:00 (JST)
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Fate/Grand Order: Final Singularity - Grand Temple of Time: Solomon,7.75,2478,1114,76,Movie,1,Finished Airing,"Jul 30, 2021",Aniplex,Aniplex of America,CloverWorks,Game,"Action, Fantasy, Supernatural",Isekai,,1 hr. 34 min.,PG-13 - Teens 13 or older,393,,
Fate/Grand Carnival,,7.75,2965,1113,55,OVA,4,Finished Airing,"Dec 31, 2020 to Oct 13, 2021","Aniplex,       Studio Hibari,       Lantis,       Notes,       Good Smile Film,       Delightworks",Aniplex of America,Lerche,Game,"Comedy, Fantasy, Supernatural",Parody,,15 min. per ep.,PG-13 - Teens 13 or older,248,,
Free! Take Your Marks,,7.75,2338,1115,84,Movie,1,Finished Airing,"Oct 28, 2017",ABC Animation,Funimation,"Kyoto Animation,       Animation Do",Original,Slice of Life,School,,1 hr. 48 min.,PG-13 - Teens 13 or older,156,,
Gakuen Babysitters Special,School Babysitters Episode 13,7.75,3371,1116,44,Special,1,Finished Airing,"Sep 26, 2018","None found, add some","None found, add some",Brain's Base,Manga,Slice of Life,"Childcare, Iyashikei",Shoujo,27 min.,PG-13 - Teens 13 or older,51,,
Genshiken 2,,7.75,2340,1117,84,TV,12,Finished Airing,"Oct 10, 2007 to Dec 26, 2007","Genco,       Lantis,       Media Factory,       Kids Station,       Magic Capsule,       Palm Studio,       Showgate",Media Blasters,Arms,Manga,Slice of Life,"Adult Cast, Otaku Culture, Parody",Seinen,24 min. per ep.,R - 17+ (violence & profanity),216,Fall 2007,Unknown
Ghost Hunt,,7.75,1058,1118,232,TV,25,Finished Airing,"Oct 4, 2006 to Mar 28, 2007","TV Tokyo,       Avex Entertainment,       Marvelous Entertainment,       Delfi Sound",Funimation,J.C.Staff,Manga,"Horror, Mystery, Supernatural",,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"3,045",Fall 2006,Wednesdays at 01:00 (JST)
Hibike! Euphonium Movie 3: Chikai no Finale,Sound! Euphonium: Our Promise: A Brand New Day,7.75,2587,1120,71,Movie,1,Finished Airing,"Apr 19, 2019","Lantis,       Shochiku,       Heart Company",Eleven Arts,Kyoto Animation,Novel,Drama,"Music, Performing Arts, School",,1 hr. 41 min.,PG-13 - Teens 13 or older,173,,
BanG Dream! Garupa☆Pico,,7.74,4646,1121,22,ONA,26,Finished Airing,"Jul 5, 2018 to Dec 27, 2018","None found, add some","None found, add some","SANZIGEN,       DMM.futureworks",Mixed media,Comedy,Music,,3 min. per ep.,PG-13 - Teens 13 or older,136,,
Grisaia no Rakuen,The Eden of Grisaia,7.75,560,1119,412,TV,10,Finished Airing,"Apr 19, 2015 to Jun 21, 2015","Frontier Works,       AT-X,       Bushiroad,       NBCUniversal Entertainment Japan,       i0+,       Front Wing",Sentai Filmworks,8bit,Visual novel,"Drama, Romance, Suspense","Harem, Psychological",,23 min. per ep.,R - 17+ (violence & profanity),"2,073",Spring 2015,Sundays at 23:00 (JST)
Bishoujo Senshi Sailor Moon Eternal Movie 2,Pretty Guardian Sailor Moon Eternal The Movie Part 2,7.74,4383,1122,25,Movie,1,Finished Airing,"Feb 11, 2021","None found, add some","None found, add some","Toei Animation,       Studio Deen",Manga,"Fantasy, Romance","Mahou Shoujo, Mythology",Shoujo,1 hr. 20 min.,PG-13 - Teens 13 or older,109,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,7.74,710,1123,335,TV,11,Finished Airing,"Jul 23, 2022 to Oct 1, 2022","Genco,       Movic,       Warner Bros. Japan,       KlockWorx,       Hakuhodo DY Music & Pictures,       Egg Firm,       FuRyu,       GREE,       SB Creative",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"2,077",Summer 2022,Saturdays at 01:05 (JST)
Free! Movie 4: The Final Stroke - Zenpen,,7.74,2867,1124,59,Movie,1,Finished Airing,"Sep 17, 2021",ABC Animation,"None found, add some",Kyoto Animation,Original,Sports,School,,1 hr. 26 min.,PG-13 - Teens 13 or older,210,,
Gakkou no Kaidan,Ghost Stories,7.74,1139,1125,215,TV,19,Finished Airing,"Oct 22, 2000 to Mar 25, 2001","Aniplex,       Fuji TV","ADV Films,       Discotek Media",Pierrot,Novel,"Horror, Mystery, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"2,085",Fall 2000,Saturdays at 19:30 (JST)
Hibike! Euphonium: Ensemble Contest-hen,Sound! Euphonium: Ensemble Contest Arc,7.74,4625,1128,22,Movie,1,Finished Airing,"Aug 4, 2023","Lantis,       Heart Company","None found, add some",Kyoto Animation,Novel,Drama,"Music, Performing Arts, School",,57 min.,PG-13 - Teens 13 or older,48,,
Gundam Build Fighters,,7.74,2486,1127,75,TV,25,Finished Airing,"Oct 7, 2013 to Mar 31, 2014","TV Tokyo,       Sotsu",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",Mecha,,24 min. per ep.,G - All Ages,660,Fall 2013,Mondays at 18:00 (JST)
Golden Time,,7.74,148,1126,1,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014","Genco,       Starchild Records",Sentai Filmworks,J.C.Staff,Light novel,"Drama, Romance","Adult Cast, Love Polygon",,24 min. per ep.,PG-13 - Teens 13 or older,"13,434",Fall 2013,Fridays at 02:35 (JST)
Higashi no Eden,Eden of The East,7.74,388,1129,567,TV,11,Finished Airing,"Apr 10, 2009 to Jun 19, 2009","Dentsu,       Fuji TV,       Asmik Ace,       Sony Music Entertainment",Funimation,Production I.G,Original,"Award Winning, Mystery, Romance, Sci-Fi, Suspense","Adult Cast, Psychological",,23 min. per ep.,R - 17+ (violence & profanity),"4,227",Spring 2009,Fridays at 00:45 (JST)
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,Golden Courtyard: New Year Wishes in Winter,7.74,9921,1130,3,ONA,2,Finished Airing,"Jan 20, 2023 to Jan 21, 2023",miHoYoAnime,"None found, add some",HuaMei Animation,Game,Comedy,,,16 min. per ep.,PG-13 - Teens 13 or older,49,,
InuYasha: Kuroi Tessaiga,,7.74,3659,1131,37,Special,1,Finished Airing,"Jul 30, 2008",Atelier Musa,"None found, add some",Sunrise,Manga,"Action, Adventure, Fantasy, Romance","Historical, Mythology, Time Travel",Shounen,29 min.,PG-13 - Teens 13 or older,72,,
