Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Haikyuu!! Movie 2: Shousha to Haisha,Haikyuu!! the Movie: The Winner and the Loser,8.06,2150,553,95,Movie,1,Finished Airing,"Sep 18, 2015","None found, add some","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,1 hr. 28 min.,PG-13 - Teens 13 or older,97,,
Kuroshitsuji: Book of Murder,Black Butler: Book of Murder,8.06,979,556,250,OVA,2,Finished Airing,"Jan 28, 2015 to Feb 25, 2015","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Asmik Ace,       Hakuhodo DY Media Partners,       DeNA",Funimation,A-1 Pictures,Manga,"Action, Fantasy, Mystery","Historical, Mythology",Shounen,58 min. per ep.,R - 17+ (violence & profanity),"1,149",,
Ginga Eiyuu Densetsu Gaiden (1999),Legend of the Galactic Heroes Gaiden (1999),8.06,4849,551,20,OVA,28,Finished Airing,"Dec 24, 1999 to Jul 21, 2000","Tokuma Shoten,       Tokuma Japan,       Wright Staff",Sentai Filmworks,K-Factory,Novel,"Action, Drama, Sci-Fi","Adult Cast, Military, Space",,26 min. per ep.,R - 17+ (violence & profanity),27,,
Kuroshitsuji: Book of Circus,Black Butler: Book of Circus,8.06,563,555,409,TV,10,Finished Airing,"Jul 11, 2014 to Sep 12, 2014","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Asmik Ace,       Hakuhodo DY Media Partners,       DeNA",Funimation,A-1 Pictures,Manga,"Action, Fantasy, Mystery","Historical, Mythology",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"3,669",Summer 2014,Fridays at 02:19 (JST)
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 1,8.06,4086,552,29,Movie,4,Finished Airing,"Sep 27, 2019",Shochiku,"None found, add some",Production I.G,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",,25 min. per ep.,R - 17+ (violence & profanity),66,,
Hyouka,,8.06,95,554,1,TV,22,Finished Airing,"Apr 23, 2012 to Sep 17, 2012","Lantis,       Kadokawa Shoten,       KlockWorx,       chara-ani.com,       Animation Do",Funimation,Kyoto Animation,Novel,"Mystery, Slice of Life",School,,25 min. per ep.,PG-13 - Teens 13 or older,"27,151",Spring 2012,Mondays at 00:00 (JST)
Kyou kara Ore wa!!,,8.06,3790,557,35,OVA,10,Finished Airing,"Apr 1, 1993 to Dec 21, 1997","None found, add some","None found, add some",Pierrot,Manga,Comedy,Delinquents,Shounen,43 min. per ep.,R - 17+ (violence & profanity),432,,
Meitantei Conan Movie 08: Ginyoku no Magician,Detective Conan Movie 08: Magician of the Silver Sky,8.06,2922,559,57,Movie,1,Finished Airing,"Apr 17, 2004","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,Shounen,1 hr. 48 min.,PG-13 - Teens 13 or older,39,,
Mahoutsukai no Yome,The Ancient Magus' Bride,8.06,177,558,935,TV,24,Finished Airing,"Oct 8, 2017 to Mar 25, 2018","Production I.G,       Shochiku,       flying DOG,       Mag Garden",Funimation,Wit Studio,Manga,"Drama, Fantasy, Romance",Mythology,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"12,496",Fall 2017,Sundays at 01:30 (JST)
Meitantei Conan Movie 18: Ijigen no Sniper,Detective Conan Movie 18: The Sniper from Another Dimension,8.06,3370,560,44,Movie,1,Finished Airing,"Apr 19, 2014","None found, add some","None found, add some",TMS Entertainment,Manga,"Action, Mystery",Detective,Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,39,,
No Game No Life,"No Game, No Life",8.06,17,561,2,TV,12,Finished Airing,"Apr 9, 2014 to Jun 25, 2014","Frontier Works,       Media Factory,       Movic,       AT-X",Sentai Filmworks,Madhouse,Light novel,"Comedy, Fantasy, Ecchi","Isekai, Strategy Game",,23 min. per ep.,PG-13 - Teens 13 or older,"47,993",Spring 2014,Wednesdays at 21:30 (JST)
One Piece Film: Strong World,,8.06,958,562,256,Movie,1,Finished Airing,"Dec 12, 2009","None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy",,Shounen,1 hr. 55 min.,PG-13 - Teens 13 or older,472,,
Sakura-sou no Pet na Kanojo,The Pet Girl of Sakurasou,8.06,108,563,1,TV,24,Finished Airing,"Oct 9, 2012 to Mar 26, 2013","Frontier Works,       Genco,       Media Factory,       Animax,       Mainichi Broadcasting System,       ASCII Media Works,       Sony Music Communications",Sentai Filmworks,J.C.Staff,Light novel,"Drama, Romance","School, Visual Arts",,23 min. per ep.,PG-13 - Teens 13 or older,"26,222",Fall 2012,Tuesdays at 00:30 (JST)
Kidou Senshi Gundam: Tekketsu no Orphans,Mobile Suit Gundam: Iron-Blooded Orphans,8.05,998,565,245,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016","Sotsu,       Asatsu DK,       Mainichi Broadcasting System",Funimation,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Space",,24 min. per ep.,R - 17+ (violence & profanity),"3,327",Fall 2015,Sundays at 17:00 (JST)
Kamisama Hajimemashita OVA,Kamisama Kiss OVA,8.05,1696,564,133,OVA,2,Finished Airing,"Aug 20, 2013","None found, add some","None found, add some",TMS Entertainment,Manga,"Comedy, Fantasy, Romance",Mythology,Shoujo,14 min. per ep.,PG-13 - Teens 13 or older,445,,
Kodomo no Omocha (TV),Kodocha,8.05,2623,566,69,TV,102,Finished Airing,"Apr 5, 1996 to Mar 27, 1998","TV Tokyo,       Nihon Ad Systems,       Pony Canyon","Funimation,       Discotek Media",Gallop,Manga,"Comedy, Drama, Romance","Love Polygon, Showbiz",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"1,366",Spring 1996,Fridays at 18:00 (JST)
Koukyoushihen Eureka Seven,Eureka Seven,8.05,522,567,437,TV,50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006","Aniplex,       Bandai Visual,       Kadokawa Shoten,       Mainichi Broadcasting System,       Bandai,       Ashi Productions,       Sony Music Entertainment,       Bandai Namco Games,       Hakuhodo DY Media Partners,       Bandai Channel,       USEN","Funimation,       Bandai Entertainment",Bones,Original,"Action, Adventure, Drama, Romance, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,"9,110",Spring 2005,Sundays at 07:00 (JST)
Kuroko no Basket,Kuroko's Basketball,8.05,116,568,1,TV,25,Finished Airing,"Apr 8, 2012 to Sep 22, 2012","Bandai Visual,       Lantis,       Nihon Ad Systems,       Mainichi Broadcasting System,       Banpresto,       Shueisha,       BS11","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"21,174",Spring 2012,Sundays at 01:58 (JST)
Meitantei Conan Movie 25: Halloween no Hanayome,Detective Conan Movie 25: The Bride of Halloween,8.05,5361,569,15,Movie,1,Finished Airing,"Apr 15, 2022","None found, add some","None found, add some",TMS Entertainment,Manga,"Action, Mystery",Detective,Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,97,,
Omoide no Marnie,When Marnie Was There,8.05,803,570,302,Movie,1,Finished Airing,"Jul 19, 2014","Dentsu,       TOHO,       Disney Platform Distribution,       Nippon Television Network",GKIDS,Studio Ghibli,Novel,"Drama, Mystery, Suspense",Psychological,,1 hr. 42 min.,G - All Ages,"2,666",,
Saint Seiya: Meiou Hades Juuni Kyuu-hen,Saint Seiya: The Hades Chapter - Sanctuary,8.05,2906,571,57,OVA,13,Finished Airing,"Nov 9, 2002 to Jul 25, 2003","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy, Sci-Fi",Mythology,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,387,,
World Trigger 2nd Season,,8.05,1532,572,152,TV,12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",TV Asahi,"None found, add some",Toei Animation,Manga,"Action, Sci-Fi",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,784,Winter 2021,Sundays at 01:30 (JST)
Yowamushi Pedal: Grande Road,,8.05,1631,573,141,TV,24,Finished Airing,"Oct 7, 2014 to Mar 31, 2015","TV Tokyo,       MediaNet,       TOHO animation,       Akita Shoten",Discotek Media,TMS Entertainment,Manga,Sports,Racing,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,500,Fall 2014,Tuesdays at 01:35 (JST)
Angel Beats!,,8.05,31,574,2,TV,13,Finished Airing,"Apr 3, 2010 to Jun 26, 2010","Aniplex,       Dentsu,       Mainichi Broadcasting System,       CBC Television,       Movic,       Visual Arts,       ASCII Media Works","Sentai Filmworks,       Aniplex of America",P.A. Works,Original,"Drama, Supernatural",School,,25 min. per ep.,PG-13 - Teens 13 or older,"48,590",Spring 2010,Unknown
Dorohedoro,,8.05,402,576,553,TV,12,Finished Airing,"Jan 13, 2020 to Mar 30, 2020","Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Movic,       TOHO animation,       BS11,       Shogakukan,       Sumitomo,       RAY,       Pia","None found, add some",MAPPA,Manga,"Action, Comedy, Fantasy, Horror",Gore,Seinen,23 min. per ep.,R - 17+ (violence & profanity),"8,977",Winter 2020,Mondays at 00:00 (JST)
Darker than Black: Kuro no Keiyakusha,Darker than Black,8.05,168,575,950,TV,25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Myrica Music",Funimation,Bones,Original,"Action, Mystery, Sci-Fi",Super Power,,24 min. per ep.,R - 17+ (violence & profanity),"16,679",Spring 2007,Fridays at 01:25 (JST)
Durarara!!x2 Ketsu,,8.05,617,577,380,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Aniplex,Aniplex of America,Shuka,Light novel,"Action, Mystery, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),"1,082",Winter 2016,Saturdays at 23:30 (JST)
5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,8.04,282,578,719,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021","Pony Canyon,       Kodansha,       DAX Production,       BS11,       Nichion,       GYAO!,       Good Smile Film,       MAGNET","None found, add some",Bibury Animation Studios,Manga,"Comedy, Romance","Harem, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"11,502",Winter 2021,Fridays at 01:28 (JST)
Glass no Kamen (2005),Glass Mask,8.04,3536,580,40,TV,51,Finished Airing,"Apr 6, 2005 to Mar 29, 2006","TMS Entertainment,       MediaNet",Sentai Filmworks,Tokyo Movie Shinsha,Manga,"Drama, Romance","Performing Arts, Showbiz",Shoujo,23 min. per ep.,G - All Ages,517,Spring 2005,Unknown
Fate/stay night: Unlimited Blade Works Prologue,Fate/stay night: Unlimited Blade Works - Prologue,8.04,750,579,322,TV Special,1,Finished Airing,"Oct 5, 2014","Aniplex,       Notes",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",,,51 min.,PG-13 - Teens 13 or older,444,,
Golden Boy,,8.04,571,581,403,OVA,6,Finished Airing,"Oct 27, 1995 to Jun 28, 1996","KSS,       Shueisha","ADV Films,       Media Blasters,       Discotek Media",APPP,Manga,"Adventure, Comedy, Ecchi","Adult Cast, Gag Humor, Workplace",Seinen,28 min. per ep.,R+ - Mild Nudity,"6,051",,
Karakai Jouzu no Takagi-san 2,Teasing Master Takagi-san 2,8.04,715,583,334,TV,12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019","Dentsu,       TMS Entertainment,       Asmik Ace,       TOHO animation,       Shogakukan,       Sumitomo","None found, add some",Shin-Ei Animation,Manga,Comedy,"Romantic Subtext, School",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"2,322",Summer 2019,Sundays at 23:30 (JST)
Gosick,,8.04,401,582,553,TV,24,Finished Airing,"Jan 8, 2011 to Jul 2, 2011","TV Tokyo,       Kadokawa Shoten,       KlockWorx,       Memory-Tech,       NTT Docomo",Funimation,Bones,Light novel,"Drama, Mystery, Romance",Historical,,24 min. per ep.,R - 17+ (violence & profanity),"8,392",Winter 2011,Saturdays at 01:23 (JST)
Mairimashita! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Season 2,8.04,751,584,322,TV,21,Finished Airing,"Apr 17, 2021 to Sep 11, 2021","NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"Comedy, Fantasy","Isekai, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,378",Spring 2021,Saturdays at 17:35 (JST)
Mignon,,8.04,4658,585,22,ONA,12,Finished Airing,"Aug 11, 2023","None found, add some","None found, add some",ABJ COMPANY,Original,"Boys Love, Drama",Vampire,,5 min. per ep.,R+ - Mild Nudity,335,,
Paprika,,8.04,404,586,548,Movie,1,Finished Airing,"Nov 25, 2006",Sony Pictures Entertainment,Manga Entertainment,Madhouse,Novel,"Avant Garde, Award Winning, Fantasy, Mystery, Sci-Fi, Suspense","Adult Cast, Psychological",,1 hr. 30 min.,R+ - Mild Nudity,"4,854",,
Persona 3 the Movie 4: Winter of Rebirth,Persona 3 the Movie: #4 Winter of Rebirth,8.04,2496,587,75,Movie,1,Finished Airing,"Jan 23, 2016","Aniplex,       Atlus","None found, add some",A-1 Pictures,Game,"Action, Fantasy, Supernatural",,,1 hr. 45 min.,R - 17+ (violence & profanity),730,,
Tsuki ga Kirei,,8.04,409,589,546,TV,12,Finished Airing,"Apr 7, 2017 to Jun 30, 2017","Sotsu,       Mainichi Broadcasting System,       flying DOG","Funimation,       Crunchyroll",feel.,Original,Romance,School,,24 min. per ep.,PG-13 - Teens 13 or older,"7,918",Spring 2017,Fridays at 00:00 (JST)
Shijou Saikyou no Deshi Kenichi,KenIchi: The Mightiest Disciple,8.04,796,588,304,TV,50,Finished Airing,"Oct 8, 2006 to Sep 30, 2007","TV Tokyo,       Tokyo Movie Shinsha,       Shogakukan","Funimation,       Discotek Media",TMS Entertainment,Manga,"Action, Comedy","Martial Arts, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"3,610",Fall 2006,Sundays at 00:55 (JST)
xxxHOLiC Shunmuki,,8.03,2591,592,71,OVA,2,Finished Airing,"Feb 17, 2009 to Jun 23, 2009",Kodansha,"None found, add some",Production I.G,Manga,"Comedy, Drama, Mystery, Supernatural",,Seinen,26 min. per ep.,PG-13 - Teens 13 or older,106,,
Tonikaku Kawaii: SNS,TONIKAWA: Over The Moon For You - SNS,8.03,1498,591,156,OVA,1,Finished Airing,"Aug 18, 2021","Shogakukan-Shueisha Productions,       Warner Bros. Japan,       KlockWorx,       Shogakukan,       Crunchyroll","None found, add some",Seven Arcs,Manga,"Comedy, Romance",,Shounen,23 min.,PG-13 - Teens 13 or older,766,,
Tunshi Xingkong,Swallowed Star,8.04,7078,590,8,ONA,26,Finished Airing,"Nov 29, 2020 to May 16, 2021","Tencent Animation & Comics,       Tencent Penguin Pictures","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,,21 min. per ep.,PG-13 - Teens 13 or older,135,,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,My Teen Romantic Comedy SNAFU TOO! OVA,8.03,974,593,252,OVA,1,Finished Airing,"Oct 27, 2016","Marvelous Entertainment,       TBS,       Movic,       NBCUniversal Entertainment Japan","None found, add some",feel.,Light novel,"Comedy, Romance","Love Polygon, School",,23 min.,PG-13 - Teens 13 or older,463,,
Azumanga Daiou The Animation,Azumanga Daioh: The Animation,8.03,649,595,366,TV,26,Finished Airing,"Apr 9, 2002 to Oct 1, 2002","Genco,       Lantis,       Imagica,       TV Tokyo Music,       Cosmic Ray,       King Records","ADV Films,       Sentai Filmworks",J.C.Staff,4-koma manga,Comedy,"CGDCT, Gag Humor, School",,24 min. per ep.,PG-13 - Teens 13 or older,"7,574",Spring 2002,Tuesdays at 01:25 (JST)
Akatsuki no Yona,Yona of the Dawn,8.03,208,594,859,TV,24,Finished Airing,"Oct 7, 2014 to Mar 24, 2015","VAP,       Hakusensha,       AT-X,       Delfi Sound,       Marvelous AQL,       Tokyo MX,       Age Global Networks,       Docomo Anime Store,       Top-Insight International",Funimation,Pierrot,Manga,"Action, Adventure, Fantasy, Romance",,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"16,456",Fall 2014,Tuesdays at 23:00 (JST)
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,,8.03,6626,596,9,Movie,1,Finished Airing,"Jun 25, 2021","None found, add some","None found, add some",SANZIGEN,Mixed media,,Music,,1 hr. 10 min.,PG-13 - Teens 13 or older,68,,
Dennou Coil,Den-noh Coil,8.03,1562,598,148,TV,26,Finished Airing,"May 12, 2007 to Dec 1, 2007","Bandai Visual,       NHK,       Tokuma Shoten",Maiden Japan,Madhouse,Original,"Adventure, Award Winning, Drama, Mystery, Sci-Fi",,,25 min. per ep.,G - All Ages,"1,646",Spring 2007,Unknown
Black Lagoon,,8.03,155,597,1,TV,12,Finished Airing,"Apr 9, 2006 to Jun 25, 2006","Shogakukan-Shueisha Productions,       Geneon Entertainment","Funimation,       Geneon Entertainment USA",Madhouse,Manga,Action,"Adult Cast, Organized Crime",Seinen,23 min. per ep.,R - 17+ (violence & profanity),"18,924",Spring 2006,Sundays at 02:35 (JST)
FLCL,,8.03,220,599,827,OVA,6,Finished Airing,"Apr 26, 2000 to Mar 16, 2001","Starchild Records,       King Records",Funimation,"Gainax,       Production I.G",Original,"Action, Avant Garde, Comedy, Sci-Fi, Suspense","Mecha, Parody, Psychological",,25 min. per ep.,PG-13 - Teens 13 or older,"30,579",,
Haikyuu!! Movie 1: Owari to Hajimari,Haikyu!! the Movie: The End and the Beginning,8.03,2040,600,104,Movie,1,Finished Airing,"Jul 3, 2015",TOHO animation,"None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,1 hr. 29 min.,PG-13 - Teens 13 or older,120,,
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,8.10,2080,501,101,TV Special,1,Finished Airing,"Sep 1, 2006","Bandai Visual,       Dentsu,       Victor Entertainment,       Nippon Television Network","Bandai Entertainment,       Manga Entertainment",Production I.G,Manga,"Action, Award Winning, Mystery, Sci-Fi","Adult Cast, Detective, Mecha, Military",Seinen,1 hr. 48 min.,R - 17+ (violence & profanity),250,,
Kuroko no Basket: Saikou no Present desu,Kuroko’s Basketball: It is the Best Present,8.10,1983,502,108,Special,1,Finished Airing,"Dec 24, 2015","Bandai Visual,       Nihon Ad Systems","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,23 min.,PG-13 - Teens 13 or older,210,,
Kuroshitsuji: Kishuku Gakkou-hen,Black Butler: Public School Arc,8.10,2738,503,64,TV,11,Currently Airing,"Apr 13, 2024 to Jun 22, 2024","Aniplex,       Square Enix,       Magic Capsule,       Crunchyroll","None found, add some",CloverWorks,Manga,"Action, Fantasy, Mystery","Historical, Mythology, School",Shounen,24 min. per ep.,R - 17+ (violence & profanity),491,Spring 2024,Saturdays at 23:30 (JST)
Mahoutsukai no Yome: Hoshi Matsu Hito,The Ancient Magus' Bride: Those Awaiting a Star,8.10,861,504,284,OVA,3,Finished Airing,"Sep 10, 2016 to Sep 9, 2017","Production I.G,       flying DOG",Crunchyroll,Wit Studio,Manga,"Drama, Fantasy",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,745,,
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,Saint Seiya: The Lost Canvas 2,8.10,2481,505,76,OVA,13,Finished Airing,"Feb 23, 2011 to Jul 20, 2011",Akita Shoten,Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Supernatural","Martial Arts, Super Power",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,324,,
Shen Yin Wangzuo,Throne of Seal,8.10,7465,506,6,ONA,26,Finished Airing,"Apr 28, 2022 to Sep 29, 2022","Tencent Penguin Pictures,       Xuanshi Tangmen,       Tianshi Wenhua,       China South Angel","None found, add some",Shenman Entertainment,Web novel,"Action, Adventure, Fantasy",,,20 min. per ep.,PG-13 - Teens 13 or older,122,,
Tamayura: Sotsugyou Shashin Part 4 - Ashita,,8.10,6020,508,11,Movie,1,Finished Airing,"Apr 2, 2016","Shochiku,       flying DOG","None found, add some",TYO Animations,Original,Slice of Life,"CGDCT, Iyashikei",,57 min.,G - All Ages,80,,
Tsubasa: Shunraiki,Tsubasa RESERVoir CHRoNiCLE: Spring Thunder Chronicle,8.09,2788,510,62,OVA,2,Finished Airing,"Mar 17, 2009 to May 15, 2009",Kodansha,Funimation,Production I.G,Manga,"Action, Adventure, Drama, Fantasy, Romance",,Shounen,28 min. per ep.,R - 17+ (violence & profanity),254,,
Stand By Me Doraemon,,8.10,2970,507,55,Movie,1,Finished Airing,"Aug 8, 2014","TOHO,       Robot Communications","None found, add some","Shirogumi,       Shin-Ei Animation",Manga,"Comedy, Sci-Fi",,"KidsKids,         ShounenShounen",1 hr. 34 min.,PG - Children,213,,
Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,8.10,240,509,794,Movie,1,Finished Airing,"Jul 15, 2006","Kadokawa Shoten,       Bandai,       Memory-Tech,       Happinet Pictures","Funimation,       Bandai Entertainment,       Kadokawa Pictures USA",Madhouse,Novel,"Award Winning, Drama, Romance, Sci-Fi","School, Time Travel",,1 hr. 38 min.,G - All Ages,"5,865",,
Tsukimonogatari,,8.09,553,511,419,TV Special,4,Finished Airing,"Dec 31, 2014",Aniplex,Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural, Ecchi",,,26 min. per ep.,R - 17+ (violence & profanity),941,,
Tsurune: Tsunagari no Issha,Tsurune - The Linking Shot -,8.09,2957,512,56,TV,13,Finished Airing,"Jan 5, 2023 to Mar 30, 2023","Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live",Sentai Filmworks,Kyoto Animation,Light novel,Sports,School,,23 min. per ep.,PG-13 - Teens 13 or older,425,Winter 2023,Thursdays at 00:00 (JST)
Hidamari Sketch: Sae Hiro Sotsugyou-hen,Hidamari Sketch: Sae & Hiro Graduation,8.09,5536,516,14,OVA,2,Finished Airing,"Nov 27, 2013","Aniplex,       Lantis,       TBS,       Movic,       Houbunsha",Sentai Filmworks,Shaft,4-koma manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",,23 min. per ep.,PG-13 - Teens 13 or older,35,,
