Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
5-toubun no Hanayome∽,The Quintessential Quintuplets~,7.99,2611,654,70,TV Special,2,Finished Airing,"Sep 2, 2023 to Sep 9, 2023","None found, add some","None found, add some",Shaft,Manga,"Comedy, Romance","Harem, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,485,,
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,,7.99,5441,653,15,Movie,1,Finished Airing,"Jul 8, 2017",Pony Canyon,"None found, add some",Studio Gokumi,Light novel,"Drama, Fantasy",Mahou Shoujo,,48 min.,PG-13 - Teens 13 or older,42,,
Aria the Benedizione,,7.99,6897,655,8,Movie,1,Finished Airing,"Dec 3, 2021","Shochiku,       Rakuonsha,       flying DOG","None found, add some",J.C.Staff,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,Shounen,1 hr.,PG-13 - Teens 13 or older,22,,
Wolf's Rain OVA,,7.99,2634,651,69,OVA,4,Finished Airing,"Jan 23, 2004 to Feb 25, 2004","Bandai Visual,       Victor Entertainment,       Asatsu DK","Funimation,       Bandai Entertainment",Bones,Original,"Adventure, Drama, Sci-Fi, Supernatural",Psychological,,23 min. per ep.,PG-13 - Teens 13 or older,376,,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,7.99,643,652,368,TV,13,Finished Airing,"Jan 3, 2024 to Mar 27, 2024","Studio Hibari,       Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Music Live","None found, add some",Lerche,Light novel,"Drama, Suspense","Psychological, School",,23 min. per ep.,PG-13 - Teens 13 or older,"3,951",Winter 2024,Wednesdays at 22:30 (JST)
Aria the OVA: Arietta,,7.99,3628,656,38,OVA,1,Finished Airing,"Sep 21, 2007","TV Tokyo,       Media Factory,       Shochiku,       AT-X",Nozomi Entertainment,HAL Film Maker,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,Shounen,30 min.,G - All Ages,82,,
Clannad,,7.99,89,657,1,TV,23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008","Pony Canyon,       TBS,       Movic,       Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",School,,24 min. per ep.,PG-13 - Teens 13 or older,"27,667",Fall 2007,Fridays at 01:55 (JST)
ef: A Tale of Melodies.,ef - a tale of melodies.,7.99,1432,658,165,TV,12,Finished Airing,"Oct 7, 2008 to Dec 23, 2008",Geneon Entertainment,Sentai Filmworks,Shaft,Visual novel,"Drama, Mystery, Romance, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"1,718",Fall 2008,Tuesdays at 01:15 (JST)
Hanma Baki: Son of Ogre 2nd Season,Baki Hanma 2nd Season,7.99,2353,660,83,ONA,27,Finished Airing,"Jul 26, 2023 to Aug 24, 2023","None found, add some","None found, add some",TMS Entertainment,Manga,Sports,"Combat Sports, Gore",Shounen,25 min. per ep.,R - 17+ (violence & profanity),447,,
Hachimitsu to Clover,Honey and Clover,7.99,911,659,269,TV,24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005","Dentsu,       Genco,       Fuji TV,       Asmik Ace,       Shueisha","VIZ Media,       Discotek Media",J.C.Staff,Manga,"Comedy, Drama, Romance","Adult Cast, Love Polygon, Visual Arts",Josei,23 min. per ep.,PG-13 - Teens 13 or older,"4,161",Spring 2005,Fridays at 00:35 (JST)
Durarara!!x2 Shou,,7.98,464,662,486,TV,12,Finished Airing,"Jan 10, 2015 to Mar 28, 2015","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       ASCII Media Works",Aniplex of America,Shuka,Light novel,"Action, Mystery, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),996,Winter 2015,Saturdays at 23:30 (JST)
Bungou Stray Dogs Wan!,Bungo Stray Dogs Wan!,7.98,1843,661,119,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Kadokawa,"None found, add some","Bones,       Nomad",Web manga,"Comedy, Supernatural",,,11 min. per ep.,PG-13 - Teens 13 or older,"1,144",Winter 2021,Wednesdays at 00:30 (JST)
Hanada Shounen-shi,,7.98,5286,663,16,TV,25,Finished Airing,"Oct 2, 2002 to Mar 26, 2003","VAP,       Nippon Television Network","None found, add some",Madhouse,Manga,"Comedy, Drama, Slice of Life, Supernatural",,Seinen,23 min. per ep.,R+ - Mild Nudity,159,Fall 2002,Unknown
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Ascendance of a Bookworm,7.98,771,664,312,TV,14,Finished Airing,"Oct 3, 2019 to Dec 26, 2019","WOWOW,       Genco,       MediaNet,       KlockWorx,       flying DOG,       BS Fuji,       Yomiuri TV Enterprise,       ABC Animation,       Happinet,       Tokyo Animator Gakuin,       TO Books,       JTB Next Creation","Sentai Filmworks,       Crunchyroll",Ajia-do,Light novel,Fantasy,"Isekai, Reincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"2,896",Fall 2019,Thursdays at 00:30 (JST)
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,7.98,2813,665,61,OVA,6,Finished Airing,"Mar 25, 1989 to Aug 25, 1989",Bandai Visual,"Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",,27 min. per ep.,PG-13 - Teens 13 or older,"1,045",,
Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts,7.98,2520,666,74,TV,24,Finished Airing,"Apr 20, 2023 to Sep 28, 2023","Pony Canyon,       Hakusensha,       BS11,       Crunchyroll,       Contents Seed,       WOWMAX","None found, add some",J.C.Staff,Manga,"Fantasy, Romance",Anthropomorphic,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,564,Spring 2023,Thursdays at 00:00 (JST)
Saint Seiya: The Lost Canvas - Meiou Shinwa,Saint Seiya: The Lost Canvas,7.98,1975,667,109,OVA,13,Finished Airing,"Jun 24, 2009 to Apr 21, 2010",Akita Shoten,Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Supernatural","Martial Arts, Super Power",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,967,,
School Rumble Ni Gakki,School Rumble: 2nd Semester,7.98,1451,668,163,TV,26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006","Sotsu,       Marvelous Entertainment,       Studio Jack",Funimation,Studio Comet,Manga,"Comedy, Romance","Gag Humor, Love Polygon, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,800,Spring 2006,Unknown
Touch,,7.98,3733,669,36,TV,101,Finished Airing,"Mar 24, 1985 to Mar 22, 1987","Asatsu DK,       Fuji TV,       TOHO","None found, add some",Group TAC,Manga,"Drama, Romance, Sports","Love Polygon, School, Team Sports",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,582,Spring 1985,Sundays at 19:00 (JST)
xxxHOLiC,,7.98,748,670,323,TV,24,Finished Airing,"Apr 7, 2006 to Sep 29, 2006","TBS,       BMG Japan,       Kids Station,       Kodansha,       Movic",Funimation,Production I.G,Manga,"Comedy, Drama, Mystery, Supernatural",,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"4,588",Spring 2006,Unknown
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,"Yuri!!! On ICE: Yuri Plisetsky GPF in Barcelona EX ""Welcome to The Madness""",7.98,2315,671,85,Special,1,Finished Airing,"May 26, 2017",Avex Pictures,Funimation,MAPPA,Original,Sports,Music,,2 min.,PG-13 - Teens 13 or older,282,,
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,Sword Art Online the Movie: Progressive - Aria of a Starless Night,7.97,960,672,255,Movie,1,Finished Airing,"Oct 30, 2021","Aniplex,       Bandai Namco Entertainment,       Egg Firm,       Straight Edge,       Kadokawa,       Sonilude",Aniplex of America,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Video Game,,1 hr. 37 min.,PG-13 - Teens 13 or older,"2,142",,
Wan Sheng Jie,All Saints Street,7.97,4269,673,27,ONA,12,Finished Airing,"Apr 1, 2020 to May 27, 2020","Tencent Penguin Pictures,       Tianwen Kadokawa Animation & Comics",Aniplex of America,"Fenz,       HMCH",Web manga,"Comedy, Fantasy",Mythology,,4 min. per ep.,PG-13 - Teens 13 or older,453,,
Yofukashi no Uta,Call of the Night,7.97,369,674,595,TV,13,Finished Airing,"Jul 8, 2022 to Sep 30, 2022","Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Animax,       Fuji TV,       Ultra Super Pictures,       Shogakukan,       Fuji Creative,       Tohan Corporation",Sentai Filmworks,LIDENFILMS,Manga,"Romance, Supernatural",Vampire,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,"8,003",Summer 2022,Fridays at 00:55 (JST)
Akagami no Shirayuki-hime 2nd Season,Snow White with the Red Hair 2,7.97,654,675,362,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016","Hakusensha,       Warner Bros. Japan,       KlockWorx,       Showgate,       BS Fuji,       Docomo Anime Store,       Hakuhodo DY Media Partners",Funimation,Bones,Manga,"Drama, Fantasy, Romance",Medical,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"1,735",Winter 2016,Tuesdays at 00:00 (JST)
Code Geass: Hangyaku no Lelouch III - Oudou,Code Geass: Lelouch of the Rebellion III - Glorification,7.97,2176,676,94,Movie,1,Finished Airing,"May 26, 2018","None found, add some",Funimation,Sunrise,Original,"Action, Sci-Fi","Mecha, Military, School, Super Power",,2 hr. 20 min.,R - 17+ (violence & profanity),158,,
Durarara!!x2 Ten,,7.97,584,678,397,TV,12,Finished Airing,"Jul 4, 2015 to Sep 26, 2015",Aniplex,Aniplex of America,Shuka,Light novel,"Action, Mystery, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),760,Summer 2015,Saturdays at 23:30 (JST)
Dragon Ball,,7.97,149,677,1,TV,153,Finished Airing,"Feb 26, 1986 to Apr 12, 1989","Fuji TV,       Shueisha",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy","Martial Arts, Super Power",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"16,213",Winter 1986,Wednesdays at 19:00 (JST)
Eve no Jikan (Movie),Time of Eve,7.97,1776,679,125,Movie,1,Finished Airing,"Mar 6, 2010","Directions,       Code","NYAV Post,       Pied Piper",Studio Rikka,Original,"Sci-Fi, Slice of Life",,,1 hr. 46 min.,PG-13 - Teens 13 or older,585,,
Haibane Renmei,,7.97,845,680,290,TV,13,Finished Airing,"Oct 10, 2002 to Dec 19, 2002","Kadokawa Shoten,       Fuji TV,       Studio Tulip","Funimation,       Geneon Entertainment USA",Radix,Other,"Drama, Fantasy, Mystery, Suspense",Psychological,,24 min. per ep.,PG-13 - Teens 13 or older,"7,810",Fall 2002,Thursdays at 02:28 (JST)
IDOLiSH7 Vibrato,,7.97,5350,681,15,ONA,8,Finished Airing,"Feb 17, 2018 to Mar 7, 2019","None found, add some","None found, add some",TROYCA,Game,Drama,"Idols (Male), Music",,14 min. per ep.,PG-13 - Teens 13 or older,100,,
