Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Steins;Gate: Oukoubakko no Poriomania,Steins;Gate: Egoistic Poriomania,8.29,515,276,440,Special,1,Finished Airing,"Feb 22, 2012",Frontier Works,Funimation,White Fox,Visual novel,"Comedy, Sci-Fi",Time Travel,24 min.,PG-13 - Teens 13 or older,835,,,
Violet Evergarden: Recollections,,8.29,3986,277,31,Special,1,Finished Airing,"Oct 29, 2021","None found, add some","None found, add some",Kyoto Animation,Light novel,"Drama, Fantasy",,1 hr. 35 min.,PG-13 - Teens 13 or older,153,,,
Tokyo Godfathers,,8.28,829,279,296,Movie,1,Finished Airing,"Nov 8, 2003","Dentsu,       Genco,       Tohokushinsha Film Corporation","Sony Pictures Entertainment,       GKIDS",Madhouse,Original,"Award Winning, Comedy, Drama",Childcare,1 hr. 32 min.,PG-13 - Teens 13 or older,"2,672",,,
Yuru Camp△ Season 3,Laid-Back Camp Season 3,8.29,2596,278,71,TV,12,Currently Airing,"Apr 4, 2024 to Jun 20, 2024","Sotsu,       Half H.P Studio,       AT-X,       KlockWorx,       Houbunsha,       MAGES.,       81 Produce,       BS11,       FuRyu,       Sony Music Solutions,       enish","None found, add some",8bit,Manga,Slice of Life,"CGDCT, Iyashikei",23 min. per ep.,PG-13 - Teens 13 or older,434,Spring 2024,Thursdays at 23:00 (JST),
Initial D Final Stage,,8.29,1583,275,145,TV,4,Finished Airing,"May 16, 2014 to Jun 22, 2014",Avex Entertainment,"None found, add some",SynergySP,Manga,,Racing,27 min. per ep.,PG-13 - Teens 13 or older,973,Spring 2014,Unknown,Seinen
Boku no Hero Academia 6th Season,My Hero Academia Season 6,8.29,325,274,652,TV,25,Finished Airing,"Oct 1, 2022 to Mar 25, 2023","Dentsu,       Yomiuri Telecasting,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha","None found, add some",Bones,Manga,Action,"School, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,"7,212",Fall 2022,Saturdays at 17:30 (JST),Shounen
Yuukoku no Moriarty Part 2,Moriarty the Patriot Part 2,8.28,966,280,254,TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021","Mainichi Broadcasting System,       Shueisha,       Yomiuri TV Enterprise,       Bandai Namco Arts,       Bandai Spirits",Funimation,Production I.G,Manga,"Mystery, Suspense","Adult Cast, Historical, Organized Crime, Psychological",23 min. per ep.,R - 17+ (violence & profanity),"3,124",Spring 2021,Sundays at 22:30 (JST),Shounen
Kaijuu 8-gou,Kaiju No. 8,8.28,856,281,287,TV,12,Currently Airing,"Apr 13, 2024 to ?","TV Tokyo,       Khara,       Nippon Columbia,       TOHO animation,       Shueisha,       Sonilude,       Toho Music","None found, add some",Production I.G,Manga,"Action, Sci-Fi","Adult Cast, Military",23 min. per ep.,PG-13 - Teens 13 or older,"2,119",Spring 2024,Saturdays at 23:00 (JST),Shounen
Redline,,8.28,616,284,381,Movie,1,Finished Airing,"Aug 14, 2009",Tohokushinsha Film Corporation,Anchor Bay Films,Madhouse,Original,"Action, Sci-Fi","Adult Cast, Racing",1 hr. 42 min.,R+ - Mild Nudity,"5,649",,,
Major: World Series,,8.28,3698,283,37,OVA,2,Finished Airing,"Dec 16, 2011 to Jan 18, 2012","None found, add some","None found, add some",SynergySP,Manga,Sports,Team Sports,28 min. per ep.,PG-13 - Teens 13 or older,101,,,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,8.28,450,285,497,TV,94,Finished Airing,"Jan 10, 1996 to Sep 8, 1998","Aniplex,       SME Visual Works,       Fuji TV","Media Blasters,       Aniplex of America","Gallop,       Studio Deen",Manga,"Action, Comedy, Romance","Historical, Samurai",25 min. per ep.,PG-13 - Teens 13 or older,"10,146",Winter 1996,Wednesdays at 19:30 (JST),Shounen
Kino no Tabi: The Beautiful World,Kino's Journey,8.28,757,282,319,TV,13,Finished Airing,"Apr 8, 2003 to Jul 8, 2003","WOWOW,       Genco,       Pony Canyon,       Studio Wombat,       chara-ani.com,       ASCII Media Works","ADV Films,       Sentai Filmworks",A.C.G.T.,Light novel,"Adventure, Drama, Fantasy",,24 min. per ep.,R - 17+ (violence & profanity),"6,999",Spring 2003,Tuesdays at 18:30 (JST),
Doukyuusei (Movie),Doukyusei -Classmates-,8.28,905,286,271,Movie,1,Finished Airing,"Feb 20, 2016","Aniplex,       Half H.P Studio",Aniplex of America,A-1 Pictures,Manga,Boys Love,School,1 hr.,PG-13 - Teens 13 or older,"6,223",,,
Gintama: Shinyaku Benizakura-hen,,8.28,3360,287,44,Special,1,Finished Airing,"Dec 15, 2010","None found, add some","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Historical, Parody, Samurai",11 min.,PG-13 - Teens 13 or older,52,,,Shounen
Hotarubi no Mori e,Into the Forest of Fireflies' Light,8.28,222,288,826,Movie,1,Finished Airing,"Sep 17, 2011","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       DAX Production","None found, add some",Brain's Base,Manga,"Award Winning, Drama, Romance, Supernatural",,45 min.,G - All Ages,"10,342",,,Shoujo
Diamond no Ace: Act II,Ace of Diamond Act II,8.27,2226,289,91,TV,52,Finished Airing,"Apr 2, 2019 to Mar 31, 2020","TV Tokyo,       Sotsu,       Pony Canyon,       Kodansha,       AT-X,       DAX Production","None found, add some",Madhouse,Manga,Sports,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,998,Spring 2019,Tuesdays at 17:55 (JST),Shounen
Fate/Zero,,8.27,79,291,1,TV,13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011","Aniplex,       Nitroplus,       Seikaisha,       Notes",Aniplex of America,ufotable,Light novel,"Action, Fantasy, Supernatural",,27 min. per ep.,R - 17+ (violence & profanity),"33,652",Fall 2011,Sundays at 00:00 (JST),
Dr. Stone,,8.27,50,290,1,TV,24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019","TOHO animation,       Shueisha,       8PAN","Funimation,       Crunchyroll",TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",Survival,24 min. per ep.,PG-13 - Teens 13 or older,"28,512",Summer 2019,Fridays at 22:00 (JST),Shounen
Gin no Saji 2nd Season,Silver Spoon 2nd Season,8.27,1578,292,146,TV,11,Finished Airing,"Jan 10, 2014 to Mar 28, 2014","Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,Comedy,School,24 min. per ep.,PG-13 - Teens 13 or older,673,Winter 2014,Fridays at 00:50 (JST),Shounen
Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji: Ultimate Survivor,8.27,664,294,356,TV,26,Finished Airing,"Oct 3, 2007 to Apr 2, 2008","VAP,       Nippon Television Network",Sentai Filmworks,Madhouse,Manga,Suspense,"Adult Cast, High Stakes Game, Psychological, Strategy Game",23 min. per ep.,R - 17+ (violence & profanity),"10,119",Fall 2007,Wednesdays at 00:59 (JST),Seinen
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3,8.27,4335,293,26,Movie,4,Finished Airing,"Nov 29, 2019",Shochiku,"None found, add some",Production I.G,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",25 min. per ep.,R - 17+ (violence & profanity),105,,,
Tsubasa: Tokyo Revelations,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,8.27,2145,297,96,OVA,3,Finished Airing,"Nov 16, 2007 to Mar 17, 2008",Kodansha,Funimation,Production I.G,Manga,"Action, Adventure, Drama, Fantasy, Romance",,24 min. per ep.,R - 17+ (violence & profanity),835,,,Shounen
Tenki no Ko,Weathering with You,8.27,156,296,1,Movie,1,Finished Airing,"Jul 19, 2019","TOHO,       JR East Marketing & Communications,       Kadokawa,       voque ting,       STORY,       Lawson Entertainment",GKIDS,CoMix Wave Films,Original,"Award Winning, Drama, Fantasy, Romance",,1 hr. 52 min.,PG-13 - Teens 13 or older,"12,366",,,
Shirobako,,8.27,509,295,446,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015","Sotsu,       Movic,       Warner Bros. Japan,       KlockWorx,       Showgate,       Infinite,       Imagine",Sentai Filmworks,P.A. Works,Original,"Award Winning, Comedy, Drama","Adult Cast, Otaku Culture, Workplace",24 min. per ep.,PG-13 - Teens 13 or older,"6,228",Fall 2014,Thursdays at 23:30 (JST),
Tunshi Xingkong 2nd Season,Swallowed Star 2nd Season,8.27,8031,298,5,ONA,26,Finished Airing,"Dec 29, 2021 to Sep 7, 2022","Tencent Animation & Comics,       Tencent Penguin Pictures","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,21 min. per ep.,PG-13 - Teens 13 or older,124,,,
