Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Tengen Toppa Gurren Lagann,Gurren Lagann,8.63,64,80,1,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,Sundays at 08:30 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai","ADV Films,       Bandai Entertainment,       Aniplex of America",Gainax,Original,"Action, Adventure, Award Winning, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,"78,549",Mecha
Shingeki no Kyojin Season 3,Attack on Titan Season 3,8.62,18,81,2,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,Mondays at 00:35 (JST),"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"20,777","Gore, Military, Survival"
Shiguang Dailiren II,Link Click Season 2,8.63,1943,79,111,ONA,12,Finished Airing,"Jul 14, 2023 to Sep 22, 2023",,,"bilibili,       BeDream","None found, add some",LAN Studio,Original,"Drama, Mystery, Supernatural, Suspense",,24 min. per ep.,R - 17+ (violence & profanity),"1,440","Adult Cast, Time Travel"
Death Note,,8.62,2,83,3,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,Wednesdays at 00:56 (JST),"VAP,       Nippon Television Network,       Shueisha,       D.N. Dream Partners",VIZ Media,Madhouse,Manga,"Supernatural, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"174,443",Psychological
Ping Pong the Animation,,8.62,588,82,396,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,Fridays at 00:50 (JST),"Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Award Winning, Drama, Sports",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"16,021",
Haikyuu!! Second Season,Haikyu!! 2nd Season,8.62,87,84,1,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,Sundays at 02:58 (JST),"Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"15,722","School, Team Sports"
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,8.61,1288,86,187,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017",Spring 2017,Wednesdays at 01:35 (JST),"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"1,092","Iyashikei, Mythology"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Made in Abyss: Dawn of the Deep Soul,8.61,485,85,467,Movie,1,Finished Airing,"Jan 17, 2020",,,"AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",,1 hr. 45 min.,R - 17+ (violence & profanity),"3,621",Gore
Hibike! Euphonium 3,Sound! Euphonium 3,8.60,2882,91,59,TV,13,Currently Airing,"Apr 7, 2024 to ?",Spring 2024,Sundays at 17:00 (JST),"Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live","None found, add some",Kyoto Animation,Novel,Drama,,24 min. per ep.,PG-13 - Teens 13 or older,368,"Music, Performing Arts, School"
Jujutsu Kaisen,,8.60,14,87,2,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:25 (JST),"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap",VIZ Media,MAPPA,Manga,"Action, Award Winning, Fantasy",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"91,057",School
Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,8.60,358,88,612,Movie,1,Finished Airing,"Feb 6, 2010",,,"Kadokawa Shoten,       Animation Do","Funimation,       Bandai Entertainment",Kyoto Animation,Light novel,"Award Winning, Mystery, Sci-Fi, Supernatural",,2 hr. 41 min.,PG-13 - Teens 13 or older,"13,575",School
Cyberpunk: Edgerunners,,8.60,260,89,760,ONA,10,Finished Airing,"Sep 13, 2022",,,CD Projekt Red,"None found, add some",Trigger,Game,"Action, Sci-Fi",,25 min. per ep.,R+ - Mild Nudity,"25,510","Gore, Organized Crime"
Hajime no Ippo: Rising,Fighting Spirit: Rising,8.60,933,90,262,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 01:35 (JST),"VAP,       Kodansha,       Nippon Television Network","None found, add some","Madhouse,       MAPPA",Manga,Sports,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,"1,300",Combat Sports
Kenpuu Denki Berserk,Berserk,8.59,312,92,666,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,Wednesdays at 01:45 (JST),"VAP,       Hakusensha,       Nippon Television Network",Discotek Media,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror",Seinen,23 min. per ep.,R+ - Mild Nudity,"28,014","Gore, Military"
Mushishi Zoku Shou: Suzu no Shizuku,,8.59,1742,93,129,Movie,1,Finished Airing,"May 16, 2015",,,"Aniplex,       Kodansha,       Delfi Sound","None found, add some",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,47 min.,PG-13 - Teens 13 or older,221,"Adult Cast, Historical, Iyashikei"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Rascal Does Not Dream of a Dreaming Girl,8.59,284,94,716,Movie,1,Finished Airing,"Jun 15, 2019",,,"Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural",,1 hr. 30 min.,PG-13 - Teens 13 or older,"10,229",School
Shin Evangelion Movie:||,Evangelion: 3.0+1.0 Thrice Upon a Time,8.59,624,95,377,Movie,1,Finished Airing,"Mar 8, 2021",,,"None found, add some",GKIDS,Khara,Original,"Action, Award Winning, Drama, Sci-Fi, Suspense",,2 hr. 35 min.,PG-13 - Teens 13 or older,"7,490","Mecha, Psychological"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,8.58,1121,96,218,Movie,1,Finished Airing,"Apr 22, 2009",,,Aniplex,Aniplex of America,Gainax,Original,"Action, Sci-Fi",,2 hr. 5 min.,R+ - Mild Nudity,"1,033","Mecha, Space, Super Power"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.58,71,97,1,Movie,1,Finished Airing,"Oct 16, 2020",,,"Aniplex,       Shueisha",Aniplex of America,ufotable,Manga,"Action, Fantasy",Shounen,1 hr. 56 min.,R - 17+ (violence & profanity),"13,173",Historical
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Hot-Blooded,8.57,508,98,447,Movie,1,Finished Airing,"Aug 19, 2016",,,"Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",,1 hr. 4 min.,R - 17+ (violence & profanity),"2,352",Vampire
Natsume Yuujinchou San,Natsume's Book of Friends Season 3,8.57,969,99,253,TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,Tuesdays at 01:30 (JST),"Aniplex,       Sakura Create","NIS America, Inc.",Brain's Base,Manga,"Slice of Life, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"1,424","Iyashikei, Mythology"
Ookami Kodomo no Ame to Yuki,Wolf Children,8.57,229,100,817,Movie,1,Finished Airing,"Jul 21, 2012",,,"Madhouse,       VAP,       Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       TOHO,       Hiroshima Television",Funimation,Studio Chizu,Original,"Award Winning, Fantasy, Slice of Life",,1 hr. 57 min.,PG-13 - Teens 13 or older,"11,425",Childcare
