Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Capeta,,7.82,4227,940,27,TV,52,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",Fall 2005,Tuesdays at 18:00 (JST),"TV Tokyo,       Sotsu,       Marvelous Entertainment,       Delfi Sound","None found, add some",Studio Comet,Manga,Sports,Racing,23 min. per ep.,PG - Children,305,Shounen
Danshi Koukousei no Nichijou Specials,Daily Lives of High School Boys Specials,7.82,1652,941,138,Special,6,Finished Airing,"Apr 3, 2012 to Sep 4, 2012",,,"None found, add some","NIS America, Inc.",Sunrise,Web manga,Comedy,"Gag Humor, School",3 min. per ep.,PG-13 - Teens 13 or older,191,
Gungrave,,7.82,1254,943,191,TV,26,Finished Airing,"Oct 7, 2003 to Mar 30, 2004",Fall 2003,Tuesdays at 01:30 (JST),Tohokushinsha Film Corporation,"Funimation,       Geneon Entertainment USA",Madhouse,Game,"Action, Drama, Sci-Fi","Adult Cast, Gore, Organized Crime, Super Power",25 min. per ep.,R - 17+ (violence & profanity),"2,414",
Haikyuu!! (OVA),,7.82,3946,944,32,OVA,10,Finished Airing,"Mar 4, 2020",,,Shueisha,"None found, add some","None found, add some",Manga,Sports,Team Sports,2 min. per ep.,PG-13 - Teens 13 or older,60,Shounen
Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun,7.82,179,942,932,TV,12,Finished Airing,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,Mondays at 01:05 (JST),"TV Tokyo,       Frontier Works,       Media Factory,       AT-X,       Sony Music Communications",Sentai Filmworks,Doga Kobo,4-koma manga,"Comedy, Romance","Otaku Culture, School",24 min. per ep.,PG-13 - Teens 13 or older,"11,025",
Kara no Kyoukai Movie 4: Garan no Dou,The Garden of Sinners Chapter 4: The Hollow Shrine,7.82,1134,945,216,Movie,1,Finished Airing,"May 24, 2008",,,Notes,Aniplex of America,ufotable,Light novel,"Action, Mystery, Supernatural, Suspense",,46 min.,R - 17+ (violence & profanity),318,
Kidou Senshi Gundam: Senkou no Hathaway,Mobile Suit Gundam: Hathaway,7.82,3582,946,39,Movie,1,Finished Airing,"Jun 11, 2021",,,"None found, add some","None found, add some",Sunrise,Novel,"Action, Drama, Sci-Fi","Mecha, Military, Space",1 hr. 35 min.,PG-13 - Teens 13 or older,309,
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Winter Cup Highlights Episode 3 – Winter Cup Highlights -Crossing the Door-,7.82,3420,947,43,Movie,1,Finished Airing,"Dec 3, 2016",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports",Team Sports,1 hr. 28 min.,PG-13 - Teens 13 or older,38,Shounen
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,Mushoku Tensei: Jobless Reincarnation - Eris the Goblin Slayer,7.82,1358,948,176,Special,1,Finished Airing,"Mar 16, 2022",,,"Frontier Works,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment","None found, add some",Studio Bind,Light novel,"Adventure, Drama, Fantasy","Isekai, Reincarnation",23 min.,R - 17+ (violence & profanity),576,
One Piece Film: Red,,7.82,1388,949,170,Movie,1,Finished Airing,"Aug 6, 2022",,,"None found, add some",Crunchyroll,Toei Animation,Manga,"Action, Adventure, Award Winning, Comedy, Drama, Fantasy",Idols (Female),1 hr. 55 min.,PG-13 - Teens 13 or older,"1,645",Shounen
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,7.82,767,950,314,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 22:30 (JST),"Pony Canyon,       Movic,       Magic Capsule,       TOHO animation,       Tokyo MX,       Good Smile Company,       Miracle Bus,       Pia,       SB Creative,       Toho Music","None found, add some",Project No.9,Light novel,Romance,School,23 min. per ep.,PG-13 - Teens 13 or older,"5,238",
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,,7.79,5469,1002,14,Movie,1,Finished Airing,"Apr 15, 2017",,,Pony Canyon,"None found, add some",Studio Gokumi,Light novel,"Drama, Fantasy, Slice of Life",Mahou Shoujo,47 min.,PG-13 - Teens 13 or older,25,
Wolf's Rain,,7.79,729,1001,330,TV,26,Finished Airing,"Jan 7, 2003 to Jul 29, 2003",Winter 2003,Tuesdays at 02:10 (JST),"Bandai Visual,       Asatsu DK,       Fuji TV","Funimation,       Bandai Entertainment",Bones,Original,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,"5,753",
Crayon Shin-chan,Shin Chan,7.79,2322,1003,84,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,Fridays at 19:30 (JST),TV Asahi,Funimation,Shin-Ei Animation,Manga,"Comedy, Ecchi",School,21 min.,G - All Ages,"1,265",Seinen
Digimon Adventure: Bokura no War Game!,Digimon: The Movie,7.79,2416,1004,79,Movie,1,Finished Airing,"Mar 4, 2000",,,"None found, add some","Discotek Media,       Saban Entertainment",Toei Animation,Original,"Adventure, Comedy, Sci-Fi",,41 min.,PG - Children,355,Kids
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Dragon Ball Z: The History of Trunks,7.79,1938,1005,112,TV Special,1,Finished Airing,"Feb 24, 1993",,,"None found, add some",Funimation,Toei Animation,Manga,"Adventure, Drama, Fantasy",,48 min.,PG-13 - Teens 13 or older,182,Shounen
Emiya-san Chi no Kyou no Gohan,Today's Menu for the Emiya Family,7.79,1708,1006,133,ONA,13,Finished Airing,"Jan 25, 2018 to Jan 1, 2019",,,"Aniplex,       Kadokawa",Aniplex of America,ufotable,Web manga,"Gourmet, Slice of Life",Iyashikei,13 min. per ep.,PG-13 - Teens 13 or older,745,
Go! Princess Precure,Go! Princess Pretty Cure,7.79,4984,1007,19,TV,50,Finished Airing,"Feb 1, 2015 to Jan 31, 2016",Winter 2015,Sundays at 08:30 (JST),"None found, add some","None found, add some",Toei Animation,Original,"Action, Comedy, Fantasy","Mahou Shoujo, School",24 min. per ep.,G - All Ages,335,
Gochuumon wa Usagi desu ka?? Dear My Sister,Is the order a rabbit?? Dear My Sister,7.79,3428,1008,42,Movie,1,Finished Airing,"Nov 11, 2017",,,Showgate,"None found, add some",production doA,4-koma manga,Slice of Life,"CGDCT, Iyashikei, Workplace",1 hr.,PG-13 - Teens 13 or older,131,
Igano Kabamaru,,7.79,6075,1009,11,TV,24,Finished Airing,"Oct 20, 1983 to Mar 29, 1984",Fall 1983,Thursdays at 19:00 (JST),TOHO,"None found, add some",Group TAC,Manga,"Action, Adventure, Comedy, Romance",School,23 min. per ep.,PG-13 - Teens 13 or older,139,Shoujo
Inu-Ou,Inu-Oh,7.79,4165,1010,28,Movie,1,Finished Airing,"May 28, 2022",,,"Asmik Ace,       Tohokushinsha Film Corporation",GKIDS,Science SARU,Novel,"Award Winning, Fantasy","Historical, Music, Performing Arts",1 hr. 37 min.,R - 17+ (violence & profanity),179,
Isekai Ojisan,Uncle from Another World,7.79,672,1011,354,TV,13,Finished Airing,"Jul 6, 2022 to Mar 8, 2023",Summer 2022,Wednesdays at 22:00 (JST),"Movic,       AT-X,       Sammy,       BS11,       Kadokawa Media House,       Kadokawa","None found, add some",AtelierPontdarc,Web manga,"Comedy, Fantasy","Adult Cast, Isekai, Otaku Culture, Parody",24 min. per ep.,PG-13 - Teens 13 or older,"2,014",
