Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Binbou Shimai Monogatari,,6.85,4675,4906,22,TV,10,Finished Airing,"Jun 30, 2006 to Sep 15, 2006",Summer 2006,Fridays at 02:40 (JST),TV Asahi,"None found, add some",Toei Animation,Manga,Slice of Life,Seinen,24 min. per ep.,G - All Ages,42,
Beyblade X,,6.85,10037,4905,3,TV,Unknown,Currently Airing,"Oct 6, 2023 to ?",Fall 2023,Fridays at 18:25 (JST),TV Tokyo,"None found, add some",OLM,Manga,"Adventure, Sports",Kids,24 min.,PG - Children,25,
Anhe Zhuan,Tales Of Dark River,6.85,13646,4904,992,ONA,12,Finished Airing,"Aug 2, 2023 to Oct 11, 2023",,,Youku,"None found, add some",Passion Paint Animation,Web novel,"Action, Adventure, Mystery",,19 min. per ep.,PG-13 - Teens 13 or older,5,"Historical, Martial Arts"
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",,6.85,4931,4902,19,OVA,1,Finished Airing,"Dec 26, 2009",,,"Lantis,       Pony Canyon,       Enterbrain,       Kadokawa Contents Gate,       T.O Entertainment","None found, add some",Production I.G,Light novel,"Comedy, Fantasy",,15 min.,PG-13 - Teens 13 or older,12,School
Zone of the Enders: 2167 Idolo,Z.O.E. 2167 Idolo,6.85,6387,4901,10,OVA,1,Finished Airing,"Feb 21, 2001",,,AT-X,ADV Films,Sunrise,Game,"Action, Drama, Romance, Sci-Fi",,55 min.,PG-13 - Teens 13 or older,12,"Mecha, Military, Space"
3D Kanojo: Real Girl,Real Girl,6.85,690,4903,343,TV,12,Finished Airing,"Apr 4, 2018 to Jun 20, 2018",Spring 2018,Wednesdays at 01:59 (JST),"VAP,       Nippon Television Network,       DeNA",Sentai Filmworks,Hoods Entertainment,Manga,Romance,Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,"1,610","Otaku Culture, School"
City Hunter Movie: Tenshi no Namida,City Hunter The Movie: Angel Dust,6.85,8612,4907,4,Movie,1,Finished Airing,"Sep 8, 2023",,,"Aniplex,       Audio Planning U","None found, add some","Sunrise,       The Answer Studio",Manga,"Action, Mystery",Shounen,1 hr. 33 min.,PG-13 - Teens 13 or older,11,Adult Cast
Dog Days,,6.85,1278,4909,188,TV,13,Finished Airing,"Apr 2, 2011 to Jun 25, 2011",Spring 2011,Unknown,"Aniplex,       Good Smile Company","None found, add some",Seven Arcs,Original,"Action, Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,564,Isekai
Delicious Party♡Precure,Delicious Party Pretty Cure,6.85,6359,4908,10,TV,45,Finished Airing,"Feb 6, 2022 to Jan 29, 2023",Winter 2022,Sundays at 08:30 (JST),"TV Asahi,       Asatsu DK,       Asahi Broadcasting,       ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,"Action, Fantasy",,24 min. per ep.,G - All Ages,112,Mahou Shoujo
Ganbare! Kickers,Fight! Kickers,6.85,6442,4912,10,TV,23,Finished Airing,"Oct 15, 1986 to Mar 25, 1987",Fall 1986,Unknown,Nippon Television Network,"None found, add some",Pierrot,Manga,Sports,Kids,23 min. per ep.,G - All Ages,38,Team Sports
Futakoi Alternative,,6.85,3974,4910,32,TV,13,Finished Airing,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,Thursdays at 03:10 (JST),Lantis,Discotek Media,"ufotable,       feel.,       Studio Flag",Original,"Comedy, Drama, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,83,
Galaxy Angel S,,6.85,10504,4911,2,OVA,1,Finished Airing,"Apr 23, 2004",,,Bandai Visual,"Nozomi Entertainment,       Bandai Entertainment",Madhouse,Unknown,"Comedy, Sci-Fi",,24 min.,PG-13 - Teens 13 or older,2,
Genji Monogatari Sennenki,Millennium Old Journal: Tale of Genji,6.85,5472,4913,14,TV,11,Finished Airing,"Jan 16, 2009 to Mar 27, 2009",Winter 2009,Fridays at 00:45 (JST),"Dentsu,       Fuji TV,       Asmik Ace,       Sony Music Entertainment","None found, add some","TMS Entertainment,       Tezuka Productions",Novel,"Drama, Romance",,22 min. per ep.,PG-13 - Teens 13 or older,19,Historical
Gokukoku no Brynhildr,Brynhildr in the Darkness,6.85,700,4914,339,TV,13,Finished Airing,"Apr 6, 2014 to Jun 29, 2014",Spring 2014,Sundays at 22:00 (JST),VAP,Sentai Filmworks,Arms,Manga,"Drama, Mystery, Sci-Fi",Seinen,23 min. per ep.,R+ - Mild Nudity,"1,153","Gore, Harem, Super Power"
Huyao Xiao Hongniang: Mu Tiancheng,,6.85,11093,4916,2,ONA,12,Finished Airing,"Dec 11, 2020 to Feb 19, 2021",,,"None found, add some","None found, add some","Haoliners Animation League,       Garden Culture",Web manga,"Comedy, Drama, Romance, Supernatural",,19 min. per ep.,R - 17+ (violence & profanity),1,Historical
Grimm Kumikyoku,The Grimm Variations,6.85,4539,4915,23,ONA,6,Finished Airing,"Apr 17, 2024",,,"dugout,       Netflix","None found, add some",Wit Studio,Original,"Fantasy, Horror, Sci-Fi, Suspense",,40 min. per ep.,R - 17+ (violence & profanity),81,
Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,,6.84,7259,4918,7,Special,1,Finished Airing,"Jul 7, 2021",,,"Delfi Sound,       Yokohama Animation Lab","None found, add some",Yostar Pictures,4-koma manga,Comedy,,6 min.,PG-13 - Teens 13 or older,19,"Anthropomorphic, CGDCT, Military"
IS: Infinite Stratos 2 - World Purge-hen,,6.85,2359,4917,82,OVA,1,Finished Airing,"Nov 26, 2014",,,Overlap,Sentai Filmworks,8bit,Light novel,"Action, Comedy, Romance, Sci-Fi, Ecchi",,44 min.,R+ - Mild Nudity,59,"Harem, School"
B-gata H-kei,Yamada's First Time: B Gata H Kei,6.84,595,4919,392,TV,12,Finished Airing,"Apr 2, 2010 to Jun 18, 2010",Spring 2010,Fridays at 01:00 (JST),"Dentsu,       AT-X,       DAX Production,       TYO Animations,       Happinet Pictures,       BIGLOBE,       Shueisha,       AG-ONE,       RAY",Funimation,HAL Film Maker,4-koma manga,"Comedy, Romance, Ecchi",Seinen,24 min. per ep.,R+ - Mild Nudity,"1,571",School
Captain Tsubasa: Europe Daikessen,,6.84,7699,4921,6,Movie,1,Finished Airing,"Jul 13, 1985",,,TV Tokyo,"None found, add some",Tsuchida Productions,Manga,Sports,Shounen,42 min.,G - All Ages,2,Team Sports
Bakusou Kyoudai Let's & Go,,6.84,6013,4920,11,TV,51,Finished Airing,"Jan 8, 1996 to Dec 23, 1996",Winter 1996,Mondays at 18:00 (JST),"TV Tokyo,       Shogakukan-Shueisha Productions,       Yomiko Advertising","None found, add some",Xebec,Manga,Adventure,Kids,25 min. per ep.,G - All Ages,60,Racing
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,Modest Heroes,6.84,4231,4922,27,Movie,3,Finished Airing,"Aug 24, 2018",,,"Dentsu,       TOHO,       Nippon Television Network",GKIDS,Studio Ponoc,Original,"Action, Adventure, Award Winning, Drama, Fantasy",,17 min. per ep.,G - All Ages,36,
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,,6.84,8935,4924,4,Movie,1,Finished Airing,"Apr 18, 2009",,,"TV Asahi,       Futabasha","None found, add some",Shin-Ei Animation,Manga,"Comedy, Sci-Fi",Seinen,1 hr. 36 min.,G - All Ages,5,
Cobra The Animation: The Psycho-Gun,,6.84,7841,4923,6,OVA,4,Finished Airing,"Aug 29, 2008 to Feb 27, 2009",,,"None found, add some",Sentai Filmworks,Magic Bus,Manga,"Action, Adventure, Sci-Fi",Shounen,29 min. per ep.,PG-13 - Teens 13 or older,9,"Adult Cast, Mecha, Space"
Daitoshokan no Hitsujikai,A Good Librarian Like a Good Shepherd,6.84,1651,4925,138,TV,12,Finished Airing,"Oct 9, 2014 to Dec 25, 2014",Fall 2014,Thursdays at 00:30 (JST),"Brave Hearts,       DMM.com Labo,       TIS",Funimation,Hoods Entertainment,Visual novel,Romance,,23 min. per ep.,PG-13 - Teens 13 or older,239,"Harem, School"
Dragon Quest: Yuusha Abel Densetsu,Dragon Warrior,6.84,7332,4927,7,TV,43,Finished Airing,"Dec 2, 1989 to Apr 5, 1991",Winter 1990,Unknown,Nihon Ad Systems,Saban Entertainment,"Pierrot,       Studio Comet",Game,"Action, Adventure, Fantasy",Shounen,24 min. per ep.,G - All Ages,28,
Dragon Half,,6.84,4674,4926,22,OVA,2,Finished Airing,"Mar 26, 1993 to May 28, 1993",,,"Kadokawa Shoten,       Victor Entertainment","ADV Films,       Discotek Media",Production I.G,Manga,"Comedy, Fantasy",,27 min. per ep.,R+ - Mild Nudity,97,Parody
Dream Festival! R,,6.84,8297,4928,5,ONA,12,Finished Airing,"Aug 23, 2017 to Nov 8, 2017",,,"None found, add some","None found, add some",Bandai Namco Pictures,Original,,,23 min. per ep.,PG-13 - Teens 13 or older,19,"Idols (Male), Music"
Dual! Parallel Runrun Monogatari Special,,6.84,8130,4929,5,Special,1,Finished Airing,"Dec 22, 1999",,,"None found, add some",Geneon Entertainment USA,AIC,Original,"Comedy, Drama, Romance, Sci-Fi",,29 min.,PG-13 - Teens 13 or older,8,"Harem, Isekai, Mecha"
Fei Ren Zai 1st Season Part 4,,6.84,14097,4930,871,ONA,12,Finished Airing,"Feb 3, 2021 to Apr 14, 2021",,,Tencent Penguin Pictures,"None found, add some",Fenz,Manga,"Comedy, Supernatural",,5 min. per ep.,PG-13 - Teens 13 or older,2,Mythology
Gekitou! Crush Gear Turbo,,6.84,7281,4931,7,TV,68,Finished Airing,"Oct 7, 2001 to Jan 26, 2003",Fall 2001,Unknown,Bandai Visual,"None found, add some",Sunrise,Original,Sports,,25 min. per ep.,G - All Ages,43,
Hanebado!,,6.84,1493,4932,157,TV,13,Finished Airing,"Jul 2, 2018 to Oct 1, 2018",Summer 2018,Mondays at 00:00 (JST),"Kodansha,       AT-X,       Ultra Super Pictures,       TOHO animation,       Q-Tec,       Sammy,       BS11,       Contents Seed,       Toho Music,       MediaLink Entertainment Limited",Funimation,LIDENFILMS,Manga,Sports,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,356,School
Hibike! Euphonium: Suisougaku-bu no Nichijou,Sound! Euphonium Specials,6.84,3791,4933,35,Special,7,Finished Airing,"Jun 17, 2015 to Dec 16, 2015",,,"None found, add some","None found, add some",Kyoto Animation,Original,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,25,"Music, Performing Arts, School"
IDOLiSH7 Special Program: Kimi to Furikaeranai to!,,6.84,9886,4934,3,TV Special,1,Finished Airing,"Apr 1, 2018",,,"None found, add some","None found, add some",TROYCA,Game,Drama,,23 min.,PG-13 - Teens 13 or older,15,"Idols (Male), Music"
Ikkyuu-san,Ikkyu the Little Monk,6.84,10265,4935,2,TV,296,Finished Airing,"Oct 15, 1975 to Jun 28, 1982",Fall 1975,Unknown,TV Asahi,"None found, add some",Toei Animation,Unknown,Comedy,Kids,24 min. per ep.,G - All Ages,4,Historical
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,How Not to Summon a Demon Lord,6.84,277,4936,728,TV,12,Finished Airing,"Jul 5, 2018 to Sep 20, 2018",Summer 2018,Thursdays at 21:30 (JST),"Sotsu,       Kodansha,       Half H.P Studio,       AT-X,       KlockWorx,       DIVE II Entertainment,       81 Produce,       Tokyo MX,       Avex Pictures,       Q-Tec,       Animatic,       S-Wood",Funimation,Ajia-do,Light novel,"Action, Fantasy, Ecchi",,23 min. per ep.,PG-13 - Teens 13 or older,"2,516","Harem, Isekai"
Kanamemo,,6.84,3544,4937,40,TV,13,Finished Airing,"Jul 6, 2009 to Sep 28, 2009",Summer 2009,Mondays at 01:30 (JST),"Starchild Records,       TV Tokyo Music,       Houbunsha",Maiden Japan,feel.,4-koma manga,"Comedy, Girls Love, Slice of Life, Ecchi",,24 min. per ep.,PG-13 - Teens 13 or older,75,CGDCT
Kouya no Kotobuki Hikoutai,The Magnificent Kotobuki,6.84,3831,4940,34,TV,12,Finished Airing,"Jan 13, 2019 to Mar 31, 2019",Winter 2019,Sundays at 22:30 (JST),"Digital Frontier,       Bandai Namco Entertainment,       Bandai Namco Arts,       Bandai Spirits",Sentai Filmworks,"WAO World,       GEMBA",Original,"Action, Adventure",,24 min. per ep.,PG-13 - Teens 13 or older,95,Military
Koneko no Chi: Ponponra Daibouken,Chi's Sweet Adventure,6.84,7296,4939,7,TV,51,Finished Airing,"Oct 2, 2016 to Sep 24, 2017",Fall 2016,Sundays at 07:00 (JST),Half H.P Studio,"None found, add some",Marza Animation Planet,Manga,Slice of Life,,12 min. per ep.,G - All Ages,22,Pets
Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,,6.84,9508,4938,3,Movie,1,Finished Airing,"Oct 28, 2017",,,"None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy, Slice of Life",,1 hr. 10 min.,G - All Ages,4,Mahou Shoujo
Mato Seihei no Slave,Chained Soldier,6.84,1353,4941,177,TV,12,Finished Airing,"Jan 4, 2024 to Mar 21, 2024",Winter 2024,Thursdays at 23:00 (JST),"Pony Canyon,       AT-X,       MAGNET,       Yostar",Sentai Filmworks,Seven Arcs,Manga,"Action, Fantasy, Ecchi",Shounen,23 min. per ep.,R+ - Mild Nudity,"1,426",Harem
Overlord Movie: Ple Ple Pleiades,,6.84,4694,4943,22,Movie,2,Finished Airing,"Feb 25, 2017 to Mar 11, 2017",,,"None found, add some","None found, add some",Studio PuYUKAI,Light novel,"Action, Comedy, Fantasy",,13 min. per ep.,PG-13 - Teens 13 or older,16,
Montana Jones,,6.84,11250,4942,2,TV,52,Finished Airing,"Apr 2, 1994 to Apr 8, 1995",Spring 1994,Saturdays at 18:10 (JST),NHK,"None found, add some",Studio Junio,Original,"Adventure, Comedy, Mystery",,23 min. per ep.,G - All Ages,5,Historical
Pretty Rhythm: Aurora Dream - Prism Shougekijou,,6.84,9873,4945,3,Special,51,Finished Airing,"Jul 22, 2011 to Jun 22, 2012",,,"None found, add some","None found, add some",Tatsunoko Production,Game,Comedy,,2 min. per ep.,PG - Children,8,Idols (Female)
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Pokémon 4D: Pikachu's Ocean Adventure,6.84,6344,4944,10,Movie,1,Finished Airing,"May 20, 2006",,,"None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Comedy, Fantasy",Kids,14 min.,PG - Children,11,
Sakura Taisen,Sakura Wars TV,6.84,4273,4946,27,TV,25,Finished Airing,"Apr 8, 2000 to Sep 23, 2000",Spring 2000,Saturdays at 17:30 (JST),"Mainichi Broadcasting System,       TBS,       Sega,       Avex Pictures,       Imagine","ADV Films,       Sentai Filmworks",Madhouse,Game,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,62,"Mecha, Performing Arts"
Sasaki to Pii-chan,Sasaki and Peeps,6.84,2308,4947,85,TV,12,Finished Airing,"Jan 5, 2024 to Mar 22, 2024",Winter 2024,Fridays at 21:00 (JST),"AT-X,       Nippon Columbia,       Sammy,       Crunchyroll,       Kadokawa,       Bit grooove promotion,       GREE Entertainment","None found, add some",SILVER LINK.,Light novel,"Adventure, Comedy, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,186,Isekai
Shirobako Specials,,6.84,4277,4948,27,Special,2,Finished Airing,"Feb 25, 2015 to Jul 29, 2015",,,Warner Bros. Japan,"None found, add some",P.A. Works,Original,"Adventure, Comedy",,25 min. per ep.,PG-13 - Teens 13 or older,14,Otaku Culture
Sword Art Online Movie: Ordinal Scale - Sword Art Offline,Sword Art Offline: Ordinal Scale,6.84,4216,4949,28,Special,1,Finished Airing,"Sep 27, 2017",,,"None found, add some","None found, add some",I was a Ballerina,Light novel,Comedy,,14 min.,PG-13 - Teens 13 or older,65,
Toku: Touken Ranbu - Hanamaru - Setsugetsuka,,6.84,8657,4950,4,Movie,3,Finished Airing,"May 20, 2022 to Sep 1, 2022",,,"None found, add some","None found, add some",Doga Kobo,Game,"Action, Comedy, Drama, Fantasy, Slice of Life",,1 hr. 12 min. per ep.,PG-13 - Teens 13 or older,32,Historical
Senkou no Night Raid Specials,Night Raid 1931 Specials,6.83,8187,5001,5,Special,3,Finished Airing,"Jun 23, 2010 to Dec 22, 2010",,,Aniplex,Sentai Filmworks,A-1 Pictures,Original,Action,,23 min. per ep.,R - 17+ (violence & profanity),4,"Historical, Military, Super Power"
Juushin Enbu: Hero Tales,Hero Tales,6.82,4240,5002,27,TV,26,Finished Airing,"Oct 8, 2007 to Mar 31, 2008",Fall 2007,Mondays at 02:00 (JST),"Square Enix,       Genco,       Tohokushinsha Film Corporation",Funimation,Studio Flag,Manga,"Action, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,36,"Martial Arts, Super Power"
Kawaisugi Crisis,Too Cute Crisis,6.82,3515,5004,41,TV,12,Finished Airing,"Apr 7, 2023 to Jun 23, 2023",Spring 2023,Fridays at 22:30 (JST),"Sotsu,       Pony Canyon,       Shueisha,       Kansai Telecasting,       Bit grooove promotion,       BS Asahi,       CHOCOLATE",Sentai Filmworks,SynergySP,Manga,"Comedy, Sci-Fi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,137,Pets
Kantai Collection: KanColle,KanColle: Kantai Collection,6.82,1114,5003,219,TV,12,Finished Airing,"Jan 8, 2015 to Mar 26, 2015",Winter 2015,Thursdays at 01:05 (JST),"Movic,       KlockWorx,       flying DOG,       DMM.com,       Kadokawa Media House,       Kadokawa","Funimation,       Crunchyroll",Diomedéa,Game,"Action, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,"1,334","Anthropomorphic, Military, School"
Kimi no Iru Machi,A Town Where You Live,6.82,1525,5005,152,TV,12,Finished Airing,"Jul 13, 2013 to Sep 28, 2013",Summer 2013,Saturdays at 23:30 (JST),"TV Tokyo,       ZERO-A",Nozomi Entertainment,Gonzo,Manga,"Drama, Romance",Shounen,20 min. per ep.,R+ - Mild Nudity,588,Love Polygon
Kingdom Hearts χ Back Cover,,6.82,8603,5006,4,OVA,1,Finished Airing,"Jan 12, 2017",,,Square Enix,"None found, add some","None found, add some",Game,"Action, Fantasy, Mystery",,1 hr. 2 min.,PG-13 - Teens 13 or older,23,
Kurokami: Tora to Tsubasa,,6.82,6695,5007,9,Special,1,Finished Airing,"Dec 22, 2009",,,"None found, add some","Bandai Entertainment,       NYAV Post",Sunrise,Manga,"Action, Fantasy",Seinen,23 min.,R - 17+ (violence & profanity),4,"Martial Arts, Super Power"
One Piece: Densetsu no Log! Akagami no Shanks!,One Piece: The Captain's Log of the Legend! Red-Haired Shanks!,6.82,7370,5009,7,TV Special,1,Finished Airing,"Aug 28, 2022",,,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,2,
Qin Shi Mingyue: Junlin Tianxia,Qin's Moon: The Emperor Under Heaven,6.82,13005,5011,1,ONA,75,Finished Airing,"Dec 25, 2014 to Nov 30, 2017",,,"None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy",,26 min. per ep.,PG-13 - Teens 13 or older,2,"Historical, Martial Arts"
Ookami Shoujo to Kuro Ouji Recap,,6.82,5150,5010,17,TV Special,1,Finished Airing,"Dec 28, 2014",,,VAP,"None found, add some",TYO Animations,Manga,"Comedy, Romance",Shoujo,23 min.,PG-13 - Teens 13 or older,28,School
Mugen no Juunin,Blade of the Immortal,6.82,2629,5008,69,TV,13,Finished Airing,"Jul 14, 2008 to Dec 29, 2008",Summer 2008,Mondays at 00:00 (JST),"Production I.G,       Kodansha",Media Blasters,Bee Train,Manga,"Action, Adventure, Drama, Supernatural",Seinen,24 min. per ep.,R - 17+ (violence & profanity),151,"Gore, Historical, Martial Arts, Samurai"
Queen Emeraldas,,6.82,7027,5012,8,OVA,4,Finished Airing,"Jun 5, 1998 to Dec 18, 1999",,,"Bandai Visual,       Four Some,       Dynamic Planning,       Multi Access Company",ADV Films,OLM,Manga,"Action, Adventure, Sci-Fi",Shounen,36 min. per ep.,PG-13 - Teens 13 or older,13,Space
Sakura Taisen: Gouka Kenran,Sakura Wars 2: Return of the Spirit Warriors,6.82,8325,5013,5,OVA,6,Finished Airing,"Dec 18, 1999 to Dec 21, 2000",,,"Bandai Visual,       animate Film,       d-rights,       Sega,       animate,       Imagine",ADV Films,Radix,Game,"Adventure, Sci-Fi, Slice of Life",,31 min. per ep.,PG-13 - Teens 13 or older,9,"Mecha, Performing Arts"
Shaonian Ge Xing: Feng Hua Xue Yue Pian Special,,6.82,15849,5014,539,ONA,1,Finished Airing,"Jun 14, 2022",,,"bilibili,       Youku","None found, add some",CG Year,Novel,"Action, Adventure, Mystery",,23 min.,PG-13 - Teens 13 or older,1,"Historical, Martial Arts"
Shaonu Qianxian: Renxing Xiao Juchang 2,Girls' Frontline 2,6.82,11200,5015,2,ONA,12,Finished Airing,"Oct 7, 2020 to Dec 16, 2020",,,"None found, add some","None found, add some",Big Firebird Culture,Game,"Comedy, Sci-Fi",,5 min. per ep.,PG-13 - Teens 13 or older,15,"Anthropomorphic, Military"
Shen Wu Tianzun,The Legend of Sky Lord,6.82,14601,5016,745,ONA,Unknown,Currently Airing,"Oct 5, 2020 to ?",,,iQIYI,"None found, add some","None found, add some",Manga,"Action, Fantasy",,10 min.,PG-13 - Teens 13 or older,5,
Shutsugeki! Machine Robo Rescue,,6.82,10735,5018,2,TV,53,Finished Airing,"Jan 8, 2003 to Jan 3, 2004",Winter 2003,Wednesdays at 18:00 (JST),"TV Tokyo,       Bandai Visual,       Lantis","None found, add some",Sunrise,Unknown,"Action, Sci-Fi",,23 min. per ep.,PG - Children,11,Mecha
Shi Fang Wu Sheng,The Invincible,6.82,15461,5017,589,ONA,16,Finished Airing,"Nov 10, 2023 to Feb 16, 2024",,,bilibili,"None found, add some","None found, add some",Web novel,"Action, Adventure, Fantasy",,18 min. per ep.,PG-13 - Teens 13 or older,2,"Historical, Martial Arts"
Sword Art Online: Alicization - Recollection,,6.82,3328,5019,44,TV Special,1,Finished Airing,"Feb 17, 2019",,,Egg Firm,Aniplex of America,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",,24 min.,PG-13 - Teens 13 or older,65,Video Game
To Heart 2 AD,,6.82,7350,5020,7,OVA,2,Finished Airing,"Mar 26, 2008 to Aug 8, 2008",,,"None found, add some","None found, add some",Chaos Project,Visual novel,"Comedy, Romance, Ecchi",,28 min. per ep.,PG-13 - Teens 13 or older,5,
Toaru Majutsu no Index III,A Certain Magical Index III,6.82,968,5021,253,TV,26,Finished Airing,"Oct 5, 2018 to Apr 5, 2019",Fall 2018,Fridays at 22:00 (JST),"Square Enix,       Movic,       AT-X,       Warner Bros. Japan,       NBCUniversal Entertainment Japan,       Kadokawa",Funimation,J.C.Staff,Light novel,"Action, Fantasy, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,823,Super Power
