Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,6.69,11128,5703,2,TV,9,Finished Airing,"Apr 5, 2022 to May 31, 2022",Spring 2022,Unknown,"None found, add some","None found, add some",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Space",25 min. per ep.,R - 17+ (violence & profanity),12,
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai,,6.69,6756,5705,8,Special,1,Finished Airing,"Dec 26, 2019",,,"None found, add some","None found, add some",feel.,Visual novel,"Drama, Sci-Fi",Time Travel,13 min.,R+ - Mild Nudity,5,
Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,,6.69,6950,5701,8,OVA,1,Finished Airing,"Mar 28, 2013",,,"Bandai Visual,       Lantis","None found, add some",Studio Deen,Visual novel,"Comedy, Fantasy",Reverse Harem,11 min.,PG-13 - Teens 13 or older,11,Josei
Kodomo no Jikan (TV),,6.69,1929,5704,112,TV,12,Finished Airing,"Oct 12, 2007 to Dec 28, 2007",Fall 2007,Unknown,"Bandai Visual,       Lantis,       Movic,       Dream Force,       Futabasha","None found, add some",Diomedéa,Manga,"Comedy, Drama, Ecchi",School,24 min. per ep.,R - 17+ (violence & profanity),554,
Kanon Kazahana,,6.69,5620,5702,14,Special,1,Finished Airing,"May 3, 2003",,,"None found, add some","None found, add some",Toei Animation,Visual novel,"Drama, Romance, Supernatural",,20 min.,G - All Ages,3,
Mach GoGoGo,Speed Racer,6.69,5314,5706,16,TV,52,Finished Airing,"Apr 2, 1967 to Mar 31, 1968",Spring 1967,Unknown,Fuji TV,"Funimation,       Shout! Factory",Tatsunoko Production,Manga,Adventure,Racing,25 min. per ep.,PG-13 - Teens 13 or older,129,Shounen
Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers,6.69,4232,5707,27,TV,12,Finished Airing,"Jan 10, 2003 to Mar 28, 2003",Winter 2003,Unknown,"Rondo Robe,       Pioneer LDC,       Daiei,       TV Asahi Music","Sentai Filmworks,       Geneon Entertainment USA",J.C.Staff,Manga,Slice of Life,Iyashikei,24 min. per ep.,PG-13 - Teens 13 or older,32,Shounen
Namiuchigiwa no Muromi-san: Pangea Chou Tairiku no Muromi-san,,6.69,6823,5710,8,OVA,1,Finished Airing,"Aug 16, 2013",,,"None found, add some","None found, add some",Tatsunoko Production,Manga,"Comedy, Fantasy, Slice of Life",,27 min.,PG-13 - Teens 13 or older,5,Shounen
Meme Iroiro Yume no Tabi,The Many Dream Journeys of Meme,6.69,12784,5708,1,TV,127,Finished Airing,"Apr 3, 1983 to Sep 29, 1985",Spring 1983,Unknown,TBS,"None found, add some",Nippon Animation,Unknown,"Adventure, Sci-Fi",Educational,25 min. per ep.,PG - Children,3,Kids
Monster Strike the Movie: Lucifer - Zetsubou no Yoake,,6.69,9592,5709,3,Movie,1,Finished Airing,"Nov 6, 2020",,,XFLAG,"None found, add some","Anima,       Dynamo Pictures",Game,"Action, Fantasy",Video Game,2 hr. 7 min.,PG-13 - Teens 13 or older,7,
Netoge no Yome wa Onnanoko ja Nai to Omotta?,And you thought there is never a girl online?,6.69,408,5711,547,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",Spring 2016,Thursdays at 23:00 (JST),"Sotsu,       AT-X,       Barnum Studio,       DAX Production,       ASCII Media Works,       NBCUniversal Entertainment Japan,       i0+,       Medicos Entertainment,       Radio Osaka",Funimation,Project No.9,Light novel,"Comedy, Romance, Ecchi","School, Video Game",24 min. per ep.,PG-13 - Teens 13 or older,"1,241",
Nurarihyon no Mago: Sennen Makyou Recaps,Nura: Rise of the Yokai Clan - Demon Capital,6.69,5911,5712,12,TV Special,2,Finished Airing,"Sep 25, 2011 to Dec 25, 2011",,,"None found, add some",VIZ Media,Studio Deen,Manga,"Action, Supernatural",Mythology,23 min. per ep.,PG-13 - Teens 13 or older,13,Shounen
Redline Pilot,,6.69,6221,5715,10,Special,1,Finished Airing,"Jan 12, 2009",,,Tohokushinsha Film Corporation,Anchor Bay Films,Madhouse,Original,,Racing,5 min.,PG-13 - Teens 13 or older,6,
Pretty All Friends Selection,,6.69,11283,5714,2,TV,16,Finished Airing,"Jun 6, 2021 to Sep 19, 2021",Summer 2021,Unknown,"None found, add some","None found, add some","None found, add some",Game,"Comedy, Slice of Life","Idols (Female), Music",24 min. per ep.,PG - Children,18,
