Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Wo Shi Da Shenxian 2nd Season,Da Shen Xian,6.90,12824,4653,1,ONA,16,Finished Airing,"Feb 25, 2021 to Jun 10, 2021",Tencent Animation & Comics,"None found, add some",CG Year,Web manga,"Action, Fantasy",Martial Arts,20 min. per ep.,PG-13 - Teens 13 or older,4,,,
Wuxian Shijie,The Infinitors,6.90,12991,4654,1,ONA,16,Finished Airing,"Nov 25, 2022 to Mar 17, 2023",bilibili,"None found, add some",Wonder Cat Animation,Novel,"Action, Fantasy, Supernatural",,18 min. per ep.,PG-13 - Teens 13 or older,4,,,
Youjo Senki Movie: Manner Eizou,Saga of Tanya the Evil: The Movie - Manner Movie,6.90,4838,4656,20,Movie,1,Finished Airing,"Feb 8, 2019","None found, add some","None found, add some",Studio PuYUKAI,Light novel,Comedy,"Isekai, Military, Reincarnation",2 min.,G - All Ages,18,,,
Yingxiong Zai Lin,Hero Return,6.90,3414,4655,43,ONA,12,Finished Airing,"Oct 18, 2020 to Dec 27, 2020",Tencent Penguin Pictures,"None found, add some",Big Firebird Culture,Novel,"Action, Sci-Fi",,16 min. per ep.,R - 17+ (violence & profanity),183,,,
Wakaba*Girl: Onsen Tsukaritai,Wakaba Girl Special,6.90,6654,4651,9,Special,1,Finished Airing,"Oct 23, 2015",NBCUniversal Entertainment Japan,Sentai Filmworks,Nexus,4-koma manga,Slice of Life,CGDCT,8 min.,PG-13 - Teens 13 or older,1,,,
Wan Jie Shen Zhu,,6.90,9707,4652,3,ONA,60,Finished Airing,"Feb 6, 2019 to Aug 31, 2019","None found, add some","None found, add some",Ruo Hong Culture,Manga,"Adventure, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,16,,,
Yumekui Merry,Dream Eater Merry,6.90,1654,4657,137,TV,13,Finished Airing,"Jan 7, 2011 to Apr 8, 2011","Pony Canyon,       TBS,       Magic Capsule,       Houbunsha,       RAY",Sentai Filmworks,J.C.Staff,Manga,"Action, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,287,Winter 2011,Fridays at Unknown,
Shinigami no Ballad.,"Momo, Girl God of Death",6.89,3228,4659,47,TV,6,Finished Airing,"Mar 3, 2006 to Apr 7, 2006",Pony Canyon,Maiden Japan,"Group TAC,       Ginga Ya",Light novel,"Drama, Fantasy, Supernatural",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,91,Spring 2006,Fridays at 00:30 (JST),
Super Fishing Grander Musashi,,6.89,8334,4662,5,TV,25,Finished Airing,"Apr 2, 1997 to Sep 24, 1997","None found, add some","None found, add some",Nippon Animation,Manga,"Adventure, Sports",,25 min. per ep.,PG-13 - Teens 13 or older,13,Spring 1997,Unknown,Kids
Strike the Blood Final,,6.89,3691,4661,37,OVA,4,Finished Airing,"Mar 30, 2022 to Jul 29, 2022","Movic,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       Hakuhodo DY Music & Pictures,       Kadokawa","None found, add some",Connect,Light novel,"Action, Fantasy, Ecchi","Harem, Vampire",26 min. per ep.,R+ - Mild Nudity,160,,,
Shika no Ou: Yuna to Yakusoku no Tabi,The Deer King,6.89,4169,4658,28,Movie,1,Finished Airing,"Feb 4, 2022","Yomiuri Telecasting,       TOHO,       Nippon Television Network,       JR East Marketing & Communications,       Kadokawa,       Movie Walker",GKIDS,Production I.G,Novel,"Action, Adventure, Fantasy",,1 hr. 53 min.,R - 17+ (violence & profanity),41,,,
Sonic★the★Hedgehog,Sonic the Hedgehog: The Movie,6.89,4900,4660,20,OVA,2,Finished Airing,"Jan 26, 1996",Sega,ADV Films,Pierrot,Game,"Adventure, Comedy, Sci-Fi",Anthropomorphic,30 min. per ep.,PG - Children,234,,,
Tribe Cool Crew,,6.89,8361,4663,5,TV,50,Finished Airing,"Sep 28, 2014 to Oct 4, 2015","Asatsu DK,       Bandai,       Bandai Namco Games,       Bandai Namco Entertainment,       Avex Pictures,       Nagoya Broadcasting Network",Sentai Filmworks,"Sunrise,       Bandai Namco Pictures",Original,Sports,"Music, Performing Arts, School",20 min. per ep.,PG - Children,33,Fall 2014,Sundays at 07:00 (JST),
Xiaoke de Huatu Xie Hua,Kay's Daily Doodles,6.89,10622,4664,2,ONA,12,Finished Airing,"Dec 1, 2023 to Jan 5, 2024","None found, add some","None found, add some","Gravity Well,       Windy Studio",Game,Slice of Life,,4 min. per ep.,G - All Ages,5,,,
Yu☆Gi☆Oh! Zexal Second,Yu-Gi-Oh! Zexal II,6.89,3494,4665,41,TV,73,Finished Airing,"Oct 7, 2012 to Mar 23, 2014","TV Tokyo,       Nihon Ad Systems,       Konami Cross Media NY","None found, add some",Gallop,Manga,"Action, Fantasy",Strategy Game,23 min. per ep.,PG-13 - Teens 13 or older,243,Fall 2012,Sundays at 17:30 (JST),Shounen
Arete Hime,Princess Arete,6.89,5615,4667,14,Movie,1,Finished Airing,"Jul 21, 2001","Dentsu,       Imagica,       Shogakukan,       Beyond C.,       Nichion","None found, add some",Studio 4°C,Novel,Fantasy,,1 hr. 44 min.,G - All Ages,56,,,
Yume ga Sameru made,Before You Wake Up,6.89,7440,4666,7,ONA,1,Finished Airing,"Jul 13, 2017","Aniplex,       I'm Enterprise,       MusicRay’n,       Straight Edge,       THINKR","None found, add some",Flat Studio,Original,Drama,,1 min.,PG-13 - Teens 13 or older,17,,,
Arslan Senki,The Heroic Legend of Arslan,6.89,4687,4668,22,OVA,6,Finished Airing,"Aug 17, 1991 to Sep 21, 1995","Aniplex,       Kadokawa Shoten,       Movic,       Sony Music Entertainment",Central Park Media,"animate Film,       Aubec",Novel,"Action, Adventure, Drama, Fantasy",Historical,38 min. per ep.,PG-13 - Teens 13 or older,86,,,
Asura Cryin',,6.89,2061,4669,102,TV,13,Finished Airing,"Apr 2, 2009 to Jun 25, 2009","TV Tokyo,       Starchild Records,       Raku High Student Council",Maiden Japan,Seven Arcs,Light novel,"Action, Fantasy, Sci-Fi","Harem, Mecha, School",24 min. per ep.,PG-13 - Teens 13 or older,174,Spring 2009,Thursdays at 08:00 (JST),
Buki yo Saraba,A Farewell to Arms,6.89,5794,4671,13,Movie,1,Finished Airing,"Jul 20, 2013","None found, add some",Sentai Filmworks,Sunrise,Manga,"Action, Drama, Sci-Fi",,25 min.,R - 17+ (violence & profanity),14,,,
Bomberman Jetters,,6.89,8591,4670,4,TV,52,Finished Airing,"Oct 2, 2002 to Sep 24, 2003","TV Tokyo,       Nihon Ad Systems","None found, add some",Studio Deen,Game,"Action, Adventure, Comedy, Sci-Fi",Space,23 min. per ep.,G - All Ages,55,Fall 2002,Wednesdays at 18:30 (JST),
Cat Shit One,,6.89,4070,4672,30,ONA,1,Finished Airing,"Jul 17, 2010",International Digital Artist,"None found, add some",Anima,Manga,"Action, Fantasy","Anthropomorphic, Military",21 min.,R - 17+ (violence & profanity),82,,,
Chibi☆Devi!,,6.89,4761,4673,21,TV,75,Finished Airing,"Oct 10, 2011 to Feb 17, 2014","Shogakukan-Shueisha Productions,       Half H.P Studio","None found, add some",SynergySP,Manga,"Slice of Life, Supernatural","Childcare, Mythology",5 min. per ep.,PG - Children,73,Fall 2011,Mondays at 18:20 (JST),Shoujo
Gintama on Theater 2D: Baragaki-hen,,6.89,10952,4674,2,Movie,1,Finished Airing,"Nov 10, 2023","None found, add some","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",1 hr. 17 min.,PG-13 - Teens 13 or older,5,,,Shounen
Gravitation: Lyrics of Love,,6.89,3904,4675,33,OVA,2,Finished Airing,"Jul 23, 1999 to Sep 22, 1999","Aniplex,       animate Film,       Movic",Nozomi Entertainment,Plum,Manga,"Boys Love, Comedy","Adult Cast, Music, Showbiz",26 min. per ep.,R - 17+ (violence & profanity),80,,,Shoujo
Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,Haikara-san: Here Comes Miss Modern Part 2,6.89,5518,4676,14,Movie,1,Finished Airing,"Oct 19, 2018","Kodansha,       Warner Bros. Japan,       KlockWorx,       Tokyo MX,       Asahi Shimbun","None found, add some",Nippon Animation,Manga,"Comedy, Romance",Historical,1 hr. 45 min.,PG-13 - Teens 13 or older,33,,,Shoujo
Hashire Melos (Movie),Run Melos!,6.89,7309,4678,7,Movie,1,Finished Airing,"Jun 25, 1992",Toei Video,"None found, add some",Visual 80,Novel,"Action, Adventure","Adult Cast, Historical",1 hr. 50 min.,PG-13 - Teens 13 or older,11,,,
Harmony,,6.89,2841,4677,60,Movie,1,Finished Airing,"Nov 13, 2015","Aniplex,       Dentsu,       Fuji TV,       TOHO,       Sony Music Entertainment,       Fujipacific Music,       Kyoraku Industrial Holdings,       Kansai Telecasting,       Beyond C.",Funimation,Studio 4°C,Novel,Sci-Fi,"Adult Cast, Psychological",1 hr. 59 min.,R+ - Mild Nudity,267,,,
Inazuma Eleven: Orion no Kokuin,,6.89,4157,4679,28,TV,49,Finished Airing,"Oct 5, 2018 to Sep 27, 2019","TV Tokyo,       Dentsu","None found, add some",OLM,Game,Sports,"Super Power, Team Sports",23 min. per ep.,G - All Ages,100,Fall 2018,Fridays at 17:55 (JST),
"Jashin-chan Dropkick ""Seikimatsu-hen""",Dropkick on My Devil!! Apocalypse Day,6.89,7221,4680,7,TV Special,1,Finished Airing,"Dec 27, 2023","None found, add some","None found, add some",Makaria,Web manga,"Comedy, Supernatural","CGDCT, Gag Humor, Mythology",23 min.,PG-13 - Teens 13 or older,19,,,
Kabukichou Sherlock,Case File nº221: Kabukicho,6.89,2346,4681,83,TV,24,Finished Airing,"Oct 12, 2019 to Mar 28, 2020","Mainichi Broadcasting System,       Movic,       Glovision,       DMM pictures,       Kadokawa",Funimation,Production I.G,Original,"Comedy, Drama, Mystery","Adult Cast, Detective",24 min. per ep.,R - 17+ (violence & profanity),200,Fall 2019,Saturdays at 01:55 (JST),
Kakkou no Iinazuke,A Couple of Cuckoos,6.89,873,4682,280,TV,24,Finished Airing,"Apr 24, 2022 to Oct 2, 2022","TV Asahi,       Kodansha,       Crunchyroll,       Kadokawa","None found, add some","SynergySP,       Shin-Ei Animation",Manga,"Comedy, Romance",Harem,23 min. per ep.,PG-13 - Teens 13 or older,"2,233",Spring 2022,Sundays at 01:30 (JST),Shounen
Kimi ga Nozomu Eien: Next Season,Rumbling Hearts OVA,6.89,4118,4684,29,OVA,4,Finished Airing,"Dec 21, 2007 to Dec 19, 2008",Age,"None found, add some",Brain's Base,Visual novel,"Drama, Romance",Love Polygon,29 min. per ep.,PG-13 - Teens 13 or older,31,,,
Kawa no Hikari,,6.89,11791,4683,1,TV Special,1,Finished Airing,"Jun 20, 2009",NHK,"None found, add some",Gallop,Unknown,"Adventure, Slice of Life","Anthropomorphic, Iyashikei",1 hr. 15 min.,G - All Ages,6,,,Kids
Kurogane no Linebarrels,Linebarrels of Iron,6.89,3408,4686,43,TV,24,Finished Airing,"Oct 3, 2008 to Mar 20, 2009","Akita Shoten,       Sotsu Music Publishing",Funimation,Gonzo,Manga,"Action, Sci-Fi",Mecha,23 min. per ep.,R - 17+ (violence & profanity),90,Fall 2008,Unknown,Seinen
Koisuru Tenshi Angelique: Kagayaki no Ashita,Loving Angel Angelique: Radiant Tomorrow,6.89,6090,4685,11,TV,12,Finished Airing,"Jan 6, 2007 to Mar 24, 2007","Kids Station,       Koei","None found, add some",Satelight,Visual novel,"Drama, Fantasy, Romance",Reverse Harem,24 min. per ep.,PG-13 - Teens 13 or older,26,Winter 2007,Unknown,Shoujo
Kyoukai no Kanata: Mini Gekijou,,6.89,3367,4687,44,Special,7,Finished Airing,"Jan 8, 2014 to Jul 2, 2014","Lantis,       Pony Canyon","None found, add some",Kyoto Animation,Original,"Slice of Life, Supernatural",,5 min. per ep.,PG-13 - Teens 13 or older,41,,,
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,Macross 7: The Galaxy is Calling Me,6.89,6439,4691,10,Movie,1,Finished Airing,"Sep 30, 1995","Mainichi Broadcasting System,       Studio Nue","None found, add some",Ashi Productions,Original,"Action, Adventure, Comedy, Drama, Sci-Fi","Mecha, Music",33 min.,PG-13 - Teens 13 or older,8,,,
Love Live! Sunshine!! Recap,,6.89,7318,4688,7,TV Special,1,Finished Airing,"Sep 30, 2017","None found, add some","None found, add some",Sunrise,Original,,"Idols (Female), Music",23 min.,PG-13 - Teens 13 or older,8,,,
Mahoromatic End Year Special,,6.89,7558,4692,6,TV Special,1,Finished Airing,"Dec 14, 2001","None found, add some","None found, add some","Gainax,       Shaft",Manga,"Comedy, Romance, Sci-Fi, Ecchi",Military,24 min.,R+ - Mild Nudity,2,,,Seinen
Lupin III: Prison of the Past,,6.89,8341,4689,5,TV Special,1,Finished Airing,"Nov 29, 2019",Nippon Television Network,Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,1 hr. 32 min.,PG-13 - Teens 13 or older,5,,,Seinen
Lupin III: Twilight Gemini no Himitsu,Lupin III: The Secret of Twilight Gemini,6.89,6977,4690,8,TV Special,1,Finished Airing,"Aug 2, 1996","VAP,       Tokyo Movie Shinsha,       Tohokushinsha Film Corporation","Funimation,       Discotek Media","None found, add some",Manga,"Action, Adventure, Comedy",Adult Cast,1 hr. 30 min.,R+ - Mild Nudity,5,,,Shounen
Mewkledreamy Mix!,,6.89,10685,4693,2,TV,50,Finished Airing,"Apr 11, 2021 to Mar 27, 2022",TV Tokyo,"None found, add some",J.C.Staff,Other,"Adventure, Fantasy",,24 min. per ep.,G - All Ages,14,Spring 2021,Sundays at 10:30 (JST),Kids
Mudazumo Naki Kaikaku: The Legend of Koizumi,,6.89,5651,4694,13,OVA,3,Finished Airing,"Feb 26, 2010",Studio Mausu,"None found, add some",TYO Animations,Manga,Comedy,"Parody, Strategy Game",8 min. per ep.,R - 17+ (violence & profanity),33,,,Seinen
New Dominion Tank Police,,6.89,5961,4696,12,OVA,6,Finished Airing,"Oct 20, 1993 to Oct 21, 1994",Sanctuary,Maiden Japan,J.C.Staff,Manga,"Comedy, Sci-Fi","Detective, Mecha",27 min. per ep.,PG-13 - Teens 13 or older,39,,,Shounen
Nerawareta Gakuen,Psychic School Wars,6.89,2175,4695,94,Movie,1,Finished Airing,"Oct 19, 2012","Aniplex,       Shochiku,       Sony Music Entertainment,       Bandai Namco Entertainment","Funimation,       NYAV Post",Sunrise,Novel,"Romance, Sci-Fi",School,1 hr. 46 min.,PG-13 - Teens 13 or older,197,,,
Noblesse,,6.89,835,4697,295,TV,13,Finished Airing,"Oct 8, 2020 to Dec 31, 2020","Glovision,       Crunchyroll,       Naver Webtoons","None found, add some",Production I.G,Web manga,"Action, Supernatural","School, Vampire",23 min. per ep.,R - 17+ (violence & profanity),"1,218",Fall 2020,Thursdays at 00:00 (JST),
Occultic;Nine,,6.89,1228,4699,195,TV,12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016","Aniplex,       MAGES.,       Hakuhodo DY Music & Pictures,       Lawson,       ABC Animation,       Contents Seed,       Christmas Holly,       C-one",Aniplex of America,A-1 Pictures,Light novel,"Mystery, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,467,Fall 2016,Sundays at 00:00 (JST),
Nurse Angel Ririka SOS,,6.89,8309,4698,5,TV,35,Finished Airing,"Jul 7, 1995 to Mar 29, 1996","TV Tokyo,       Nihon Ad Systems","None found, add some",Gallop,Manga,"Drama, Fantasy",,24 min. per ep.,PG - Children,24,Summer 1995,Fridays at 18:00 (JST),Shoujo
Persona 5 the Animation TV Specials,,6.89,3776,4700,35,TV Special,2,Finished Airing,"Dec 31, 2018 to Mar 23, 2019","None found, add some",Aniplex of America,CloverWorks,Game,"Action, Supernatural","School, Super Power",50 min. per ep.,R - 17+ (violence & profanity),40,,,
Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,Pokémon: Giratina and the Sky Warrior,6.89,2197,4701,93,Movie,1,Finished Airing,"Jul 19, 2008","Universal Studios,       Studio Jack",The Pokemon Company International,OLM,Game,"Action, Adventure, Fantasy",,1 hr. 36 min.,PG - Children,35,,,Kids
Precure All Stars GoGo Dream Live!,,6.89,8943,4703,4,Special,1,Finished Airing,"Nov 8, 2008","None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,5 min.,G - All Ages,7,,,
Quanzhi Gaoshou 3,The King's Avatar 3,6.89,3973,4705,32,ONA,18,Currently Airing,"May 31, 2024 to ?","Tencent Animation & Comics,       Tencent Penguin Pictures,       China Literature Limited,       Colored Pencil Animation Japan","None found, add some",Colored Pencil Animation,Web novel,Action,Video Game,Unknown,PG-13 - Teens 13 or older,224,,,
Pokemon Side Stories,Pokémon Chronicles,6.89,3929,4702,32,TV,16,Finished Airing,"Dec 3, 2002 to Sep 28, 2004","None found, add some",4Kids Entertainment,OLM,Game,"Adventure, Comedy, Fantasy",,20 min. per ep.,PG - Children,15,Winter 2003,Tuesdays at 19:00 (JST),Kids
Pygmalio,,6.89,11088,4704,2,TV,39,Finished Airing,"Nov 5, 1990 to Sep 16, 1991",TV Tokyo,"None found, add some",Nippon Animation,Manga,"Adventure, Fantasy",,24 min. per ep.,G - All Ages,8,Fall 1990,Mondays at 19:00 (JST),Shoujo
Rosario to Vampire Capu2,Rosario + Vampire Capu2,6.89,550,4706,421,TV,13,Finished Airing,"Oct 2, 2008 to Dec 25, 2008","GDH,       Yomiko Advertising,       Happinet Pictures,       Shueisha,       Sotsu Music Publishing",Funimation,Gonzo,Manga,"Comedy, Fantasy, Romance, Ecchi","Harem, School, Vampire",24 min. per ep.,PG-13 - Teens 13 or older,"1,129",Fall 2008,Thursdays at 02:25 (JST),Shounen
Samurai Deeper Kyou,Samurai Deeper Kyo,6.89,2930,4707,57,TV,26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002",Starchild Records,"Media Blasters,       NYAV Post",Studio Deen,Manga,"Adventure, Comedy, Supernatural","Historical, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,201,Summer 2002,Tuesdays at 01:55 (JST),Shounen
Kami nomi zo Shiru Sekai: Flag 0,The World God Only Knows: Flag 0,6.88,2721,4708,65,OVA,1,Finished Airing,"Sep 17, 2010","None found, add some",Sentai Filmworks,Manglobe,Manga,"Comedy, Supernatural",,1 min.,PG-13 - Teens 13 or older,57,,,Shounen
Keroro,,6.88,6504,4709,9,TV,23,Finished Airing,"Mar 22, 2014 to Sep 6, 2014","None found, add some","None found, add some",Sunrise,Manga,"Comedy, Sci-Fi",,3 min. per ep.,PG-13 - Teens 13 or older,26,Spring 2014,Unknown,Shounen
Koisuru Asteroid,Asteroid in Love,6.88,2253,4711,89,TV,12,Finished Airing,"Jan 3, 2020 to Mar 27, 2020","AT-X,       flying DOG,       Houbunsha,       Kadokawa Media House,       RAY,       Kadokawa,       GRANTdesign",Funimation,Doga Kobo,4-koma manga,Slice of Life,"CGDCT, School",23 min. per ep.,PG-13 - Teens 13 or older,318,Winter 2020,Fridays at 20:30 (JST),
Koe de Oshigoto! The Animation,Koe de Oshigoto!,6.88,2208,4710,92,OVA,2,Finished Airing,"Nov 17, 2010 to May 11, 2011",Pony Canyon,Media Blasters,Studio Gokumi,Manga,"Comedy, Ecchi","Otaku Culture, Showbiz",30 min. per ep.,R+ - Mild Nudity,126,,,Seinen
Koukou Tekken-den Tough,Shootfighter Tekken,6.88,8829,4712,4,OVA,3,Finished Airing,"Jan 31, 2002 to Apr 26, 2002","None found, add some",Central Park Media,AIC,Manga,Action,Martial Arts,47 min. per ep.,R - 17+ (violence & profanity),18,,,Seinen
Koutetsushin Jeeg,,6.88,7359,4713,7,TV,13,Finished Airing,"Apr 5, 2007 to Jul 12, 2007","Dynamic Planning,       Kyoraku Industrial Holdings","None found, add some",Actas,Original,Sci-Fi,Mecha,23 min. per ep.,PG-13 - Teens 13 or older,12,Spring 2007,Unknown,
Kyoukai no Rinne,RIN-NE,6.88,2266,4714,88,TV,25,Finished Airing,"Apr 4, 2015 to Sep 19, 2015","Shogakukan-Shueisha Productions,       NHK,       Shogakukan",Sentai Filmworks,Brain's Base,Manga,"Comedy, Supernatural","Mythology, School",24 min. per ep.,PG-13 - Teens 13 or older,135,Spring 2015,Saturdays at 17:30 (JST),Shounen
Lupin III: Harimao no Zaihou wo Oe!!,Lupin III: The Pursuit of Harimao's Treasure,6.88,7117,4715,7,TV Special,1,Finished Airing,"Aug 4, 1995","VAP,       TMS Entertainment","Funimation,       Discotek Media","None found, add some",Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,1 hr. 30 min.,PG-13 - Teens 13 or older,2,,,Seinen
Lupin III: The Last Job,,6.88,7013,4716,8,TV Special,1,Finished Airing,"Feb 12, 2010","None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy",Adult Cast,1 hr. 32 min.,PG-13 - Teens 13 or older,2,,,Seinen
Mai-HiME Specials,My-Hime Specials,6.88,5950,4717,12,Special,27,Finished Airing,"Jan 28, 2005 to Jan 27, 2010","None found, add some",Bandai Entertainment,Sunrise,Original,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,15,,,
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",The Misfit of Demon King Academy II Part 2,6.88,1629,4718,141,TV,12,Currently Airing,"Apr 12, 2024 to ?","Aniplex,       Yomiuri Telecasting,       Movic,       AT-X,       Tokyo MX,       Docomo Anime Store,       Medicos Entertainment,       BS11,       Contents Seed,       Kadokawa,       ADK Marketing Solutions,       qooop","None found, add some",SILVER LINK.,Light novel,"Action, Fantasy","Reincarnation, School",23 min. per ep.,R - 17+ (violence & profanity),783,Spring 2024,Fridays at 22:00 (JST),
