Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Tenjou Tenge,Tenjho Tenge,6.87,1269,4801,190,TV,24,Finished Airing,"Apr 2, 2004 to Sep 17, 2004",TV Asahi,"Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,"Action, Drama, Supernatural, Ecchi",Seinen,23 min. per ep.,R - 17+ (violence & profanity),619,Spring 2004,Fridays at 02:42 (JST),"Delinquents, Martial Arts, School, Super Power"
Uchuu Senkan Yamato: Kanketsu-hen,Space Battleship Yamato - Final Chapter,6.87,8773,4804,4,Movie,1,Finished Airing,"Mar 19, 1983","None found, add some","None found, add some",Toei Animation,Original,"Action, Adventure, Drama, Sci-Fi",,2 hr. 43 min.,PG-13 - Teens 13 or older,7,,,"Adult Cast, Military, Space"
Usavich,,6.87,7495,4805,6,TV,13,Finished Airing,2006 to 2007,"None found, add some","None found, add some",Kanaban Graphics,Original,"Adventure, Comedy",,1 min. per ep.,PG-13 - Teens 13 or older,23,?,Unknown,
Uta no☆Prince-sama♪ Maji Love ST☆RISH Tours: Tabi no Hajimari,,6.87,10414,4806,2,TV Special,1,Finished Airing,"Jul 31, 2022","King Records,       CMI",Sentai Filmworks,A-1 Pictures,Visual novel,"Comedy, Romance",Josei,47 min.,PG-13 - Teens 13 or older,12,,,"Idols (Male), Music, Reverse Harem"
Wangu Kuang Di,The Proud Emperor of Eternity,6.87,15194,4808,629,ONA,20,Finished Airing,"Jan 1, 2024 to Apr 29, 2024",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy",,16 min. per ep.,PG-13 - Teens 13 or older,6,,,"Historical, Martial Arts"
Vandread: Gekitou-hen,,6.87,7046,4807,8,OVA,1,Finished Airing,"Oct 25, 2002","None found, add some",Funimation,Gonzo,Original,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,1 hr. 26 min.,PG-13 - Teens 13 or older,3,,,"Mecha, Space"
Yesterday wo Utatte,"Sing ""Yesterday"" for Me",6.87,776,4809,310,TV,12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020","TV Asahi,       Sotsu,       Delfi Sound,       Lucent Pictures Entertainment,       CyberAgent,       AbemaTV,       DMM.futureworks","None found, add some",Doga Kobo,Manga,"Drama, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"1,326",Spring 2020,Sundays at 01:30 (JST),"Adult Cast, Love Polygon"
Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,Yo-kai Watch Shadowside: The Return of the Oni King,6.87,10914,4810,2,Movie,1,Finished Airing,"Dec 16, 2017","None found, add some","None found, add some",OLM,Game,Supernatural,Kids,1 hr. 34 min.,G - All Ages,8,,,Mythology
Shin Maple Town Monogatari: Palm Town-hen,Palm Town,6.86,10849,4811,2,TV,50,Finished Airing,"Jan 18, 1987 to Dec 27, 1987",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Fantasy, Slice of Life",,24 min. per ep.,G - All Ages,4,Winter 1987,Sundays at 08:30 (JST),Anthropomorphic
Shu Tian Fu Mo Lu,The Guardian Legend,6.86,14151,4812,858,ONA,16,Finished Airing,"May 26, 2023 to Sep 15, 2023",High Energy Studio,iQIYI,Big Firebird Culture,Unknown,"Action, Adventure, Fantasy",,22 min. per ep.,PG-13 - Teens 13 or older,21,,,
Soul Eater: Late Night Show,,6.86,4213,4813,28,Special,51,Finished Airing,Apr 2008 to Mar 2009,"TV Tokyo,       Aniplex,       Dentsu,       Media Factory",Funimation,Bones,Manga,"Action, Comedy, Fantasy",,1 min. per ep.,PG-13 - Teens 13 or older,42,,,
Spriggan (ONA),,6.86,3224,4814,47,ONA,6,Finished Airing,"Jun 18, 2022","Avex Entertainment,       DAX Production,       Avex Pictures","None found, add some",David Production,Manga,"Action, Adventure, Sci-Fi",Shounen,45 min. per ep.,R - 17+ (violence & profanity),126,,,Military
Switch,,6.86,4287,4815,27,OVA,2,Finished Airing,"Oct 24, 2008 to Feb 25, 2009",Frontier Works,"None found, add some",Actas,Manga,"Action, Mystery",Shounen,30 min. per ep.,PG-13 - Teens 13 or older,66,,,"Detective, Organized Crime"
Uchi no Maid ga Uzasugiru!,UzaMaid!,6.86,1832,4816,120,TV,12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018","AT-X,       Sony Music Communications,       Futabasha,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some",Doga Kobo,Manga,"Comedy, Girls Love",,23 min. per ep.,PG-13 - Teens 13 or older,185,Fall 2018,Fridays at 23:00 (JST),
Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,UzaMaid! My Maid Is Still Seriously Way Too Annoying...,6.86,4999,4817,19,Special,1,Finished Airing,"Apr 24, 2019","None found, add some","None found, add some",Doga Kobo,Manga,"Comedy, Girls Love",,24 min.,PG-13 - Teens 13 or older,3,,,
Unbelievable Space Love,,6.86,8998,4818,4,ONA,10,Finished Airing,"Jul 17, 2018 to Aug 7, 2018","None found, add some","None found, add some",ABJ COMPANY,Original,"Boys Love, Drama, Sci-Fi",,1 min. per ep.,PG-13 - Teens 13 or older,18,,,
Wo Shi Da Shenxian,I Am A Great God,6.86,11711,4820,1,ONA,16,Finished Airing,"Nov 12, 2020 to Feb 18, 2021",Tencent Animation & Comics,"None found, add some",CG Year,Web manga,"Action, Fantasy",,19 min. per ep.,PG-13 - Teens 13 or older,7,,,Martial Arts
Vampire Knight,,6.86,360,4819,605,TV,13,Finished Airing,"Apr 8, 2008 to Jul 1, 2008","TV Tokyo,       Aniplex,       Nihon Ad Systems",VIZ Media,Studio Deen,Manga,"Drama, Mystery, Romance, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7,336",Spring 2008,Unknown,"Love Polygon, Vampire"
Yama no Susume Second Season Specials,,6.86,6132,4821,11,Special,2,Finished Airing,"Oct 24, 2014 to Mar 27, 2015",Earth Star Entertainment,"None found, add some",8bit,Manga,Slice of Life,,15 min. per ep.,PG-13 - Teens 13 or older,1,,,"CGDCT, Iyashikei"
Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,,6.86,9740,4822,3,Special,1,Finished Airing,"Jun 17, 2006","None found, add some","None found, add some",J.C.Staff,Original,Drama,,22 min.,PG-13 - Teens 13 or older,2,,,"Adult Cast, Military, Workplace"
Zettai Shounen,,6.86,4806,4823,21,TV,26,Finished Airing,"May 21, 2005 to Nov 19, 2005","Bandai Visual,       Mellow Head,       Genco,       Ginga Ya,       Trilogy Future Studio","None found, add some",Ajia-do,Original,"Drama, Fantasy, Mystery, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,67,Spring 2005,Saturdays at 08:06 (JST),
.hack//Roots,,6.86,2512,4824,74,TV,26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006","TV Tokyo,       Bandai Visual,       CyberConnect2","Funimation,       Bandai Entertainment",Bee Train,Original,"Adventure, Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,237,Spring 2006,Thursdays at 01:30 (JST),Video Game
Battle Athletess Daiundoukai (TV),Battle Athletes Victory,6.86,6394,4826,10,TV,26,Finished Airing,"Oct 3, 1997 to Mar 27, 1998","TV Tokyo,       Genco,       Pioneer LDC","Discotek Media,       Geneon Entertainment USA",AIC,Original,"Adventure, Sci-Fi, Sports",,22 min. per ep.,PG - Children,34,Fall 1997,Fridays at 18:30 (JST),School
Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,6.86,7011,4825,8,TV,39,Finished Airing,"Jul 4, 2004 to May 15, 2005","None found, add some","None found, add some",OLM,Novel,Mystery,,25 min. per ep.,G - All Ages,27,Summer 2004,Unknown,Historical
Corrector Yui,,6.86,5155,4827,17,TV,52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000","NHK,       Studio Tron",VIZ Media,Nippon Animation,Original,"Adventure, Comedy, Sci-Fi",,25 min. per ep.,G - All Ages,133,Spring 1999,Fridays at 18:00 (JST),
Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,,6.86,10208,4828,2,Movie,1,Finished Airing,"Apr 13, 2018","TV Asahi,       Asatsu DK","None found, add some",Shin-Ei Animation,Manga,Comedy,Seinen,1 hr. 45 min.,G - All Ages,1,,,
Crusher Joe,Crusher Joe: The Movie,6.86,6580,4830,9,Movie,1,Finished Airing,"Mar 12, 1983",Studio Nue,"AnimEigo,       Discotek Media",Sunrise,Manga,"Action, Adventure, Sci-Fi",,2 hr. 11 min.,R+ - Mild Nudity,11,,,Space
Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,,6.86,11350,4829,2,Movie,1,Finished Airing,"Apr 22, 2022","None found, add some","None found, add some",Shin-Ei Animation,Manga,"Adventure, Comedy",Seinen,1 hr. 39 min.,G - All Ages,3,,,
D.C.II: Da Capo II,,6.86,3688,4831,37,TV,13,Finished Airing,"Oct 2, 2007 to Dec 25, 2007",Starchild Records,"None found, add some",feel.,Visual novel,"Drama, Romance, Ecchi",,25 min. per ep.,PG-13 - Teens 13 or older,40,Fall 2007,Unknown,School
Dog Days'',,6.86,2511,4833,75,TV,12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015","Aniplex,       Starchild Records,       Bandai Namco Games,       Glovision","None found, add some",Seven Arcs Pictures,Original,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,79,Winter 2015,Unknown,Isekai
Denpa Kyoushi,Ultimate Otaku Teacher,6.86,1503,4832,156,TV,24,Finished Airing,"Apr 4, 2015 to Sep 26, 2015","Yomiuri Telecasting,       Shogakukan",Funimation,A-1 Pictures,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,321,Spring 2015,Saturdays at 17:30 (JST),"Otaku Culture, School"
Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,,6.86,8475,4834,5,Movie,1,Finished Airing,"Oct 26, 2013","Asahi Broadcasting,       Kinoshita Group Holdings","None found, add some",Toei Animation,Original,Fantasy,,1 hr. 11 min.,G - All Ages,8,,,Mahou Shoujo
Doraemon Meets Hattori the Ninja,,6.86,10619,4836,2,Special,1,Finished Airing,"Jan 3, 1982",Asatsu DK,"None found, add some","None found, add some",Unknown,"Comedy, Sci-Fi","KidsKids,         ShounenShounen",23 min.,PG - Children,6,,,
Dominion,,6.86,5032,4835,18,OVA,4,Finished Airing,"May 27, 1988 to Aug 11, 1989",Toshiba Entertainment,Central Park Media,Agent 21,Manga,"Comedy, Sci-Fi",,37 min. per ep.,PG-13 - Teens 13 or older,57,,,"Detective, Mecha"
Doraemon Movie 18: Nobita no Nejimaki City Boukenki,Doraemon the Movie: Nobita and the Spiral City,6.86,8781,4837,4,Movie,1,Finished Airing,"Mar 8, 1997","None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy","KidsKids,         ShounenShounen",1 hr. 38 min.,PG - Children,1,,,
Fate/Grand Order: Zettai Majuu Sensen Babylonia Recaps,Fate/Grand Order: Absolute Demonic Front - Babylonia Recaps,6.86,6305,4839,10,TV Special,3,Finished Airing,"Dec 21, 2019 to Feb 1, 2020","Aniplex,       Delightworks","None found, add some",CloverWorks,Game,"Action, Fantasy, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,16,,,
Dubu Xiaoyao,,6.86,9818,4838,3,ONA,Unknown,Currently Airing,"Jun 18, 2020 to ?","None found, add some","None found, add some",Suoyi Technology,Novel,Action,,12 min.,PG-13 - Teens 13 or older,23,,,Martial Arts
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,,6.86,4244,4840,27,OVA,1,Finished Airing,"Feb 23, 2011","None found, add some","None found, add some","feel.,       Zexcs",Visual novel,"Comedy, Fantasy, Romance",,24 min.,PG-13 - Teens 13 or older,15,,,"Harem, Vampire"
Hells,,6.86,3877,4842,33,Movie,1,Finished Airing,"Oct 18, 2008","None found, add some",Discotek Media,Madhouse,Manga,"Adventure, Comedy, Horror",,1 hr. 57 min.,PG-13 - Teens 13 or older,209,,,
Generator Gawl,,6.86,6396,4841,10,TV,12,Finished Airing,"Oct 7, 1998 to Dec 23, 1998","None found, add some",ADV Films,Tatsunoko Production,Original,"Action, Adventure, Comedy, Drama, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,28,Fall 1998,Tuesdays at 02:55 (JST),Time Travel
Hetalia World★Stars,,6.86,4764,4843,21,ONA,12,Finished Airing,"Apr 1, 2021 to Jun 17, 2021","DAX Production,       Shueisha",Funimation,Studio Deen,Manga,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,109,,,"Anthropomorphic, Gag Humor, Historical, Parody"
Iblard Jikan,,6.86,4594,4844,23,OVA,1,Finished Airing,"Jul 4, 2007","None found, add some","None found, add some",Studio Ghibli,Other,Fantasy,,30 min.,G - All Ages,38,,,
Idol Densetsu Eriko,Legendary Idol Eriko,6.86,7631,4845,6,TV,51,Finished Airing,"Apr 3, 1989 to Mar 26, 1990","Big West,       TV Setouchi","None found, add some",Ashi Productions,Original,,,22 min. per ep.,PG-13 - Teens 13 or older,16,Spring 1989,Mondays at 18:00 (JST),"Idols (Female), Music"
"Inari, Konkon, Koi Iroha. Inari, Konkon, Semishigure.",Inari Kon Kon OVA,6.86,4327,4846,26,OVA,1,Finished Airing,"Jun 26, 2014","DAX Production,       flying DOG",Funimation,Production IMS,Manga,"Comedy, Romance, Supernatural",Seinen,23 min.,PG-13 - Teens 13 or older,10,,,Mythology
IS: Infinite Stratos 2 - Hitonatsu no Omoide,,6.86,2843,4847,60,OVA,1,Finished Airing,"Oct 30, 2013",Lantis,Sentai Filmworks,8bit,Light novel,"Action, Comedy, Sci-Fi",,39 min.,PG-13 - Teens 13 or older,40,,,Harem
Jue Shi Wu Hun,,6.86,10205,4848,2,ONA,Unknown,Currently Airing,"Oct 25, 2020 to ?",Tencent Penguin Pictures,"None found, add some",Suoyi Technology,Novel,"Action, Fantasy",,11 min.,PG-13 - Teens 13 or older,16,,,Martial Arts
Karneval Specials,,6.86,6444,4850,10,Special,11,Finished Airing,"Jun 21, 2013 to Nov 22, 2013",Bandai Visual,"None found, add some",Manglobe,Manga,Comedy,Josei,30 sec. per ep.,PG-13 - Teens 13 or older,6,,,
Kamisama no Inai Nichiyoubi: Kioku,Sunday Without God: Memories,6.86,4150,4849,29,Special,1,Finished Airing,"Feb 5, 2014","None found, add some",Sentai Filmworks,Madhouse,Light novel,"Fantasy, Mystery",,23 min.,R - 17+ (violence & profanity),23,,,
Wata no Kuni Hoshi,Fantasy of a Kitten,6.84,7615,4951,6,Movie,1,Finished Airing,"Feb 11, 1984","None found, add some","None found, add some",Mushi Production,Manga,"Drama, Fantasy, Romance",Shoujo,1 hr. 36 min.,G - All Ages,27,,,"Pets, Psychological"
Yi Ren Zhi Xia 3: Rushi Pian,,6.84,3599,4952,39,ONA,8,Finished Airing,"Apr 24, 2020 to May 8, 2020","None found, add some","None found, add some",Big Firebird Culture,Web manga,"Action, Supernatural",,23 min. per ep.,R - 17+ (violence & profanity),86,,,Super Power
You Shou Yan 2nd Season,Fabulous Beasts 2nd Season,6.84,18196,4953,333,ONA,12,Finished Airing,"Jun 30, 2023 to Sep 15, 2023",bilibili,"None found, add some",Fenz,Manga,"Comedy, Fantasy",,6 min. per ep.,PG-13 - Teens 13 or older,1,,,
Zetman,,6.84,1661,4954,137,TV,13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012","TV Asahi,       Asatsu DK,       YTV,       TOHO,       Sakura Create,       TMS Music","VIZ Media,       NYAV Post",TMS Entertainment,Manga,"Action, Drama, Horror, Romance, Sci-Fi, Supernatural",Seinen,24 min. per ep.,R+ - Mild Nudity,290,Spring 2012,Unknown,"Gore, Super Power"
Tegamibachi: Omakebachi,Letter Bee Reverse Specials,6.83,8139,4957,5,Special,25,Finished Airing,"Dec 22, 2010 to Aug 26, 2011",Pierrot,"None found, add some",Pierrot Plus,Original,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,3,,,
Sumomomo Momomo: Chijou Saikyou no Yome,,6.83,2650,4956,68,TV,22,Finished Airing,"Oct 6, 2006 to Mar 16, 2007","TV Asahi,       Square Enix,       Lantis,       Movic","None found, add some",Studio Hibari,Manga,"Action, Comedy, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,100,Fall 2006,Fridays at 02:40 (JST),Martial Arts
Shin Angyo Onshi,Blade of the Phantom Master,6.83,5020,4955,18,Movie,1,Finished Airing,"Dec 4, 2004",Shogakukan-Shueisha Productions,"ADV Films,       Funimation",OLM Digital,Manga,"Action, Fantasy",,1 hr. 25 min.,R - 17+ (violence & profanity),23,,,
To Heart 2 OVA,,6.83,7261,4958,7,OVA,3,Finished Airing,"Feb 28, 2007 to Sep 28, 2007","None found, add some","None found, add some",Chaos Project,Visual novel,"Comedy, Drama, Romance",,28 min. per ep.,PG-13 - Teens 13 or older,8,,,"Harem, School"
Toaru Kagaku no Railgun T: Motto Marutto Railgun,,6.83,7137,4959,7,Special,2,Finished Airing,"Apr 30, 2020 to Oct 9, 2020","None found, add some","None found, add some",J.C.Staff,Manga,Comedy,,11 min. per ep.,PG-13 - Teens 13 or older,9,,,
Wangu Xian Qiong,,6.83,8271,4960,5,ONA,12,Finished Airing,"May 18, 2017 to Jul 27, 2017",iQIYI,"None found, add some",Haoliners Animation League,Novel,"Adventure, Comedy, Fantasy",,15 min. per ep.,PG-13 - Teens 13 or older,13,,,
Xi Xing Ji: Suming Pian,The Westward 3rd Season,6.83,13420,4961,1,ONA,20,Finished Airing,"Jun 2, 2021 to Jul 28, 2021",Tencent Penguin Pictures,"None found, add some",BYMENT,Manga,"Action, Adventure, Fantasy",,14 min. per ep.,PG-13 - Teens 13 or older,4,,,"Historical, Martial Arts"
Xing Hai Qishi,Knights on Debris,6.83,12045,4962,1,ONA,7,Finished Airing,"Dec 30, 2020 to Feb 3, 2021","Tencent Penguin Pictures,       D.ROCK-ART","None found, add some","None found, add some",Original,"Action, Fantasy, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,6,,,
Yaku nara Mug Cup mo: Niban Gama,Let's Make a Mug Too 2,6.83,5008,4963,19,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021","None found, add some","None found, add some",Nippon Animation,Manga,Slice of Life,,14 min. per ep.,PG-13 - Teens 13 or older,47,Fall 2021,Saturdays at 01:55 (JST),"CGDCT, Iyashikei, School, Visual Arts"
Yi Ren Zhi Xia 5th season,The Outcast 5th Season,6.83,9156,4965,4,ONA,12,Finished Airing,"Dec 9, 2022 to Feb 24, 2023","Tencent Animation & Comics,       Tencent Penguin Pictures,       Yikuiduo Animation","None found, add some",Qiyuan Yinghua,Manga,"Action, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,16,,,Super Power
Yama no Susume,Encouragement of Climb,6.83,2302,4964,86,TV,12,Finished Airing,"Jan 3, 2013 to Mar 21, 2013",Earth Star Entertainment,"None found, add some",8bit,Manga,"Adventure, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,189,Winter 2013,Thursdays at 01:30 (JST),"CGDCT, Iyashikei"
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia,Yu Yu Hakusho Opening & Ending Encyclopedia,6.83,11122,4966,2,Special,1,Finished Airing,"Oct 20, 1995","None found, add some",Funimation,Pierrot,Manga,Comedy,,21 min.,PG-13 - Teens 13 or older,3,,,Music
Chikyuugai Shounen Shoujo,The Orbital Children,6.83,3597,4967,39,ONA,6,Finished Airing,"Jan 28, 2022",Avex Pictures,"None found, add some",Production +h.,Original,Sci-Fi,,31 min. per ep.,PG-13 - Teens 13 or older,122,,,Space
Clamp Gakuen Tanteidan,CLAMP School Detectives,6.83,5451,4968,15,TV,26,Finished Airing,"May 3, 1997 to Oct 25, 1997",Bandai Visual,"Bandai Entertainment,       Maiden Japan",Pierrot,Manga,"Action, Comedy, Mystery",Shoujo,24 min. per ep.,G - All Ages,30,Spring 1997,Unknown,"Detective, School"
Cobra The Animation: Time Drive,,6.83,8667,4969,4,OVA,2,Finished Airing,"Apr 24, 2009 to Jun 26, 2009","None found, add some",Sentai Filmworks,Magic Bus,Manga,"Action, Adventure, Sci-Fi",Shounen,28 min. per ep.,R+ - Mild Nudity,5,,,"Adult Cast, Space"
Devil Survivor 2 The Animation,,6.83,1413,4971,167,TV,13,Finished Airing,"Apr 5, 2013 to Jun 28, 2013","Mainichi Broadcasting System,       Pony Canyon,       Showgate,       Index",Sentai Filmworks,Bridge,Game,"Action, Supernatural, Suspense",,24 min. per ep.,R - 17+ (violence & profanity),477,Spring 2013,Fridays at 02:05 (JST),"Mythology, Survival"
Dagashi Kashi 2,,6.83,1395,4970,170,TV,12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018","Pony Canyon,       TBS,       Shogakukan,       Lawson,       Pony Canyon Enterprises",Funimation,Tezuka Productions,Manga,"Comedy, Gourmet",Shounen,12 min. per ep.,PG-13 - Teens 13 or older,206,Winter 2018,Fridays at 02:28 (JST),Romantic Subtext
Devils Line,Devils' Line,6.83,906,4972,271,TV,12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018","Kodansha,       King Records",Sentai Filmworks,Platinum Vision,Manga,"Action, Drama, Romance, Supernatural",Seinen,23 min. per ep.,R - 17+ (violence & profanity),"1,690",Spring 2018,Saturdays at 23:30 (JST),"Adult Cast, Vampire"
Digimon Frontier: Ornismon Fukkatsu!!,Digimon Frontier: Island of Lost Digimon,6.83,4772,4973,21,Movie,1,Finished Airing,"Jul 20, 2002","None found, add some",Saban Brands,Toei Animation,Original,"Adventure, Comedy, Drama, Fantasy",,40 min.,PG - Children,10,,,
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,Dragon Ball Z: Super Android 13!,6.83,1783,4974,125,Movie,1,Finished Airing,"Jul 11, 1992","None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Shounen,45 min.,PG-13 - Teens 13 or older,32,,,
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,Dragon Ball: Yo! The Return of Son-Goku and Friends!!,6.83,3059,4975,52,Special,1,Finished Airing,"Sep 21, 2008",Shueisha,"None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Shounen,34 min.,PG-13 - Teens 13 or older,35,,,
