Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Super Robot Taisen OG: Divine Wars - Sorezore no Michi,Super Robot Wars Original Generation: Divine Wars Special,6.71,10058,5555,3,Special,1,Finished Airing,"Oct 26, 2007","GDH,       Genco,       Banpresto","None found, add some",OLM,Game,"Action, Comedy",Mecha,29 min.,PG-13 - Teens 13 or older,4,,,
Super Seisyun Brothers,,6.71,3925,5556,32,TV,14,Finished Airing,"Sep 14, 2013 to Dec 14, 2013",AIC,"None found, add some",AIC PLUS+,Web manga,"Comedy, Slice of Life",,4 min. per ep.,PG-13 - Teens 13 or older,36,Fall 2013,Unknown,
Youjo Shenki,,6.72,4401,5552,25,ONA,12,Finished Airing,"Jan 10, 2017 to Apr 3, 2017","None found, add some","None found, add some",Studio PuYUKAI,Light novel,Comedy,"Isekai, Military, Parody, Reincarnation",2 min. per ep.,G - All Ages,45,,,
Soukou Kihei Votoms: Genei-hen,Armored Trooper Votoms: Phantom Arc,6.71,9756,5553,3,OVA,6,Finished Airing,"Mar 26, 2010 to Oct 27, 2010","None found, add some","None found, add some",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military",24 min. per ep.,PG-13 - Teens 13 or older,1,,,
Xue Yu Xin,Blood and Heart: The Legendary Life of a Japanese Youth in China,6.72,13003,5551,1,ONA,12,Finished Airing,"Nov 2, 2022 to Jan 11, 2023",bilibili,"None found, add some",Changchun Unity of Knowledge and Action Animation,Manga,Drama,Historical,18 min. per ep.,PG-13 - Teens 13 or older,3,,,
Soushin Shoujo Matoi,Matoi the Sacred Slayer,6.71,4229,5554,27,TV,12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016","Bandai Visual,       Lantis,       Nihon Ad Systems,       Movic,       Half H.P Studio,       Q-Tec,       Medicos Entertainment,       Infinite,       Kyoto Broadcasting System",Sentai Filmworks,White Fox,Original,Supernatural,,24 min. per ep.,PG-13 - Teens 13 or older,33,Fall 2016,Tuesdays at 23:00 (JST),
Sword Art Online II,,6.71,36,5557,1,TV,24,Finished Airing,"Jul 5, 2014 to Dec 20, 2014","Aniplex,       Genco,       ASCII Media Works,       Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance","Love Polygon, Video Game",23 min. per ep.,PG-13 - Teens 13 or older,"9,394",Summer 2014,Mondays at 00:00 (JST),
Tayutama: Kiss on My Deity,,6.71,2595,5558,71,TV,12,Finished Airing,"Apr 6, 2009 to Jun 22, 2009","Media Factory,       Delfi Sound",Sentai Filmworks,SILVER LINK.,Visual novel,"Romance, Supernatural",Harem,23 min. per ep.,PG-13 - Teens 13 or older,119,Spring 2009,Mondays at 00:30 (JST),
Temple,TenPuru: No One Can Live on Loneliness,6.71,2201,5559,92,TV,12,Finished Airing,"Jul 9, 2023 to Sep 24, 2023","Kodansha,       KlockWorx,       King Records,       Crunchyroll","None found, add some",Gekkou,Web manga,"Comedy, Romance, Ecchi",Harem,24 min. per ep.,PG-13 - Teens 13 or older,377,Summer 2023,Sundays at 01:30 (JST),
The Kabocha Wine,The Pumpkin Wine,6.71,9193,5560,4,TV,95,Finished Airing,"Jul 5, 1982 to Aug 27, 1984","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Romance",School,25 min. per ep.,PG-13 - Teens 13 or older,12,Summer 1982,Unknown,Shounen
Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,,6.71,5727,5561,13,ONA,3,Finished Airing,"Oct 23, 2013 to Jan 30, 2014","Geneon Universal Entertainment,       Tokyo MX",Funimation,"None found, add some",Light novel,Supernatural,,5 min. per ep.,PG-13 - Teens 13 or older,8,,,
Urusei Yatsura Movie 4: Lum The Forever,,6.71,6812,5562,8,Movie,1,Finished Airing,"Feb 22, 1986",Kitty Films,"AnimEigo,       Discotek Media",Studio Deen,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",,1 hr. 35 min.,PG-13 - Teens 13 or older,18,,,Shounen
Vivy: Fluorite Eye's Song Pilot,,6.71,14570,5563,756,ONA,1,Finished Airing,"Aug 21, 2021","None found, add some","None found, add some",Wit Studio,Original,"Action, Sci-Fi",Music,2 min.,PG-13 - Teens 13 or older,0,,,
Wangu Xian Qiong II,,6.71,10431,5564,2,ONA,12,Finished Airing,"Mar 15, 2018 to May 31, 2018",iQIYI,"None found, add some","Haoliners Animation League,       ASK Animation Studio",Novel,"Adventure, Comedy, Fantasy",,15 min. per ep.,PG-13 - Teens 13 or older,4,,,
Wo Jia Da Shixiong Naozi You Keng,,6.71,8759,5565,4,ONA,26,Finished Airing,"Apr 4, 2018 to Jun 23, 2018","bilibili,       Magilm Pictures","None found, add some","None found, add some",Manga,"Action, Adventure, Comedy","Historical, Martial Arts",4 min. per ep.,PG-13 - Teens 13 or older,17,,,
3-gatsu no Lion Recap,March Comes in Like a Lion: Omnibus Special Episode,6.71,5252,5567,16,TV Special,1,Finished Airing,"Dec 29, 2016","Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory","None found, add some",Shaft,Manga,Drama,"Childcare, Strategy Game",25 min.,PG-13 - Teens 13 or older,14,,,Seinen
Yu☆Gi☆Oh! Arc-V,Yu-Gi-Oh! Arc-V,6.71,2713,5566,65,TV,148,Finished Airing,"Apr 6, 2014 to Mar 26, 2017","TV Tokyo,       Nihon Ad Systems,       Marvelous AQL,       Konami Cross Media NY","None found, add some",Gallop,Manga,"Action, Fantasy",Strategy Game,24 min. per ep.,PG-13 - Teens 13 or older,489,Spring 2014,Sundays at 17:30 (JST),Shounen
Acchi wa Kocchi,There is Here,6.71,7090,5569,7,Movie,1,Finished Airing,1961,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,25 min.,R - 17+ (violence & profanity),34,,,
Aoki Densetsu Shoot! (Movie),Blue Legend Shoot!,6.71,10168,5571,2,Movie,1,Finished Airing,"Dec 4, 1994","None found, add some","None found, add some",Toei Animation,Unknown,Sports,Team Sports,25 min.,PG - Children,4,,,Shounen
3x3 Eyes,,6.71,4148,5568,29,OVA,4,Finished Airing,"Jul 25, 1991 to Mar 19, 1992","Bandai Visual,       Kodansha,       Streamline Pictures",Geneon Entertainment USA,Toei Animation,Manga,"Action, Fantasy, Horror, Romance","Gore, Mythology",29 min. per ep.,R - 17+ (violence & profanity),97,,,Seinen
Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest,6.71,286,5572,705,TV,13,Finished Airing,"Jul 8, 2019 to Oct 7, 2019","AT-X,       Sony Music Communications,       Bushiroad,       Toranoana,       Hakuhodo DY Music & Pictures,       Overlap,       FuRyu,       Bandai Namco Arts",Funimation,"asread.,       White Fox",Light novel,"Action, Adventure, Fantasy","Harem, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,"6,519",Summer 2019,Mondays at 23:30 (JST),
Azumanga Web Daiou,Azumanga Web Daioh,6.71,3838,5573,34,ONA,1,Finished Airing,"Dec 28, 2000","None found, add some","None found, add some",Ajia-do,4-koma manga,Comedy,"CGDCT, Gag Humor, School",3 min.,G - All Ages,33,,,
Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,Haganai: Black Hotpot Gives Girls a Bad Smell,6.71,1791,5574,124,OVA,1,Finished Airing,"Sep 22, 2011","Bushiroad,       Good Smile Company","None found, add some",AIC Build,Light novel,"Comedy, Romance",School,11 min.,PG-13 - Teens 13 or older,53,,,
Bonobono (TV),Bonobono,6.71,11357,5575,2,TV,48,Finished Airing,"Apr 20, 1995 to Mar 28, 1996","None found, add some","None found, add some",Group TAC,4-koma manga,Comedy,Anthropomorphic,11 min. per ep.,G - All Ages,9,Spring 1995,Thursdays at 19:00 (JST),
Cop Craft,,6.71,1835,5577,119,TV,12,Finished Airing,"Jul 9, 2019 to Oct 1, 2019","WOWOW,       Pony Canyon,       Hakuhodo DY Music & Pictures,       Good Smile Film",Funimation,Millepensee,Light novel,"Action, Fantasy, Mystery, Sci-Fi",Detective,23 min. per ep.,R - 17+ (violence & profanity),225,Summer 2019,Tuesdays at 00:00 (JST),
Code:Breaker,,6.71,717,5576,334,TV,13,Finished Airing,"Oct 7, 2012 to Dec 23, 2012","Bandai Visual,       Lantis,       Kodansha,       Memory-Tech,       Bushiroad",Funimation,Kinema Citrus,Manga,"Action, Supernatural","School, Super Power",24 min. per ep.,R - 17+ (violence & profanity),672,Fall 2012,Unknown,Shounen
