Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Digimon Xros Wars,Digimon Fusion,6.68,3115,5756,50,TV,30,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",Summer 2010,Tuesdays at 19:27 (JST),TV Asahi,Flatiron Film Company,Toei Animation,Original,"Action, Adventure, Comedy, Fantasy",Isekai,25 min. per ep.,PG - Children,117,
Dahufa,The Guardian,6.68,12974,5754,1,Movie,1,Finished Airing,"Jul 13, 2017",,,"Beijing Enlight Pictures,       Horgos Coloroom Pictures Co., Ltd.","None found, add some",Nice Boat Animation,Original,"Action, Adventure, Fantasy",,1 hr. 35 min.,R - 17+ (violence & profanity),2,
Di Gi Charat Ohanami Special,,6.68,9418,5755,3,Special,4,Finished Airing,"Apr 6, 2001",,,TBS,Sentai Filmworks,Madhouse,Original,Comedy,,10 min. per ep.,G - All Ages,2,
Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,Junior High and High School!! Kimetsu Academy Story: Valentine Edition,6.68,3251,5753,46,ONA,4,Finished Airing,"Feb 14, 2021",,,"None found, add some","None found, add some",ufotable,Manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,120,
Cardfight!! Vanguard G: GIRS Crisis-hen,Cardfight!! Vanguard G GIRS Crisis,6.68,6081,5752,11,TV,26,Finished Airing,"Oct 11, 2015 to Apr 10, 2016",Fall 2015,Sundays at 10:00 (JST),"TV Tokyo,       Dentsu,       Sotsu,       Bushiroad","None found, add some",TMS Entertainment,Card game,Action,Strategy Game,24 min. per ep.,PG-13 - Teens 13 or older,21,
Boku no Hero Academia: UA Heroes Battle,My Hero Academia: UA Heroes Battle,6.68,5070,5751,18,Movie,1,Finished Airing,"Oct 20, 2023",,,"None found, add some","None found, add some",Bones,Manga,Action,"School, Super Power",23 min.,PG-13 - Teens 13 or older,30,Shounen
Genshiken Nidaime Specials,,6.68,7106,5757,7,Special,4,Finished Airing,"Sep 4, 2013 to Dec 11, 2013",,,Starchild Records,"None found, add some",Production I.G,Manga,Slice of Life,"Adult Cast, Otaku Culture, Parody",3 min. per ep.,R - 17+ (violence & profanity),1,Seinen
Gift: Eternal Rainbow - Ki no Saka Ryokan Kiki Ippatsu!!,,6.68,7251,5758,7,Special,1,Finished Airing,"Jun 22, 2007",,,"None found, add some","None found, add some",OLM,Visual novel,"Comedy, Romance, Ecchi",Harem,23 min.,PG-13 - Teens 13 or older,2,
Girls & Panzer: Shoukai Shimasu!,,6.68,4912,5760,19,TV Special,2,Finished Airing,"Nov 13, 2012 to Dec 25, 2012",,,"Lantis,       Movic",Sentai Filmworks,Actas,Original,,"CGDCT, Military, School",23 min. per ep.,PG-13 - Teens 13 or older,16,
Girls & Panzer Movie: Cinematic Concert - Fushou Akiyama Yukari no Sensha Kouza - Shoujun-hen,,6.68,10309,5759,2,Special,1,Finished Airing,"Dec 22, 2017",,,"None found, add some","None found, add some",Actas,Original,,"CGDCT, Educational, Military, School",11 min.,PG-13 - Teens 13 or older,3,
