Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Yama no Susume: Kabe tte Kowakunai no?,,6.74,4555,5418,23,Special,1,Finished Airing,"May 24, 2013",,,Earth Star Entertainment,"None found, add some",8bit,Manga,"Adventure, Slice of Life",5 min.,PG-13 - Teens 13 or older,4,,"CGDCT, Iyashikei"
1000-nen Joou: Queen Millennia,,6.74,8385,5419,5,Movie,1,Finished Airing,"Mar 13, 1982",,,"None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Drama, Fantasy, Sci-Fi",2 hr. 1 min.,PG-13 - Teens 13 or older,8,,
Ai Yori Aoshi: Yumegatari,Ai Yori Aoshi: Speaking of Dreams,6.74,6183,5420,10,Special,1,Finished Airing,"Apr 1, 2002",,,"None found, add some",Funimation,J.C.Staff,Manga,"Comedy, Romance, Slice of Life",4 min.,PG-13 - Teens 13 or older,6,,Harem
Akame ga Kill! Recap,,6.74,3578,5421,39,TV Special,1,Finished Airing,"Aug 31, 2014",,,TOHO animation,"None found, add some",White Fox,Manga,"Action, Fantasy",42 min.,R - 17+ (violence & profanity),67,Shounen,"Gore, Super Power"
Alien 9,,6.74,3538,5422,40,OVA,4,Finished Airing,"Jun 25, 2001 to Feb 25, 2002",,,"Bandai Visual,       Genco,       MediaNet,       AT-X,       Nippon Columbia",Central Park Media,J.C.Staff,Manga,"Horror, Sci-Fi",28 min. per ep.,R - 17+ (violence & profanity),541,,"Psychological, School"
Araiguma Rascal,Raccoon Rascal,6.74,9446,5423,3,TV,52,Finished Airing,"Jan 2, 1977 to Dec 25, 1977",Winter 1977,Sundays at 19:30 (JST),Fuji TV,"None found, add some",Nippon Animation,Book,"Drama, Slice of Life",26 min. per ep.,G - All Ages,9,,"Historical, Pets"
Arcana Famiglia: Capriccio - stile Arcana Famiglia,,6.74,4628,5424,22,OVA,1,Finished Airing,"Mar 27, 2013",,,"Frontier Works,       Movic,       Warner Bros. Japan,       Showgate",Sentai Filmworks,J.C.Staff,Visual novel,"Fantasy, Romance",23 min.,PG-13 - Teens 13 or older,17,,Reverse Harem
Argento Soma,,6.74,4192,5425,28,TV,25,Finished Airing,"Oct 6, 2000 to Mar 22, 2001",Fall 2000,Fridays at 01:15 (JST),"None found, add some","Bandai Entertainment,       Sentai Filmworks",Sunrise,Original,"Action, Adventure, Drama, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,82,,"Mecha, Military"
Argonavis from BanG Dream!,,6.74,5979,5426,12,TV,13,Finished Airing,"Apr 11, 2020 to Jul 4, 2020",Spring 2020,Saturdays at 01:25 (JST),Bushiroad,"None found, add some",SANZIGEN,Mixed media,Drama,24 min. per ep.,PG-13 - Teens 13 or older,78,,Music
Bio Sekai Meisaku Gekijou,Resident Evil Masterpiece Theater,6.74,13414,5428,1,ONA,3,Finished Airing,"Mar 19, 2023 to Mar 24, 2023",,,"None found, add some","None found, add some",Nippon Animation,Game,"Comedy, Horror",56 sec. per ep.,PG-13 - Teens 13 or older,2,,Video Game
Babylon,,6.74,1497,5427,156,TV,12,Finished Airing,"Oct 7, 2019 to Jan 28, 2020",Fall 2019,Mondays at 22:00 (JST),"Fujipacific Music,       Twin Engine",Sentai Filmworks,Revoroot,Novel,"Mystery, Suspense",24 min. per ep.,R - 17+ (violence & profanity),675,,"Adult Cast, Detective, Psychological"
Candy Candy (Movie),,6.74,9060,5430,4,Movie,1,Finished Airing,"Apr 25, 1992",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Drama, Romance",26 min.,G - All Ages,9,Shoujo,
Brave 10,,6.74,1559,5429,148,TV,12,Finished Airing,"Jan 8, 2012 to Mar 25, 2012",Winter 2012,Sundays at Unknown,"Media Factory,       Studio Saki Makura,       TMS Music","NIS America, Inc.,       Discotek Media",TMS Entertainment,Manga,"Action, Adventure",24 min. per ep.,R - 17+ (violence & profanity),254,Seinen,"Historical, Samurai, Super Power"
Cardfight!! Vanguard: Legion Mate-hen,Cardfight!! Vanguard Legion Mate,6.74,5240,5431,16,TV,33,Finished Airing,"Mar 9, 2014 to Oct 19, 2014",Spring 2014,Sundays at 10:00 (JST),"Dentsu,       Sotsu,       Bushiroad","None found, add some",TMS Entertainment,Original,Action,24 min. per ep.,PG-13 - Teens 13 or older,37,,Strategy Game
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama,Code Geass: Akito the Exiled - The Brightness Falls Picture Drama,6.74,6079,5432,11,Special,1,Finished Airing,"Jun 26, 2015",,,"None found, add some","None found, add some",Sunrise,Original,Comedy,6 min.,PG-13 - Teens 13 or older,19,,Military
Digimon Adventure 02: The Beginning,,6.74,6633,5434,9,Movie,1,Finished Airing,"Oct 27, 2023",,,Toei Animation,"None found, add some",Yumeta Company,Original,"Action, Adventure, Comedy, Drama, Fantasy",1 hr. 20 min.,PG-13 - Teens 13 or older,25,,
Daomu Biji Zhi Qinling Shen Shu,The Buried Tree Devil,6.74,8559,5433,5,ONA,12,Finished Airing,"Apr 4, 2021 to Jun 13, 2021",,,"Tencent Animation & Comics,       Qiyuan Yinghua","None found, add some","None found, add some",Novel,"Adventure, Mystery, Supernatural",22 min. per ep.,PG-13 - Teens 13 or older,37,,
Gamers!,,6.74,321,5436,656,TV,12,Finished Airing,"Jul 13, 2017 to Sep 28, 2017",Summer 2017,Thursdays at 21:00 (JST),"Sony Pictures Entertainment,       Frontier Works,       Sotsu,       Kadokawa Shoten,       AT-X,       NBCUniversal Entertainment Japan,       Tokyo MX,       i0+,       Chugai Mining,       BS11",Funimation,PINE JAM,Light novel,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,"2,190",,"Love Polygon, Otaku Culture, School, Video Game"
