Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,Mushiking: The Guardians of the Forest,6.80,8974,5124,4,TV,52,Finished Airing,"Apr 6, 2005 to Mar 29, 2006",Spring 2005,Wednesdays at 18:00 (JST),"TV Tokyo,       Yomiko Advertising","None found, add some",TMS Entertainment,Card game,Fantasy,22 min. per ep.,G - All Ages,21,,
"Kamen no Maid Guy: Ano Natsu, Ichiban Yutaka na Chichi.",,6.80,6646,5122,9,OVA,1,Finished Airing,"Dec 22, 2008",,,"None found, add some","None found, add some",Madhouse,Manga,"Action, Comedy, Ecchi",19 min.,R+ - Mild Nudity,3,Shounen,
Koufuku Graffiti,Gourmet Girl Graffiti,6.80,2408,5125,80,TV,12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015",Winter 2015,Fridays at 01:46 (JST),"TBS,       Movic,       flying DOG,       Sony Music Communications,       Houbunsha,       Kadokawa",Sentai Filmworks,Shaft,4-koma manga,"Gourmet, Slice of Life",24 min. per ep.,PG-13 - Teens 13 or older,160,Seinen,CGDCT
Lupin III: Goodbye Partner,,6.80,7542,5127,6,TV Special,1,Finished Airing,"Jan 25, 2019",,,"Nippon Television Network,       TMS Music",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",1 hr. 32 min.,PG-13 - Teens 13 or older,10,Seinen,Adult Cast
Kure-nai OVA,,6.80,5718,5126,13,OVA,2,Finished Airing,"Jul 2, 2010 to Dec 3, 2010",,,Shueisha,"None found, add some",Brain's Base,Light novel,"Action, Comedy",29 min. per ep.,PG-13 - Teens 13 or older,4,,Childcare
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,Magia Record: Puella Magi Madoka Magica Side Story,6.80,1462,5128,162,TV,13,Finished Airing,"Jan 5, 2020 to Mar 29, 2020",Winter 2020,Sundays at 00:00 (JST),"Aniplex,       Houbunsha,       f4samurai",Aniplex of America,Shaft,Game,"Drama, Fantasy, Suspense",23 min. per ep.,PG-13 - Teens 13 or older,870,,"Mahou Shoujo, Psychological"
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,"Midnight Occult Civil Servants: The Blind Alley, the Boy, and I",6.80,7730,5129,6,OVA,1,Finished Airing,"Nov 22, 2019",,,"None found, add some","None found, add some",LIDENFILMS,Manga,"Fantasy, Mystery, Supernatural",25 min.,PG-13 - Teens 13 or older,3,Shoujo,"Adult Cast, Mythology, Workplace"
Nezha Chuanqi,The Legend of Nezha,6.80,15111,5131,644,TV,52,Finished Airing,"Jun 1, 2003 to Jul 2004",Summer 2003,Sundays at Unknown,"None found, add some","None found, add some","None found, add some",Original,Adventure,22 min. per ep.,PG - Children,3,,
Musaigen no Phantom World: Mizutama no Kiseki,Myriad Colors Phantom World Special,6.80,2825,5130,61,Special,1,Finished Airing,"Oct 5, 2016",,,"Lantis,       Pony Canyon",Funimation,Kyoto Animation,Light novel,"Action, Comedy, Fantasy, Ecchi",23 min.,PG-13 - Teens 13 or older,46,,"Harem, School"
Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,Ninja Girl & Samurai Master: Episode 0,6.80,8066,5133,5,Special,1,Finished Airing,"Mar 25, 2016",,,"None found, add some","None found, add some",TMS Entertainment,4-koma manga,Comedy,5 min.,PG-13 - Teens 13 or older,2,,Historical
Ni Zai Xing Guang Shen Chu,Stars Fall,6.80,12492,5132,1,ONA,12,Finished Airing,"Dec 15, 2019 to Feb 23, 2020",,,"None found, add some",bilibili,Wawayu Animation,Novel,"Mystery, Sci-Fi",18 min. per ep.,PG-13 - Teens 13 or older,8,,Super Power
Kami-tachi ni Hirowareta Otoko 2nd Season,By the Grace of the Gods 2,6.79,1915,5134,113,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023",Winter 2023,Mondays at 00:00 (JST),"Lantis,       Toei Video,       KlockWorx,       Nikkatsu,       Asmik Ace,       Hobby Japan,       BS Fuji,       Tokyo MX,       Amusement Media Academy,       Crunchyroll,       Hakuhodo,       Exa International,       Bandai Namco Music Live","None found, add some",Maho Film,Light novel,"Fantasy, Slice of Life",23 min. per ep.,PG-13 - Teens 13 or older,786,,"Isekai, Iyashikei, Reincarnation"
Kamisama ni Natta Hi,The Day I Became a God,6.79,936,5135,262,TV,12,Finished Airing,"Oct 11, 2020 to Dec 27, 2020",Fall 2020,Sundays at 00:00 (JST),"Aniplex,       Movic,       Visual Arts,       Tokyo MX,       Nagoya Broadcasting Network,       ABC Animation",Funimation,P.A. Works,Original,"Drama, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,"1,578",,
"Kono Danshi, Sekka ni Nayandemasu.",This Boy Suffers From Crystallization,6.79,4475,5136,24,OVA,1,Finished Airing,"Dec 3, 2014",,,"None found, add some",Kuma Holdings,CoMix Wave Films,Original,"Boys Love, Drama",27 min.,PG-13 - Teens 13 or older,47,,School
Lamune,,6.79,3452,5137,42,TV,12,Finished Airing,"Oct 11, 2005 to Dec 27, 2005",Fall 2005,Tuesdays at 02:00 (JST),"None found, add some","None found, add some","Trinet Entertainment,       Picture Magic",Visual novel,"Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,73,,
Mahou no Star Magical Emi,,6.79,7998,5139,5,TV,38,Finished Airing,"Jun 7, 1985 to Feb 28, 1986",Summer 1985,Unknown,"None found, add some","None found, add some",Pierrot,Original,"Comedy, Slice of Life",23 min. per ep.,G - All Ages,27,,"Mahou Shoujo, Performing Arts"
Lupin III: Bye Bye Liberty - Kiki Ippatsu!,Lupin III: Goodbye Lady Liberty,6.79,6715,5138,9,TV Special,1,Finished Airing,"Apr 1, 1989",,,VAP,Discotek Media,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",1 hr. 37 min.,R+ - Mild Nudity,7,Seinen,Adult Cast
Mahoujin Guruguru Movie,Magical Circle Guruguru Movie,6.79,11177,5141,2,Movie,1,Finished Airing,"Apr 20, 1996",,,"None found, add some","None found, add some",Nippon Animation,Manga,"Adventure, Comedy, Fantasy",30 min.,G - All Ages,3,Shounen,
Mahou no Yousei Persia,Persia the Magic Fairy,6.79,9140,5140,4,TV,48,Finished Airing,"Jul 6, 1984 to May 31, 1985",Summer 1984,Unknown,"None found, add some","None found, add some",Pierrot,Original,Comedy,24 min. per ep.,PG - Children,28,,Mahou Shoujo
Neo Angelique Abyss,,6.79,3660,5143,37,TV,13,Finished Airing,"Apr 7, 2008 to Jun 30, 2008",Spring 2008,Unknown,Koei,Sentai Filmworks,Yumeta Company,Visual novel,"Comedy, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,124,Josei,Reverse Harem
No Game No Life: Zero - Manner Movie,"No Game, No Life: Zero - Manner Movie",6.79,4025,5144,31,Movie,1,Finished Airing,"Jul 15, 2017",,,Madhouse,"None found, add some",Studio PuYUKAI,Light novel,Comedy,2 min.,G - All Ages,47,,
Monster Farm: Enbanseki no Himitsu,Monster Rancher,6.79,3295,5142,45,TV,48,Finished Airing,"Apr 17, 1999 to Mar 25, 2000",Spring 1999,Saturdays at 07:30 (JST),"None found, add some","ADV Films,       Discotek Media",TMS Entertainment,Game,"Action, Adventure, Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,105,,Isekai
One Piece 3D: Gekisou! Trap Coaster,One Piece 3D: Racing! Trap Coaster,6.79,4411,5145,25,Movie,1,Finished Airing,"Dec 1, 2011",,,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",12 min.,PG-13 - Teens 13 or older,22,Shounen,
Ranma ½: DoCo Music Video,,6.79,9155,5146,4,OVA,1,Finished Airing,"Aug 19, 1995",,,"None found, add some","None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",25 min.,PG-13 - Teens 13 or older,2,,"Martial Arts, Music"
Rockman.EXE Beast+,,6.79,7529,5147,6,TV,26,Finished Airing,"Apr 8, 2006 to Sep 30, 2006",Spring 2006,Unknown,"None found, add some","None found, add some",Xebec,Game,"Action, Adventure, Sci-Fi",10 min. per ep.,PG - Children,6,,"Mecha, Strategy Game"
s.CRY.ed Alteration II: Quan,,6.79,9079,5148,4,Movie,1,Finished Airing,"Mar 10, 2012",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",1 hr. 33 min.,PG-13 - Teens 13 or older,1,,Super Power
Saint Seiya: Jashin Eris,Saint Seiya: Evil Goddess Eris,6.79,4906,5149,19,Movie,1,Finished Airing,"Jul 18, 1987",,,"None found, add some",Discotek Media,Toei Animation,Manga,"Adventure, Sci-Fi",45 min.,PG-13 - Teens 13 or older,14,Shounen,
Kemono no Souja Erin Recap,,6.76,10440,5301,2,TV Special,10,Finished Airing,"Jan 9, 2010 to Mar 13, 2010",,,"None found, add some","None found, add some",Production I.G,Novel,"Adventure, Drama, Fantasy, Slice of Life",20 min. per ep.,G - All Ages,5,,Historical
Shinkyoku Soukai Polyphonica,Polyphonica,6.79,3979,5150,32,TV,12,Finished Airing,"Apr 4, 2007 to Jun 20, 2007",Spring 2007,Unknown,"Lantis,       Pony Canyon,       TBS,       Movic,       Magic Capsule,       SoftBank Creative,       Memory-Tech,       T.O Entertainment,       Fuji Creative",Sentai Filmworks,Ginga Ya,Visual novel,"Drama, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,44,,"Music, School"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,,6.76,12781,5302,1,Special,1,Finished Airing,"Nov 23, 1985",,,"None found, add some","None found, add some",Tatsunoko Production,Manga,Comedy,24 min.,PG-13 - Teens 13 or older,4,Shounen,"Adult Cast, Detective"
Kousoku Denjin Albegus,,6.76,10840,5303,2,TV,45,Finished Airing,"Mar 30, 1983 to Feb 8, 1984",Spring 1983,Unknown,"None found, add some",Discotek Media,Toei Animation,Unknown,Action,24 min. per ep.,G - All Ages,4,,Mecha
Kumo no You ni Kaze no You ni,"Like the Clouds, Like the Wind",6.76,6879,5304,8,TV Special,1,Finished Airing,"Mar 21, 1990",,,Yomiko Advertising,Discotek Media,Pierrot,Novel,"Adventure, Drama, Romance",1 hr. 18 min.,G - All Ages,15,,Historical
Lupin III: Touhou Kenbunroku - Another Page,Lupin III: The Secret Page of Marco Polo,6.76,8141,5305,5,TV Special,1,Finished Airing,"Nov 2, 2012",,,"None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",1 hr. 30 min.,PG-13 - Teens 13 or older,0,Seinen,Adult Cast
Magical☆Star Kanon 100%,Magical Star Kanon 100%!,6.76,3966,5306,32,OVA,1,Finished Airing,"Jun 18, 2013",,,"None found, add some",Sentai Filmworks,Manglobe,Manga,,24 min.,PG-13 - Teens 13 or older,22,Shounen,"Mahou Shoujo, Music"
Majutsushi Orphen: Revenge,Orphen 2: Revenge,6.76,5011,5307,18,TV,23,Finished Airing,"Oct 2, 1999 to Mar 25, 2000",Fall 1999,Saturdays at 17:00 (JST),"Kadokawa Shoten,       TBS",Sentai Filmworks,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,25,,
"Maoyuu Maou Yuusha: Kono Monogatari wa, Niku dake de wa Nai no ja!",Maoyu: There's More to this Story than Useless Flesh!,6.76,4386,5308,25,TV Special,1,Finished Airing,"Mar 9, 2013",,,"Genco,       Kadokawa Shoten,       Animax,       Pony Canyon,       Movic,       Enterbrain,       flying DOG","None found, add some",Arms,Novel,"Adventure, Fantasy, Romance",23 min.,PG-13 - Teens 13 or older,20,,
Midori no Makibao,Green Makibao,6.76,10561,5309,2,TV,61,Finished Airing,"Mar 9, 1996 to Jul 12, 1997",Spring 1996,Saturdays at 06:30 (JST),Fuji TV,"None found, add some",Pierrot,Manga,Comedy,24 min. per ep.,G - All Ages,24,Shounen,Racing
Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation,,6.76,6372,5311,10,ONA,1,Finished Airing,"Nov 16, 2014",,,"None found, add some","None found, add some",OLM,Game,"Action, Adventure, Fantasy",4 min.,PG - Children,4,Kids,
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Naruto: The Lost Story - Mission: Protect the Waterfall Village,6.76,2219,5310,91,Special,1,Finished Airing,"Dec 20, 2003",,,"None found, add some",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",40 min.,PG-13 - Teens 13 or older,138,Shounen,Martial Arts
Quanzhi Fashi II,Full-Time Magister 2nd Season,6.76,2509,5312,75,ONA,12,Finished Airing,"Sep 15, 2017 to Dec 1, 2017",,,"Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Action, Fantasy",18 min. per ep.,PG-13 - Teens 13 or older,99,,School
Ro-Kyu-Bu!,Ro-Kyu-Bu ~ Fast Break!,6.76,2357,5314,82,TV,12,Finished Airing,"Jul 1, 2011 to Sep 23, 2011",Summer 2011,Fridays at 23:30 (JST),"AT-X,       Barnum Studio,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       ASCII Media Works",Sentai Filmworks,"Project No.9,       Studio Blanc.",Light novel,"Comedy, Sports, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,191,,"School, Team Sports"
Rinne no Lagrange: Kamogawa Days,Lagrange: The Flower of Rin-ne – Kamogawa Days,6.76,6579,5313,9,OVA,1,Finished Airing,"Jun 23, 2012",,,"Production I.G,       Bandai Visual,       Yomiuri Telecasting,       flying DOG",VIZ Media,Xebec,Original,"Comedy, Sci-Fi, Slice of Life",43 min.,PG-13 - Teens 13 or older,3,,School
SK∞: Crazy Rock Jam,,6.76,3856,5317,33,TV Special,1,Finished Airing,"Mar 14, 2021",,,"Aniplex,       Movic,       ABC Animation","None found, add some",Bones,Original,Sports,23 min.,PG-13 - Teens 13 or older,274,,Racing
Seiken Tsukai no World Break,World Break: Aria of Curse for a Holy Swordsman,6.76,771,5316,312,TV,12,Finished Airing,"Jan 12, 2015 to Mar 30, 2015",Winter 2015,Mondays at 01:05 (JST),Sotsu,Funimation,Diomedéa,Light novel,"Action, Fantasy, Romance",24 min. per ep.,R - 17+ (violence & profanity),885,,"Harem, Reincarnation, School"
Saint Seiya: Saishuu Seisen no Senshi-tachi,Saint Seiya: Warriors of the Final Holy Battle,6.76,5205,5315,17,Movie,1,Finished Airing,"Mar 18, 1989",,,"None found, add some",Discotek Media,Toei Animation,Manga,"Adventure, Sci-Fi",44 min.,PG-13 - Teens 13 or older,17,Shounen,
Sora no Method,Celestial Method,6.76,1978,5318,109,TV,13,Finished Airing,"Oct 5, 2014 to Dec 28, 2014",Fall 2014,Sundays at 22:30 (JST),"Bandai Visual,       Sotsu,       Lantis,       Showgate,       Good Smile Company,       Infinite",Sentai Filmworks,Studio 3Hz,Original,"Drama, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,330,,School
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,Dokkoida?!,6.76,7619,5319,6,TV,12,Finished Airing,"Jul 13, 2003 to Sep 28, 2003",Summer 2003,Sundays at 02:25 (JST),"Media Factory,       KlockWorx,       Memory-Tech,       Toshiba Entertainment,       Toshiba Digital Frontiers",Sentai Filmworks,ufotable,Light novel,"Action, Adventure, Comedy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,15,Shounen,Parody
Tatsu no Ko Tarou,Taro the Dragon Boy,6.76,8865,5320,4,Movie,1,Finished Airing,"Mar 17, 1979",,,"None found, add some",Discotek Media,Toei Animation,Novel,"Adventure, Fantasy, Supernatural",1 hr. 15 min.,G - All Ages,8,,"Historical, Mythology"
Tenchi Muyou! Ryououki 2nd Season Picture Drama,,6.76,7830,5321,6,Special,1,Finished Airing,"Sep 25, 1995",,,Pioneer LDC,"None found, add some",AIC,Original,"Comedy, Sci-Fi",7 min.,PG-13 - Teens 13 or older,6,,Space
Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,Gurren Lagann: My Gurren is Shiny!!,6.76,3729,5322,36,OVA,1,Finished Airing,"Oct 25, 2007",,,"None found, add some","None found, add some",Gainax,Original,"Action, Adventure, Comedy, Sci-Fi",12 min.,PG-13 - Teens 13 or older,23,,Mecha
Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,Ghost Slayers Ayashi: Inferno,6.76,10084,5323,3,Special,5,Finished Airing,"Aug 22, 2007 to Oct 24, 2007",,,"None found, add some","None found, add some",Bones,Original,"Action, Drama, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,1,,Historical
Vampire Knight: Gekiai no Portrait,,6.76,3523,5325,40,Special,1,Finished Airing,"Nov 26, 2008",,,Nihon Ad Systems,"None found, add some",Studio Deen,Manga,Comedy,3 min.,PG-13 - Teens 13 or older,147,Shoujo,Vampire
Urusei Yatsura Movie 6: Itsudatte My Darling,Urusei Yatsura Movie 6: Always My Darling,6.76,6708,5324,9,Movie,1,Finished Airing,"Aug 18, 1991",,,Kitty Films,"AnimEigo,       Discotek Media",Madhouse,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",1 hr. 17 min.,PG-13 - Teens 13 or older,3,Shounen,
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",Didn't I Say to Make My Abilities Average in the Next Life?!,6.76,1261,5326,191,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",Fall 2019,Mondays at 23:30 (JST),"AT-X,       Earth Star Entertainment,       Avex Pictures,       TV Aichi,       ABC Animation,       MAGNET","None found, add some",Project No.9,Light novel,"Adventure, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,458,,"Isekai, Reincarnation"
Zettai Karen Children: Gentei Kaikin!! OVA Chou Sakidori Special!!,,6.76,10021,5328,3,OVA,1,Finished Airing,"Apr 16, 2010",,,"None found, add some","None found, add some",SynergySP,Manga,"Action, Comedy, Supernatural",16 min.,PG-13 - Teens 13 or older,1,Shounen,
White Album 2nd Season,White Album Season 2,6.76,3082,5327,51,TV,13,Finished Airing,"Oct 3, 2009 to Dec 24, 2009",Fall 2009,Unknown,"None found, add some","None found, add some",Seven Arcs,Visual novel,"Drama, Romance",25 min. per ep.,PG-13 - Teens 13 or older,75,,"Harem, Idols (Female), Music"
Zhen Wu Dianfeng 3rd Season,The Peak of True Martial Arts 3rd Season,6.76,15409,5329,598,ONA,104,Currently Airing,"Nov 29, 2023 to ?",,,Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy",10 min. per ep.,PG-13 - Teens 13 or older,5,,"Historical, Martial Arts"
Attack No.1,,6.76,6407,5330,10,TV,104,Finished Airing,"Dec 7, 1969 to Nov 28, 1971",Winter 1970,Sundays at 19:00 (JST),Fuji TV,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Sports",24 min. per ep.,PG-13 - Teens 13 or older,46,Shoujo,Team Sports
Bananya,,6.76,2602,5331,70,TV,13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016",Summer 2016,Mondays at 20:55 (JST),"TMS Entertainment,       DAX Production,       TMS Music",Discotek Media,Gathering,Original,Slice of Life,3 min. per ep.,G - All Ages,372,Kids,Anthropomorphic
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,,6.76,2494,5334,75,ONA,7,Finished Airing,"May 2, 2008 to May 8, 2009",,,Half H.P Studio,"None found, add some",AIC,Original,Girls Love,14 min. per ep.,PG-13 - Teens 13 or older,354,,"Love Polygon, School"
Blue Thermal,,6.76,5843,5333,12,Movie,1,Finished Airing,"Mar 4, 2022",,,"None found, add some",Eleven Arts,Telecom Animation Film,Manga,Drama,1 hr. 43 min.,PG-13 - Teens 13 or older,26,Seinen,
Blue Seed Omake,,6.76,9840,5332,3,Special,14,Finished Airing,"Jan 21, 1995 to Jun 21, 1996",,,"None found, add some","ADV Films,       Discotek Media",Production I.G,Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,3,,Parody
Candy☆Boy: Side Story For Archive,,6.76,3952,5335,32,ONA,1,Finished Airing,"Nov 22, 2007",,,"None found, add some","None found, add some",AIC,Original,Girls Love,10 min.,PG-13 - Teens 13 or older,22,,School
Captain Tsubasa: Ayaushi! Zen Nihon Jr.,,6.76,8094,5336,5,Movie,1,Finished Airing,"Dec 21, 1985",,,TV Tokyo,"None found, add some",Tsuchida Productions,Manga,Sports,1 hr.,G - All Ages,3,Shounen,Team Sports
Chuubyou Gekihatsu Boy,Outburst Dreamer Boys,6.76,3216,5337,47,TV,11,Finished Airing,"Oct 4, 2019 to Dec 13, 2019",Fall 2019,Fridays at 22:30 (JST),"Lantis,       Bandai Namco Live Creative,       Ai Addiction,       Kadokawa Media House,       NTT Plala,       Kadokawa,       Bandai Namco Arts",Sentai Filmworks,Studio Deen,Novel,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,164,,School
Deatte 5-byou de Battle,Battle Game in 5 Seconds,6.76,1185,5339,205,TV,12,Finished Airing,"Jul 13, 2021 to Sep 28, 2021",Summer 2021,Tuesdays at 00:00 (JST),"Shogakukan-Shueisha Productions,       Pony Canyon,       Bushiroad,       Studio A-CAT,       Tokyo MX,       Fields,       Kansai Telecasting,       BS11,       Bandai Spirits","None found, add some","SynergySP,       Vega Entertainment",Web manga,"Supernatural, Suspense",23 min. per ep.,R - 17+ (violence & profanity),923,,"High Stakes Game, Strategy Game, Super Power, Survival"
Dirty Pair: Bouryaku no 005-bin,Original Dirty Pair: Flight 005 Conspiracy,6.76,8280,5340,5,OVA,1,Finished Airing,"Jan 25, 1990",,,"None found, add some","ADV Films,       Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi",59 min.,PG-13 - Teens 13 or older,3,,
Code:Realize - Sousei no Himegimi - Set a Thief to Catch a Thief,Code:Realize ~Guardian of Rebirth~ Set a thief to catch a thief,6.76,6687,5338,9,OVA,1,Finished Airing,"May 17, 2018",,,"None found, add some","None found, add some",M.S.C,Visual novel,"Fantasy, Romance",24 min.,PG-13 - Teens 13 or older,14,Josei,"Historical, Reverse Harem"
Dragon Ball Movie 1: Shen Long no Densetsu,Dragon Ball: Curse of the Blood Rubies,6.76,2630,5341,69,Movie,1,Finished Airing,"Dec 20, 1986",,,"None found, add some","Funimation,       Harmony Gold",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",50 min.,PG-13 - Teens 13 or older,40,Shounen,Super Power
Future Card Buddyfight Battsu: All-Star Fight,,6.76,10233,5343,2,TV,8,Finished Airing,"Apr 7, 2018 to May 26, 2018",Spring 2018,Saturdays at 08:00 (JST),Bushiroad,"None found, add some","Xebec,       OLM",Card game,,24 min. per ep.,PG - Children,5,,Strategy Game
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,Dragon Ball Z: Broly - Second Coming,6.76,1682,5342,134,Movie,1,Finished Airing,"Mar 12, 1994",,,"None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",50 min.,PG-13 - Teens 13 or older,47,Shounen,"Martial Arts, Super Power"
Garo: Honoo no Kokuin - Home,GARO: THE ANIMATION - HOME,6.76,6051,5344,11,Special,1,Finished Airing,"Sep 16, 2015",,,Tohokushinsha Film Corporation,Funimation,MAPPA,Original,"Action, Fantasy",23 min.,PG-13 - Teens 13 or older,4,,
Girls & Panzer: Nihon Senshadou Renmei News,,6.76,8219,5345,5,Special,2,Finished Airing,"Jun 21, 2013",,,"Lantis,       Movic,       Showgate","None found, add some",Actas,Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,2,,CGDCT
Gundam Build Fighters Try: Island Wars,,6.76,5778,5346,13,TV Special,1,Finished Airing,"Aug 21, 2016",,,"None found, add some",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",34 min.,G - All Ages,16,,Mecha
Gundam Build Fighters: Battlogue,,6.76,6890,5347,8,ONA,5,Finished Airing,"Aug 4, 2017 to Dec 8, 2017",,,Sotsu,Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",11 min. per ep.,G - All Ages,5,,Mecha
Happy☆Lesson Advance,,6.76,5382,5349,15,TV,13,Finished Airing,"Jul 3, 2003 to Sep 28, 2003",Summer 2003,Unknown,"KSS,       Studio Jack","None found, add some",Studio Hibari,Manga,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,7,,Harem
