Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Captain Tsubasa: Saikyou no Teki! Holland Youth,,6.81,8348,5051,5,OVA,1,Finished Airing,"Dec 16, 1995",Yomiko Advertising,"None found, add some",J.C.Staff,Manga,Sports,Team Sports,Shounen,47 min.,G - All Ages,1,,
Chou Robot Seimeitai Transformers Micron Densetsu,Transformers Armada,6.81,6343,5053,10,TV,52,Finished Airing,"Jan 10, 2003 to Dec 26, 2003","TV Tokyo,       Nippon Columbia,       TV Tokyo Music",Hasbro,Actas,Other,"Action, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,42,Winter 2003,Fridays at 18:00 (JST)
Cyborg 009 (TV),Cyborg 009,6.81,7452,5054,7,TV,26,Finished Airing,"Apr 5, 1968 to Sep 27, 1968","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Sci-Fi",Mecha,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,12,Spring 1968,Unknown
Chihayafuru 3: Ima Hitotabi no,,6.81,6481,5052,9,TV Special,1,Finished Airing,"Jan 29, 2020","None found, add some","None found, add some",Madhouse,Manga,"Drama, Sports","School, Strategy Game",Josei,22 min.,PG-13 - Teens 13 or older,10,,
Engage Kiss,,6.81,1044,5056,234,TV,13,Finished Airing,"Jul 3, 2022 to Sep 25, 2022","Aniplex,       Square Enix,       Docomo Anime Store,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Contents Seed",Aniplex of America,A-1 Pictures,Original,"Action, Comedy, Romance",,,24 min. per ep.,PG-13 - Teens 13 or older,"1,196",Summer 2022,Sundays at 00:30 (JST)
Double Decker! Doug & Kirill,,6.81,3702,5055,37,TV,13,Finished Airing,"Sep 30, 2018 to Dec 23, 2018",Lantis,Funimation,Sunrise,Original,"Action, Comedy, Mystery, Sci-Fi","Adult Cast, Detective",,24 min. per ep.,R - 17+ (violence & profanity),95,Fall 2018,Sundays at 22:30 (JST)
Fantascope: Tylostoma,,6.81,8518,5057,5,OVA,1,Finished Airing,"Aug 1, 2006","None found, add some","None found, add some",Toei Animation,Unknown,"Fantasy, Supernatural",,,34 min.,R+ - Mild Nudity,23,,
Gakusen Toshi Asterisk,The Asterisk War,6.81,314,5059,664,TV,12,Finished Airing,"Oct 3, 2015 to Dec 19, 2015","Aniplex,       Animax,       Movic,       DAX Production,       flying DOG,       Bandai Namco Entertainment,       Asahi Broadcasting,       Kadokawa",Aniplex of America,A-1 Pictures,Light novel,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi","Harem, School",,23 min. per ep.,PG-13 - Teens 13 or older,"2,235",Fall 2015,Saturdays at 20:30 (JST)
Galaxy Angel Specials,,6.81,10510,5060,2,Special,2,Finished Airing,"Jan 25, 2002",Broccoli,"Nozomi Entertainment,       Bandai Entertainment",Madhouse,Game,"Comedy, Sci-Fi",,,13 min. per ep.,PG-13 - Teens 13 or older,1,,
gdgd Fairies,,6.81,7930,5061,6,TV,12,Finished Airing,"Oct 13, 2011 to Dec 29, 2011","Strawberry Meets Pictures,       Bouncy","None found, add some","None found, add some",Original,Comedy,,,13 min. per ep.,G - All Ages,81,Fall 2011,Thursdays at Unknown
