Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Rakshasa Street,6.94,8530,4451,5,ONA,7,Finished Airing,"May 15, 2021 to Jun 26, 2021",bilibili,"None found, add some",L²Studio,Manga,"Action, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,7,,,
Ai Shoujo Pollyanna Story,,6.94,7836,4452,6,TV,51,Finished Airing,"Jan 5, 1986 to Dec 28, 1986","None found, add some","None found, add some",Nippon Animation,Novel,"Drama, Slice of Life",Historical,25 min. per ep.,G - All Ages,28,Winter 1986,Sundays at 19:30 (JST),
Aki no Kanade,,6.94,4654,4453,22,Movie,1,Finished Airing,22-Mar-15,Exa International,"None found, add some",J.C.Staff,Original,Slice of Life,"Music, School",25 min.,PG-13 - Teens 13 or older,26,,,
Alps no Shoujo Heidi (1979),The Story of Heidi,6.94,8052,4454,5,Movie,1,Finished Airing,17-Mar-79,Zuiyo,"None found, add some",Nippon Animation,Unknown,Drama,Historical,1 hr. 47 min.,PG - Children,9,,,
Anne Happy♪,Anne-Happy,6.94,2413,4455,79,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016","Sotsu,       AT-X,       KlockWorx,       Asmik Ace,       Houbunsha,       BS Fuji,       DIVE II Entertainment,       Grooove,       Avex Pictures,       Crunchyroll,       Contents Seed,       FuRyu","None found, add some",SILVER LINK.,Manga,Slice of Life,"CGDCT, School",23 min. per ep.,PG-13 - Teens 13 or older,264,Spring 2016,Thursdays at 21:30 (JST),
Appleseed Alpha,,6.94,4988,4456,19,Movie,1,Finished Airing,17-Jan-15,"Sony Pictures Entertainment,       Aniplex,       Lucent Pictures Entertainment",Sony Pictures Worldwide Acquisitions,Sola Digital Arts,Manga,"Action, Adventure, Sci-Fi","Mecha, Military",1 hr. 33 min.,R - 17+ (violence & profanity),34,,,Seinen
Arifureta Shokugyou de Sekai Saikyou: Arifureta Yorimichi de Sekai Saikyou,Arifureta: From a Detour to the World's Strongest,6.94,3335,4457,44,Special,1,Finished Airing,23-Mar-22,"None found, add some","None found, add some","asread.,       studio MOTHER",Light novel,"Action, Adventure, Fantasy","Harem, Isekai",23 min.,PG-13 - Teens 13 or older,105,,,
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,,6.94,5662,4458,13,Special,6,Finished Airing,"Feb 23, 2011 to Mar 30, 2011","None found, add some","None found, add some",SILVER LINK.,Light novel,Comedy,School,3 min. per ep.,PG-13 - Teens 13 or older,11,,,
Battle Spirits: Shounen Gekiha Dan,,6.94,9092,4459,4,TV,50,Finished Airing,"Sep 13, 2009 to Sep 5, 2010","None found, add some","None found, add some",Sunrise,Card game,Adventure,"Isekai, Military, Strategy Game",23 min. per ep.,PG - Children,9,Fall 2009,Unknown,
Biohazard: Degeneration,,6.94,3693,4460,37,Movie,1,Finished Airing,18-Oct-08,"Sony Pictures Entertainment,       Capcom","None found, add some",Digital Frontier,Game,"Action, Horror, Sci-Fi",,1 hr. 36 min.,R - 17+ (violence & profanity),50,,,
Buddy Complex: Daremo Shiranai Ashita e,,6.94,9467,4461,3,ONA,1,Finished Airing,20-Sep-14,Lantis,"None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Time Travel",1 hr. 34 min.,PG-13 - Teens 13 or older,6,,,
Chobits Recap,Chobits: Hibiya and Kotoko Chat,6.94,3647,4462,38,Special,1,Finished Airing,21-Feb-03,"None found, add some","Funimation,       Geneon Entertainment USA",Madhouse,Manga,"Comedy, Drama, Romance, Sci-Fi, Ecchi",,24 min.,PG-13 - Teens 13 or older,41,,,
Danganronpa 3: Monokuma Gekijou,,6.94,4074,4463,30,Special,3,Finished Airing,"Oct 27, 2016 to Dec 21, 2016","None found, add some","None found, add some",Lerche,Game,Comedy,Parody,3 min. per ep.,PG-13 - Teens 13 or older,77,,,
Devil May Cry,,6.94,777,4464,310,TV,12,Finished Airing,"Jun 14, 2007 to Sep 6, 2007","WOWOW,       Media Factory,       Capcom,       Toshiba Entertainment,       Showgate",Funimation,Madhouse,Game,"Action, Fantasy","Gore, Mythology",24 min. per ep.,R - 17+ (violence & profanity),"1,677",Summer 2007,Thursdays at 23:00 (JST),
Doraemon Movie 02: Nobita no Uchuu Kaitakushi,"Doraemon the Movie: The Records of Nobita, Spaceblazer",6.94,8199,4465,5,Movie,1,Finished Airing,14-Mar-81,TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",,1 hr. 36 min.,PG - Children,3,,,"KidsKids,         ShounenShounen"
Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,Pokémon: Twilight Wings - The Gathering of Stars,6.94,7712,4466,6,ONA,1,Finished Airing,05-Nov-20,FILMONY,"None found, add some",Studio Colorido,Game,Fantasy,,6 min.,PG - Children,1,,,Kids
Inazuma Eleven Go vs. Danball Senki W Movie,,6.94,5570,4467,14,Movie,1,Finished Airing,01-Dec-12,Dentsu Tec,"None found, add some",OLM,Game,Sports,"Mecha, Team Sports",1 hr. 30 min.,G - All Ages,17,,,Kids
A-Channel,,6.93,2086,4468,100,TV,12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011","Aniplex,       Dentsu,       Mainichi Broadcasting System",Sentai Filmworks,Studio Gokumi,4-koma manga,Comedy,"CGDCT, School",24 min. per ep.,PG-13 - Teens 13 or older,307,Spring 2011,Fridays at 01:40 (JST),
Batman: Gotham Knight,,6.93,4075,4469,30,OVA,6,Finished Airing,08-Jul-08,Cyclone Graphics,Warner Bros. Pictures,"Bee Train,       Production I.G,       Madhouse,       Studio 4°C",Other,"Action, Adventure",Martial Arts,12 min. per ep.,R - 17+ (violence & profanity),66,,,
