Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Meitantei Conan vs. Kaitou Kid,Detective Conan vs. Kid the Phantom Thief,6.78,10026,5218,3,Movie,1,Finished Airing,05-Jan-24,"None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 20 min.,PG-13 - Teens 13 or older,10,,,Shounen
Mijikamon,,6.78,3953,5219,32,ONA,12,Finished Airing,"Jul 3, 2014 to Sep 28, 2014","None found, add some","None found, add some",Kinema Citrus,Manga,Comedy,Visual Arts,2 min. per ep.,G - All Ages,16,,,
Nagagutsu wo Haita Neko: 80-nichikan Sekai Isshuu,Puss-in-Boots: Travels Around the World in 80 Days,6.78,10790,5220,2,Movie,1,Finished Airing,20-Mar-76,"None found, add some",Discotek Media,Toei Animation,Other,Adventure,Anthropomorphic,1 hr. 8 min.,PG - Children,5,,,Kids
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,Naruto: Finally a Clash!! Jounin vs. Genin!,6.78,2381,5221,81,OVA,1,Finished Airing,22-Dec-05,"None found, add some","None found, add some",Pierrot,Game,Action,,26 min.,PG-13 - Teens 13 or older,102,,,Shounen
Naruto: The Cross Roads,,6.78,3012,5222,54,Special,1,Finished Airing,12-Oct-09,"None found, add some","None found, add some",Pierrot,Original,"Action, Fantasy",,27 min.,PG-13 - Teens 13 or older,34,,,Shounen
Ojamajo Doremi OVA,,6.78,10955,5223,2,OVA,3,Finished Airing,2001 to 2002,"None found, add some","None found, add some",Toei Animation,Unknown,Comedy,"Educational, Mahou Shoujo",13 min. per ep.,G - All Ages,4,,,
"Okoshiyasu, Chitose-chan","Welcome, Chitose",6.78,7665,5224,6,TV,24,Finished Airing,"Oct 6, 2018 to Mar 23, 2019",VAP,"None found, add some",Gathering,Manga,Slice of Life,Anthropomorphic,3 min. per ep.,G - All Ages,12,Fall 2018,Saturdays at 01:35 (JST),Josei
Otome wa Boku ni Koishiteru: Futari no Elder The Animation,,6.78,5113,5225,17,OVA,3,Finished Airing,"Jul 30, 2012 to Oct 1, 2012","None found, add some","None found, add some",SILVER LINK.,Visual novel,"Drama, Romance","Crossdressing, School",25 min. per ep.,PG-13 - Teens 13 or older,32,,,
Peter Pan no Bouken,Peter Pan & Wendy,6.78,8616,5226,4,TV,41,Finished Airing,"Jan 15, 1989 to Dec 24, 1989",Fuji TV,Saban Entertainment,Nippon Animation,Book,"Adventure, Fantasy",,23 min. per ep.,G - All Ages,11,Winter 1989,Sundays at 19:30 (JST),
Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,Pokémon Ranger and the Temple of the Sea,6.78,2264,5227,88,Movie,1,Finished Airing,15-Jul-06,Studio Jack,"VIZ Media,       The Pokemon Company International",OLM,Game,"Action, Adventure, Drama, Fantasy",,1 hr. 45 min.,PG - Children,47,,,Kids
PriPara Movie: Mi~nna Atsumare! Prism☆Tours,,6.78,10491,5228,2,Movie,1,Finished Airing,07-Mar-15,"None found, add some","None found, add some",Tatsunoko Production,Game,,"Idols (Female), Music",1 hr. 30 min.,PG - Children,3,,,
Pupipo!,,6.78,4702,5229,22,TV,15,Finished Airing,"Dec 21, 2013 to Mar 29, 2014",AIC,"None found, add some",AIC PLUS+,Manga,"Comedy, Slice of Life, Supernatural",School,4 min. per ep.,PG - Children,46,Winter 2014,Saturdays at 01:53 (JST),
Sansha Sanyou Specials,,6.78,7354,5230,7,Special,3,Finished Airing,"Jun 29, 2016 to Aug 17, 2016",TOHO animation,"None found, add some",Doga Kobo,4-koma manga,"Comedy, Slice of Life","CGDCT, School",6 min. per ep.,PG-13 - Teens 13 or older,1,,,
Senjou no Valkyria: SenVal Theater,Valkyria Chronicles: Theater,6.78,6026,5231,11,Special,9,Finished Airing,"Aug 5, 2009 to Apr 7, 2010",Sega,"None found, add some",A-1 Pictures,Game,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,3,,,
Shin Koihime†Musou,,6.78,3938,5232,32,TV,12,Finished Airing,"Oct 5, 2009 to Dec 21, 2009",Marvelous Entertainment,Sentai Filmworks,Doga Kobo,Visual novel,"Adventure, Comedy, Fantasy, Ecchi",Historical,24 min. per ep.,R+ - Mild Nudity,39,Fall 2009,Unknown,
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside Season 2",6.78,2014,5233,106,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024","AT-X,       Magic Capsule,       Nippon Columbia,       BS NTV,       Kadokawa,       Kyoto Broadcasting System","None found, add some",Studio Flad,Light novel,"Adventure, Fantasy, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,364,Winter 2024,Sundays at 22:30 (JST),
Shinpi no Sekai El-Hazard Season 2,El Hazard 2: The Magnificent World,6.78,6540,5234,9,OVA,4,Finished Airing,"Mar 21, 1997 to Oct 25, 1997",Pioneer LDC,Geneon Entertainment USA,AIC,Original,"Adventure, Comedy, Fantasy",Isekai,30 min. per ep.,PG-13 - Teens 13 or older,6,,,
Shiyakusho,Death Hall,6.78,13513,5235,1,ONA,1,Finished Airing,09-Feb-22,"Frontier Works,       Shinchosha,       Stay Luck","None found, add some",Typhoon Graphics,Manga,Slice of Life,,11 min.,PG-13 - Teens 13 or older,2,,,Seinen
Sinbi Apartment: Ghost Ball Bimil,The Haunted House: The Secret of the Ghost Ball,6.78,11822,5236,1,TV,24,Finished Airing,"Jul 20, 2016 to Jan 18, 2017",CJ ENM,"None found, add some",Studio BAZOOKA,Original,"Mystery, Supernatural",,24 min. per ep.,G - All Ages,18,Summer 2016,Unknown,Kids
Super Lovers,,6.78,1579,5237,146,TV,10,Finished Airing,"Apr 6, 2016 to Jun 8, 2016","DAX Production,       Nippon Columbia,       Kadokawa","Funimation,       Crunchyroll",Studio Deen,Manga,"Boys Love, Comedy, Drama",,24 min. per ep.,PG-13 - Teens 13 or older,"1,076",Spring 2016,Wednesdays at 23:30 (JST),
