Name,positive_ratio,total_reviews
Gintama: The Final,0.7948717948717948,78
Gintama',0.7560975609756098,41
Shingeki no Kyojin Season 3 Part 2,0.8027522935779816,218
Ginga Eiyuu Densetsu,0.6578947368421053,190
Gintama': Enchousen,0.88,25
Sousou no Frieren,0.7731629392971247,626
Bleach: Sennen Kessen-hen,0.6492537313432836,134
Gintama.,0.7037037037037037,27
Kaguya-sama wa Kokurasetai: Ultra Romantic,0.7563025210084033,238
Fullmetal Alchemist: Brotherhood,0.7428288822947576,1011
Fruits Basket: The Final,0.7687861271676301,173
Steins;Gate,0.675,1080
Clannad: After Story,0.6333333333333333,60
Gintama,0.65,120
Hunter x Hunter (2011),0.7348837209302326,860
Gintama°,0.6096302665520207,1163
Koe no Katachi,0.35,20
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,0.7954545454545454,44
Kusuriya no Hitorigoto,0.7916666666666666,120
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,0.85,20
3-gatsu no Lion 2nd Season,0.736,125
Owarimonogatari 2nd Season,0.7090909090909091,55
Boku no Kokoro no Yabai Yatsu 2nd Season,0.7906976744186046,86
Shingeki no Kyojin: The Final Season - Kanketsu-hen,0.5389221556886228,334
Violet Evergarden Movie,0.72,225
Kingdom 3rd Season,0.9130434782608695,23
Code Geass: Hangyaku no Lelouch R2,0.6905940594059405,404
Gintama.: Shirogane no Tamashii-hen,0.5909090909090909,22
Monster,0.6744186046511628,473
Jujutsu Kaisen 2nd Season,0.5472636815920398,201
Kizumonogatari III: Reiketsu-hen,0.6595744680851063,47
Mob Psycho 100 II,0.7435897435897436,195
Vinland Saga Season 2,0.6301369863013698,219
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,0.6842105263157895,76
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,0.6206896551724138,58
Hajime no Ippo,0.7752808988764045,178
Shingeki no Kyojin: The Final Season,0.6303797468354431,395
Bocchi the Rock!,0.791005291005291,378
Sen to Chihiro no Kamikakushi,0.7782101167315175,257
Kimi no Na wa.,0.7610993657505285,946
The First Slam Dunk,0.7419354838709677,31
Kingdom 4th Season,0.6666666666666666,12
Monogatari Series: Second Season,0.7142857142857143,84
Kingdom 5th Season,1.0,12
Shingeki no Kyojin: The Final Season Part 2,0.5401069518716578,187
Mushishi Zoku Shou 2nd Season,0.9375,16
Kimetsu no Yaiba: Yuukaku-hen,0.6485507246376812,276
Ashita no Joe 2,0.7741935483870968,31
Shiguang Dailiren,0.7964071856287425,167
Vinland Saga,0.6463414634146342,328
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,0.7959183673469388,49
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.8181818181818182,77
Mob Psycho 100 III,0.7964601769911505,113
86 Part 2,0.6526315789473685,190
Haikyuu!! Movie: Gomisuteba no Kessen,0.6857142857142857,35
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,0.48717948717948717,39
Cowboy Bebop,0.7861952861952862,594
Mo Dao Zu Shi: Wanjie Pian,0.7142857142857143,14
Tian Guan Cifu Er,0.42857142857142855,7
Mushishi Zoku Shou,0.7777777777777778,27
Hajime no Ippo: New Challenger,0.8421052631578947,19
Great Teacher Onizuka,0.7988826815642458,179
Fate/stay night Movie: Heaven's Feel - III. Spring Song,0.6697247706422018,109
Mononoke Hime,0.80625,160
Howl no Ugoku Shiro,0.6951871657754011,187
Code Geass: Hangyaku no Lelouch,0.7328990228013029,614
One Piece,0.6812796208530806,844
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,0.74375,160
Mushishi,0.8,260
Violet Evergarden,0.768,500
Natsume Yuujinchou Shi,0.8235294117647058,17
Bungou Stray Dogs 5th Season,0.53125,32
Odd Taxi,0.7385321100917431,218
Made in Abyss: Retsujitsu no Ougonkyou,0.6198347107438017,121
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,0.6915887850467289,214
Shiguang Dailiren II,0.7073170731707317,41
"""Oshi no Ko""",0.6153846153846154,351
Shingeki no Kyojin Season 3,0.6456692913385826,127
Made in Abyss,0.7585513078470825,497
Hibike! Euphonium 3,0.0,0
Ping Pong the Animation,0.75,200
Haikyuu!! Second Season,0.7777777777777778,81
Natsume Yuujinchou Roku,0.95,20
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,0.5983606557377049,122
Suzumiya Haruhi no Shoushitsu,0.7055214723926381,163
Hajime no Ippo: Rising,0.7857142857142857,14
Tengen Toppa Gurren Lagann,0.7192118226600985,609
Mushishi Zoku Shou: Suzu no Shizuku,0.7,10
Jujutsu Kaisen,0.6633064516129032,496
Shigatsu wa Kimi no Uso,0.710720887245841,1082
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,0.6730769230769231,156
Kenpuu Denki Berserk,0.7065637065637066,259
Death Note,0.7512820512820513,780
Cyberpunk: Edgerunners,0.6547619047619048,420
Shin Evangelion Movie:||,0.5,20
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,0.7,20
Doupo Cangqiong: San Nian Zhi Yue,0.7,10
Natsume Yuujinchou Go,1.0,8
Shouwa Genroku Rakugo Shinjuu,0.7674418604651163,86
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,0.6560509554140127,157
Fate/Zero 2nd Season,0.6394557823129252,147
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",0.49557522123893805,226
Haikyuu!! To the Top Part 2,0.5517241379310345,87
Yojouhan Shinwa Taikei,0.7164948453608248,194
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,0.6037735849056604,53
Zoku Natsume Yuujinchou,0.9090909090909091,22
Slam Dunk,0.75,56
Bakuman. 3rd Season,0.7592592592592593,54
Fruits Basket 2nd Season,0.7391304347826086,69
Perfect Blue,0.702020202020202,198
Mushishi: Hihamukage,0.8461538461538461,13
Kimi no Suizou wo Tabetai,0.6423611111111112,288
Nana,0.8051470588235294,272
Steins;Gate 0,0.48947368421052634,190
Gintama Movie 1: Shinyaku Benizakura-hen,0.6363636363636364,22
Sora yori mo Tooi Basho,0.8149606299212598,254
Gintama.: Porori-hen,0.6666666666666666,21
Shingeki no Kyojin,0.6621923937360179,894
Kara no Kyoukai Movie 5: Mujun Rasen,0.5588235294117647,34
Spy x Family,0.7536656891495601,341
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,0.5555555555555556,27
Yuru Camp△ Season 2,0.8952618453865336,401
Shoujo☆Kageki Revue Starlight Movie,0.75,520
Hotaru no Haka,0.6857142857142857,140
Ousama Ranking,0.55,20
Samurai Champloo,0.8,20
Natsume Yuujinchou San,0.75,16
Kizumonogatari II: Nekketsu-hen,0.6216216216216216,37
Ookami Kodomo no Ame to Yuki,0.7637130801687764,237
Kimetsu no Yaiba Movie: Mugen Ressha-hen,0.636,250
Tian Guan Cifu Special,0.75,4
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,0.7847222222222222,144
Pluto,0.6728971962616822,107
Shingeki no Kyojin Season 2,0.5980861244019139,209
Uchuu Kyoudai,0.7213114754098361,61
Mob Psycho 100,0.6996047430830039,253
Chainsaw Man,0.6045340050377834,397
Aria the Origination,0.7704918032786885,61
Summertime Render,0.6737967914438503,187
Kono Subarashii Sekai ni Shukufuku wo! 3,0.6,15
Ansatsu Kyoushitsu 2nd Season,0.8061224489795918,196
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,0.6065573770491803,61
One Punch Man,0.654510556621881,521
Yakusoku no Neverland,0.7214484679665738,359
Gintama: The Semi-Final,0.6,5
Chihayafuru 3,0.7105263157894737,38
Karakai Jouzu no Takagi-san Movie,0.7894736842105263,19
Rainbow: Nisha Rokubou no Shichinin,0.76875,160
Mo Dao Zu Shi: Xian Yun Pian,0.6923076923076923,13
Mo Dao Zu Shi,0.7070707070707071,99
Banana Fish,0.640495867768595,242
Owarimonogatari,0.5714285714285714,35
Bungou Stray Dogs 4th Season,0.625,24
Zoku Owarimonogatari,0.5172413793103449,29
Nichijou,0.7351778656126482,253
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,0.682258064516129,620
Yuu☆Yuu☆Hakusho,0.7127659574468085,470
Kimetsu no Yaiba,0.625,440
Jujutsu Kaisen 0 Movie,0.6,80
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,0.5348837209302325,172
Gintama: Yorinuki Gintama-san on Theater 2D,0.0,2
Golden Kamuy 3rd Season,0.92,25
Wu Liuqi: Xuanwu Guo Pian,0.8125,16
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,0.6666666666666666,90
Mushishi Zoku Shou: Odoro no Michi,0.8,5
Jujutsu Kaisen 0 Movie,0.6381578947368421,152
Grand Blue,0.7678571428571429,168
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,0.7926829268292683,82
Kono Oto Tomare! Part 2,0.8108108108108109,37
Koukaku Kidoutai: Stand Alone Complex,0.6575342465753424,73
Saenai Heroine no Sodatekata Fine,0.75,64
Hunter x Hunter,0.7857142857142857,56
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,0.5443786982248521,169
Mononoke,0.8484848484848485,99
Haikyuu!!,0.7896341463414634,328
Shingeki no Kyojin: Kuinaki Sentaku,0.5925925925925926,27
Natsume Yuujinchou Movie: Utsusemi ni Musubu,0.7,10
Tian Guan Cifu,0.6901408450704225,71
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,0.6428571428571429,56
Kamisama Hajimemashita: Kako-hen,0.7272727272727273,11
Karakai Jouzu no Takagi-san 3,0.8157894736842105,38
Major S5,1.0,4
Natsume Yuujinchou Roku Specials,1.0,2
Doupo Cangqiong: Nian Fan,1.0,1
Fruits Basket: Prelude,0.6190476190476191,42
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,0.6787709497206704,358
Vivy: Fluorite Eye's Song,0.7158671586715867,271
Saiki Kusuo no Ψ-nan,0.7244224422442245,606
Saiki Kusuo no Ψ-nan 2,0.7463175122749591,611
Yuru Camp△ Movie,1.0,432
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),0.52,25
Blue Giant,0.9444444444444444,18
Kaze ga Tsuyoku Fuiteiru,0.7452229299363057,157
Houseki no Kuni,0.7291666666666666,192
Josee to Tora to Sakana-tachi,0.6910112359550562,178
Chihayafuru 2,0.7333333333333333,45
3-gatsu no Lion,0.7412935323383084,201
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,0.6893203883495146,206
Made in Abyss Movie 2: Hourou Suru Tasogare,0.5,2
Cowboy Bebop: Tengoku no Tobira,0.6986301369863014,73
Non Non Biyori Nonstop,0.7333333333333333,30
Tensei shitara Slime Datta Ken 2nd Season,0.46788990825688076,109
Ramayana: The Legend of Prince Rama,0.8,5
Cross Game,0.7974683544303798,79
Haikyuu!! To the Top,0.58,50
Barakamon,0.8535353535353535,198
Wu Shan Wu Xing: Xichuan Huan Zi Lin,1.0,6
Kage no Jitsuryokusha ni Naritakute! 2nd Season,0.52,75
Kimetsu no Yaiba: Mugen Ressha-hen,0.5409836065573771,61
Baccano!,0.7315789473684211,380
Kizumonogatari I: Tekketsu-hen,0.4909090909090909,55
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,0.38461538461538464,26
K-On! Movie,0.6862745098039216,51
Mushoku Tensei: Isekai Ittara Honki Dasu,0.5581039755351682,654
Meitantei Conan Movie 26: Kurogane no Submarine,0.75,8
Gintama: Shiroyasha Koutan,0.8571428571428571,7
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,0.5263157894736842,779
Mahou Shoujo Madoka★Magica,0.6761133603238867,741
Kaze no Tani no Nausicaä,0.6666666666666666,168
Fumetsu no Anata e,0.575,80
Tunshi Xingkong 3rd Season,0.0,0
Gintama: Shiroyasha Koutan,0.8571428571428571,7
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",0.6538461538461539,26
Initial D First Stage,0.67,100
Dr. Stone: New World Part 2,0.8333333333333334,18
Bakuman. 2nd Season,0.696969696969697,33
Hellsing Ultimate,0.5753424657534246,219
IDOLiSH7 Third Beat! Part 2,0.75,4
Girls & Panzer: Saishuushou Part 4,0.8,5
Usagi Drop,0.8497409326424871,193
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,0.4894366197183099,284
Kidou Senshi Gundam: The Origin,0.7777777777777778,27
Natsume Yuujinchou: Itsuka Yuki no Hi ni,1.0,3
One Outs,0.6145833333333334,96
Tensei shitara Slime Datta Ken 2nd Season Part 2,0.32926829268292684,82
Versailles no Bara,0.78,50
Uchuu Senkan Yamato 2199,0.6666666666666666,36
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,0.48743718592964824,199
Douluo Dalu 2nd Season,0.8,10
Kiseijuu: Sei no Kakuritsu,0.6754807692307693,416
Hibike! Euphonium 2,0.6949152542372882,59
Fate/stay night: Unlimited Blade Works 2nd Season,0.5299145299145299,117
Psycho-Pass,0.6901041666666666,384
Shinseiki Evangelion,0.5665294924554184,729
Major S6,1.0,6
Natsume Yuujinchou Go Specials,1.0,2
Romeo no Aoi Sora,1.0,16
Kingdom 2nd Season,0.625,16
Bakemonogatari,0.6441441441441441,444
Ore dake Level Up na Ken,0.49377593360995853,241
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,0.8571428571428571,7
Sasaki to Miyano Movie: Sotsugyou-hen,0.8,5
Hunter x Hunter: Original Video Animation,0.7142857142857143,7
Ookami to Koushinryou II,0.6049382716049383,81
Natsume Yuujinchou,0.8074074074074075,135
Given,0.7857142857142857,154
Ashita no Joe,0.7575757575757576,33
Diamond no Ace: Second Season,0.7222222222222222,18
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,1.0,6
Evangelion Movie 2: Ha,0.5595238095238095,84
86,0.6112956810631229,301
NHK ni Youkoso!,0.6733668341708543,398
Kemono no Souja Erin,0.7058823529411765,51
Katanagatari,0.6256684491978609,187
Suzume no Tojimari,0.609375,256
Sakamichi no Apollon,0.7916666666666666,192
Meitantei Conan Movie 06: Baker Street no Bourei,0.625,8
Kuroko no Basket 3rd Season,0.7083333333333334,48
Initial D Final Stage,0.5294117647058824,17
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0.7210440456769984,613
Boku no Hero Academia 6th Season,0.5846153846153846,65
Violet Evergarden: Recollections,1.0,4
Steins;Gate: Oukoubakko no Poriomania,0.6578947368421053,38
Beck,0.7762237762237763,143
Kage no Jitsuryokusha ni Naritakute!,0.4738292011019284,363
Kaijuu 8-gou,0.48717948717948717,39
Yuukoku no Moriarty Part 2,0.78,50
Tokyo Godfathers,0.8955223880597015,67
Boku dake ga Inai Machi,0.6455862977602108,759
Yuru Camp△ Season 3,0.6666666666666666,60
Major: World Series,0.6,5
Kaijuu 8-gou,0.48717948717948717,39
Doukyuusei (Movie),0.7407407407407407,108
Gintama: Shinyaku Benizakura-hen,0.3333333333333333,3
Kino no Tabi: The Beautiful World,0.7457627118644068,118
Rurouni Kenshin: Meiji Kenkaku Romantan,0.8,100
Redline,0.704225352112676,142
Diamond no Ace: Act II,0.5789473684210527,19
Gin no Saji 2nd Season,0.8095238095238095,21
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,0.25,4
Hotarubi no Mori e,0.8095238095238095,210
Gyakkyou Burai Kaiji: Ultimate Survivor,0.5853658536585366,123
Shirobako,0.7543859649122807,114
Tunshi Xingkong 2nd Season,0.5,4
Fate/Zero,0.6748971193415638,243
Tsubasa: Tokyo Revelations,0.6,25
Dr. Stone,0.6805555555555556,288
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,0.6666666666666666,3
Kobayashi-san Chi no Maid Dragon S,0.7289719626168224,107
Koukaku Kidoutai,0.5845070422535211,142
Tenki no Ko,0.7079889807162535,363
Shen Yin Wangzuo 2nd Season,1.0,1
Mushoku Tensei II: Isekai Ittara Honki Dasu,0.3950617283950617,162
Hajime no Ippo: Champion Road,0.9166666666666666,12
Nodame Cantabile,0.81,100
Blue Lock,0.5714285714285714,203
Naruto: Shippuuden,0.5758835758835759,481
Yuru Camp△,0.8543140028288543,707
Space☆Dandy 2nd Season,0.7964601769911505,339
Shinsekai yori,0.6388888888888888,360
Tunshi Xingkong 4th Season,0.5,2
World Trigger 3rd Season,0.9375,16
Tenkuu no Shiro Laputa,0.855072463768116,69
Spy x Family Part 2,0.5510204081632653,98
Stranger: Mukou Hadan,0.7477477477477478,111
Tonari no Totoro,0.8017241379310345,116
Yubisaki to Renren,0.5949367088607594,79
Kuroshitsuji Movie: Book of the Atlantic,0.6190476190476191,21
Kono Subarashii Sekai ni Shukufuku wo! 2,0.5915492957746479,142
Hunter x Hunter: Greed Island Final,0.4,5
Planetes,0.6699029126213593,103
Dungeon Meshi,0.7865168539325843,89
Boku no Kokoro no Yabai Yatsu,0.7054263565891473,129
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,0.5932203389830508,59
Hajime no Ippo: Mashiba vs. Kimura,1.0,10
Golden Kamuy 2nd Season,0.75,24
Bakemono no Ko,0.7159090909090909,88
Gyakkyou Burai Kaiji: Hakairoku-hen,0.3333333333333333,45
Tanoshii Muumin Ikka,0.9230769230769231,13
Dororo,0.7123893805309734,226
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,0.6666666666666666,6
Non Non Biyori Movie: Vacation,0.8571428571428571,14
Nodame Cantabile Finale,0.5882352941176471,17
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,0.603448275862069,58
Sennen Joyuu,0.7692307692307693,78
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,1.0,9
Kimetsu no Yaiba: Katanakaji no Sato-hen,0.43137254901960786,153
Danshi Koukousei no Nichijou,0.6853146853146853,143
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,0.5954198473282443,524
Re:Zero kara Hajimeru Isekai Seikatsu,0.515850144092219,694
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,1.0,9
IDOLiSH7 Third Beat!,0.5714285714285714,7
Wu Liuqi: Zui Qiang Fa Xing Shi,0.8333333333333334,12
Youjo Senki Movie,0.6666666666666666,36
Kono Sekai no Katasumi ni,0.7241379310344828,58
Majo no Takkyuubin,0.8271604938271605,81
Trigun,0.6666666666666666,177
Major S3,0.5,4
Tengoku Daimakyou,0.6387434554973822,191
Haikyuu!! Movie 4: Concept no Tatakai,1.0,3
Sasaki to Miyano,0.7746478873239436,71
Mimi wo Sumaseba,0.8636363636363636,88
Bungou Stray Dogs 3rd Season,0.6341463414634146,41
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,0.8333333333333334,12
Doupo Cangqiong 4th Season,0.6,5
Fate/strange Fake: Whispers of Dawn,0.42105263157894735,19
Ookami to Koushinryou,0.7684729064039408,203
Shoujo Kakumei Utena,0.6530612244897959,98
Fruits Basket 1st Season,0.6608187134502924,171
Shoujo Shuumatsu Ryokou,0.6891891891891891,148
Great Pretender,0.7277227722772277,202
SKET Dance,0.711864406779661,59
