Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Shingeki no Kyojin Season 2,Attack on Titan Season 2,8.51,12,131,2,TV,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,Saturdays at 22:00 (JST),"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"21,646"
Tian Guan Cifu Special,Heaven Official's Blessing Special,8.50,3153,132,49,ONA,1,Finished Airing,"Feb 16, 2021",,,bilibili,"None found, add some",Haoliners Animation League,Web novel,"Action, Adventure, Drama, Fantasy","Historical, Mythology",,21 min.,PG-13 - Teens 13 or older,489
Chainsaw Man,,8.50,73,133,1,TV,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,Wednesdays at 00:00 (JST),dugout,"None found, add some",MAPPA,Manga,"Action, Fantasy",Gore,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"47,318"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond Is Unbreakable,8.50,128,134,1,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,Saturdays at 00:30 (JST),Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),"39,900"
Mob Psycho 100,,8.49,30,135,2,TV,12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 00:00 (JST),"Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","Funimation,       Crunchyroll",Bones,Web manga,"Action, Comedy, Supernatural",Super Power,,24 min. per ep.,PG-13 - Teens 13 or older,"48,540"
One Punch Man,,8.49,4,136,3,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),"TV Tokyo,       Bandai Visual,       Lantis,       Asatsu DK,       Banpresto,       Good Smile Company,       Shueisha,       JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,"Action, Comedy","Adult Cast, Parody, Super Power",Seinen,24 min. per ep.,R - 17+ (violence & profanity),"64,623"
Pluto,,8.49,1465,137,161,ONA,8,Finished Airing,"Oct 26, 2023",,,"Genco,       Tezuka Productions,       NetEase","None found, add some",Studio M2,Manga,"Action, Mystery, Sci-Fi, Suspense","Detective, Psychological",Seinen,1 hr. 1 min. per ep.,PG-13 - Teens 13 or older,"2,038"
Summertime Render,Summer Time Rendering,8.48,419,140,535,TV,25,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",Spring 2022,Fridays at 00:00 (JST),"Shogakukan-Shueisha Productions,       Movic,       MAGES.,       Tokyo MX,       Shueisha,       Toy's Factory,       Bandai Spirits","None found, add some",OLM,Manga,"Mystery, Supernatural, Suspense",Time Travel,Shounen,23 min. per ep.,R - 17+ (violence & profanity),"9,050"
Uchuu Kyoudai,Space Brothers,8.49,1233,138,195,TV,99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",Spring 2012,Sundays at 07:00 (JST),"Yomiuri Telecasting,       Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,Comedy,"Adult Cast, Space, Workplace",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"3,852"
Yakusoku no Neverland,The Promised Neverland,8.49,38,139,1,TV,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019",Winter 2019,Fridays at 00:55 (JST),"Aniplex,       Dentsu,       Fuji TV,       Shueisha,       CA-Cygames Anime Fund",Aniplex of America,CloverWorks,Manga,"Fantasy, Mystery, Sci-Fi, Suspense","Psychological, Survival",Shounen,22 min. per ep.,R - 17+ (violence & profanity),"32,461"
