Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Jian Wangchao 2,Sword Dynasty 2,5.87,14188,10121,848,ONA,12,Finished Airing,"Oct 12, 2017 to Dec 21, 2017",iQIYI,"None found, add some","None found, add some",Novel,Action,13 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Junk Boy,,5.87,6516,10122,9,OVA,1,Finished Airing,"Dec 16, 1987",Victor Entertainment,Manga Entertainment,Madhouse,Manga,"Comedy, Romance, Ecchi",45 min.,R+ - Mild Nudity,26,,,,
Kakera,,5.87,18770,10123,296,Movie,1,Finished Airing,2016,"None found, add some","None found, add some","None found, add some",Other,Avant Garde,8 min.,PG-13 - Teens 13 or older,0,Mythology,,,
Kirin Ashita no Calendar,,5.87,15264,10124,621,TV,1306,Finished Airing,"Jan 1, 1980 to Oct 6, 1984","None found, add some","None found, add some","None found, add some",Unknown,,5 min. per ep.,G - All Ages,0,Historical,Winter 1980,Unknown,Kids
KiyaKiya,,5.87,17777,10125,365,Movie,1,Finished Airing,Jan 2011,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,6 min.,G - All Ages,1,Music,,,
Kyokou Suiri Mini Anime Season 2,In/Spectre Mini Anime Season 2,5.87,11224,10126,2,ONA,16,Finished Airing,"Feb 11, 2022 to Sep 30, 2022","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Larva Island,,5.87,14649,10127,736,ONA,13,Finished Airing,"Oct 19, 2018","None found, add some","None found, add some","None found, add some",Original,Comedy,7 min. per ep.,G - All Ages,0,,,,Kids
"Little Polar Bear: Shirokuma-kun, Fune ni Noru",,5.87,14322,10128,817,OVA,1,Finished Airing,"Dec 1, 1991","Aniplex,       Movic","None found, add some","Production I.G,       animate Film",Book,"Adventure, Fantasy",26 min.,PG - Children,0,Anthropomorphic,,,Kids
Mamoru Hikitsugu Watashitachi no Kurashi,,5.87,17473,10129,388,ONA,1,Finished Airing,"May 20, 2020","None found, add some","None found, add some","None found, add some",Original,Slice of Life,3 min.,G - All Ages,0,Music,,,
Mujaki no Rakuen,Paradise of Innocence,5.87,4359,10130,26,OVA,3,Finished Airing,"Aug 29, 2014 to Aug 29, 2016","Hakusensha,       Soft Garage","None found, add some","Seven,       Office No. 8",Manga,"Comedy, Romance, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,51,"School, Time Travel",,,Seinen
Natsunagu!,,5.87,4494,10131,24,TV,12,Finished Airing,"Jan 7, 2020 to Mar 24, 2020","None found, add some","None found, add some",IMAGICA Lab.,Original,"Drama, Slice of Life",4 min. per ep.,PG-13 - Teens 13 or older,21,,Winter 2020,Tuesdays at 01:35 (JST),
Paradise,,5.87,14776,10132,704,Movie,1,Finished Airing,2013,"None found, add some","None found, add some","None found, add some",Unknown,Adventure,20 min.,R+ - Mild Nudity,0,"Psychological, Space",,,
Popolocrois Monogatari Pilot,,5.87,17036,10133,420,Special,1,Finished Airing,"Mar 23, 2000","None found, add some","None found, add some","None found, add some",Game,"Adventure, Fantasy",3 min.,G - All Ages,0,,,,
Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,Mon Colle Knights: Legend of the Fire Dragon,5.87,14024,10134,884,Movie,1,Finished Airing,"Dec 21, 2000","None found, add some","None found, add some",Studio Deen,Card game,"Adventure, Comedy, Fantasy",32 min.,PG - Children,0,,,,
Sekai Douwa Anime Zenshuu,My Favorite Fairy Tales,5.87,15190,10135,630,OVA,10,Finished Airing,"Jun 10, 1990","None found, add some",Saban Entertainment,"None found, add some",Unknown,"Adventure, Fantasy",11 min. per ep.,G - All Ages,5,,,,Kids
Shan T Lao Fu Zi,"Old Master Q & ""San-T""",5.87,16546,10136,464,Movie,1,Finished Airing,"Aug 4, 1983","None found, add some","None found, add some","None found, add some",Unknown,"Action, Comedy",1 hr. 12 min.,G - All Ages,0,,,,Seinen
Kakuchou Shoujo-kei Trinary,Augmented Reality Girls Trinary,5.86,4235,10137,27,ONA,34,Finished Airing,"Apr 12, 2017 to Nov 29, 2017","Toei Animation,       Koei Tecmo Games","None found, add some",feel.,Original,Sci-Fi,7 min. per ep.,PG-13 - Teens 13 or older,61,,,,
Kawasaki Frontale x Tentai Senshi Sunred,,5.86,14524,10138,765,Special,4,Finished Airing,"Feb 6, 2009 to Feb 27, 2009","None found, add some","None found, add some",AIC ASTA,Manga,"Comedy, Sports",2 min. per ep.,PG-13 - Teens 13 or older,0,"Parody, Super Power",,,Seinen
Kemurikusa,,5.86,10590,10139,2,ONA,2,Finished Airing,"May 1, 2011 to Mar 1, 2012","None found, add some","None found, add some",Yaoyorozu,Original,"Action, Adventure, Sci-Fi",14 min. per ep.,G - All Ages,0,,,,
Koutetsu no Vendetta Episode 0,,5.86,14839,10140,690,ONA,1,Finished Airing,"Feb 22, 2013",Ankama,"None found, add some","None found, add some",Unknown,"Action, Sci-Fi",20 min.,PG-13 - Teens 13 or older,0,"Mecha, Military",,,
Long Riders! Recap,,5.86,11896,10142,1,TV Special,1,Finished Airing,"Nov 12, 2016","None found, add some","None found, add some",Actas,Manga,"Comedy, Sports",23 min.,PG-13 - Teens 13 or older,0,CGDCT,,,Shounen
Kyoufu! Zombie Neko,,5.86,12585,10141,1,TV,52,Finished Airing,"Oct 2, 2015 to Sep 30, 2016","None found, add some","None found, add some",Kachidoki Studio,Original,Comedy,1 min. per ep.,G - All Ages,0,,Fall 2015,Fridays at 02:05 (JST),
"Machine Robo: Leina, The Legend of Wolf Blade",,5.86,12517,10143,1,OVA,3,Finished Airing,"Feb 5, 1988 to Apr 26, 1989",Ashi Productions,Discotek Media,"None found, add some",Original,"Action, Fantasy",29 min. per ep.,PG-13 - Teens 13 or older,2,"Mecha, Super Power",,,
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,,5.86,11270,10144,2,Movie,1,Finished Airing,"Aug 3, 1985","None found, add some","None found, add some",Pierrot,Original,Fantasy,3 min.,G - All Ages,0,,,,
Mangirl!: Asobu Henshuu Girl,,5.86,7308,10145,7,Special,1,Finished Airing,"May 24, 2013",Earth Star Entertainment,"None found, add some",Doga Kobo,Manga,"Comedy, Slice of Life",9 min.,PG-13 - Teens 13 or older,1,CGDCT,,,
Momo no Rakuen Keikaku Maruhi File,,5.86,13580,10146,1,Special,1,Finished Airing,"Sep 26, 2015","None found, add some","None found, add some",Xebec,Manga,"Comedy, Ecchi",6 min.,R+ - Mild Nudity,0,Harem,,,
Nagoya Tetsudou Special Movie,,5.86,17917,10148,354,ONA,1,Finished Airing,"Jul 21, 2016","None found, add some","None found, add some","None found, add some",Original,Slice of Life,2 min.,G - All Ages,1,,,,
Mugen no Ryvius: Light,Infinite Ryvius Light,5.86,15100,10147,646,Special,6,Finished Airing,"Dec 21, 2000","None found, add some","None found, add some","None found, add some",Original,Sci-Fi,1 min. per ep.,PG-13 - Teens 13 or older,0,Space,,,
Notari Matsutarou,,5.86,13596,10149,1,OVA,10,Finished Airing,"Nov 22, 1990 to Apr 25, 1991","None found, add some","None found, add some","Mushi Production,       Big Bang",Manga,Sports,28 min. per ep.,R+ - Mild Nudity,1,Combat Sports,,,
Okane wa Mawaru: Kurashi to Kinyuu,,5.86,18081,10150,341,OVA,1,Finished Airing,1993,Gakken,"None found, add some","None found, add some",Unknown,Slice of Life,16 min.,G - All Ages,1,,,,
Otome Nadeshiko Koi Techou,,5.86,8150,10151,5,OVA,1,Finished Airing,"Jan 26, 2012","None found, add some","None found, add some",Studio Izena,Light novel,,10 min.,G - All Ages,2,Historical,,,Shoujo
Pikaia!!,,5.86,14888,10152,680,TV,13,Finished Airing,"Feb 26, 2017 to May 27, 2017","Production I.G,       NHK","None found, add some",OLM,Original,"Drama, Slice of Life",15 min. per ep.,G - All Ages,2,,Winter 2017,Unknown,Kids
Rara Maji,,5.86,14362,10153,807,ONA,1,Finished Airing,"Jan 27, 2017","None found, add some","None found, add some",A-1 Pictures,Game,Fantasy,1 min.,G - All Ages,0,"Music, Strategy Game",,,
Robber's Company,,5.86,16664,10154,452,ONA,6,Finished Airing,"Jun 30, 2016 to Aug 2, 2017","None found, add some","None found, add some",Studio UGOKI,Original,Comedy,5 min. per ep.,G - All Ages,0,,,,
San Ge Heshang,,5.86,15529,10155,580,Movie,1,Finished Airing,1980,Shanghai Animation Film Studio,"None found, add some","None found, add some",Unknown,,19 min.,G - All Ages,0,Music,,,
Scripta Volant,Writings Fly Away,5.86,18268,10156,328,Movie,1,Finished Airing,2011,Geidai Animation,"None found, add some","None found, add some",Book,"Avant Garde, Drama",13 min.,G - All Ages,1,,,,
Shinkalion Hello Kitty,,5.86,16731,10157,446,ONA,1,Finished Airing,"Feb 27, 2020","None found, add some","None found, add some","None found, add some",Other,"Action, Sci-Fi",2 min.,PG - Children,1,Mecha,,,Kids
Soosee no Aquarion: Dai 27-wa Parallel-ban,,5.86,11130,10158,2,Special,1,Finished Airing,"Dec 5, 2008",Bandai,"None found, add some","None found, add some",Unknown,Comedy,5 min.,PG-13 - Teens 13 or older,2,"Mecha, Parody",,,
Tenjouhen: Utsunomiko,,5.86,12728,10159,1,Movie,1,Finished Airing,"Sep 22, 1990","None found, add some","None found, add some",Toei Animation,Light novel,"Adventure, Fantasy",1 hr. 14 min.,PG - Children,1,Mythology,,,
Uchuu Shounen Soran,,5.86,14703,10160,720,TV,96,Finished Airing,"May 4, 1965 to Mar 28, 1967","None found, add some","None found, add some",Eiken,Unknown,"Action, Adventure, Sci-Fi",25 min. per ep.,None,2,,Spring 1965,Tuesdays at 19:00 (JST),
Visions of Frank: Short Films by Japan's Most Audacious Animators,Visions of Frank,5.86,13276,10161,1,OVA,9,Finished Airing,"Nov 25, 2005","None found, add some","None found, add some","None found, add some",Unknown,Avant Garde,5 min. per ep.,PG-13 - Teens 13 or older,0,,,,
