Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Ojamanga Yamada-kun (Movie),,6.07,15812,9140,543,Movie,1,Finished Airing,"Mar 14, 1981",Kadokawa Shoten,"None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",27 min.,None,0,,,,
Oni,,6.07,11181,9141,2,Movie,1,Finished Airing,1972,"None found, add some","None found, add some","None found, add some",Other,"Award Winning, Supernatural",7 min.,PG-13 - Teens 13 or older,2,"Historical, Mythology",,,
Oni no Ko to Yuki Usagi,"Goblin and ""Yuki Usagi"" (Snow Hare)",6.07,15472,9142,588,Movie,1,Finished Airing,1995,"Kyowa Film,       Meruhensha","None found, add some","None found, add some",Unknown,Fantasy,16 min.,PG - Children,0,Mythology,Kids,,
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,I Don't Like My Big Brother At All!,6.07,2217,9143,91,TV,12,Finished Airing,"Jan 9, 2011 to Mar 27, 2011",Starchild Records,Media Blasters,Zexcs,Manga,"Comedy, Romance, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,86,Harem,,Winter 2011,Sundays at 00:30 (JST)
Osomatsu-kun: Iyami wa Hitori Kaze no Naka,,6.07,14129,9145,865,OVA,1,Finished Airing,"Aug 25, 1990",Nippon Columbia,"None found, add some",Pierrot,Manga,Comedy,25 min.,G - All Ages,1,"Gag Humor, Historical",,,
Osananajimi ga Zettai ni Makenai Love Comedy,Osamake: Romcom Where The Childhood Friend Won't Lose,6.07,917,9144,267,TV,12,Finished Airing,"Apr 14, 2021 to Jun 30, 2021","AT-X,       Delfi Sound,       Sun TV,       Kadokawa","None found, add some",Doga Kobo,Light novel,"Comedy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,"1,650","Harem, School",,Spring 2021,Wednesdays at 21:00 (JST)
Precure kara Minna e no Ouen Movie,,6.07,10581,9147,2,ONA,1,Finished Airing,"May 20, 2011","None found, add some","None found, add some",Toei Animation,Original,Fantasy,32 sec.,G - All Ages,1,Mahou Shoujo,,,
Perman (1983) Specials,,6.07,15166,9146,634,Special,3,Finished Airing,"Jul 20, 1983 to Oct 1, 1984","None found, add some","None found, add some",Shin-Ei Animation,Unknown,Comedy,12 min. per ep.,PG - Children,1,,Kids,,
Shinobi no Ittoki,,6.07,1427,9148,166,TV,12,Finished Airing,"Oct 4, 2022 to Dec 20, 2022","TMS Entertainment,       Toy's Factory,       DMM pictures,       DMM Music,       NetEase,       Vobile Japan","None found, add some",TROYCA,Original,Action,23 min. per ep.,PG-13 - Teens 13 or older,706,School,,Fall 2022,Tuesdays at 20:00 (JST)
Slide,,6.07,16502,9149,468,ONA,1,Finished Airing,"Jul 10, 2017","None found, add some","None found, add some","None found, add some",Original,Sports,7 min.,G - All Ages,0,Music,,,
Sore Ike! Anpanman: Soratobu Ehon to Glass no Kutsu,,6.07,15131,9150,640,Movie,1,Finished Airing,"Jul 13, 1996","None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",1 hr.,PG - Children,0,,Kids,,
Tanken Driland: 1000-nen no Mahou,,6.07,12251,9152,1,TV,51,Finished Airing,"Apr 6, 2013 to Mar 29, 2014","TV Tokyo,       GREE","None found, add some",Toei Animation,Unknown,"Adventure, Fantasy",24 min. per ep.,PG - Children,0,,,Spring 2013,Unknown
Stitch!,,6.07,7689,9151,6,TV,25,Finished Airing,"Oct 8, 2008 to Mar 25, 2009","TV Asahi,       Disney Platform Distribution","None found, add some",Madhouse,Other,"Adventure, Comedy",25 min. per ep.,PG - Children,14,,Kids,Fall 2008,Unknown
Tattoon Master,,6.07,9301,9153,3,OVA,2,Finished Airing,"Apr 26, 1996 to Aug 23, 1996",KSS,Media Blasters,AIC,Manga,"Adventure, Comedy, Slice of Life, Supernatural",28 min. per ep.,PG-13 - Teens 13 or older,4,,,,
Teki wa Kaizoku: Neko-tachi no Kyouen,The Enemy's the Pirates!: The Cats' Banquet,6.07,10791,9154,2,TV,6,Finished Airing,"Dec 26, 1989 to Dec 31, 1989","Kitty Films,       Kitty Film Mitaka Studio,       Watanabe Promotion","None found, add some","Production I.G,       Madhouse",Novel,"Comedy, Sci-Fi",25 min. per ep.,R+ - Mild Nudity,5,,,Fall 1989,Unknown
"Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii...",,6.07,12734,9155,1,Movie,1,Finished Airing,"Feb 7, 2004",Tezuka Productions,"None found, add some","None found, add some",Unknown,Sci-Fi,20 min.,G - All Ages,0,,,,
