Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Machikado no Märchen,,6.01,10860,9436,2,OVA,1,Finished Airing,"Jul 21, 1984",Kitty Films,"None found, add some",Kitty Film Mitaka Studio,Original,Romance,Music,54 min.,PG-13 - Teens 13 or older,7,,,
Ken En Ken: Aoki Kagayaki,Xuan Yuan Sword Luminary,6.01,5146,9433,17,TV,13,Finished Airing,"Oct 2, 2018 to Dec 25, 2018","TV Tokyo,       Ai Addiction","None found, add some",Studio Deen,Game,"Action, Adventure, Fantasy","Martial Arts, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,22,Fall 2018,Tuesdays at 02:05 (JST),
Koguma no Misha,,6.01,13678,9434,982,TV,26,Finished Airing,"Oct 6, 1979 to Apr 5, 1980","None found, add some","None found, add some",Nippon Animation,Original,"Adventure, Comedy, Drama",,24 min. per ep.,PG - Children,2,Fall 1979,Unknown,Kids
Kouryuu Densetsu Villgust,,6.01,10436,9435,2,OVA,2,Finished Airing,"Jan 21, 1993 to Mar 22, 1993","Bandai Visual,       Movic,       Imagine","None found, add some",animate Film,Game,"Action, Adventure, Comedy, Fantasy, Romance",,28 min. per ep.,PG-13 - Teens 13 or older,4,,,
MahoYome: Aisatsu,MahoYome: Greeting,6.01,6471,9437,9,ONA,1,Finished Airing,"Oct 3, 2017","None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Manga,,Parody,46 sec.,G - All Ages,4,,,
Maze☆Bakunetsu Jikuu,Maze: The Mega-Burst Space OVA,6.01,9183,9438,4,OVA,2,Finished Airing,"Jul 24, 1996 to Sep 21, 1996",Kadokawa Shoten,Central Park Media,J.C.Staff,Manga,"Adventure, Comedy, Fantasy","Magical Sex Shift, Mecha",30 min. per ep.,R+ - Mild Nudity,3,,,Shounen
Mini Hama: Minimum Hamatora Movies,,6.01,10028,9439,3,Movie,2,Finished Airing,"Nov 14, 2015","None found, add some","None found, add some",Lerche,Mixed media,"Comedy, Mystery","School, Super Power",5 min. per ep.,PG-13 - Teens 13 or older,2,,,
Nippon-ichi no Otoko no Tamashii,,6.01,11940,9441,1,TV,16,Finished Airing,"Jan 5, 1999 to Jan 29, 1999","None found, add some","None found, add some",Studio Deen,Manga,"Comedy, Romance",,7 min. per ep.,R+ - Mild Nudity,4,Winter 1999,Unknown,
Nine: Original-ban,,6.01,12664,9440,1,Movie,1,Finished Airing,"Sep 16, 1983",Fuji TV,"None found, add some",Group TAC,Manga,"Romance, Sports","School, Team Sports",1 hr. 10 min.,PG-13 - Teens 13 or older,0,,,Shounen
Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2,,6.01,12015,9442,1,Movie,1,Finished Airing,"Apr 6, 2017",Avex Pictures,"None found, add some",Pierrot,Manga,Comedy,Parody,Unknown,R - 17+ (violence & profanity),2,,,
