Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Sayonara Watashi no Cramer,"Farewell, My Dear Cramer",6.09,3406,9049,43,TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021",Spring 2021,Sundays at 23:30 (JST),"Kodansha,       Toy's Factory,       DMM pictures","None found, add some",LIDENFILMS,Manga,"Drama, Sports",23 min. per ep.,PG-13 - Teens 13 or older,134,Team Sports,Shounen
Seupideuwang Beongae,Wings of Dragon,6.09,14518,9050,768,TV,26,Finished Airing,"May 18, 1998 to Aug 18, 1998",Spring 1998,Unknown,"None found, add some","None found, add some","None found, add some",Light novel,Sports,24 min. per ep.,None,1,"School, Strategy Game",
Sore Ike! Anpanman: Inochi no Hoshi no Dolly,Anpanman: Star-Spirited Dollie,6.09,14746,9051,711,Movie,1,Finished Airing,"Jul 15, 2006",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,Fantasy,51 min.,PG - Children,1,,Kids
Sore Ike! Anpanman: Ringo Boy to Minna no Negai,Anpanman: Apple Boy and Everyone's Hope,6.09,15422,9052,596,Movie,1,Finished Airing,"Jul 5, 2014",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",46 min.,PG - Children,0,,Kids
"Soukou Kihei Votoms Vol.II: Highlights from the ""A.T.Votoms""",,6.09,12996,9053,1,OVA,1,Finished Airing,"Jul 20, 1985",,,"None found, add some",Maiden Japan,Sunrise,Original,"Action, Drama, Sci-Fi",57 min.,PG - Children,0,"Mecha, Military",
Soul Link,,6.09,4615,9054,22,TV,12,Finished Airing,"Apr 2, 2006 to Jun 25, 2006",Spring 2006,Unknown,"Mellow Head,       Geneon Entertainment",Discotek Media,Picture Magic,Visual novel,"Action, Adventure, Comedy, Romance, Sci-Fi",25 min. per ep.,R - 17+ (violence & profanity),20,"Military, Space",
Starry☆Sky,,6.09,3075,9055,52,ONA,26,Finished Airing,"Dec 23, 2010 to Jun 16, 2011",,,"Frontier Works,       Sotsu","None found, add some",Studio Deen,Visual novel,,11 min. per ep.,PG-13 - Teens 13 or older,133,"Reverse Harem, School",Josei
Suki na Ko ga Megane wo Wasureta Short Episode Specials,The Girl I Like Forgot Her Glasses Short Episode Specials,6.09,14794,9056,698,Special,3,Finished Airing,"Dec 20, 2023 to Feb 28, 2024",,,"None found, add some","None found, add some",GoHands,Manga,Comedy,46 sec. per ep.,PG-13 - Teens 13 or older,1,"Romantic Subtext, School",
Super Kuma-san,,6.09,13457,9057,1,TV Special,1,Finished Airing,"Jun 1, 2003",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Comedy, Fantasy",25 min.,PG - Children,1,,
Top wo Nerae! Kagaku Kouza,Gunbuster! Science Lesson,6.09,6888,9058,8,Special,6,Finished Airing,"Oct 7, 1988 to Sep 18, 1995",,,"None found, add some",Discotek Media,Gainax,Original,"Comedy, Sci-Fi",2 min. per ep.,G - All Ages,2,Mecha,
Uchuujin Tanaka Tarou,Taro the Space Alien,6.09,13023,9059,1,TV,24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001",Spring 2000,Unknown,"None found, add some",VIZ Media,"None found, add some",Manga,Comedy,20 min. per ep.,G - All Ages,2,School,Kids
"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",,6.09,10687,9060,2,Special,1,Finished Airing,"Feb 11, 2016",,,"DIVE II Entertainment,       Avex Pictures","None found, add some",Ordet,Original,Drama,7 min.,PG-13 - Teens 13 or older,1,,
Yomigaeru Sora Pilot,,6.09,12482,9062,1,Special,1,Finished Airing,"Oct 27, 2006",,,Bandai Visual,"None found, add some",J.C.Staff,Original,Action,3 min.,PG - Children,0,"Adult Cast, Military, Workplace",
Wasure Hoshi no Volicia,Volicia of Pluto: Vapor Trail Another Age 2006,6.09,10426,9061,2,Movie,1,Finished Airing,"Jul 3, 2023",,,"None found, add some","None found, add some","None found, add some",Original,"Action, Girls Love, Sci-Fi",32 min.,PG-13 - Teens 13 or older,16,Mecha,
Yukiwatari,,6.09,15584,9063,573,Movie,1,Finished Airing,"Jul 16, 1994",,,"None found, add some","None found, add some",Magic Bus,Novel,Fantasy,22 min.,G - All Ages,1,,
Yutori-chan,,6.09,7876,9064,6,ONA,25,Finished Airing,"Dec 29, 2009 to Apr 9, 2010",,,BIGLOBE,"None found, add some",Actas,Original,"Comedy, Slice of Life",4 min. per ep.,G - All Ages,3,,
Socket,,6.08,17833,9065,360,Movie,1,Finished Airing,2009,,,"None found, add some","None found, add some","None found, add some",Unknown,,10 min.,G - All Ages,0,,Kids
Softenni Specials,,6.08,8779,9066,4,Special,6,Finished Airing,"Jun 22, 2011 to Nov 23, 2011",,,"None found, add some",Sentai Filmworks,Xebec,Manga,"Comedy, Ecchi",3 min. per ep.,R+ - Mild Nudity,2,,
Tamagotchi! Miracle Friends,,6.08,14701,9068,721,TV,29,Finished Airing,"Sep 5, 2013 to Mar 27, 2014",Fall 2013,Unknown,"None found, add some","None found, add some",OLM,Unknown,"Comedy, Fantasy",23 min. per ep.,G - All Ages,1,,Kids
SoniAni: Super Sonico The Animation,Soni-Ani: Super Sonico The Animation,6.08,2281,9067,87,TV,12,Finished Airing,"Jan 6, 2014 to Mar 24, 2014",Winter 2014,Unknown,"Genco,       Pony Canyon,       Movic,       Half H.P Studio,       AT-X,       Nitroplus,       KlockWorx,       Showgate,       Good Smile Company",Sentai Filmworks,White Fox,Other,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,214,"Adult Cast, Music",
Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama,The Genius Prince's Guide to Raising a Nation Out of Debt: Short Drama,6.08,9491,9069,3,ONA,5,Finished Airing,"Aug 12, 2021 to Dec 24, 2021",,,Studio Mausu,"None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy, Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,3,,
Terra Formars: Earth-hen,,6.08,6139,9070,11,OVA,2,Finished Airing,"Aug 17, 2018 to Nov 19, 2018",,,Shueisha,"None found, add some","TYO Animations,       LIDENFILMS",Manga,"Action, Horror, Sci-Fi, Suspense",26 min. per ep.,R - 17+ (violence & profanity),7,"Gore, Space, Survival",Seinen
Tong Zhi Zhe,,6.08,11676,9071,1,ONA,10,Finished Airing,"Dec 31, 2015 to Mar 17, 2016",,,Tencent Animation & Comics,"None found, add some","None found, add some",Web manga,"Adventure, Horror",10 min. per ep.,R - 17+ (violence & profanity),7,Detective,
Toshiwasure Guda Guda Order 2016,Farewell to 2016 Guda Guda Order,6.08,11298,9072,2,Special,1,Finished Airing,"Dec 31, 2016",,,Studio Mausu,"None found, add some",TROYCA,Game,Comedy,6 min.,PG-13 - Teens 13 or older,4,,
Tribe Nine,,6.08,3297,9073,45,TV,12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",Winter 2022,Mondays at 22:30 (JST),"Lantis,       Docomo Anime Store,       JR East Marketing & Communications,       Bandai Namco Arts",Funimation,LIDENFILMS,Mixed media,"Sci-Fi, Sports",23 min. per ep.,R - 17+ (violence & profanity),225,Team Sports,
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,,6.08,6836,9074,8,TV,13,Finished Airing,"Jun 30, 2004 to Sep 22, 2004",Summer 2004,Unknown,"None found, add some","None found, add some",Radix,Visual novel,"Comedy, Drama, Romance, Sci-Fi",12 min. per ep.,PG-13 - Teens 13 or older,8,"Harem, Time Travel",
TV Yarou Nanaana: Wakuwaku Doukutsu Land,,6.08,12392,9075,1,TV,24,Finished Airing,"Apr 11, 2019 to Sep 19, 2019",Spring 2019,Thursdays at 07:30 (JST),"None found, add some","None found, add some",Studio Crocodile,Original,"Adventure, Comedy",3 min. per ep.,PG-13 - Teens 13 or older,3,Workplace,
Utsunomiko: Heaven Chapter,,6.08,12126,9076,1,OVA,13,Finished Airing,"Oct 24, 1990 to Feb 19, 1992",,,"None found, add some","None found, add some",Toei Animation,Light novel,"Adventure, Fantasy",25 min. per ep.,R+ - Mild Nudity,1,Mythology,
Wanpaku Tanteidan,,6.08,12743,9077,1,TV,35,Finished Airing,"Feb 1, 1968 to Sep 26, 1968",Winter 1968,Unknown,Fuji TV,"None found, add some",Mushi Production,Unknown,"Action, Mystery",25 min. per ep.,PG-13 - Teens 13 or older,1,,
Watanuki-san Chi to,,6.08,11922,9078,1,TV,12,Finished Airing,"Apr 6, 2020 to Jun 22, 2020",Spring 2020,Mondays at 01:35 (JST),"None found, add some","None found, add some","None found, add some",Other,Slice of Life,23 min. per ep.,PG-13 - Teens 13 or older,5,,
Yamatarou Kaeru,Yamataro Comes Back,6.08,12075,9079,1,OVA,1,Finished Airing,"Aug 15, 1986",,,"None found, add some","None found, add some",Tezuka Productions,Manga,,24 min.,G - All Ages,1,,Kids
Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,,6.08,13229,9080,1,OVA,1,Finished Airing,"Aug 30, 2012",,,"None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",3 min.,PG-13 - Teens 13 or older,0,,Seinen
Zhandou Wang Zhi Jufeng Zhan Hun 3,Infinity Nado 3,6.08,14593,9081,749,TV,40,Finished Airing,"Sep 3, 2015 to Oct 12, 2015",Fall 2015,Unknown,Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,Action,23 min. per ep.,PG - Children,4,,
A New Journey,,6.08,10782,9082,2,ONA,1,Finished Airing,"Jan 18, 2019",,,"None found, add some","None found, add some",P.A. Works,Game,Action,1 min.,PG-13 - Teens 13 or older,4,Video Game,
Apache Yakyuugun,Apache Baseball Team,6.08,13146,9083,1,TV,26,Finished Airing,"Oct 6, 1971 to Mar 29, 1972",Fall 1971,Wednesdays at 19:30 (JST),"None found, add some","None found, add some",Toei Animation,Manga,Sports,25 min. per ep.,G - All Ages,3,"School, Team Sports",
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,,6.08,12062,9084,1,Movie,1,Finished Airing,"Dec 19, 1998",,,"None found, add some","None found, add some",Ashi Productions,Other,"Action, Adventure, Sci-Fi",46 min.,G - All Ages,2,"Mecha, Space",
Big X,,6.08,11983,9085,1,TV,59,Finished Airing,"Aug 3, 1964 to Sep 27, 1965",Summer 1964,Unknown,"None found, add some","None found, add some",Tokyo Movie Shinsha,Manga,"Action, Sci-Fi",25 min. per ep.,G - All Ages,4,Historical,Shounen
Black Bullet: Tenchuu＊Girls,,6.08,4902,9087,20,Special,1,Finished Airing,"Oct 8, 2014",,,Orange,"None found, add some",Kinema Citrus,Light novel,Fantasy,1 min.,G - All Ages,9,,
Biohazard 4: Incubate,,6.08,6841,9086,8,OVA,1,Finished Airing,"Sep 28, 2006",,,Capcom,"None found, add some","None found, add some",Game,"Action, Horror, Mystery, Supernatural, Suspense",1 hr. 22 min.,R - 17+ (violence & profanity),7,"Detective, Military, Mythology",
BlazBlue: Alter Memory,,6.08,2251,9088,89,TV,12,Finished Airing,"Oct 9, 2013 to Dec 25, 2013",Fall 2013,Wednesdays at 01:30 (JST),"Lantis,       Studio Mausu",Funimation,"Hoods Entertainment,       teamKG",Game,"Action, Fantasy",24 min. per ep.,R - 17+ (violence & profanity),149,Super Power,
Bocchan,,6.08,11603,9089,1,TV Special,1,Finished Airing,"Jun 13, 1980",,,"None found, add some","None found, add some",TMS Entertainment,Novel,Comedy,1 hr. 12 min.,PG-13 - Teens 13 or older,1,Historical,
Chouriki Robo Galatt,,6.08,12671,9090,1,TV,25,Finished Airing,"Oct 5, 1984 to Apr 5, 1985",Fall 1984,Unknown,"None found, add some","None found, add some",Sunrise,Unknown,"Action, Adventure, Comedy, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,0,Mecha,
D4 Princess,,6.08,9405,9092,3,TV,24,Finished Airing,"Apr 6, 1999 to Sep 28, 1999",Spring 1999,Unknown,Pony Canyon,"None found, add some",Daume,Manga,"Action, Comedy, Sci-Fi",8 min. per ep.,PG-13 - Teens 13 or older,3,Mecha,
Closure no Kimitsu File,Closure's Secret Files,6.08,17415,9091,393,ONA,17,Finished Airing,"May 16, 2021 to Nov 21, 2021",,,"None found, add some","None found, add some",Yostar Pictures,Game,Comedy,2 min. per ep.,G - All Ages,1,,
Dahua Zhi Shaonian You,Big Talk Youth Tour,6.08,14369,9093,804,ONA,16,Finished Airing,"Aug 15, 2020 to Nov 20, 2020",,,"None found, add some","None found, add some",DC Impression Vision,Game,Action,16 min. per ep.,PG-13 - Teens 13 or older,2,,
dMatsu-san,,6.08,11295,9095,2,ONA,12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",,,"None found, add some","None found, add some",Pierrot,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,3,"Gag Humor, Parody",
Final Fantasy,Legend of the Crystals: Final Fantasy,6.08,5336,9096,15,OVA,4,Finished Airing,"Mar 21, 1994 to Jul 21, 1994",,,Square Enix,Urban Vision,Madhouse,Game,"Action, Adventure, Comedy, Fantasy",30 min. per ep.,PG-13 - Teens 13 or older,22,,
Dive!!,,6.08,3057,9094,52,TV,12,Finished Airing,"Jul 7, 2017 to Sep 22, 2017",Summer 2017,Fridays at 00:55 (JST),"Aniplex,       Dentsu,       Fuji TV,       DMM pictures",Sentai Filmworks,Zero-G,Novel,"Drama, Sports",22 min. per ep.,PG-13 - Teens 13 or older,75,,
Gebäude Bäude,,6.08,12175,9097,1,TV,10,Finished Airing,"Nov 8, 2020 to Dec 10, 2020",Fall 2020,Unknown,"None found, add some","None found, add some",Jinnis Animation Studios,Original,"Comedy, Sci-Fi",2 min. per ep.,G - All Ages,4,,
Golden Douga Gekijou Specials,,6.08,12709,9098,1,Special,7,Finished Airing,"Jul 27, 2018 to Sep 27, 2023",,,"None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Manga,Comedy,26 sec. per ep.,R - 17+ (violence & profanity),0,,
Haha wo Tazunete Sanzenri Specials,,6.08,15655,9099,561,TV Special,2,Finished Airing,2001,,,"None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Drama, Slice of Life",45 min. per ep.,G - All Ages,0,,
Hi-Speed Jecy,High Speed Jessie,6.08,11212,9100,2,OVA,12,Finished Airing,"Sep 5, 1989 to Mar 5, 1990",,,VAP,"None found, add some",Pierrot,Light novel,"Action, Sci-Fi",28 min. per ep.,R - 17+ (violence & profanity),1,,
Kaze no Matasaburou (Movie),MATASABURO of the Wind,6.08,9271,9101,3,Movie,1,Finished Airing,"Mar 19, 2016",,,"None found, add some","None found, add some",Buemon,Novel,"Fantasy, Supernatural",22 min.,G - All Ages,4,,
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,Special 7: Special Crime Investigation Unit,6.08,3191,9102,48,TV,12,Finished Airing,"Oct 6, 2019 to Dec 29, 2019",Fall 2019,Sundays at 21:00 (JST),"Frontier Works,       Lantis,       Sega,       AT-X,       Ai Addiction,       Hakuhodo DY Music & Pictures,       Yomiuri TV Enterprise,       Kadokawa,       Bandai Namco Arts,       Toyo Recording,       arma bianca",Funimation,Anima&Co.,Original,"Action, Fantasy, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,44,"Detective, Vampire",
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA,,6.08,8891,9103,4,OVA,1,Finished Airing,"Jan 24, 2020",,,"None found, add some","None found, add some",Anima&Co.,Original,"Action, Fantasy",23 min.,None,2,"Detective, Vampire",
Kujibiki Unbalance,,6.08,5847,9104,12,OVA,3,Finished Airing,"Dec 22, 2004 to Apr 22, 2005",,,"Genco,       Lantis,       Kids Station,       Toshiba Entertainment",Media Blasters,Palm Studio,Other,"Comedy, Romance",25 min. per ep.,PG-13 - Teens 13 or older,7,School,
Licca-chan Fushigi na Fushigi na Yunia Monogatari,,6.08,11820,9105,1,OVA,2,Finished Airing,"Nov 23, 1990",,,"None found, add some","None found, add some",Ajia-do,Other,Adventure,27 min. per ep.,PG - Children,1,,Kids
