Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Kataku,House of Flames,6.07,10460,9127,2,Movie,1,Finished Airing,"Dec 10, 1979",,,"None found, add some","None found, add some","None found, add some",Other,Supernatural,19 min.,PG-13 - Teens 13 or older,4,"Historical, Mythology",
Kidou Senshi Gundam G40,Mobile Suit Gundam G40,6.07,9160,9128,4,ONA,1,Finished Airing,"Jan 1, 2020",,,Sunrise,"None found, add some","A-1 Pictures,       GEMBA,       Artner,       uzupiyo Animation & Digital Works,       VROOOOM",Original,"Action, Sci-Fi",10 min.,PG-13 - Teens 13 or older,2,Mecha,
Koneko no Studio,Kitty's Studio,6.07,11402,9129,2,Movie,1,Finished Airing,"Apr 9, 1959",,,"None found, add some","None found, add some",Toei Animation,Original,Comedy,16 min.,G - All Ages,2,,
Kujira no Josephina,,6.07,14555,9130,759,TV,23,Finished Airing,"Apr 2, 1979 to Sep 25, 1979",Spring 1979,Unknown,Kokusai Eigasha,"None found, add some",Ashi Productions,Novel,"Adventure, Fantasy",25 min. per ep.,G - All Ages,3,,
Madonna,,6.07,11104,9131,2,OVA,2,Finished Airing,"Mar 11, 1988 to Jun 23, 1989",,,"None found, add some",Media Blasters,Toei Animation,Unknown,"Comedy, Sports",50 min. per ep.,R+ - Mild Nudity,2,"Delinquents, School, Team Sports, Workplace",
Mahou Shoujo Nante Mou Ii desu kara. Second Season,Mahou Shoujo Nante Mouiidesukara Second Season,6.07,5678,9132,13,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Wednesdays at 22:38 (JST),"F.M.F,       SMIRAL Animation","None found, add some",PINE JAM,Web manga,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,4,Mahou Shoujo,
Majutsushi Orphen Hagure Tabi: Seiiki-hen,Sorcerous Stabber Orphen -Doom of Dragon's Sanctuary-,6.07,6285,9133,10,TV,12,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",Spring 2023,Wednesdays at 20:30 (JST),"WOWOW,       Bushiroad,       BS Fuji,       Nippon Television Network,       Yomiuri TV Enterprise,       TO Books,       NetEase,       MediaNet Pictures,       Bandai Namco Music Live","None found, add some",Studio Deen,Light novel,"Action, Adventure, Drama, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,38,Martial Arts,
Meng Ta: Xue Mi Cheng,Dream Tower,6.07,13888,9134,925,ONA,13,Finished Airing,"Jun 1, 2018 to Aug 10, 2018",,,"None found, add some","None found, add some","None found, add some",Original,"Action, Adventure, Fantasy, Mystery, Supernatural",21 min. per ep.,PG-13 - Teens 13 or older,5,,
Momoiro no Crayon,,6.07,18612,9136,306,OVA,1,Finished Airing,2006,,,"None found, add some","None found, add some",Nippon Animation,Original,Drama,28 min.,G - All Ages,1,,Kids
Moldiver,,6.07,8697,9135,4,OVA,6,Finished Airing,"Feb 25, 1993 to Nov 25, 1993",,,Pioneer LDC,Geneon Entertainment USA,AIC,Original,"Action, Romance, Sci-Fi",29 min. per ep.,PG-13 - Teens 13 or older,10,Mecha,
Ndaho Kekkon Omedetou!!,,6.07,16441,9137,474,ONA,1,Finished Airing,"Apr 30, 2021",,,"None found, add some","None found, add some",LIDENFILMS,Original,Slice of Life,4 min.,G - All Ages,0,Music,
Neko Pitcher,,6.07,14678,9138,727,TV,51,Finished Airing,"May 3, 2014 to Mar 29, 2016",Spring 2014,Tuesdays at 20:00 (JST),"None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Sports",2 min. per ep.,G - All Ages,1,"Anthropomorphic, Team Sports",Kids
Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki,,6.07,14215,9139,842,Movie,1,Finished Airing,"Mar 13, 1982",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Slice of Life",31 min.,G - All Ages,0,Martial Arts,
