Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Sailor Victory,,5.84,10596,10275,2,OVA,2,Finished Airing,"Jun 25, 1995 to Aug 25, 1995","Bandai Visual,       Movic",Media Blasters,animate Film,Original,"Action, Comedy, Sci-Fi",Mecha,27 min. per ep.,R+ - Mild Nudity,2,,,
Kakushin,Hunch,5.83,11789,10278,1,ONA,1,Finished Airing,"Mar 28, 2016","None found, add some","None found, add some","None found, add some",Original,Boys Love,Music,3 min.,PG - Children,8,,,
Kemono Friends 2,,5.83,5106,10279,17,TV,12,Finished Airing,"Jan 15, 2019 to Apr 2, 2019","TV Tokyo,       Shochiku,       Victor Entertainment,       AT-X,       Bushiroad,       Age Global Networks,       Docomo Anime Store,       Kadokawa,       Crunchyroll SC Anime Fund,       Sega Games",Crunchyroll,Tomason,Game,"Adventure, Comedy","Anthropomorphic, Iyashikei",22 min. per ep.,PG-13 - Teens 13 or older,42,Winter 2019,Tuesdays at 02:05 (JST),
Sengoku Choujuu Giga: Kou,SENGOKUCHOJYUGIGA,5.84,7755,10276,6,TV,13,Finished Airing,"Oct 9, 2016 to Jan 8, 2017",King Records,"None found, add some",ILCA,Original,Supernatural,"Historical, Mythology, Samurai",3 min. per ep.,PG-13 - Teens 13 or older,6,Fall 2016,Sundays at 01:42 (JST),
Kidou Senshi SD Gundam Matsuri,Mobile Suit SD Gundam Festival,5.83,10959,10280,2,Movie,1,Finished Airing,"Mar 13, 1993","None found, add some","None found, add some",Sunrise,Unknown,"Action, Comedy, Fantasy","Mecha, Parody",1 hr. 21 min.,PG - Children,1,,,
Kigyou Senshi Yamazaki: Long Distance Call,,5.83,11746,10281,1,OVA,1,Finished Airing,"Oct 25, 1997","None found, add some","None found, add some",Ripple Film,Manga,"Drama, Sci-Fi",,43 min.,R+ - Mild Nudity,0,,,Seinen
Kiki to Lala no Hakuchouza no Ohimesama,,5.83,15714,10282,554,OVA,1,Finished Airing,"Nov 21, 1993","Sanrio,       Grouper Productions","None found, add some","None found, add some",Unknown,,,30 min.,G - All Ages,1,,,Kids
Kujira no Yu,Bath House of Whales,5.83,18391,10283,320,Movie,1,Finished Airing,2019,Geidai Animation,"None found, add some","None found, add some",Original,Slice of Life,,6 min.,PG-13 - Teens 13 or older,0,,,
Lupin III: Ikiteita Majutsushi,Lupin III: Return of Pycal,5.83,7688,10284,6,OVA,1,Finished Airing,"Apr 3, 2002","VAP,       Tohokushinsha Film Corporation",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,50 min.,R+ - Mild Nudity,2,,,Seinen
Mahou Shoujo Lyrical Nanoha A's Picture Drama,,5.83,12343,10285,1,Special,1,Finished Airing,"Nov 5, 2014","None found, add some","None found, add some","None found, add some",Original,Comedy,Parody,7 min.,PG-13 - Teens 13 or older,1,,,
Mai no Mahou to Katei no Hi,,5.83,11530,10287,1,TV Special,1,Finished Airing,"Feb 20, 2011","Lantis,       Magic Capsule","None found, add some",P.A. Works,Original,Drama,,29 min.,G - All Ages,2,,,
