Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Junkers Come Here: Memories of You,,5.95,14560,9723,759,OVA,1,Finished Airing,"Jul 21, 1994","Bandai Visual,       TV Asahi","None found, add some",Triangle Staff,Novel,"Drama, Slice of Life",29 min.,G - All Ages,0,,,,
Shibai Taroka,,5.96,12946,9722,1,OVA,2,Finished Airing,"Nov 25, 1993 to May 21, 1994","None found, add some","None found, add some",Knack Productions,Unknown,"Action, Comedy, Romance",52 min. per ep.,R+ - Mild Nudity,2,"Delinquents, School",Shounen,,
Kamigami no Ki,,5.95,12976,9724,1,TV,16,Finished Airing,"Nov 25, 2016 to Apr 28, 2017","None found, add some","None found, add some",Sotsu,Original,"Comedy, Supernatural",2 min. per ep.,PG - Children,3,Historical,,Fall 2016,Fridays at 01:25 (JST)
Kerokero Keroppi no Daibouken: Fushigi na Mame no Ki,,5.95,16475,9725,471,Movie,1,Finished Airing,"Jul 21, 1990",Sanrio,"None found, add some","None found, add some",Unknown,"Adventure, Comedy",25 min.,G - All Ages,0,,Kids,,
Kidou Senshi Gundam 00 CB Chara,,5.95,15767,9726,547,Special,2,Finished Airing,"Jul 25, 2008 to Aug 25, 2009","None found, add some","None found, add some",Sunrise,Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Kyouryuu Tankentai Born Free,Dinosaur Expedition Born Free,5.95,12309,9727,1,TV,25,Finished Airing,"Oct 1, 1976 to Mar 25, 1977",Tsuburaya Productions,"None found, add some",Sunrise,Original,"Action, Sci-Fi",24 min. per ep.,G - All Ages,1,,,Fall 1976,Unknown
Ling Yu 6th Season,,5.95,12093,9729,1,ONA,12,Finished Airing,"Apr 20, 2018 to Jul 6, 2018",iQIYI,"None found, add some",Foch Films,Novel,Fantasy,13 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Lily C.A.T.,,5.95,6296,9728,10,OVA,1,Finished Airing,"Sep 1, 1987","Victor Entertainment,       Streamline Pictures",Discotek Media,Pierrot,Original,"Horror, Sci-Fi",1 hr. 7 min.,PG-13 - Teens 13 or older,12,Space,,,
Love♥Love? Specials,,5.95,8070,9730,5,Special,4,Finished Airing,"Jul 14, 2004 to Sep 1, 2004",m.o.e.,Maiden Japan,"Imagin,       Studio Live",Original,"Comedy, Romance, Ecchi",14 min. per ep.,R+ - Mild Nudity,0,Harem,,,
Minikui Ahiru no Ko,,5.95,18542,9731,311,Movie,1,Finished Airing,1968,Gakken,"None found, add some","None found, add some",Book,Award Winning,19 min.,G - All Ages,0,,Kids,,
Mr. Pen Pen,,5.95,14494,9732,774,TV Special,1,Finished Airing,"Mar 31, 1986","None found, add some","None found, add some","None found, add some",Manga,Comedy,47 min.,PG - Children,0,,Kids,,
Nandaka Velonica,,5.95,12378,9733,1,TV,10,Finished Airing,"Mar 10, 2014 to Mar 21, 2014",NHK,"None found, add some",Cyclone Graphics,Original,"Comedy, Fantasy",10 min. per ep.,G - All Ages,0,,Kids,Winter 2014,Not scheduled once per week
Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,,5.95,14634,9734,739,Movie,1,Finished Airing,"Mar 16, 1985","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Sci-Fi",50 min.,G - All Ages,0,"Martial Arts, Super Power",,,
Ohayou! Spank (Movie),,5.95,14295,9735,821,Movie,1,Finished Airing,"Mar 13, 1982","None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Romance, Slice of Life",1 hr. 39 min.,G - All Ages,1,,,,
Patalliro Saiyuuki! Special,,5.95,13614,9736,1,Special,1,Finished Airing,"Jan 25, 2006","None found, add some","None found, add some",Magic Bus,Manga,"Adventure, Boys Love, Comedy, Fantasy",9 min.,PG-13 - Teens 13 or older,0,,Shoujo,,
Pochacco no Wakuwaku Birthday,Pochacco in Exciting Birthday,5.95,16941,9738,427,OVA,1,Finished Airing,"Oct 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,20 min.,G - All Ages,1,,Kids,,
Play Ball,,5.95,12494,9737,1,TV,13,Finished Airing,"Jul 5, 2005 to Sep 27, 2005",Magic Bus,"None found, add some",Eiken,Manga,Sports,24 min. per ep.,G - All Ages,1,Team Sports,Shounen,Summer 2005,Unknown
Pokemon Anime Chou Hyakka: Pokemon Kingin Zukan Super Select,,5.95,16258,9739,493,OVA,1,Finished Airing,2000,"None found, add some","None found, add some","None found, add some",Game,"Adventure, Comedy",20 min.,PG - Children,0,,Kids,,
Saru Getchu: On Air 2nd,,5.95,14625,9740,740,TV,51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007","None found, add some","None found, add some",Xebec,Game,"Adventure, Comedy, Fantasy, Romance",10 min. per ep.,PG - Children,3,,Kids,Fall 2006,Unknown
Shuumatsu no Walküre II Mini Anime,,5.95,14209,9741,842,ONA,18,Finished Airing,"Apr 13, 2023 to Nov 23, 2023","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Sin: Nanatsu no Taizai Zange-roku,,5.95,5454,9742,15,ONA,12,Finished Airing,"Apr 14, 2017 to Jul 31, 2017","None found, add some","None found, add some","Artland,       TNK",Other,"Fantasy, Ecchi",1 min. per ep.,R+ - Mild Nudity,21,,,,
Sore Ike! Anpanman: Kirakira Boshi no Namida,Go! Anpanman: The Shining Star's Tear,5.95,14622,9743,741,Movie,1,Finished Airing,"Nov 3, 1989","None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Comedy",1 hr. 14 min.,PG - Children,1,Super Power,Kids,,
Sore Ike! Anpanman: Ruby no Negai,,5.95,14327,9744,816,Movie,1,Finished Airing,"Jul 12, 2003","None found, add some","None found, add some","None found, add some",Unknown,Comedy,51 min.,PG - Children,1,,Kids,,
Sugar Bunnies,,5.95,12638,9745,1,TV,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",Sanrio,"None found, add some",Asahi Production,Unknown,,11 min. per ep.,G - All Ages,6,,Kids,Spring 2007,Unknown
Sugar Bunnies Fleur,,5.95,14084,9746,874,TV,26,Finished Airing,"Apr 7, 2009 to Sep 29, 2009",Sanrio,"None found, add some",Asahi Production,Unknown,,11 min. per ep.,PG - Children,2,,Kids,Spring 2009,Unknown
Takane no Jitensha,Takane's Bicycle,5.95,10697,9747,2,TV Special,1,Finished Airing,"Jul 6, 2008",Imagine,"None found, add some",A-1 Pictures,Unknown,Fantasy,24 min.,G - All Ages,0,School,,,
Town Workers,,5.95,14186,9748,849,ONA,3,Finished Airing,"Sep 18, 2014","None found, add some","None found, add some",Rockwell Eyes,Original,Slice of Life,6 min. per ep.,PG-13 - Teens 13 or older,1,,,,
