Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Sarutobi Ecchan,,5.93,12265,9858,1,TV,26,Finished Airing,"Oct 4, 1971 to Mar 27, 1972",Fall 1971,Unknown,"None found, add some","None found, add some",Toei Animation,Unknown,Comedy,25 min. per ep.,PG - Children,0,School,Kids
Shadow Skill (1999),,5.93,15102,9859,646,OVA,1,Finished Airing,1999,,,Takeshobo,"None found, add some",Zero-G Room,Manga,Comedy,18 min.,R+ - Mild Nudity,2,Parody,Seinen
Macross Δ Movie: Gekijou no Walküre Specials,,5.92,12904,9860,1,Special,2,Finished Airing,28-Aug-18,,,"None found, add some","None found, add some",Satelight,Original,Comedy,7 min. per ep.,PG-13 - Teens 13 or older,0,,
Mahou Shoujo Nante Mou Ii desu kara.,Mahou Shoujo Nante Mouiidesukara,5.92,4241,9861,27,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016",Winter 2016,Tuesdays at 01:11 (JST),"Earth Star Entertainment,       F.M.F","None found, add some",PINE JAM,Web manga,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,20,Mahou Shoujo,
Medamayaki no Kimi Itsu Tsubusu?,,5.92,12935,9862,1,TV Special,4,Finished Airing,"Aug 5, 2014 to Aug 8, 2014",,,NHK,"None found, add some",Fanworks,Manga,"Comedy, Gourmet",18 min. per ep.,G - All Ages,1,,Seinen
Nippon-ichi no Otoko no Tamashii 2,,5.92,13951,9863,906,TV,16,Finished Airing,"May 4, 1999 to May 28, 1999",Spring 1999,Unknown,"None found, add some","None found, add some",Studio Deen,Unknown,"Comedy, Romance",6 min. per ep.,R+ - Mild Nudity,0,,
Nyuuin Bokki Monogatari: Odaijini!,,5.92,14658,9864,735,OVA,2,Finished Airing,"Dec 5, 1991 to Dec 25, 1991",,,Tokyo Kids,"None found, add some","None found, add some",Unknown,"Comedy, Ecchi",44 min. per ep.,R+ - Mild Nudity,1,,Seinen
Obake no... Holly,,5.92,14011,9865,889,TV,200,Finished Airing,"Jan 28, 1991 to Apr 12, 1993",Winter 1991,Unknown,"NHK,       Studio Junio","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",10 min. per ep.,G - All Ages,1,,Kids
Protector,,5.92,16357,9866,483,ONA,1,Finished Airing,18-Nov-22,,,"None found, add some","None found, add some",Enishiya,Game,Action,45 sec.,PG-13 - Teens 13 or older,0,Music,
Saint Luminous Jogakuin,St. Luminous Mission High School,5.92,9567,9867,3,TV,13,Finished Airing,"Oct 6, 1998 to Dec 30, 1998",Fall 1998,Tuesdays at 01:15 (JST),"Genco,       Pioneer LDC","None found, add some",Triangle Staff,Original,"Mystery, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,6,Psychological,
Sakura Kakumei: Hanasaku Otome-tachi,,5.92,12195,9868,1,ONA,1,Finished Airing,02-Sep-20,,,"Half H.P Studio,       Imagine","None found, add some",CloverWorks,Game,Action,23 min.,PG-13 - Teens 13 or older,0,Mecha,
Shabake,,5.92,15579,9869,574,ONA,1,Finished Airing,19-Jul-21,,,"None found, add some","None found, add some",Shuka,Novel,Fantasy,3 min.,,0,Historical,
Shenmue: The Movie,,5.92,10497,9870,2,Movie,1,Finished Airing,08-Sep-01,,,"None found, add some","None found, add some","None found, add some",Game,"Action, Adventure",1 hr. 31 min.,PG-13 - Teens 13 or older,8,"Martial Arts, Strategy Game",
Shin Shounan Bakusouzoku Arakure Knight,,5.92,14073,9871,876,OVA,2,Finished Airing,"Sep 12, 1997 to Sep 11, 1998",,,"None found, add some","None found, add some","None found, add some",Manga,Adventure,41 min. per ep.,R+ - Mild Nudity,1,Delinquents,
Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,Shining Hearts: Bread of Happiness Picture Drama,5.92,10804,9872,2,Special,6,Finished Airing,"Jul 27, 2012 to Dec 21, 2012",,,"None found, add some",Sentai Filmworks,Production I.G,Game,Fantasy,4 min. per ep.,PG-13 - Teens 13 or older,1,Isekai,
Sore Ike! Anpanman: Tobe! Tobe! Chibigon,,5.92,16298,9873,489,Movie,1,Finished Airing,20-Jul-91,,,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",40 min.,PG - Children,0,,Kids
