Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Miracle Shoujo Limit-chan,,5.79,13522,10484,1,TV,25,Finished Airing,"Oct 1, 1973 to Mar 25, 1974",Fall 1973,Mondays at 19:00 (JST),TV Asahi,"None found, add some",Toei Animation,Original,"Comedy, Sci-Fi","School, Super Power",24 min. per ep.,G - All Ages,1,
Mirai e no Kakehashi: Bridge for Future,,5.79,14407,10485,792,ONA,6,Finished Airing,"Oct 1, 2015 to Aug 1, 2016",,,"None found, add some","None found, add some",Gaina,Original,Slice of Life,,30 sec. per ep.,G - All Ages,0,
Mr. Bond,,5.79,18871,10486,289,TV Special,1,Finished Airing,"May 12, 1997",,,NHK,"None found, add some","None found, add some",Novel,Mystery,Detective,5 min.,G - All Ages,0,Kids
Mulan: Heng Kong Chu Shi,,5.79,11412,10487,2,Movie,1,Finished Airing,"Oct 3, 2020",,,"None found, add some","None found, add some","None found, add some",Other,Action,,1 hr. 38 min.,PG-13 - Teens 13 or older,2,
Nanocore: NG Scenes - Nano's Daily Life,,5.79,17475,10488,388,ONA,2,Finished Airing,"Feb 8, 2015 to Mar 1, 2015",,,Coastline Animation Studio,"None found, add some","None found, add some",Original,"Comedy, Sci-Fi",,3 min. per ep.,PG-13 - Teens 13 or older,0,
Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,,5.79,16274,10489,491,Special,1,Finished Airing,"Jul 30, 2014",,,"VAP,       Nikkatsu","None found, add some","None found, add some",Original,,Music,6 min.,G - All Ages,0,
Porong Porong Pororo 2,Pororo the Little Penguin 2,5.79,15452,10491,591,TV,52,Finished Airing,"Dec 3, 2005 to May 28, 2006",Winter 2006,Unknown,"None found, add some","None found, add some","None found, add some",Original,,,5 min. per ep.,G - All Ages,0,Kids
Salamander,,5.79,11185,10492,2,OVA,3,Finished Airing,"Feb 25, 1987 to Feb 25, 1989",,,Pony Canyon,"None found, add some",Pierrot,Game,"Adventure, Sci-Fi",,53 min. per ep.,R+ - Mild Nudity,1,
Saredo Tsumibito wa Ryuu to Odoru,Dances with the Dragons,5.79,2999,10493,54,TV,12,Finished Airing,"Apr 6, 2018 to Jun 22, 2018",Spring 2018,Fridays at 01:58 (JST),"TBS,       NBCUniversal Entertainment Japan",Funimation,Seven Arcs Pictures,Light novel,"Action, Drama, Fantasy, Sci-Fi",,23 min. per ep.,R - 17+ (violence & profanity),49,
Shin Seikimatsu: Yatsuto no Souguu,Encounters with that Kind,5.79,17805,10494,363,ONA,5,Finished Airing,"May 13, 2013 to Jun 10, 2013",,,CoMix Wave Films,"None found, add some","None found, add some",Unknown,"Comedy, Sci-Fi",,5 min. per ep.,PG - Children,0,
Shishunki Bishoujo Gattai Robo Z-Mind,,5.79,12420,10495,1,OVA,6,Finished Airing,"Feb 25, 1999 to Jul 25, 1999",,,"None found, add some","Bandai Entertainment,       Sentai Filmworks",Sunrise,Original,Action,"Mecha, Parody",30 min. per ep.,PG-13 - Teens 13 or older,0,
Shounen Ashibe: Go! Go! Goma-chan 4,,5.79,14552,10496,761,TV,24,Finished Airing,"Apr 2, 2019 to Dec 17, 2019",Spring 2019,Tuesdays at 18:45 (JST),"None found, add some","None found, add some","Bridge,       Studio Palette",4-koma manga,"Comedy, Slice of Life",Pets,9 min. per ep.,G - All Ages,0,Seinen
Tamayomi,TAMAYOMI: The Baseball Girls,5.79,3879,10497,33,TV,12,Finished Airing,"Apr 1, 2020 to Jun 17, 2020",Spring 2020,Wednesdays at 22:00 (JST),"Sotsu,       ABC Animation,       A3",Funimation,Studio A-CAT,Manga,Sports,"School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,46,
The Epic Of ZektBach,,5.79,9053,10498,4,OVA,1,Finished Airing,"Mar 21, 2011",,,"Half H.P Studio,       Konami Digital Entertainment","None found, add some",AIC,Music,"Action, Fantasy, Supernatural",,30 min.,R - 17+ (violence & profanity),5,
Ultraviolet: Code 044,,5.79,7274,10499,7,TV,12,Finished Airing,"Jul 1, 2008 to Sep 16, 2008",Summer 2008,Unknown,"Sony Pictures Entertainment,       Tezuka Productions,       Mill Creek Entertainment","None found, add some",Madhouse,Other,"Action, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),5,
Warau Arsnotoria Sun!,Smile of the Arsnotoria the Animation,5.79,4184,10500,28,TV,12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",Summer 2022,Wednesdays at 21:30 (JST),"Pony Canyon,       Nitroplus,       Ultra Super Pictures,       Good Smile Company,       Crunchyroll,       JR East Marketing & Communications,       BS NTV,       Kadokawa","None found, add some",LIDENFILMS,Game,"Action, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,49,
