Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Magical Suite Prism Nana,,5.88,6611,10069,9,OVA,7,Currently Airing,"Nov 29, 2015 to ?","None found, add some","None found, add some",Shaft,Original,Fantasy,Mahou Shoujo,,30 min. per ep.,None,6,,
Ma Shen,Mahjong King,5.88,11763,10068,1,ONA,16,Finished Airing,"Jun 28, 2016 to Nov 9, 2016",Tencent Animation & Comics,"None found, add some",Thundray,Web manga,Drama,Strategy Game,,13 min. per ep.,PG-13 - Teens 13 or older,3,,
Makyou Densetsu Acrobunch,,5.88,11631,10070,1,TV,24,Finished Airing,"May 5, 1982 to Dec 24, 1982",Kokusai Eigasha,Discotek Media,"None found, add some",Original,Sci-Fi,Mecha,,25 min. per ep.,PG-13 - Teens 13 or older,1,Spring 1982,Unknown
Morimori Shima no Mogu to Perol,Mogu&Perol,5.88,17858,10071,359,ONA,1,Finished Airing,"Jan 19, 2018","None found, add some","None found, add some",dwarf,Original,,,Kids,8 min.,G - All Ages,0,,
Moshidora Recap,,5.88,14450,10072,784,TV Special,1,Finished Airing,"Aug 16, 2011",NHK,"None found, add some",Production I.G,Unknown,"Drama, Sports",Team Sports,,1 hr. 13 min.,PG-13 - Teens 13 or older,0,,
Neko Neko Fantasia,Kitty-Cat Fantasia,5.88,11562,10073,1,OVA,1,Finished Airing,"Dec 13, 1991","None found, add some","None found, add some","AIC,       animate Film",Manga,Comedy,Pets,Shoujo,25 min.,G - All Ages,5,,
Odd Taxi Picture Drama,,5.88,12008,10074,1,Special,1,Finished Airing,"Mar 30, 2022","None found, add some","None found, add some","None found, add some",Original,,Anthropomorphic,,9 min.,PG-13 - Teens 13 or older,1,,
On Air Dekinai!,,5.88,10711,10075,2,TV,12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022","Pierrot,       TV Tokyo,       WarRock","None found, add some","Space Neko Company,       Jinnan Studio",Manga,Comedy,Showbiz,,3 min. per ep.,PG-13 - Teens 13 or older,11,Winter 2022,Mondays at 01:05 (JST)
Onihei Pilot,,5.88,14303,10076,820,Special,1,Finished Airing,"Feb 22, 2017",TMS Entertainment,"None found, add some",MAPPA,Novel,,Historical,,5 min.,PG-13 - Teens 13 or older,0,,
Piace: Watashi no Italian,Piacevole: My Italian Cooking,5.88,5229,10078,16,TV,12,Finished Airing,"Jan 11, 2017 to Mar 29, 2017","Pony Canyon,       Studio NOIX,       comico","None found, add some",Zero-G,Web manga,"Comedy, Gourmet, Slice of Life",Workplace,,4 min. per ep.,PG-13 - Teens 13 or older,10,Winter 2017,Wednesdays at 22:30 (JST)
Ookami Shounen Ken,,5.88,13141,10077,1,TV,86,Finished Airing,"Nov 25, 1963 to Aug 16, 1965",TV Asahi,"None found, add some",Toei Animation,Unknown,Adventure,,Kids,24 min. per ep.,G - All Ages,1,Fall 1963,Unknown
Pikaia!,,5.88,12297,10079,1,TV,13,Finished Airing,"Apr 29, 2015 to Jul 30, 2015",NHK,"None found, add some","Production I.G,       OLM",Original,"Drama, Slice of Life",,Kids,15 min. per ep.,G - All Ages,1,Spring 2015,Not scheduled once per week
Rainbow Sentai Robin,,5.88,13553,10080,1,TV,48,Finished Airing,"Apr 23, 1966 to Mar 24, 1967","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Sci-Fi",,,26 min. per ep.,G - All Ages,0,Spring 1966,Unknown
Rolling☆Girls: Chibi☆Rolling☆Girls Korokoro Gekijou,,5.88,9022,10082,4,Special,12,Finished Airing,"Mar 18, 2015 to Aug 19, 2015","None found, add some","None found, add some",Wit Studio,Original,Slice of Life,CGDCT,,1 min. per ep.,PG-13 - Teens 13 or older,2,,
Rokushin Gattai GodMars: Juunana-sai no Densetsu,,5.88,12490,10081,1,OVA,1,Finished Airing,"Jun 5, 1988",TOHO,Discotek Media,Tokyo Movie Shinsha,Manga,"Action, Sci-Fi","Mecha, Space",,56 min.,R+ - Mild Nudity,0,,
Shin Hurricane Polymar,Hurricane Polymar: Holy Blood,5.88,10307,10084,2,OVA,2,Finished Airing,"Sep 21, 1996 to Feb 21, 1997","Nihon Ad Systems,       Nippon Columbia,       Audio Tanaka","Discotek Media,       Urban Vision","J.C.Staff,       Tatsunoko Production",Original,"Action, Sci-Fi","Martial Arts, Super Power",,30 min. per ep.,R+ - Mild Nudity,6,,
Sex: Prologue,,5.88,11400,10083,2,OVA,1,Finished Airing,"May 7, 2018",DMM pictures,"None found, add some",MAPPA,Manga,"Action, Drama",School,Seinen,1 min.,PG-13 - Teens 13 or older,3,,
Sinbad: Soratobu Hime to Himitsu no Shima Pilot,,5.88,15108,10085,644,Special,1,Finished Airing,"Dec 16, 2015","None found, add some","None found, add some",Nippon Animation,Original,Adventure,,,2 min.,G - All Ages,0,,
Skyers 5,,5.88,14695,10086,724,TV,12,Finished Airing,"Oct 4, 1967 to Dec 20, 1967",Tele-Cartoon Japan,"None found, add some",Eiken,Unknown,"Action, Sci-Fi",,,24 min. per ep.,G - All Ages,0,Fall 1967,Unknown
Sore Ike! Anpanman: Baikinman no Gyakushuu,,5.88,15855,10087,538,Movie,1,Finished Airing,"Jul 7, 1990","None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",,Kids,1 hr. 10 min.,PG - Children,0,,
Takamiya Nasuno desu! Teekyuu Spin-off Special,,5.88,10149,10088,2,Special,1,Finished Airing,"Aug 28, 2015","None found, add some","None found, add some",Millepensee,Manga,Comedy,,Shounen,1 min.,PG-13 - Teens 13 or older,0,,
Tao Hua Yuan Ji,The Legend of Shangri-La,5.88,16474,10089,471,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Other,Fantasy,Historical,,14 min.,G - All Ages,0,,
Ultraman Kids no Kotowaza Monogatari,,5.88,13397,10090,1,TV,26,Finished Airing,"Apr 16, 1986 to Nov 19, 1986",TBS,"None found, add some","None found, add some",Other,Comedy,Super Power,Kids,7 min. per ep.,PG - Children,2,Spring 1986,Unknown
Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,Ultraman Super Fighter Legend,5.88,13544,10091,1,OVA,1,Finished Airing,"Sep 25, 1996","Bandai Visual,       Tsuburaya Productions","None found, add some","None found, add some",Other,"Action, Sci-Fi","Space, Super Power",,40 min.,PG - Children,2,,
Urvan,,5.88,13386,10092,1,ONA,1,Finished Airing,"Feb 12, 2021","None found, add some","None found, add some",Toei Animation,Original,"Mystery, Sci-Fi",,,5 min.,PG - Children,1,,
VitaminX Addiction,,5.88,10798,10093,2,OVA,3,Finished Airing,"Aug 26, 2011 to Oct 21, 2011","None found, add some","None found, add some",Nomad,Game,Romance,"Reverse Harem, School",,29 min. per ep.,PG-13 - Teens 13 or older,5,,
World Fool News (TV),World Fool News,5.88,10966,10094,2,TV,12,Finished Airing,"Apr 17, 2014 to Jul 3, 2014","None found, add some","None found, add some",CoMix Wave Films,Other,"Comedy, Slice of Life",Workplace,,9 min. per ep.,PG-13 - Teens 13 or older,5,Spring 2014,Wednesdays at 11:00 (JST)
Yoiko no Rekishi Anime: Ookina Kabu (Kabu),,5.88,14150,10095,860,Movie,1,Finished Airing,"Nov 23, 2016",Sound Team Don Juan,"None found, add some",Khara,Manga,Comedy,Parody,,8 min.,G - All Ages,0,,
Zephyr,,5.88,10560,10096,2,Special,1,Finished Airing,"Oct 11, 2014","None found, add some","None found, add some",Satelight,Unknown,Drama,Music,,26 min.,PG-13 - Teens 13 or older,7,,
Zettai Bouei Leviathan: Mini Takibi Gekijou,,5.88,11263,10097,2,Special,13,Finished Airing,"Jul 7, 2013 to Sep 30, 2013",TV Tokyo,"None found, add some",Gonzo,Game,"Comedy, Fantasy",,,4 min. per ep.,PG-13 - Teens 13 or older,1,,
Sore Ike! Anpanman: Gomira no Hoshi,,5.87,16395,10098,479,Movie,1,Finished Airing,"Jul 14, 2001",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Comedy, Fantasy",,Kids,51 min.,PG - Children,0,,
Sore Ike! Anpanman: Omusubiman,,5.87,16521,10099,466,Movie,1,Finished Airing,"Jul 7, 1990","None found, add some","None found, add some",TMS Entertainment,Unknown,,,Kids,30 min.,PG - Children,0,,
Soul Eater NOT!,,5.87,1161,10100,210,TV,12,Finished Airing,"Apr 9, 2014 to Jul 2, 2014","TV Tokyo,       Dentsu,       Square Enix,       Media Factory,       Sony Music Communications",Funimation,Bones,Manga,"Action, Comedy, Fantasy",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,207,Spring 2014,Wednesdays at 01:40 (JST)
Texhnolyze: Revisit,,5.87,11742,10101,1,Special,1,Finished Airing,2004,"None found, add some","None found, add some",Madhouse,Original,Sci-Fi,,,35 min.,R+ - Mild Nudity,1,,
Xianjing Chuanshuo RO: Shouhu Yongheng de Ai,,5.87,13694,10102,980,ONA,1,Finished Airing,"Dec 9, 2016","None found, add some","None found, add some","None found, add some",Game,"Action, Fantasy",,,2 min.,G - All Ages,0,,
Youkaiden Nekome Kozou,Cat Eyed Boy,5.87,13143,10103,1,TV,25,Finished Airing,"Apr 1, 1976 to Sep 30, 1976",Wako Productions,"None found, add some","None found, add some",Manga,"Adventure, Horror, Supernatural",Psychological,Seinen,25 min. per ep.,G - All Ages,0,Spring 1976,Unknown
11-piki no Neko,Eleven Cats,5.87,12827,10104,1,Movie,1,Finished Airing,"Jul 19, 1980",Group TAC,"None found, add some","None found, add some",Picture book,Fantasy,,,1 hr. 23 min.,G - All Ages,5,,
Ad Lib Anime Kenkyuujo,,5.87,13104,10105,1,TV,38,Finished Airing,"Oct 16, 2011 to Mar 31, 2013","None found, add some","None found, add some","None found, add some",Original,Comedy,,,4 min. per ep.,G - All Ages,2,Fall 2011,Unknown
