Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Tales of the Rays: Everlasting Destiny,,6.02,12737,9390,1,ONA,1,Finished Airing,"Jul 4, 2019",,,Bandai Namco Entertainment,"None found, add some",Bandai Namco Pictures,Game,Fantasy,15 min.,G - All Ages,1,,Strategy Game
Tamayura no Yume,,6.02,15975,9391,524,Movie,1,Finished Airing,2011,,,Geidai Animation,"None found, add some","None found, add some",Original,Drama,4 min.,G - All Ages,0,,Psychological
Tobira wo Akete (1995),,6.02,8967,9392,4,OVA,1,Finished Airing,1995,,,"None found, add some","None found, add some",Studio 4°C,Original,"Avant Garde, Fantasy",10 min.,G - All Ages,4,,
"Tottoko Hamtarou: ""A"" kara ""N"" made Hiragana Asobi",,6.02,15698,9394,556,OVA,1,Finished Airing,"Jul 30, 2003",,,"None found, add some","None found, add some","None found, add some",Manga,,30 min.,G - All Ages,0,Kids,
Tokimeki Memorial 4 OVA,,6.02,10912,9393,2,OVA,1,Finished Airing,"Dec 3, 2009",,,"None found, add some","None found, add some",Asahi Production,Visual novel,,35 min.,PG-13 - Teens 13 or older,1,,Harem
Usavich Zero,,6.02,11459,9395,1,TV,13,Finished Airing,"Apr 10, 2015 to Aug 28, 2015",Spring 2015,Fridays at 23:55 (JST),"None found, add some","None found, add some",Kanaban Graphics,Original,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,0,,
Weiß Survive,,6.02,4739,9397,21,TV,16,Finished Airing,"Jun 6, 2009 to Sep 26, 2009",Summer 2009,Saturdays at 01:25 (JST),"TBS,       Bushiroad","None found, add some",Studio Hibari,Card game,"Comedy, Ecchi",2 min. per ep.,PG-13 - Teens 13 or older,8,,Strategy Game
Wave!! Surfing Yappe!!,,6.02,5005,9396,19,Movie,3,Finished Airing,"Oct 2, 2020 to Oct 30, 2020",,,Delfi Sound,"None found, add some",Asahi Production,Mixed media,"Slice of Life, Sports",1 hr. 27 min. per ep.,PG-13 - Teens 13 or older,67,,
Wolverine,,6.02,4262,9398,27,TV,12,Finished Airing,"Jan 7, 2011 to Mar 25, 2011",Winter 2011,Unknown,"None found, add some",Marvel Entertainment,Madhouse,Other,"Action, Drama",23 min. per ep.,PG-13 - Teens 13 or older,26,,Super Power
Yousei Hime Ren,Elf Princess Rane,6.02,8670,9399,4,OVA,2,Finished Airing,"Oct 27, 1995 to Jan 26, 1996",,,KSS,Media Blasters,Dangun Pictures,Original,"Adventure, Comedy, Fantasy",27 min. per ep.,R+ - Mild Nudity,5,,
Yume Oukoku to Nemureru 100-nin no Oujisama: Short Stories,,6.02,9001,9400,4,ONA,10,Finished Airing,"Mar 25, 2017 to Dec 23, 2017",,,"None found, add some","None found, add some",Satelight,Game,,8 min. per ep.,PG-13 - Teens 13 or older,9,,Strategy Game
Blood-C: None-None Gekijou,,6.05,6017,9251,11,ONA,7,Finished Airing,"Apr 8, 2012 to Oct 7, 2012",,,Production I.G,Funimation,Studio PuYUKAI,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,5,,Parody
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,Ai-Mai-Mi Surgical Friends,6.05,6286,9252,10,TV,12,Finished Airing,"Jan 3, 2017 to Mar 21, 2017",Winter 2017,Tuesdays at 23:30 (JST),"Dream Creation,       On-Lead","None found, add some",Seven,4-koma manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,18,,
Crush Gear Nitro,,6.05,11246,9253,2,TV,50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",Winter 2003,Unknown,"None found, add some","None found, add some",Sunrise,Unknown,Sports,23 min. per ep.,PG-13 - Teens 13 or older,4,,Racing
DD Hokuto no Ken,DD Fist of the North Star,6.05,8453,9254,5,TV,12,Finished Airing,"Jan 12, 2011 to Apr 6, 2011",Winter 2011,Wednesdays at 02:35 (JST),North Stars Pictures,"None found, add some","None found, add some",Manga,,3 min. per ep.,PG-13 - Teens 13 or older,12,Seinen,Parody
Dorami-chan: Hello Kyouryuu Kids!!,,6.05,15080,9255,645,Movie,1,Finished Airing,"Mar 6, 1993",,,"None found, add some","None found, add some","None found, add some",Unknown,Fantasy,40 min.,G - All Ages,0,,
Double Hard,,6.05,15242,9256,623,ONA,26,Finished Airing,2013 to ?,,,"None found, add some","None found, add some",Next Media Animation,Manga,Action,12 min. per ep.,PG-13 - Teens 13 or older,2,,"Delinquents, Martial Arts"
DRAMAtical Murder,,6.05,1410,9257,168,TV,12,Finished Airing,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,Unknown,"Avex Entertainment,       Nitroplus,       DIVE II Entertainment",Sentai Filmworks,NAZ,Visual novel,"Action, Mystery, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,609,,"Psychological, Super Power, Video Game"
DRAMAtical Murder: Data_xx_Transitory,,6.05,3884,9258,33,Special,1,Finished Airing,"Dec 24, 2014",,,"Nitroplus,       DIVE II Entertainment,       Avex Pictures",Sentai Filmworks,NAZ,Visual novel,"Boys Love, Drama, Sci-Fi",24 min.,R - 17+ (violence & profanity),60,,Psychological
Elsword: Ain-ui Gieog Animation,,6.05,9948,9259,3,ONA,1,Finished Airing,"Dec 12, 2016",,,"None found, add some","None found, add some",DR Movie,Game,"Action, Fantasy",4 min.,PG-13 - Teens 13 or older,2,,
Good Morning Call,,6.05,7337,9260,7,OVA,1,Finished Airing,"Aug 2, 2001",,,Nihon Ad Systems,"None found, add some",Production I.G,Manga,"Comedy, Drama, Romance",19 min.,PG - Children,3,Shoujo,School
Guilty Gear X,,6.05,11804,9261,1,Special,1,Finished Airing,"Mar 3, 2003",,,"None found, add some","None found, add some","None found, add some",Game,Action,5 min.,R - 17+ (violence & profanity),6,,Super Power
Gunslinger Stratos The Animation,Gunslinger Stratos: The Animation,6.05,2554,9262,72,TV,12,Finished Airing,"Apr 4, 2015 to Jun 20, 2015",Spring 2015,Saturdays at 23:30 (JST),"Aniplex,       Square Enix,       Nitroplus,       ASCII Media Works,       Tokyo MX,       BS11",Aniplex of America,A-1 Pictures,Game,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,48,,
Haguregumo,,6.05,10731,9263,2,Movie,1,Finished Airing,"Apr 24, 1982",,,"None found, add some","None found, add some","Madhouse,       Toei Animation",Manga,Comedy,1 hr. 31 min.,R+ - Mild Nudity,0,Seinen,"Historical, Samurai"
Himitsukessha Taka no Tsume NEO,,6.05,14893,9264,680,TV,38,Finished Airing,"Apr 6, 2012 to Feb 15, 2013",Spring 2012,Unknown,"None found, add some","None found, add some",DLE,Original,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,1,,"Parody, Super Power"
Kabushikigaisha G-anime Saiyou Concept Movie,,6.05,17659,9265,375,ONA,1,Finished Airing,"Apr 19, 2017",,,"None found, add some","None found, add some",G-angle,Original,Slice of Life,2 min.,PG-13 - Teens 13 or older,2,,
Kariage-kun,,6.05,14211,9266,842,TV,59,Finished Airing,"Oct 17, 1989 to Dec 21, 1990",Fall 1989,Unknown,Fuji TV,"None found, add some",Toei Animation,Unknown,"Comedy, Slice of Life",23 min. per ep.,None,2,Seinen,
Kikou Kai Galient OVA,,6.05,12308,9267,1,OVA,3,Finished Airing,"Jan 26, 1986 to Aug 5, 1986",,,"None found, add some","None found, add some",Sunrise,Unknown,"Action, Fantasy, Sci-Fi",1 hr. per ep.,PG-13 - Teens 13 or older,1,,Mecha
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,,6.05,12650,9268,1,Movie,1,Finished Airing,"Jul 13, 1985",,,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sports",38 min.,PG-13 - Teens 13 or older,1,Shounen,Combat Sports
Kodoku no Gourmet,,6.05,12843,9269,1,ONA,10,Finished Airing,"Nov 29, 2017 to Aug 31, 2018",,,Anime Beans,"None found, add some",Production I.G,Manga,"Gourmet, Slice of Life",4 min. per ep.,G - All Ages,0,Seinen,
Kouchou-sensei to Kujira,,6.05,10973,9270,2,TV Special,1,Finished Airing,2007,,,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,Drama,2 min.,G - All Ages,1,,
Koutetsu Tenshi Kurumi Zero,,6.05,8168,9271,5,OVA,3,Finished Airing,"Apr 18, 2001 to Jun 20, 2001",,,"m.o.e.,       Pony Canyon","None found, add some",OLM,Original,"Drama, Romance, Sci-Fi",15 min. per ep.,R+ - Mild Nudity,3,,
Koutsuu Anzen da yo Doraemon,,6.05,14821,9272,693,Movie,2,Finished Airing,1981,,,"None found, add some","None found, add some","None found, add some",Manga,Sci-Fi,13 min. per ep.,G - All Ages,0,Kids,Educational
Kurogane no Linebarrels Picture Drama,,6.05,13794,9273,951,Special,9,Finished Airing,"Dec 14, 2009 to Aug 26, 2009",,,"None found, add some","None found, add some",Gonzo,Manga,Ecchi,5 min. per ep.,PG-13 - Teens 13 or older,0,Seinen,
Larva,,6.05,10794,9274,2,TV,104,Finished Airing,"Mar 26, 2011 to Sep 24, 2011",Spring 2011,Saturdays at Unknown,"None found, add some","None found, add some",TUBA,Original,Comedy,2 min. per ep.,G - All Ages,11,,
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya Recap,,6.05,8555,9276,5,TV Special,1,Finished Airing,"Sep 19, 2021",,,Aniplex,"None found, add some",Shaft,Game,"Drama, Suspense",23 min.,PG-13 - Teens 13 or older,4,,Psychological
Luck & Logic,,6.05,1958,9275,110,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Winter 2016,Saturdays at 22:30 (JST),"Bandai Visual,       Lantis,       Bushiroad,       Yuhodo",Funimation,Doga Kobo,Card game,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,143,,
Manga Nippon Mukashibanashi,,6.05,13257,9277,1,TV,12,Finished Airing,"Jan 7, 1975 to Mar 25, 1975",Winter 1975,Unknown,Group TAC,"None found, add some","None found, add some",Unknown,,25 min. per ep.,G - All Ages,0,,Historical
Mars,,6.05,14358,9278,808,OVA,2,Finished Airing,"Jun 10, 1994 to Aug 5, 1994",,,81 Produce,"None found, add some",KSS,Unknown,"Action, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,1,Shounen,Mecha
Masou Kishin Cybuster,Cybuster,6.05,9309,9279,3,TV,26,Finished Airing,"May 3, 1999 to Oct 25, 1999",Spring 1999,Mondays at 18:30 (JST),"TV Tokyo,       Bandai Visual,       Nihon Ad Systems","Discotek Media,       Geneon Entertainment USA","Production Reed,       Ashi Productions",Game,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,2,,Mecha
Mori no Densetsu: Dai Ni Gakushou,,6.05,14055,9280,879,Movie,1,Finished Airing,"Aug 21, 2014",,,"None found, add some","None found, add some",Tezuka Productions,Original,Fantasy,11 min.,G - All Ages,0,,
Nagagutsu Sanjuushi,Return of Pero,6.05,11875,9281,1,Movie,1,Finished Airing,"Mar 18, 1972",,,"None found, add some","None found, add some",Toei Animation,Original,"Adventure, Fantasy",52 min.,G - All Ages,0,Kids,Anthropomorphic
Norakuro,,6.05,15163,9282,635,TV,26,Finished Airing,"Oct 5, 1970 to Mar 29, 1971",Fall 1970,Unknown,Fuji TV,"None found, add some",Eiken,Manga,Comedy,24 min. per ep.,G - All Ages,0,,
Oh! Super Milk-chan Special,,6.05,14120,9283,867,Special,1,Finished Airing,"Mar 2, 2002",,,"None found, add some","None found, add some",Pierrot,Original,"Action, Comedy, Sci-Fi",21 min.,None,2,,Parody
Prism Ark Specials,,6.05,10886,9284,2,Special,6,Finished Airing,"Dec 21, 2007 to May 23, 2008",,,"Front Line,       Pencil","None found, add some","None found, add some",Unknown,"Action, Comedy, Drama, Fantasy",4 min. per ep.,R+ - Mild Nudity,0,,
Quiz Magic Academy: The Original Animation,,6.05,6277,9285,10,OVA,1,Finished Airing,"Sep 12, 2008",,,"None found, add some","None found, add some",AIC PLUS+,Game,"Action, Comedy, Fantasy",29 min.,PG-13 - Teens 13 or older,6,,School
Rerere no Tensai Bakabon,,6.05,13416,9286,1,TV,24,Finished Airing,"Oct 19, 1999 to Mar 21, 2000",Fall 1999,Unknown,"TV Tokyo,       Yomiko Advertising","None found, add some",Pierrot,Manga,Comedy,25 min. per ep.,G - All Ages,1,,Gag Humor
Saga-ken wo Meguru Animation,Animated Journey Through Saga Prefecture,6.05,11289,9287,2,Movie,4,Finished Airing,"Mar 12, 2016 to Mar 12, 2017",,,"None found, add some","None found, add some","Seven Arcs,       Seven Arcs Pictures",Original,Slice of Life,12 min. per ep.,G - All Ages,2,,
King's Raid: Ishi wo Tsugumono-tachi,King's Raid: Successors of the Will,6.04,2607,9288,70,TV,26,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:23 (JST),"None found, add some",Funimation,"OLM,       Sunrise Beyond",Game,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,161,,
Kirara,,6.04,7919,9289,6,OVA,1,Finished Airing,"Sep 21, 2000",,,"TOHO,       Toho Music","None found, add some",Ashi Productions,Manga,"Comedy, Romance, Slice of Life, Supernatural, Ecchi",39 min.,R+ - Mild Nudity,11,,
Konohana no Sakuya Mori,Forest this flower bloom,6.04,14448,9290,784,Movie,1,Finished Airing,2015,,,"None found, add some","None found, add some",Tomoyasu Murata Company,Original,Avant Garde,11 min.,G - All Ages,1,,
Kyokugen Dasshutsu Adv: Zennin Shibou desu Prologue,Zero Escape: VLR prologue,6.04,8372,9291,5,ONA,1,Finished Airing,"Dec 11, 2011",,,"None found, add some","None found, add some",Gonzo,Visual novel,Mystery,12 min.,R - 17+ (violence & profanity),12,,
Lao Fu Zi Shui Hu Chuan,,6.04,16369,9292,481,Movie,1,Finished Airing,"Jul 10, 1982",,,"None found, add some","None found, add some","None found, add some",Unknown,Comedy,1 hr. 12 min.,G - All Ages,2,Seinen,Historical
Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,,6.04,11647,9293,1,Special,1,Finished Airing,"Jun 25, 2014",,,"Starchild Records,       Tokuma Shoten","None found, add some",ufotable,Manga,,2 min.,G - All Ages,0,,Music
Mameneko,,6.04,11963,9294,1,TV,12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",Winter 2018,Tuesdays at 01:05 (JST),"Studio A-CAT,       On-Lead","None found, add some",Charaction,Manga,Slice of Life,3 min. per ep.,PG - Children,0,,Pets
Meitantei Conan: Necchuushou no Nazo wo Toke!,Detective Conan: Solve the Mystery of Heatstroke!,6.04,15154,9295,636,OVA,1,Finished Airing,May 2003,,,"None found, add some","None found, add some","None found, add some",Manga,"Comedy, Mystery",8 min.,G - All Ages,0,Shounen,Detective
Metal Fight Beyblade Zero G,Beyblade: Shogun Steel,6.04,5369,9296,15,TV,38,Finished Airing,"Apr 8, 2012 to Dec 23, 2012",Spring 2012,Unknown,"TV Tokyo,       d-rights",Nelvana,SynergySP,Manga,"Adventure, Sports",12 min. per ep.,PG - Children,17,Kids,
Nine 2: Koibito Sengen,,6.04,13006,9297,1,TV Special,1,Finished Airing,"Dec 18, 1983",,,Fuji TV,"None found, add some",Group TAC,Manga,"Romance, Sports",1 hr. 7 min.,PG-13 - Teens 13 or older,0,Shounen,"School, Team Sports"
Ojisan to Marshmallow: Hige-san to Yume Mashmallow,Ojisan and Marshmallow Episode 13: Hige-san and Marshmallow,6.04,5517,9299,14,Special,1,Finished Airing,"Apr 16, 2016",,,"DAX Production,       Dream Creation","None found, add some",Creators in Pack,Web manga,Comedy,3 min.,PG-13 - Teens 13 or older,9,,"Adult Cast, Romantic Subtext, Workplace"
Oh! Super Milk-chan,The Super Milk-Chan Show,6.04,7924,9298,6,TV,12,Finished Airing,"Jan 27, 2000 to Apr 13, 2000",Winter 2000,Thursdays at 18:30 (JST),Pioneer LDC,ADV Films,Pierrot,Original,"Action, Comedy, Sci-Fi",21 min. per ep.,R - 17+ (violence & profanity),41,,Parody
