Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Shin Kidou Senki Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,,6.06,9229,9222,3,Special,1,Finished Airing,"Jan 29, 2014",,,Sotsu,"None found, add some",Sunrise,Light novel,"Action, Sci-Fi",16 min.,PG-13 - Teens 13 or older,3,,Mecha
Shounen Hollywood: Holly Stage for 49,,6.06,5343,9223,15,TV,13,Finished Airing,"Jul 6, 2014 to Sep 27, 2014",Summer 2014,Unknown,"None found, add some",Funimation,Zexcs,Mixed media,,24 min. per ep.,PG-13 - Teens 13 or older,25,,"Idols (Male), Music, Performing Arts"
Soukou Kihei Votoms Recaps,Armored Trooper Votoms Recaps,6.06,13362,9224,1,OVA,4,Finished Airing,"Feb 21, 1986 to Feb 20, 1988",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Drama, Sci-Fi",57 min. per ep.,PG-13 - Teens 13 or older,0,,"Mecha, Military"
Sue Cat,,6.06,13218,9225,1,TV,40,Finished Airing,"Jun 4, 1980 to Dec 28, 1980",Summer 1980,Unknown,Asatsu DK,"None found, add some",Knack Productions,Other,Adventure,13 min. per ep.,PG - Children,3,,"Anthropomorphic, Music"
Tetsuwan Atom: Atom Tanjou no Himitsu,,6.06,12649,9226,1,Movie,1,Finished Airing,"Apr 6, 2003",,,Tezuka Productions,"None found, add some","None found, add some",Unknown,"Drama, Sci-Fi",20 min.,G - All Ages,0,,
Tian Yu,Revelation,6.06,13752,9227,968,ONA,13,Finished Airing,"Apr 26, 2017 to Oct 11, 2017",,,"None found, add some","None found, add some",Sparkly Key Animation Studio,Game,"Action, Adventure, Fantasy",19 min. per ep.,PG-13 - Teens 13 or older,3,,Mythology
Tiger & Bunny Recaps,,6.06,11444,9228,1,OVA,2,Finished Airing,"Dec 21, 2012 to Jan 9, 2013",,,"None found, add some","None found, add some",Sunrise,Unknown,"Action, Comedy, Mystery, Sci-Fi",1 hr. 35 min. per ep.,PG-13 - Teens 13 or older,2,,"Adult Cast, Super Power"
Tottoko Hamtarou wa Ham Ham Paradise! Kazu Katachi Chie,,6.06,15830,9229,541,OVA,1,Finished Airing,"Feb 21, 2007",,,"None found, add some","None found, add some","None found, add some",Manga,,35 min.,G - All Ages,0,Kids,
Wanpaku Oomukashi Kum Kum,Kum Kum,6.06,13652,9230,990,TV,26,Finished Airing,"Oct 3, 1975 to Mar 26, 1976",Fall 1975,Unknown,Tohokushinsha Film Corporation,"None found, add some",Sunrise,Original,"Adventure, Comedy",25 min. per ep.,G - All Ages,0,Kids,Historical
Wonder (Movie),Wonder,6.06,10422,9231,2,Movie,1,Finished Airing,"Feb 8, 2014",,,Mirai Film,"None found, add some",Calf Studio,Original,Avant Garde,8 min.,G - All Ages,12,,
