Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,8.4,413,190,541,TV,13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Aniplex,Aniplex of America,Wit Studio,Original,"Action, Sci-Fi, Suspense","Music, Time Travel",24 min. per ep.,R - 17+ (violence & profanity),"10,749",Spring 2021,Saturdays at 23:30 (JST),
Fruits Basket: Prelude,,8.4,1979,189,108,Movie,1,Finished Airing,"Feb 18, 2022","TV Tokyo,       TV Osaka,       Funimation,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       8PAN",Crunchyroll,TMS Entertainment,Manga,"Drama, Romance",,1 hr. 28 min.,PG-13 - Teens 13 or older,816,,,Shoujo
Gintama°: Aizome Kaori-hen,Gintama: Love Incense Arc,8.39,2299,192,86,OVA,2,Finished Airing,"Aug 4, 2016 to Nov 4, 2016","TV Tokyo,       Dentsu","None found, add some",Bandai Namco Pictures,Manga,Comedy,"Gag Humor, Parody",26 min. per ep.,PG-13 - Teens 13 or older,140,,,Shounen
Houseki no Kuni,Land of the Lustrous,8.39,488,193,465,TV,12,Finished Airing,"Oct 7, 2017 to Dec 23, 2017","Mainichi Broadcasting System,       Kodansha,       Movic,       AT-X,       TOHO animation,       Tokyo MX,       Q-Tec,       Kyoraku Industrial Holdings,       BS11",Sentai Filmworks,Orange,Manga,"Action, Drama, Fantasy, Mystery",Anthropomorphic,24 min. per ep.,PG-13 - Teens 13 or older,"13,631",Fall 2017,Saturdays at 21:30 (JST),Seinen
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Maquia: When the Promised Flower Blooms,8.39,525,191,436,Movie,1,Finished Airing,"Feb 24, 2018","Bandai Visual,       Lantis,       Rakuonsha,       Showgate,       Hakuhodo DY Music & Pictures,       Cygames",Eleven Arts,P.A. Works,Original,"Drama, Fantasy",,1 hr. 54 min.,PG-13 - Teens 13 or older,"7,624",,,
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",8.39,532,194,431,Movie,1,Finished Airing,"Dec 25, 2020","Shochiku,       Kadokawa,       Sonilude,       Movie Walker",Funimation,Bones,Novel,"Drama, Romance","Adult Cast, Visual Arts",1 hr. 38 min.,PG-13 - Teens 13 or older,"6,190",,,
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),The Garden of Sinners Chapter 7: A Study in Murder - Part 2,8.38,1174,200,208,Movie,1,Finished Airing,"Aug 8, 2009",Notes,Aniplex of America,ufotable,Light novel,"Action, Mystery, Romance, Supernatural, Suspense",,2 hr. 1 min.,R - 17+ (violence & profanity),"2,305",,,
Kaze ga Tsuyoku Fuiteiru,Run with the Wind,8.38,802,201,303,TV,23,Finished Airing,"Oct 3, 2018 to Mar 27, 2019","Movic,       Nippon Television Network,       TOHO animation,       Toy's Factory,       Cygames,       Yomiuri Shimbun,       MediaLink Entertainment Limited",Sentai Filmworks,Production I.G,Novel,"Drama, Sports","Adult Cast, Racing",23 min. per ep.,PG-13 - Teens 13 or older,"6,070",Fall 2018,Wednesdays at 01:29 (JST),
3-gatsu no Lion,March Comes In Like a Lion,8.38,299,195,681,TV,22,Finished Airing,"Oct 8, 2016 to Mar 18, 2017","Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory",Aniplex of America,Shaft,Manga,Drama,"Childcare, Strategy Game",25 min. per ep.,PG-13 - Teens 13 or older,"15,679",Fall 2016,Saturdays at 23:00 (JST),Seinen
Blue Giant,,8.38,4318,196,26,Movie,1,Finished Airing,"Feb 17, 2023","TOHO animation,       Shogakukan",GKIDS,Nut,Manga,,Music,1 hr. 59 min.,PG-13 - Teens 13 or older,233,,,Seinen
