Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Pokemon Diamond & Pearl,Pokémon: Diamond and Pearl,7.29,1554,2765,149,TV,191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010","TV Tokyo,       Shogakukan-Shueisha Productions,       SoftX,       Nintendo,       Studio Jack","VIZ Media,       The Pokemon Company International",OLM,Game,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG - Children,515,Fall 2006,Thursdays at 19:00 (JST),Kids
Poputepipikku,Pop Team Epic,7.29,1086,2766,224,TV,12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018","King Records,       AC-Bu","Funimation,       Sentai Filmworks",Kamikaze Douga,4-koma manga,Comedy,"Gag Humor, Parody",11 min. per ep.,PG-13 - Teens 13 or older,1408,Winter 2018,Sundays at 01:00 (JST),
Saezuru Tori wa Habatakanai: Don't Stay Gold,Twittering Birds Never Fly: Don't Stay Gold,7.29,5065,2767,18,OVA,1,Finished Airing,44256,Blue Lynx,Sentai Filmworks,GRIZZLY,Manga,"Boys Love, Drama","Adult Cast, Organized Crime",23 min.,PG-13 - Teens 13 or older,88,,,
School Rumble San Gakki,School Rumble 3rd Semester,7.29,2781,2768,63,OVA,2,Finished Airing,"Jul 17, 2008 to Sep 17, 2008",Kodansha,"None found, add some",Studio Comet,Manga,"Comedy, Romance","Gag Humor, Love Polygon, School",25 min. per ep.,PG-13 - Teens 13 or older,93,,,Shounen
Seitokai no Ichizon Lv.2: Watasu Seitokai,,7.29,4582,2769,23,OVA,1,Finished Airing,41460,"None found, add some",Sentai Filmworks,AIC,Unknown,Comedy,"Harem, Parody, School",24 min.,PG-13 - Teens 13 or older,6,,,
Slayers Excellent,,7.29,4797,2770,21,OVA,3,Finished Airing,"Oct 25, 1998 to Mar 25, 1999",Bandai Visual,ADV Films,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",,29 min. per ep.,PG-13 - Teens 13 or older,15,,,
Soukyuu no Fafner: Dead Aggressor - The Beyond,Fafner The Beyond,7.29,7200,2771,7,Movie,3,Finished Airing,43602,King Records,"None found, add some","Production I.G,       I.Gzwei",Original,"Action, Drama, Sci-Fi","Mecha, Military",28 min. per ep.,PG-13 - Teens 13 or older,14,,,
Suite Precure♪,,7.29,5231,2772,16,TV,48,Finished Airing,"Feb 6, 2011 to Jan 29, 2012","None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,24 min. per ep.,G - All Ages,128,Winter 2011,Unknown,
Sweat Punch,,7.29,3622,2773,38,OVA,5,Finished Airing,"Mar 2, 2002 to Jul 1, 2006","Grasshoppa!,       Beyond C.","None found, add some",Studio 4°C,Original,"Action, Fantasy","Historical, Mecha",11 min. per ep.,R+ - Mild Nudity,192,,,
Trinity Blood,,7.29,1296,2774,186,TV,24,Finished Airing,"Apr 29, 2005 to Oct 28, 2005","None found, add some",Funimation,Gonzo,Light novel,"Action, Fantasy",Vampire,24 min. per ep.,R - 17+ (violence & profanity),1341,Spring 2005,Fridays at 00:00 (JST),
Uchuu Show e Youkoso,Welcome to THE SPACE SHOW,7.29,4292,2775,27,Movie,1,Finished Airing,40227,Aniplex,"NYAV Post,       GKIDS",A-1 Pictures,Original,"Adventure, Fantasy, Sci-Fi",Space,2 hr. 16 min.,G - All Ages,43,,,
Yao Shen Ji 2nd Season,,7.29,6650,2776,9,ONA,40,Finished Airing,"Jan 6, 2018 to May 23, 2018",Tencent Penguin Pictures,"None found, add some",Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance","Martial Arts, Mythology",7 min. per ep.,PG-13 - Teens 13 or older,23,,,
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,Yuki Yuna is a Hero: The Great Mankai Chapter,7.29,4461,2777,24,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",Mainichi Broadcasting System,Sentai Filmworks,Studio Gokumi,Original,"Drama, Fantasy",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,148,Fall 2021,Saturdays at 01:55 (JST),
Zhui Xu,My Heroic Husband,7.29,13749,2778,969,ONA,12,Finished Airing,"Apr 23, 2023 to Jul 2, 2023",bilibili,"None found, add some",Oriental Creative Color,Novel,"Action, Comedy",Martial Arts,26 min. per ep.,PG-13 - Teens 13 or older,4,,,
Starmyu 2nd Season,,7.28,5168,2779,17,TV,12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",NBCUniversal Entertainment Japan,"None found, add some",C-Station,Original,,"Idols (Male), Music, Performing Arts, School",24 min. per ep.,PG-13 - Teens 13 or older,71,Spring 2017,Tuesdays at 00:00 (JST),
Strike Witches 2,,7.28,2330,2780,84,TV,12,Finished Airing,"Jul 8, 2010 to Sep 23, 2010","AIC,       Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo",Funimation,AIC Spirits,Original,"Action, Sci-Fi, Ecchi",Military,24 min. per ep.,R+ - Mild Nudity,266,Summer 2010,Thursdays at 01:30 (JST),
