Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Kemonozume,,7.35,2484,2456,76,TV,13,Finished Airing,"Aug 6, 2006 to Nov 5, 2006",Summer 2006,Sundays at 00:30 (JST),"WOWOW,       Imagine","None found, add some",Madhouse,Original,"Action, Avant Garde, Horror, Romance, Supernatural","Adult Cast, Gore, Mythology",23 min. per ep.,R+ - Mild Nudity,483,
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,Maid Sama! Play with Your Husband ♥,7.35,2120,2452,98,Special,1,Finished Airing,"Jul 24, 2010",,,"None found, add some","None found, add some",J.C.Staff,Manga,Comedy,School,12 min.,PG-13 - Teens 13 or older,139,Shoujo
Kaze no Shoujo Emily,,7.35,7039,2455,8,TV,26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",Spring 2007,Unknown,NHK,"None found, add some",TMS Entertainment,Novel,Drama,Historical,25 min. per ep.,G - All Ages,29,
Kamichu!,,7.35,2756,2454,64,TV,12,Finished Airing,"Jun 29, 2005 to Sep 27, 2005",Summer 2005,Unknown,Aniplex,Geneon Entertainment USA,Brain's Base,Original,"Award Winning, Slice of Life, Supernatural","Iyashikei, Mythology, School",26 min. per ep.,G - All Ages,276,
Kaitou Joker 4th Season,JOKER 4th Season,7.35,8686,2453,4,TV,13,Finished Airing,"Oct 3, 2016 to Dec 26, 2016",Fall 2016,Mondays at 19:00 (JST),"Shogakukan-Shueisha Productions,       Vega Entertainment,       Asatsu DK,       Kids Station,       d-rights,       Tokyo MX","None found, add some",Shin-Ei Animation,Manga,"Adventure, Comedy, Mystery",,24 min. per ep.,PG - Children,27,Kids
Kaginado Season 2,KAGI-NADO,7.35,5722,2451,13,TV,12,Finished Airing,"Apr 13, 2022 to Jun 29, 2022",Spring 2022,Wednesdays at 01:00 (JST),"None found, add some","None found, add some",LIDENFILMS Kyoto Studio,Original,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,59,
Majokko Shimai no Yoyo to Nene,Magical Sisters Yoyo & Nene,7.35,5044,2457,18,Movie,1,Finished Airing,"Dec 28, 2013",,,"Aniplex,       Starchild Records,       Tokuma Shoten","None found, add some",ufotable,Manga,Fantasy,,1 hr. 40 min.,G - All Ages,23,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy,7.35,234,2458,806,TV,13,Finished Airing,"Jul 4, 2020 to Sep 26, 2020",Summer 2020,Saturdays at 23:30 (JST),"Aniplex,       Movic,       AT-X,       Studio Mausu,       Tokyo MX,       Q-Tec,       Docomo Anime Store,       Medicos Entertainment,       BS11,       Contents Seed,       Kadokawa,       ADK Marketing Solutions",Aniplex of America,SILVER LINK.,Light novel,"Action, Fantasy","Reincarnation, School",23 min. per ep.,R - 17+ (violence & profanity),"5,838",
Meitantei Conan Bonus File: Fantasista no Hana,Detective Conan Bonus File: Fantasista Flower,7.35,6535,2459,9,OVA,1,Finished Airing,"Apr 14, 2012",,,"Shogakukan-Shueisha Productions,       Tokyo Movie Shinsha,       TOHO","None found, add some","None found, add some",Manga,"Comedy, Mystery, Sports","Detective, Team Sports",25 min.,G - All Ages,10,Shounen
Mini Dragon,Miss Kobayashi's Dragon Maid S Short Animation Series,7.35,2830,2460,61,ONA,13,Finished Airing,"Apr 7, 2021 to Jun 30, 2021",,,"None found, add some","None found, add some",Kyoto Animation,Manga,"Fantasy, Slice of Life",,1 min. per ep.,PG-13 - Teens 13 or older,67,
Nakitai Watashi wa Neko wo Kaburu,A Whisker Away,7.35,518,2461,437,Movie,1,Finished Airing,"Jun 18, 2020",,,"Fuji TV,       TOHO,       BS Fuji,       TOHO animation,       Universal Music Japan,       Fuji Creative,       Kadokawa,       KDDI,       Twin Engine,       Dentsu Meitetsu Communications","None found, add some",Studio Colorido,Original,"Award Winning, Drama, Romance, Supernatural",School,1 hr. 44 min.,PG-13 - Teens 13 or older,"1,913",
Nami yo Kiitekure,"Wave, Listen to Me!",7.35,2306,2462,85,TV,12,Finished Airing,"Apr 4, 2020 to Jun 20, 2020",Spring 2020,Saturdays at 02:25 (JST),"Mainichi Broadcasting System,       Kodansha,       DMM pictures,       DMM Music",Funimation,Sunrise,Manga,"Comedy, Drama","Adult Cast, Showbiz",24 min. per ep.,R - 17+ (violence & profanity),198,Seinen
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,,7.35,4145,2464,29,Special,1,Finished Airing,"Oct 5, 2007",,,"None found, add some","None found, add some",J.C.Staff,Manga,"Comedy, Romance",Adult Cast,14 min.,G - All Ages,13,Josei
Nisekoi:,Nisekoi: False Love Season 2,7.35,287,2463,699,TV,12,Finished Airing,"Apr 10, 2015 to Jun 26, 2015",Spring 2015,Fridays at 23:30 (JST),"Aniplex,       Shueisha",Aniplex of America,Shaft,Manga,"Comedy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,"1,836",Shounen
Oushitsu Kyoushi Heine Movie,The Royal Tutor Movie,7.35,4486,2465,24,Movie,1,Finished Airing,"Feb 16, 2019",,,Sotsu,"None found, add some",Tear Studio,Manga,Comedy,Historical,1 hr.,PG-13 - Teens 13 or older,39,Shounen
Quanzhi Fashi III,Full-Time Magister 3rd Season,7.35,2941,2466,56,ONA,12,Finished Airing,"Oct 12, 2018 to Dec 22, 2018",,,"Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Action, Fantasy",School,18 min. per ep.,PG-13 - Teens 13 or older,109,
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Ranma ½: Team Ranma vs. The Legendary Phoenix,7.35,5186,2467,17,Movie,1,Finished Airing,"Aug 20, 1994",,,Fuji TV,VIZ Media,Studio Deen,Manga,"Action, Adventure, Comedy, Supernatural",Martial Arts,31 min.,PG-13 - Teens 13 or older,7,Shounen
Re:␣Hamatora,Re: Hamatora: Season 2,7.35,1395,2468,170,TV,12,Finished Airing,"Jul 8, 2014 to Sep 23, 2014",Summer 2014,Tuesdays at 02:05 (JST),"TV Tokyo,       Sotsu,       AT-X,       DAX Production,       NAZ,       DIVE II Entertainment,       Avex Pictures,       Q-Tec,       Shueisha,       Toy's Factory",Sentai Filmworks,Lerche,Mixed media,"Action, Mystery, Supernatural","Detective, Super Power",24 min. per ep.,R - 17+ (violence & profanity),419,
Taishou Yakyuu Musume.,Taisho Baseball Girls,7.35,4730,2473,21,TV,12,Finished Airing,"Jul 3, 2009 to Sep 25, 2009",Summer 2009,Fridays at 01:59 (JST),"Lantis,       TBS,       Movic",Sentai Filmworks,J.C.Staff,Light novel,"Comedy, Sports","Historical, School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,45,
Sora no Otoshimono: Project Pink,Heaven's Lost Property OVA,7.35,1971,2472,109,OVA,1,Finished Airing,"Sep 9, 2010",,,NTT Docomo,Funimation,AIC ASTA,Manga,"Comedy, Fantasy, Sci-Fi, Ecchi",Harem,23 min.,PG-13 - Teens 13 or older,156,Shounen
Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Science Fell in Love, So I Tried to Prove It",7.35,677,2469,352,TV,12,Finished Airing,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,Saturdays at 00:30 (JST),"Flex Comix,       Hokkaido Cultural Broadcasting,       BS11,       Yomiuri TV Enterprise,       Kanetsu Investment,       Toyo Recording,       ibis Capital Partners,       Y&N Brothers,       SUPA LOVE",Sentai Filmworks,Zero-G,Web manga,"Comedy, Romance",Adult Cast,23 min. per ep.,PG-13 - Teens 13 or older,"1,155",
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,Gurren Lagann: There are Some Things I Just Have to See!!,7.35,3359,2474,44,Special,1,Finished Airing,"Feb 26, 2008",,,"None found, add some","None found, add some",Gainax,Original,"Action, Adventure, Comedy, Sci-Fi",Mecha,24 min.,PG-13 - Teens 13 or older,33,
Selector Spread WIXOSS,,7.35,2429,2471,79,TV,12,Finished Airing,"Oct 4, 2014 to Dec 20, 2014",Fall 2014,Saturdays at 01:05 (JST),"Magic Capsule,       Warner Bros. Japan,       Showgate",Funimation,J.C.Staff,Card game,Suspense,"High Stakes Game, Psychological, Strategy Game",24 min. per ep.,R - 17+ (violence & profanity),241,
Ryuu no Haisha,The Dragon Dentist,7.35,3435,2470,42,TV Special,2,Finished Airing,"Feb 18, 2017 to Feb 25, 2017",,,"NHK,       Dwango",Sentai Filmworks,Khara,Original,"Adventure, Fantasy",,46 min. per ep.,PG-13 - Teens 13 or older,91,
