Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Shixiong A Shixiong 2nd Season,My Senior Brother Is Too Steady,7.42,14573,2155,753,ONA,78,Currently Airing,"Dec 14, 2023 to ?",Youku,"None found, add some",Sparkly Key Animation Studio,Web novel,"Action, Adventure, Fantasy","Historical, Martial Arts",21 min. per ep.,PG-13 - Teens 13 or older,3,,,
Salaryman Kintarou,,7.42,6332,2153,10,TV,20,Finished Airing,"Feb 18, 2001 to Mar 18, 2001","Bandai Visual,       TBS,       81 Produce,       Shueisha,       Arts Magic","None found, add some",JCF,Manga,"Comedy, Drama",Martial Arts,25 min. per ep.,R+ - Mild Nudity,38,Winter 2001,Unknown,Seinen
Seijo no Maryoku wa Bannou desu Season 2,The Saint's Magic Power is Omnipotent Season 2,7.42,2393,2154,80,TV,12,Finished Airing,"Oct 3, 2023 to Dec 19, 2023","Lantis,       Movic,       AT-X,       NTT Plala,       Kadokawa,       Bit grooove promotion,       Bandai Namco Music Live","None found, add some",Diomedéa,Light novel,"Fantasy, Romance","Isekai, Medical",23 min. per ep.,PG-13 - Teens 13 or older,325,Fall 2023,Tuesdays at 23:00 (JST),
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,Ranma ½: The Movie 2 - The Battle of Togenkyo: Rescue the Brides!,7.42,4708,2151,21,Movie,1,Finished Airing,"Aug 1, 1992","Pony Canyon,       Fuji TV",VIZ Media,Studio Deen,Manga,"Adventure, Comedy",Magical Sex Shift,1 hr.,PG-13 - Teens 13 or older,19,,,Shounen
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Beautiful Bones -Sakurako's Investigation-,7.42,1119,2152,218,TV,12,Finished Airing,"Oct 8, 2015 to Dec 24, 2015","Lantis,       DAX Production,       Kadokawa",Sentai Filmworks,TROYCA,Novel,"Drama, Mystery, Suspense",,23 min. per ep.,R - 17+ (violence & profanity),986,Fall 2015,Thursdays at 00:30 (JST),
Shonan Junai Gumi!,Young GTO,7.42,3261,2156,46,OVA,5,Finished Airing,"Jan 21, 1994 to Jan 24, 1997",Japan Home Video,"None found, add some","J.C.Staff,       Life Work",Manga,"Action, Comedy","Delinquents, School",46 min. per ep.,R+ - Mild Nudity,167,,,
Shugo Chara!! Doki,,7.42,2036,2157,104,TV,51,Finished Airing,"Oct 4, 2008 to Sep 25, 2009","TV Tokyo,       Sotsu","None found, add some",Satelight,Manga,"Comedy, Fantasy","Mahou Shoujo, School",24 min. per ep.,PG - Children,587,Fall 2008,Saturdays at 09:30 (JST),Shoujo
Simoun,,7.42,3386,2158,43,TV,26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006","Bandai Visual,       Sotsu,       TV Tokyo Music",Media Blasters,Studio Deen,Original,"Drama, Fantasy, Girls Love",Military,24 min. per ep.,PG-13 - Teens 13 or older,436,Spring 2006,Tuesdays at 01:30 (JST),
Steins;Gate: Soumei Eichi no Cognitive Computing,Steins;Gate: The Sagacious Wisdom of Cognitive Computing,7.42,1949,2160,111,ONA,4,Finished Airing,"Oct 15, 2014 to Nov 12, 2014","None found, add some","None found, add some",White Fox,Visual novel,"Comedy, Sci-Fi",,3 min. per ep.,PG-13 - Teens 13 or older,166,,,
Tenchi Muyou!,Tenchi Muyo! Tenchi Universe,7.42,2383,2161,81,TV,26,Finished Airing,"Apr 2, 1995 to Sep 24, 1995","TV Tokyo,       Pioneer LDC","Funimation,       Geneon Entertainment USA",AIC,Original,"Comedy, Romance, Sci-Fi","Harem, Space",23 min. per ep.,PG-13 - Teens 13 or older,631,Spring 1995,Unknown,
