Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Nobunaga Concerto,,7.53,2862,1754,59,TV,10,Finished Airing,"Jul 12, 2014 to Sep 20, 2014",Summer 2014,Saturdays at 01:50 (JST),Pony Canyon,"None found, add some",Fuji TV,Manga,"Comedy, Romance","Historical, Time Travel",Shounen,22 min. per ep.,PG-13 - Teens 13 or older,290
Mitsudomoe: Oppai Ippai Mama Genki,,7.53,5002,1752,19,Special,1,Finished Airing,"Feb 23, 2011",,,Lantis,"None found, add some",Bridge,Manga,Comedy,"Gag Humor, School",Shounen,23 min.,PG-13 - Teens 13 or older,14
Mashiro no Oto,Those Snow White Notes,7.53,1543,1751,150,TV,12,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 02:25 (JST),DMM Music,"None found, add some",Shin-Ei Animation,Manga,Drama,"Music, School",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,786
Patapata Hikousen no Bouken,Secret of Cerulean Sand,7.53,6775,1755,8,TV,26,Finished Airing,"Jan 5, 2002 to Jun 29, 2002",Winter 2002,Unknown,TMS Entertainment,"None found, add some",Telecom Animation Film,Novel,"Adventure, Sci-Fi",,,24 min. per ep.,PG-13 - Teens 13 or older,83
Net-juu no Susume,Recovery of an MMO Junkie,7.53,481,1753,473,TV,10,Finished Airing,"Oct 10, 2017 to Dec 12, 2017",Fall 2017,Tuesdays at 01:40 (JST),"DAX Production,       flying DOG,       Sony Music Communications,       Tokyo MX,       comico,       JR East Marketing & Communications,       Crunchyroll SC Anime Fund",Funimation,Signal.MD,Web manga,"Comedy, Romance","Adult Cast, Video Game",,23 min. per ep.,PG-13 - Teens 13 or older,"2,397"
Persona 3 the Movie 1: Spring of Birth,Persona 3 the Movie: #1 Spring of Birth,7.53,1831,1756,120,Movie,1,Finished Airing,"Nov 23, 2013",,,"Aniplex,       Yomiko Advertising,       Atlus,       Index",Aniplex of America,AIC ASTA,Game,"Action, Fantasy, Supernatural",,,1 hr. 38 min.,R - 17+ (violence & profanity),547
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,Re:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie,7.53,3460,1758,42,Movie,1,Finished Airing,"Nov 8, 2019",,,White Fox,"None found, add some",Studio PuYUKAI,Light novel,Fantasy,,,3 min.,G - All Ages,80
Princess Principal: Crown Handler Movie 1,Princess Principal: Crown Handler - Chapter 1,7.53,3412,1757,43,Movie,1,Finished Airing,"Feb 11, 2021",,,"None found, add some",Sentai Filmworks,Actas,Original,"Action, Mystery",Historical,,53 min.,R - 17+ (violence & profanity),71
So Ra No Wo To Specials,Sound of the Sky Specials,7.53,4282,1762,27,Special,2,Finished Airing,"Jun 23, 2010 to Sep 22, 2010",,,Aniplex,"None found, add some",A-1 Pictures,Original,"Sci-Fi, Slice of Life","CGDCT, Iyashikei, Military, Music",,26 min. per ep.,PG-13 - Teens 13 or older,11
Saki Achiga-hen: Episode of Side-A Specials,Saki - Episode of Side A Specials,7.53,5464,1759,14,Special,4,Finished Airing,"Feb 20, 2013 to Aug 21, 2013",,,"Sotsu,       Lantis,       TV Tokyo Music","None found, add some",Studio Gokumi,Manga,Slice of Life,"School, Strategy Game",,30 min. per ep.,PG-13 - Teens 13 or older,22
So Ra No Wo To,Sound of the Sky,7.53,1449,1761,163,TV,12,Finished Airing,"Jan 5, 2010 to Mar 23, 2010",Winter 2010,Tuesdays at 01:30 (JST),"TV Tokyo,       Aniplex",Nozomi Entertainment,A-1 Pictures,Original,"Sci-Fi, Slice of Life","CGDCT, Iyashikei, Military, Music",,24 min. per ep.,PG-13 - Teens 13 or older,"1,487"
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,,7.53,5114,1760,17,Movie,1,Finished Airing,"Mar 4, 1995",,,"None found, add some","None found, add some",Toei Animation,Manga,Sports,"School, Team Sports",Shounen,40 min.,PG-13 - Teens 13 or older,14
Star☆Twinkle Precure,,7.53,5867,1763,12,TV,49,Finished Airing,"Feb 3, 2019 to Jan 26, 2020",Winter 2019,Sundays at 08:30 (JST),"TV Asahi,       Echoes","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,,24 min. per ep.,G - All Ages,191
Taiho Shichau zo (TV),You're Under Arrest (1996),7.53,3686,1764,37,TV,47,Finished Airing,"Oct 5, 1996 to Sep 27, 1997",Fall 1996,Unknown,"Bandai Visual,       TBS,       Kodansha,       Nichion",AnimEigo,Studio Deen,Manga,"Action, Comedy","Adult Cast, Detective, Workplace",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,228
