Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Psycho-Pass 3,,7.44,896,2088,274,TV,8,Finished Airing,"Oct 25, 2019 to Dec 13, 2019","Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       TOHO animation,       MAGNET","None found, add some",Production I.G,Original,"Action, Mystery, Sci-Fi, Suspense",45 min. per ep.,R - 17+ (violence & profanity),537,Fall 2019,Fridays at 00:55 (JST),"Adult Cast, Detective, Gore, Psychological",
"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura","One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",7.44,2655,2086,68,Movie,1,Finished Airing,"Mar 1, 2008","Fujipacific Music,       Shueisha","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",1 hr. 53 min.,PG-13 - Teens 13 or older,22,,,,Shounen
Shakugan no Shana,Shakugan no Shana: Season I,7.44,415,2089,538,TV,24,Finished Airing,"Oct 6, 2005 to Mar 23, 2006","ASCII Media Works,       Toshiba Entertainment,       Cosmic Ray,       Showgate,       Geneon Entertainment","Funimation,       Geneon Entertainment USA",J.C.Staff,Light novel,"Action, Drama, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,"4,994",Fall 2005,Thursdays at 00:45 (JST),"Mahou Shoujo, School",
Sora no Otoshimono Forte,Heaven's Lost Property Forte,7.44,840,2090,292,TV,12,Finished Airing,"Oct 2, 2010 to Dec 18, 2010","Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo",Funimation,AIC ASTA,Manga,"Comedy, Fantasy, Romance, Sci-Fi, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,899,Fall 2010,Unknown,Harem,Shounen
Super Cub,,7.44,1884,2091,116,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021","Chiptune,       Kadokawa,       Bandai Namco Arts",Funimation,Studio Kai,Light novel,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,982,Spring 2021,Wednesdays at 23:00 (JST),"CGDCT, Iyashikei, School",
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",,7.44,7935,2093,6,Special,1,Finished Airing,"Jun 7, 2014","None found, add some","None found, add some",TYO Animations,Original,Slice of Life,24 min.,G - All Ages,2,,,"CGDCT, Iyashikei",
Tales of Symphonia The Animation: Tethe'alla-hen,,7.44,3956,2092,32,OVA,4,Finished Airing,"Mar 25, 2010 to Feb 25, 2011","None found, add some",Discotek Media,ufotable,Game,"Action, Adventure, Fantasy",43 min. per ep.,PG-13 - Teens 13 or older,77,,,Martial Arts,
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,,7.44,2651,2095,68,OVA,1,Finished Airing,"Sep 26, 2010","Geneon Universal Entertainment,       Movic,       AT-X,       ASCII Media Works","None found, add some",J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",34 min.,PG-13 - Teens 13 or older,35,,,Super Power,
Tegamibachi: Hikari to Ao no Gensou Yawa,Letter Bee: Light and Blue Night Fantasy,7.44,5490,2094,14,Special,1,Finished Airing,"Nov 24, 2008","None found, add some","None found, add some",Pierrot,Manga,"Adventure, Fantasy",27 min.,PG-13 - Teens 13 or older,11,,,,Shounen
Uchuu no Kishi Tekkaman Blade,Tekkaman Blade,7.44,5170,2097,17,TV,49,Finished Airing,"Feb 18, 1992 to Feb 2, 1993","Sotsu,       Studio Jack",Media Blasters,Tatsunoko Production,Original,"Action, Adventure, Drama, Romance, Sci-Fi",25 min. per ep.,R - 17+ (violence & profanity),178,Winter 1992,Unknown,"Mecha, Military, Space",
Tonari no Seki-kun Specials,,7.44,3870,2096,33,Special,2,Finished Airing,"May 28, 2014",Media Factory,"None found, add some",Shin-Ei Animation,Manga,Comedy,13 min. per ep.,G - All Ages,14,,,School,Seinen
Wanneng Lian Ai Zahuo Dian,Love Magic Grocery,7.44,14218,2099,841,ONA,16,Finished Airing,"Nov 9, 2023 to Feb 8, 2024","None found, add some","None found, add some",TthunDer Animation,Manga,"Fantasy, Romance",17 min. per ep.,PG-13 - Teens 13 or older,72,,,,
Urusei Yatsura Movie 5: Kanketsu-hen,Urusei Yatsura Movie 5: The Final Chapter,7.44,6718,2098,9,Movie,1,Finished Airing,"Feb 6, 1988",Kitty Films,"AnimEigo,       Discotek Media",Magic Bus,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",1 hr. 25 min.,PG-13 - Teens 13 or older,23,,,,Shounen
Wu Dong Qian Kun,,7.44,7062,2100,8,ONA,12,Finished Airing,"Jan 27, 2019 to Apr 7, 2019","Tencent Penguin Pictures,       China Literature Limited,       Bytehoo","None found, add some",Motion Magic,Novel,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,62,,,"Historical, Martial Arts",
Shingeki no Bahamut: Virgin Soul,Rage of Bahamut: Virgin Soul,7.43,1002,2101,245,TV,24,Finished Airing,"Apr 8, 2017 to Sep 30, 2017",Cygames,"None found, add some",MAPPA,Card game,"Action, Adventure, Fantasy",24 min. per ep.,R - 17+ (violence & profanity),"1,048",Spring 2017,Saturdays at 01:55 (JST),,
