Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Kyuuketsuki Sugu Shinu 2,The Vampire Dies in No Time Season 2,7.45,3876,2029,33,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023","Frontier Works,       Marvelous Entertainment,       Pony Canyon,       Studio Mausu,       Hakuhodo DY Music & Pictures,       Akita Shoten,       BS11,       Kadokawa Media House","None found, add some",Madhouse,Manga,"Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,121,Winter 2023,Mondays at 23:00 (JST),"Adult Cast, Gag Humor, Vampire",Shounen
Magic Knight Rayearth,,7.45,2598,2031,71,TV,20,Finished Airing,"Oct 17, 1994 to Mar 13, 1995",Yomiuri Telecasting,"Media Blasters,       Discotek Media",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Drama, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,559,Fall 1994,Mondays at 19:30 (JST),"Isekai, Mahou Shoujo, Mecha",Shoujo
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,,7.45,9085,2032,4,Movie,1,Finished Airing,"Oct 29, 2016","ABC Animation,       Kinoshita Group Holdings","None found, add some",Toei Animation,Original,"Action, Fantasy, Slice of Life",1 hr. 4 min.,G - All Ages,3,,,"Mahou Shoujo, School",
Mini Dragon Specials,Miss Kobayashi's Dragon Maid S Short Animation Series,7.45,3518,2033,40,Special,8,Finished Airing,"Jul 8, 2021 to Jan 19, 2022","None found, add some","None found, add some",Kyoto Animation,Manga,"Fantasy, Slice of Life",1 min. per ep.,PG-13 - Teens 13 or older,129,,,,
New Initial D Movie: Battle Digest,,7.45,7710,2034,6,OVA,1,Finished Airing,"Jan 7, 2022","None found, add some","None found, add some","SANZIGEN,       LIDENFILMS",Manga,,47 min.,PG-13 - Teens 13 or older,56,,,Racing,Seinen
Saki,,7.45,2169,2035,94,TV,25,Finished Airing,"Apr 6, 2009 to Sep 28, 2009","TV Tokyo,       Square Enix,       Sotsu,       Lantis,       Pony Canyon,       KlockWorx,       TV Tokyo Music,       Kiyosumi High School Mahjong Club,       Sotsu Music Publishing,       Future Vision Music","None found, add some","Gonzo,       Picture Magic",Manga,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,827,Spring 2009,Mondays at 02:00 (JST),"School, Strategy Game",Seinen
Shigofumi,Shigofumi: Letters from the Departed,7.45,2205,2037,92,TV,12,Finished Airing,"Jan 6, 2008 to Mar 23, 2008","Bandai Visual,       Genco,       Lantis,       Rakuonsha",Sentai Filmworks,J.C.Staff,Original,"Drama, Fantasy, Suspense",23 min. per ep.,R - 17+ (violence & profanity),352,Winter 2008,Sundays at 01:35 (JST),Psychological,
Senki Zesshou Symphogear GX,Symphogear GX,7.45,3207,2036,48,TV,13,Finished Airing,"Jul 4, 2015 to Sep 26, 2015","Starchild Records,       Memory-Tech,       Bushiroad,       MAGES.,       Kinyosha",Discotek Media,Satelight,Original,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,392,Summer 2015,Saturdays at 03:10 (JST),"Idols (Female), Music",
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,Food Wars! The Third Plate OVA - Erina's New Life,7.45,2329,2038,84,OVA,1,Finished Airing,"May 2, 2018","Lantis,       Warner Bros. Japan,       KlockWorx,       Shueisha","None found, add some",J.C.Staff,Manga,Drama,23 min.,PG-13 - Teens 13 or older,64,,,,Shounen
Soredemo Machi wa Mawatteiru,And Yet the Town Moves,7.45,2741,2040,64,TV,12,Finished Airing,"Oct 8, 2010 to Dec 24, 2010","Pony Canyon,       TBS,       Movic,       flying DOG,       Memory-Tech",Sentai Filmworks,Shaft,Manga,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,259,Fall 2010,Fridays at 01:55 (JST),Workplace,Seinen
Sidonia no Kishi: Ai Tsumugu Hoshi,Knights of Sidonia: Love Woven in the Stars,7.45,4305,2039,26,Movie,1,Finished Airing,"Jun 4, 2021","Kodansha,       King Records",Funimation,Polygon Pictures,Manga,"Action, Sci-Fi",1 hr. 49 min.,R - 17+ (violence & profanity),81,,,"Mecha, Space",Seinen
