Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Gantz:O,,7.40,2084,2255,100,Movie,1,Finished Airing,"Oct 14, 2016","Dentsu,       TOHO,       Lawson HMV Entertainment,       King Records,       Fields,       Kyoraku Industrial Holdings,       Jinnan Studio","None found, add some",Digital Frontier,Manga,"Action, Drama, Horror, Sci-Fi, Suspense","Gore, High Stakes Game, Psychological, Survival",Seinen,1 hr. 35 min.,R+ - Mild Nudity,359,,
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Danganronpa 3: The End of Hope's Peak High School - Hope Arc,7.40,1312,2253,184,TV Special,1,Finished Airing,"Sep 29, 2016","None found, add some",Funimation,Lerche,Visual novel,"Action, Horror, Mystery, Suspense","High Stakes Game, Psychological, Survival",,24 min.,R - 17+ (violence & profanity),917,,
D4DJ All Mix,,7.40,5659,2252,13,TV,12,Finished Airing,"Jan 13, 2023 to Mar 31, 2023","Dentsu,       Bushiroad,       Tokyo MX,       Bushiroad Music,       Donuts,       BS NTV,       Bushiroad Move,       Bushiroad Creative","None found, add some",SANZIGEN,Mixed media,,"Idols (Female), Music, School",,23 min. per ep.,PG-13 - Teens 13 or older,126,Winter 2023,Fridays at 23:00 (JST)
Chobits,,7.40,465,2251,485,TV,26,Finished Airing,"Apr 3, 2002 to Sep 25, 2002","TBS,       Pioneer LDC","Funimation,       Geneon Entertainment USA",Madhouse,Manga,"Comedy, Drama, Romance, Sci-Fi, Ecchi",,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"4,006",Spring 2002,Wednesdays at 02:20 (JST)
Hakuouki OVA,,7.40,5616,2256,14,OVA,2,Finished Airing,Mar 2011,"None found, add some","None found, add some",Studio Deen,Visual novel,"Action, Drama, Supernatural","Historical, Samurai",,8 min. per ep.,PG-13 - Teens 13 or older,17,,
Dragon Ball Z Movie 14: Kami to Kami,Dragon Ball Z: Battle of Gods,7.40,1089,2254,223,Movie,1,Finished Airing,"Mar 30, 2013","Toei Video,       Fuji TV,       Bandai,       Bandai Namco Games,       Shueisha",Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy","Martial Arts, Super Power",Shounen,1 hr. 25 min.,PG-13 - Teens 13 or older,276,,
Higurashi no Naku Koro ni Rei,Higurashi: When They Cry – Rei,7.40,1227,2258,196,OVA,5,Finished Airing,"Feb 25, 2009 to Aug 21, 2009","Geneon Universal Entertainment,       Frontier Works,       Sotsu,       Movic",Sentai Filmworks,Studio Deen,Visual novel,"Horror, Mystery, Supernatural, Suspense","Gore, Psychological",,29 min. per ep.,PG-13 - Teens 13 or older,463,,
Hanhua Riji,God Troubles Me,7.40,7309,2257,7,ONA,12,Finished Airing,"Jul 21, 2019 to Sep 29, 2019","bilibili,       Liyu Culture,       Yunyi Animation ,       Haowan Dongman,       Qizhiying Culture","None found, add some","L²Studio,       TrioPen Studio",Original,"Comedy, Slice of Life, Supernatural",,,14 min. per ep.,PG-13 - Teens 13 or older,50,,
Hori-san to Miyamura-kun,,7.40,1803,2259,123,OVA,6,Finished Airing,"Sep 26, 2012 to May 25, 2021","None found, add some","None found, add some","Gonzo,       Hoods Entertainment,       Studio Kai,       Marone",Web manga,Romance,School,,23 min. per ep.,PG-13 - Teens 13 or older,682,,
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Keroro Movie 3,7.40,8287,2261,5,Movie,1,Finished Airing,"Mar 1, 2008",Kadokawa Pictures Japan,"None found, add some",Sunrise,Manga,"Comedy, Sci-Fi",,Shounen,1 hr. 35 min.,PG - Children,15,,
