Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Nogizaka Haruka no Himitsu Finale ♪,Haruka Nogizaka's Secret Finale,7.33,3676,2551,37,OVA,4,Finished Airing,"Aug 19, 2012 to Nov 28, 2012","None found, add some","None found, add some",Diomedéa,Light novel,"Comedy, Romance","Otaku Culture, School",24 min. per ep.,PG-13 - Teens 13 or older,57,,,
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,OreImo Specials,7.33,1257,2553,191,ONA,4,Finished Airing,"Feb 22, 2011 to May 31, 2011","Aniplex,       AIC,       Movic,       ASCII Media Works,       Bandai Namco Games",Aniplex of America,AIC Build,Light novel,"Comedy, Romance",Otaku Culture,28 min. per ep.,PG-13 - Teens 13 or older,210,,,
Otome Game Sekai wa Mob ni Kibishii Sekai desu,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,7.33,784,2554,308,TV,12,Finished Airing,"Apr 3, 2022 to Jun 19, 2022","AT-X,       Sammy,       bilibili,       Kadokawa Media House,       Kadokawa,       Micro Magazine Publishing,       Micro House",Crunchyroll,ENGI,Light novel,"Action, Fantasy, Romance","Harem, Isekai, Mecha, Reincarnation, School",23 min. per ep.,PG-13 - Teens 13 or older,"2,081",Spring 2022,Sundays at 22:00 (JST),
Sakasama no Patema: Beginning of the Day,Patema Inverted: Beginning of the Day,7.33,4136,2556,29,Special,4,Finished Airing,"Feb 26, 2012 to Aug 25, 2012","Directions,       Asmik Ace,       Good Smile Company,       Kadokawa","None found, add some","Studio Rikka,       Purple Cow Studio Japan",Original,Sci-Fi,,6 min. per ep.,PG-13 - Teens 13 or older,23,,,
One Piece: Romance Dawn Story,,7.33,3024,2552,53,OVA,1,Finished Airing,"Nov 24, 2008","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",,33 min.,PG-13 - Teens 13 or older,25,,,Shounen
Rozen Maiden (2013),Rozen Maiden: Zurückspulen,7.33,2422,2555,79,TV,13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",TBS,Sentai Filmworks,Studio Deen,Manga,"Action, Comedy, Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,245,Summer 2013,Fridays at 01:58 (JST),Seinen
Sengoku Basara,Sengoku Basara: Samurai Kings,7.33,1455,2557,162,TV,12,Finished Airing,"Apr 2, 2009 to Jun 18, 2009","Dentsu,       Shochiku,       Mainichi Broadcasting System,       Movic,       flying DOG",Funimation,Production I.G,Game,"Action, Fantasy","Historical, Martial Arts, Samurai, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,968,Spring 2009,Thursdays at 01:29 (JST),
Shokugeki no Souma OVA,Food Wars! OVA,7.33,1796,2559,123,OVA,2,Finished Airing,"May 2, 2016 to Jul 4, 2016","Dentsu,       Mainichi Broadcasting System,       Magic Capsule,       Warner Bros. Japan,       Showgate,       Shueisha","None found, add some",J.C.Staff,Manga,"Gourmet, Ecchi",School,25 min. per ep.,PG-13 - Teens 13 or older,80,,,Shounen
Slayers Specials,Slayers: The Book of Spells,7.33,4871,2560,20,OVA,3,Finished Airing,"Jul 25, 1996 to May 25, 1997","Kadokawa Shoten,       Marubeni",ADV Films,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",,29 min. per ep.,PG-13 - Teens 13 or older,22,,,
Shakugan no Shana S,Shakugan no Shana S: OVA Series,7.33,2318,2558,85,OVA,4,Finished Airing,"Oct 23, 2009 to Sep 29, 2010","Geneon Universal Entertainment,       ASCII Media Works,       Showgate",Funimation,J.C.Staff,Light novel,"Action, Drama, Fantasy, Romance","Mahou Shoujo, School",28 min. per ep.,PG-13 - Teens 13 or older,103,,,
