Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Senjou no Valkyria,Valkyria Chronicles,7.56,1712,1652,132,TV,26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",Spring 2009,Unknown,"Aniplex,       Sega,       Sakura Create","None found, add some",A-1 Pictures,Game,"Action, Romance",Military,24 min. per ep.,PG-13 - Teens 13 or older,614,
Tales of Vesperia: The First Strike,Tales of Vesperia ~The First Strike~,7.56,3156,1655,49,Movie,1,Finished Airing,"Oct 3, 2009",,,Bandai Visual,Funimation,Production I.G,Game,"Action, Adventure, Fantasy",Military,1 hr. 50 min.,PG-13 - Teens 13 or older,143,
Tamayura: More Aggressive,,7.56,4754,1656,21,TV,12,Finished Airing,"Jul 3, 2013 to Sep 18, 2013",Summer 2013,Wednesdays at 21:30 (JST),RAY,"None found, add some",TYO Animations,Original,Slice of Life,"CGDCT, Iyashikei",24 min. per ep.,G - All Ages,77,
Shuumatsu no Walküre II Part 2,Record of Ragnarok II Part 2,7.56,2692,1653,66,ONA,5,Finished Airing,"Jul 12, 2023",,,"Mainichi Broadcasting System,       Warner Bros. Japan,       KlockWorx,       Coamix,       Sammy","None found, add some","Yumeta Company,       Graphinica",Manga,"Action, Drama, Fantasy","Gore, Mythology",24 min. per ep.,R - 17+ (violence & profanity),181,Seinen
Sword Art Online Movie: Ordinal Scale,Sword Art Online the Movie: Ordinal Scale,7.56,275,1654,731,Movie,1,Finished Airing,"Feb 18, 2017",,,"Aniplex,       Genco,       ASCII Media Works,       Bandai Namco Entertainment,       Egg Firm",Aniplex of America,A-1 Pictures,Original,"Action, Adventure, Fantasy",Video Game,1 hr. 59 min.,R+ - Mild Nudity,"3,446",
Sengoku Basara Movie: The Last Party,Sengoku Basara - Samurai Kings: The Movie,7.56,4076,1651,30,Movie,1,Finished Airing,"Jun 4, 2011",,,"Dentsu,       Shochiku,       Mainichi Broadcasting System,       Pony Canyon,       Movic,       Capcom,       flying DOG",Funimation,Production I.G,Game,"Action, Fantasy","Historical, Martial Arts, Samurai, Super Power",1 hr. 33 min.,PG-13 - Teens 13 or older,71,
Totsukuni no Shoujo,"The Girl From the Other Side: Siúil, a Rún",7.56,2860,1657,60,OVA,1,Finished Airing,"Sep 10, 2019",,,"Production I.G,       flying DOG,       Sound Team Don Juan,       Mag Garden","None found, add some",Wit Studio,Manga,Supernatural,,10 min.,G - All Ages,251,Shounen
Yuru Yuri,YuruYuri: Happy Go Lily,7.56,701,1660,338,TV,12,Finished Airing,"Jul 5, 2011 to Sep 20, 2011",Summer 2011,Unknown,"TV Tokyo,       Daume,       Sotsu,       Pony Canyon,       DAX Production,       Studio Gram,       PRA,       Jumondo","NIS America, Inc.",Doga Kobo,Manga,"Award Winning, Comedy, Girls Love","CGDCT, Gag Humor, School",23 min. per ep.,PG-13 - Teens 13 or older,"4,482",
Yowamushi Pedal Movie,,7.56,3954,1659,32,Movie,1,Finished Airing,"Aug 28, 2015",,,"TV Tokyo,       MediaNet,       TOHO animation,       Akita Shoten,       8PAN",Discotek Media,TMS Entertainment,Manga,Sports,Racing,1 hr. 29 min.,PG-13 - Teens 13 or older,27,Shounen
Yama no Susume Second Season,Encouragement of Climb Season 2,7.56,3721,1658,36,TV,24,Finished Airing,"Jul 9, 2014 to Dec 24, 2014",Summer 2014,Wednesdays at 22:00 (JST),"Earth Star Entertainment,       Tokyo MX,       Good Smile Company,       Yomiuri TV Enterprise,       Jinnan Studio,       Radio Osaka,       TSUTAYA,       Ashisuto","None found, add some",8bit,Manga,"Adventure, Slice of Life","CGDCT, Iyashikei",13 min. per ep.,PG-13 - Teens 13 or older,158,
Shoukoku no Altair,Altair: A Record of Battles,7.55,2438,1661,78,TV,24,Finished Airing,"Jul 8, 2017 to Dec 23, 2017",Summer 2017,Saturdays at 02:25 (JST),"Aniplex,       Mainichi Broadcasting System,       Kodansha,       Lucent Pictures Entertainment,       Hakuhodo DY Music & Pictures,       Lawson,       GYAO!,       Kanetsu Investment,       Christmas Holly","None found, add some",MAPPA,Manga,"Adventure, Drama, Fantasy","Historical, Military",24 min. per ep.,PG-13 - Teens 13 or older,322,Shounen
Totsukuni no Shoujo (2022),The Girl From the Other Side,7.55,3299,1662,45,OVA,1,Finished Airing,"Mar 10, 2022",,,"flying DOG,       Sound Team Don Juan,       Twin Engine","None found, add some",Wit Studio,Manga,Supernatural,,1 hr. 10 min.,PG-13 - Teens 13 or older,304,Shounen
Tsurezure Children,Tsuredure Children,7.55,274,1663,731,TV,12,Finished Airing,"Jul 4, 2017 to Sep 19, 2017",Summer 2017,Tuesdays at 23:15 (JST),"Nihon Ad Systems,       Kodansha,       Movic,       KlockWorx,       Sony Music Entertainment,       King Records,       BS11,       Animatic,       Marui Group",Funimation,Studio Gokumi,4-koma manga,"Comedy, Romance",School,12 min. per ep.,PG-13 - Teens 13 or older,"2,727",Shounen
Utawarerumono Specials,,7.55,5354,1665,15,Special,6,Finished Airing,"Aug 23, 2006 to Feb 21, 2007",,,Lantis,"None found, add some",OLM,Visual novel,"Action, Comedy, Drama, Fantasy",,11 min. per ep.,PG-13 - Teens 13 or older,6,
UFO Robo Grendizer,,7.55,5857,1664,12,TV,74,Finished Airing,"Oct 5, 1975 to Feb 27, 1977",Fall 1975,Unknown,"Fuji TV,       Dynamic Planning","None found, add some",Toei Animation,Manga,"Action, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,132,
Angel Beats! Specials,,7.55,899,1666,273,Special,2,Finished Airing,"Dec 22, 2010 to Jun 24, 2015",,,"Aniplex,       Visual Arts",Sentai Filmworks,P.A. Works,Original,"Comedy, Supernatural",School,27 min. per ep.,PG-13 - Teens 13 or older,323,
Chiyu Mahou no Machigatta Tsukaikata,The Wrong Way to Use Healing Magic,7.55,1249,1668,192,TV,13,Finished Airing,"Jan 6, 2024 to Mar 30, 2024",Winter 2024,Saturdays at 00:30 (JST),"Frontier Works,       Lantis,       Half H.P Studio,       Crunchyroll,       GREE Entertainment,       Bandai Namco Music Live,       Capibara","None found, add some","Shin-Ei Animation,       Studio Add",Light novel,"Action, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,897,
Baki: Dai Raitaisai-hen,Baki: The Great Raitai Tournament Saga,7.55,1170,1667,208,ONA,13,Finished Airing,"Jun 4, 2020",,,Akita Shoten,"None found, add some",TMS Entertainment,Manga,Sports,"Combat Sports, Gore",24 min. per ep.,R - 17+ (violence & profanity),518,Shounen
