Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Potemayo,,7.27,5165,2855,17,TV,12,Finished Airing,"Jul 7, 2007 to Sep 22, 2007",Summer 2007,Unknown,Lantis,"None found, add some",J.C.Staff,4-koma manga,Comedy,School,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,66
Natsu no Arashi! Akinaichuu,Summer Storm! Open for Business,7.27,4750,2852,21,TV,13,Finished Airing,"Oct 5, 2009 to Dec 28, 2009",Fall 2009,Unknown,"TV Tokyo Music,       GANSIS","None found, add some",Shaft,Manga,"Comedy, Romance, Supernatural",Time Travel,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,14
Pale Cocoon,,7.27,2597,2854,71,OVA,1,Finished Airing,"Dec 10, 2005",,,Directions,"None found, add some",Studio Rikka,Original,"Drama, Sci-Fi",,,23 min.,PG-13 - Teens 13 or older,233
Nijiiro Days,Rainbow Days,7.27,1041,2853,234,TV,24,Finished Airing,"Jan 10, 2016 to Jun 26, 2016",Winter 2016,Sundays at 22:00 (JST),"Tokuma Japan,       Shueisha,       Kyoraku Industrial Holdings,       Yomiuri TV Enterprise",Funimation,Production Reed,Manga,"Comedy, Romance",School,Shoujo,13 min. per ep.,PG-13 - Teens 13 or older,718
Potemayo Specials,,7.27,9235,2856,3,Special,6,Finished Airing,"Sep 28, 2007 to Feb 22, 2008",,,"None found, add some","None found, add some",J.C.Staff,4-koma manga,Comedy,School,Seinen,10 min. per ep.,PG-13 - Teens 13 or older,0
Motto To LOVE-Ru,Motto To LOVE Ru,7.27,709,2851,335,TV,12,Finished Airing,"Oct 6, 2010 to Dec 22, 2010",Fall 2010,Wednesdays at 02:00 (JST),"Geneon Universal Entertainment,       TBS,       Magic Capsule,       PRA",Sentai Filmworks,Xebec,Manga,"Comedy, Sci-Fi, Ecchi","Harem, School",Shounen,24 min. per ep.,R+ - Mild Nudity,994
Rec,,7.27,1913,2857,113,TV,9,Finished Airing,"Feb 3, 2006 to Mar 31, 2006",Winter 2006,Fridays at 01:55 (JST),"Frontier Works,       Pony Canyon,       TBS,       Movic,       Shogakukan","None found, add some",Shaft,Manga,"Comedy, Romance","Adult Cast, Showbiz",Seinen,13 min. per ep.,PG-13 - Teens 13 or older,321
Saber Marionette J to X,,7.27,5427,2858,15,TV,26,Finished Airing,"Oct 6, 1998 to Mar 30, 1999",Fall 1998,Tuesdays at 18:00 (JST),"TV Tokyo,       Sotsu",Bandai Entertainment,HAL Film Maker,Unknown,"Action, Adventure, Comedy, Sci-Fi","Harem, Mecha",,25 min. per ep.,PG-13 - Teens 13 or older,40
Shinryaku! Ika Musume Specials,The Squid Girl Specials,7.27,4530,2861,23,Special,2,Finished Airing,"May 3, 2011 to May 27, 2011",,,"None found, add some",Sentai Filmworks,Diomedéa,Manga,Comedy,Anthropomorphic,Shounen,4 min. per ep.,G - All Ages,13
Shounen Maid,Shonen Maid,7.27,2309,2862,85,TV,12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",Spring 2016,Fridays at 01:58 (JST),"Kadokawa Shoten,       TBS,       DAX Production,       Nippon Columbia,       Sony Music Communications,       Lawson,       NichiNare",Funimation,8bit,Manga,Slice of Life,Iyashikei,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,381
