Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Sankarea,Sankarea: Undying Love,7.27,352,2859,619,TV,12,Finished Airing,"Apr 6, 2012 to Jun 29, 2012",Spring 2012,Fridays at 01:55 (JST),"Lantis,       Pony Canyon,       TBS,       Kodansha,       BS-TBS",Funimation,Studio Deen,Manga,"Comedy, Horror, Romance, Supernatural, Ecchi",Love Polygon,Shounen,24 min. per ep.,R+ - Mild Nudity,"2,717"
Sekirei: Pure Engagement,,7.27,1005,2860,243,TV,13,Finished Airing,"Jul 4, 2010 to Sep 26, 2010",Summer 2010,Sundays at 23:30 (JST),Aniplex,Funimation,Seven Arcs,Manga,"Action, Comedy, Ecchi","Harem, Super Power",Seinen,24 min. per ep.,R+ - Mild Nudity,536
Strawberry Panic,,7.27,1595,2863,144,TV,26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",Spring 2006,Tuesdays at 02:45 (JST),"Lantis,       Dwango",Media Blasters,Madhouse,Other,"Drama, Girls Love",School,,24 min. per ep.,PG-13 - Teens 13 or older,"1,874"
Tenchi Muyou! Ryououki 3rd Season,Tenchi Muyo! Ryo-Ohki,7.27,4765,2865,21,OVA,6,Finished Airing,"Sep 18, 2003 to Mar 16, 2005",,,"VAP,       Nippon Television Network",Funimation,AIC,Original,"Action, Comedy, Sci-Fi","Harem, Space",,30 min. per ep.,R+ - Mild Nudity,49
Tales of the Abyss,,7.27,1798,2864,123,TV,26,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Unknown,"Bandai Visual,       Animax,       Bandai Namco Games,       Atelier Musa","Funimation,       Bandai Entertainment",Sunrise,Game,"Adventure, Drama, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,543
"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",,7.27,6667,2866,9,Special,1,Finished Airing,"Feb 25, 2016",,,"Aniplex,       Nippon Columbia,       Bandai Namco Entertainment,       Anime Consortium Japan","None found, add some",A-1 Pictures,Game,"Comedy, Drama","Idols (Female), Music",,29 min.,PG-13 - Teens 13 or older,7
The Sky Crawlers,,7.27,2907,2867,57,Movie,1,Finished Airing,"Aug 2, 2008",,,"Bandai Visual,       VAP,       Yomiuri Telecasting,       d-rights,       Warner Bros. Japan,       Nippon Television Network,       Hakuhodo DY Media Partners,       Sapporo Television Broadcasting,       Miyagi Television Broadcasting,       Shizuoka Daiichi Television,       Hiroshima Television,       D.N. Dream Partners,       Yomiuri Shimbun,       Hochi Shimbun",Sony Pictures Entertainment,Production I.G,Novel,"Award Winning, Drama",Military,,2 hr. 2 min.,PG-13 - Teens 13 or older,320
Tiger Mask,,7.27,6165,2868,11,TV,105,Finished Airing,"Oct 2, 1969 to Sep 30, 1971",Fall 1969,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,"Drama, Sports",Combat Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,76
Watashi ni Tenshi ga Maiorita!,WataTen! An Angel Flew Down to Me,7.27,1189,2869,204,TV,12,Finished Airing,"Jan 8, 2019 to Mar 26, 2019",Winter 2019,Tuesdays at 22:00 (JST),"AT-X,       flying DOG,       Sony Music Communications,       Kadokawa Media House,       Ichijinsha,       Kadokawa","None found, add some",Doga Kobo,4-koma manga,Comedy,"CGDCT, Otaku Culture",,23 min. per ep.,PG-13 - Teens 13 or older,954
Watashi ni Tenshi ga Maiorita! Special,,7.27,4020,2870,31,Special,1,Finished Airing,"May 24, 2019",,,"None found, add some","None found, add some",Doga Kobo,4-koma manga,Comedy,"CGDCT, Otaku Culture",,22 min.,PG-13 - Teens 13 or older,22
A3! Season Autumn & Winter,,7.27,4601,2872,23,TV,12,Finished Airing,"Oct 13, 2020 to Dec 29, 2020",Fall 2020,Tuesdays at 00:00 (JST),"Pony Canyon,       Infinite",Funimation,"P.A. Works,       Studio 3Hz",Game,Drama,Performing Arts,,23 min. per ep.,PG-13 - Teens 13 or older,172
Xie Wang Zhui Qi 3: Shen Nu Guilai,,7.27,8335,2871,5,ONA,16,Finished Airing,"Sep 29, 2021 to Jan 5, 2022",,,"iQIYI,       High Energy Studio","None found, add some","KJJ Animation,       Big Firebird Culture",Novel,"Drama, Fantasy, Romance","Historical, Martial Arts",,20 min. per ep.,PG-13 - Teens 13 or older,34
Air,,7.27,820,2874,299,TV,12,Finished Airing,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,Fridays at 00:30 (JST),"Pony Canyon,       TBS,       Movic","ADV Films,       Funimation",Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"2,605"
Ahiru no Sora,,7.27,1212,2873,200,TV,50,Finished Airing,"Oct 2, 2019 to Sep 30, 2020",Fall 2019,Wednesdays at 17:55 (JST),"TV Tokyo,       Kodansha,       AT-X,       King Records,       DMM pictures",Sentai Filmworks,Diomedéa,Manga,Sports,"School, Team Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,840
Baka to Test to Shoukanjuu Specials,,7.27,3159,2876,49,Special,6,Finished Airing,"Apr 23, 2010 to Sep 22, 2010",,,"None found, add some",Funimation,SILVER LINK.,Light novel,Comedy,School,,4 min. per ep.,PG-13 - Teens 13 or older,36
Bai Yao Pu,Fairies Albums,7.27,5563,2875,14,ONA,12,Finished Airing,"Apr 25, 2020 to Jul 4, 2020",,,bilibili,"None found, add some",Haoliners Animation League,Novel,"Adventure, Fantasy, Mystery, Supernatural",Historical,,24 min. per ep.,PG-13 - Teens 13 or older,56
Boku no Hero Academia: Hero Note,My Hero Academia: Hero Notebook,7.27,1300,2877,185,TV Special,1,Finished Airing,"Mar 25, 2017",,,"None found, add some",Funimation,Bones,Manga,Action,"School, Super Power",Shounen,23 min.,PG-13 - Teens 13 or older,603
Boku wa Tomodachi ga Sukunai Next,Haganai: I don't have many friends NEXT,7.27,420,2878,534,TV,12,Finished Airing,"Jan 11, 2013 to Mar 29, 2013",Winter 2013,Fridays at 01:55 (JST),"AIC,       Media Factory,       TBS,       Magic Capsule,       Bushiroad,       Bandai Namco Games,       Good Smile Company",Funimation,AIC Build,Light novel,"Comedy, Romance, Ecchi","Harem, School",,24 min. per ep.,PG-13 - Teens 13 or older,"1,209"
Bokutachi wa Benkyou ga Dekinai,We Never Learn: BOKUBEN,7.27,513,2879,442,TV,13,Finished Airing,"Apr 7, 2019 to Jun 30, 2019",Spring 2019,Sundays at 00:30 (JST),"Aniplex,       Movic,       Barnum Studio,       Magic Capsule,       Shueisha,       BS11,       ADK",Aniplex of America,"Silver,       Arvo Animation",Manga,"Comedy, Romance","Harem, School",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"1,642"
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,,7.27,2681,2880,67,OVA,1,Finished Airing,"Nov 1, 2019",,,"Aniplex,       Movic,       Shueisha,       BS11,       ADK",Aniplex of America,"Silver,       Arvo Animation",Manga,"Comedy, Romance","Harem, School",Shounen,25 min.,PG-13 - Teens 13 or older,77
Captain Tsubasa J,,7.27,4058,2881,30,TV,47,Finished Airing,"Oct 21, 1994 to Dec 22, 1995",Fall 1994,Fridays at 19:30 (JST),"Nihon Ad Systems,       Fuji TV","None found, add some",Studio Comet,Manga,Sports,Team Sports,Shounen,27 min. per ep.,G - All Ages,82
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,Code Geass: Akito the Exiled - The Brightness Falls,7.27,1900,2882,114,Movie,1,Finished Airing,"May 2, 2015",,,"Bandai Visual,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners",Funimation,Sunrise,Original,Action,"Mecha, Military",,59 min.,R - 17+ (violence & profanity),104
Doraemon Movie 19: Nobita no Nankai Daibouken,Doraemon the Movie: Nobita's Great Adventure in the South Seas,7.27,6973,2883,8,Movie,1,Finished Airing,"Mar 7, 1998",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Award Winning, Comedy, Fantasy, Sci-Fi",,"KidsKids,         ShounenShounen",1 hr. 31 min.,PG - Children,4
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,,7.27,7340,2884,7,Movie,1,Finished Airing,"Mar 3, 2012",,,Tokyo Movie Shinsha,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",,"KidsKids,         ShounenShounen",1 hr. 40 min.,PG - Children,1
ef: A Tale of Memories. - Recollections,ef ~ A Tale of Melodies - Recollections,7.27,5690,2886,13,Special,1,Finished Airing,"Sep 26, 2008",,,Rondo Robe,"None found, add some",Shaft,Visual novel,"Drama, Mystery, Romance",,,58 min.,PG-13 - Teens 13 or older,7
Edomae Elf,Otaku Elf,7.27,2801,2885,62,TV,12,Finished Airing,"Apr 8, 2023 to Jun 24, 2023",Spring 2023,Saturdays at 02:25 (JST),"Mainichi Broadcasting System,       Kodansha,       Nikkatsu,       NetEase,       Heart Company,       INSPION Edge",Sentai Filmworks,C2C,Manga,"Comedy, Supernatural",Otaku Culture,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,189
Helck,,7.27,2196,2888,93,TV,24,Finished Airing,"Jul 12, 2023 to Dec 20, 2023",Summer 2023,Wednesdays at 01:29 (JST),"Shogakukan-Shueisha Productions,       Nippon Television Network,       Shogakukan,       BS NTV,       Mixer,       NetEase,       Miki Production",Sentai Filmworks,Satelight,Web manga,"Action, Fantasy",,,22 min. per ep.,PG-13 - Teens 13 or older,299
Galaxy Angel 3,Galaxy Angel A,7.27,6371,2887,10,TV,26,Finished Airing,"Oct 6, 2002 to Mar 31, 2003",Fall 2002,Sundays at 09:30 (JST),"Bandai Visual,       Broccoli,       Yomiko Advertising,       Studio Jack","Nozomi Entertainment,       Bandai Entertainment",Madhouse,Original,"Comedy, Sci-Fi",,,24 min. per ep.,PG - Children,19
High School DxD OVA,,7.27,855,2890,287,OVA,2,Finished Airing,"Sep 6, 2012 to May 31, 2013",,,"Genco,       Lantis,       AT-X,       Fujimi Shobo","None found, add some",TNK,Light novel,"Action, Comedy, Fantasy, Romance, Ecchi","Mythology, School",,23 min. per ep.,R+ - Mild Nudity,548
"High School DxD New: Oppai, Tsutsumimasu!",High School DxD New OVA,7.27,1437,2889,164,OVA,1,Finished Airing,"Mar 10, 2015",,,Genco,"None found, add some",TNK,Light novel,"Action, Comedy, Fantasy, Romance, Ecchi","Harem, Mythology, School",,24 min.,R+ - Mild Nudity,284
High School DxD Specials,,7.27,1159,2891,210,Special,6,Finished Airing,"Mar 21, 2012 to Aug 29, 2012",,,"Genco,       Lantis",Funimation,TNK,Light novel,"Comedy, Romance, Ecchi","Harem, Mythology, School",,3 min. per ep.,R+ - Mild Nudity,392
Hiyokoi,,7.27,2154,2892,95,Special,1,Finished Airing,"Jul 30, 2010",,,Shueisha,"None found, add some",Production I.G,Manga,Romance,School,Shoujo,22 min.,PG-13 - Teens 13 or older,163
Idol Time PriPara,,7.27,7294,2893,7,TV,51,Finished Airing,"Apr 4, 2017 to Mar 27, 2018",Spring 2017,Tuesdays at 17:55 (JST),"TV Tokyo,       Nihon Ad Systems,       Avex Pictures,       Takara Tomy A.R.T.S,       Shogakukan","None found, add some","Tatsunoko Production,       Dongwoo A&E",Game,,"Idols (Female), Music, School",,24 min. per ep.,PG - Children,49
Imawa no Kuni no Alice,Alice in Borderland,7.27,2816,2894,61,OVA,3,Finished Airing,"Oct 15, 2014 to Feb 16, 2015",,,Barnum Studio,Sentai Filmworks,"SILVER LINK.,       Connect",Manga,"Action, Supernatural, Suspense","Gore, High Stakes Game, Psychological, Survival",Shounen,22 min. per ep.,R - 17+ (violence & profanity),175
Air Gear Special,Air Gear: Special Trick,7.26,3230,2896,47,Special,1,Finished Airing,"Mar 21, 2007",,,Kodansha,"ADV Films,       Funimation","Toei Animation,       Marvelous Entertainment",Manga,"Comedy, Sports, Ecchi","Delinquents, School",Shounen,23 min.,R+ - Mild Nudity,75
Aiyou de Mishi,X&Y,7.26,5545,2897,14,ONA,16,Finished Airing,"Apr 12, 2023 to Jul 19, 2023",,,bilibili,"None found, add some",Lingsanwu Animation,Manga,"Mystery, Suspense",,,17 min. per ep.,PG-13 - Teens 13 or older,125
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,,7.26,9293,2895,3,Movie,1,Finished Airing,"Aug 13, 2016",,,"None found, add some","None found, add some",Bandai Namco Pictures,Original,Slice of Life,"Idols (Female), Music, School",,27 min.,PG - Children,6
Another: The Other - Inga,Another: The Other,7.26,1263,2899,191,OVA,1,Finished Airing,"May 26, 2012",,,"None found, add some","None found, add some",P.A. Works,Novel,"Horror, Mystery, Suspense",,,24 min.,R - 17+ (violence & profanity),175
Angel Heart,,7.26,5033,2898,18,TV,50,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",Fall 2005,Tuesdays at Unknown,Aniplex,"None found, add some",TMS Entertainment,Manga,"Action, Drama, Mystery, Romance",,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,84
Blend S,BLEND-S,7.26,315,2900,663,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,Sundays at 00:30 (JST),"Aniplex,       Houbunsha,       Kansai Telecasting,       Lawson,       Contents Seed,       Kinoshita Group Holdings,       Drecom",Aniplex of America,A-1 Pictures,4-koma manga,Comedy,"Otaku Culture, Romantic Subtext, Workplace",,23 min. per ep.,PG-13 - Teens 13 or older,"2,968"
Solty Rei,,7.25,4039,2951,30,TV,24,Finished Airing,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,Fridays at 02:40 (JST),"TV Asahi,       Sotsu Music Publishing,       Future Vision Music",Funimation,"Gonzo,       AIC",Original,"Action, Sci-Fi",Super Power,,23 min. per ep.,R - 17+ (violence & profanity),137
Tetsuwan Birdy Decode: The Cipher,Birdy the Mighty: Decode OVA,7.25,4635,2952,22,OVA,1,Finished Airing,"Jul 22, 2009",,,Aniplex,Funimation,A-1 Pictures,Manga,"Action, Comedy, Sci-Fi",,Seinen,27 min.,PG-13 - Teens 13 or older,12
To LOVE-Ru OVA,,7.25,1350,2953,178,OVA,6,Finished Airing,"Apr 3, 2009 to Apr 2, 2010",,,Shueisha,"None found, add some",Xebec,Manga,"Comedy, Sci-Fi, Ecchi","Harem, School",Shounen,25 min. per ep.,R+ - Mild Nudity,282
Tsurune: Kazemai Koukou Kyuudou-bu - Yabai,Tsurune: Kazemai High School Japanese Archery Club - Dangerous Shoot,7.25,3930,2955,32,Special,1,Finished Airing,"Mar 3, 2019",,,"Pony Canyon,       Rakuonsha,       Bandai Namco Arts",Sentai Filmworks,Kyoto Animation,Light novel,Sports,School,,24 min.,PG-13 - Teens 13 or older,36
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,,7.25,3531,2954,40,OVA,Unknown,Currently Airing,"Dec 29, 2008 to ?",,,Maikaze,"None found, add some","None found, add some",Game,Fantasy,Vampire,,22 min.,PG-13 - Teens 13 or older,221
Uzaki-chan wa Asobitai! Double,Uzaki-chan Wants to Hang Out! Season 2,7.25,1116,2956,218,TV,13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",Fall 2022,Saturdays at 21:00 (JST),"Movic,       AT-X,       Sammy,       ABC Animation,       Kadokawa,       INCS toenter","None found, add some",ENGI,Web manga,Comedy,"Adult Cast, Romantic Subtext",,23 min. per ep.,PG-13 - Teens 13 or older,914
Wan Jie Xian Zong 2nd Season,The Wonderland of Ten Thousands 2nd Season,7.25,9711,2957,3,ONA,40,Finished Airing,"Apr 25, 2019 to Sep 9, 2019",,,"None found, add some","None found, add some",Ruo Hong Culture,Web manga,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts, Mythology",,7 min. per ep.,PG-13 - Teens 13 or older,5
Wu Shang Shen Di,,7.25,9500,2958,3,ONA,64,Finished Airing,"May 18, 2020 to Dec 18, 2020",,,"Tencent Penguin Pictures,       iQIYI","None found, add some",Ruo Hong Culture,Novel,"Action, Adventure, Supernatural",,,7 min. per ep.,PG-13 - Teens 13 or older,28
Xue Ying Ling Zhu 3rd Season,,7.25,11113,2959,2,ONA,26,Finished Airing,"Dec 27, 2021 to Jun 13, 2022",,,Tencent Penguin Pictures,"None found, add some",Mili Pictures,Web novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",,18 min. per ep.,PG-13 - Teens 13 or older,22
"""Bungaku Shoujo"" Memoire",,7.25,4110,2960,29,OVA,3,Finished Airing,"Jun 25, 2010 to Dec 24, 2010",,,"Lantis,       Pony Canyon,       Enterbrain,       Kadokawa Contents Gate,       T.O Entertainment","None found, add some",Production I.G,Light novel,"Drama, Romance",School,,24 min. per ep.,PG-13 - Teens 13 or older,31
Appare-Ranman!,,7.25,1725,2961,131,TV,13,Finished Airing,"Apr 10, 2020 to Sep 25, 2020",Spring 2020,Fridays at 21:30 (JST),"Lantis,       AT-X,       Docomo Anime Store,       Sammy,       Kadokawa Media House,       Kadokawa,       Bandai Namco Arts,       Bit Promotion",Funimation,P.A. Works,Original,Comedy,"Adult Cast, Historical, Racing",,23 min. per ep.,PG-13 - Teens 13 or older,496
Ashita no Joe 2 (Movie),Tomorrow's Joe 2 The Movie,7.25,8353,2962,5,Movie,1,Finished Airing,"Jul 4, 1981",,,"None found, add some",Discotek Media,Tokyo Movie Shinsha,Manga,"Drama, Sports",Combat Sports,Shounen,1 hr. 52 min.,PG-13 - Teens 13 or older,10
Bai Lian Cheng Shen 2nd Season,Apotheosis 2nd Season,7.25,14390,2963,794,ONA,52,Currently Airing,"Dec 8, 2023 to ?",,,"Youku,       Ranzai Studio","None found, add some",Qingxiang Culture,Web novel,"Action, Adventure, Fantasy","Historical, Martial Arts",,24 min. per ep.,PG-13 - Teens 13 or older,5
Blood Lad,,7.25,292,2964,691,TV,10,Finished Airing,"Jul 8, 2013 to Sep 9, 2013",Summer 2013,Mondays at 00:30 (JST),"Kadokawa Shoten,       KlockWorx,       flying DOG",VIZ Media,Brain's Base,Manga,"Action, Comedy, Fantasy","Delinquents, Mythology, Vampire",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"2,074"
Bokura ga Ita,,7.25,1056,2965,232,TV,26,Finished Airing,"Jul 4, 2006 to Dec 26, 2006",Summer 2006,Tuesdays at 02:00 (JST),"Marvelous Entertainment,       Pony Canyon,       Delfi Sound","None found, add some",Artland,Manga,"Drama, Romance",Love Polygon,Shoujo,25 min. per ep.,PG-13 - Teens 13 or older,"1,943"
Dae Jang Geum: Jang Geum's Dream 2,,7.25,11025,2967,2,TV,26,Finished Airing,"Mar 14, 2007 to Sep 19, 2007",Spring 2007,Unknown,Heewon Entertainment,"None found, add some","None found, add some",Other,"Adventure, Comedy, Gourmet",Historical,,24 min. per ep.,None,14
Cyborg 009: The Cyborg Soldier,Cyborg 009,7.25,3798,2966,34,TV,50,Finished Airing,"Oct 14, 2001 to Aug 27, 2003",Fall 2001,Unknown,"TV Tokyo,       Shaft,       Avex Entertainment,       Brain's Base","Sony Pictures Entertainment,       Discotek Media",Japan Vistec,Manga,"Action, Adventure, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,186
Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,7.25,592,2968,394,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 01:30 (JST),"KlockWorx,       King Records,       Overlap,       WOWMAX,       Yostar,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"Action, Fantasy, Romance","Harem, Isekai, Military",,24 min. per ep.,PG-13 - Teens 13 or older,"2,595"
Gun x Sword,,7.25,2432,2970,78,TV,26,Finished Airing,"Jul 4, 2005 to Dec 26, 2005",Summer 2005,Unknown,Studio Tulip,"Funimation,       Geneon Entertainment USA",AIC ASTA,Original,"Action, Adventure, Drama, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,366
Gokushufudou,The Way of the Househusband,7.25,545,2969,423,ONA,5,Finished Airing,"Apr 8, 2021",,,Netflix,"None found, add some",J.C.Staff,Web manga,Comedy,"Adult Cast, Gag Humor, Organized Crime",,17 min. per ep.,PG-13 - Teens 13 or older,"2,709"
Hamatora The Animation,,7.25,798,2971,304,TV,12,Finished Airing,"Jan 8, 2014 to Mar 26, 2014",Winter 2014,Unknown,"TV Tokyo,       Avex Entertainment,       Sotsu,       Movic,       AT-X,       DAX Production,       DIVE II Entertainment,       Shueisha",Sentai Filmworks,NAZ,Mixed media,"Action, Mystery, Supernatural","Detective, Super Power",,24 min. per ep.,R - 17+ (violence & profanity),"1,076"
Hana to Alice: Satsujin Jiken,The Case of Hana & Alice,7.25,3323,2972,45,Movie,1,Finished Airing,"Feb 20, 2015",,,"Pony Canyon,       Nippon Television Network,       Shogakukan",GKIDS,"Steve N' Steven,       Rockwell Eyes",Original,"Award Winning, Drama, Mystery",,,1 hr. 38 min.,PG-13 - Teens 13 or older,223
Hetalia Axis Powers,,7.25,956,2973,256,ONA,52,Finished Airing,"Jan 24, 2009 to Mar 5, 2010",,,"Frontier Works,       DAX Production",Funimation,Studio Deen,Web manga,Comedy,"Anthropomorphic, Gag Humor, Historical, Parody",,5 min. per ep.,PG-13 - Teens 13 or older,"4,276"
IGPX: Immortal Grand Prix (2005) 2nd Season,IGPX: Immortal Grand Prix Season 2,7.25,6067,2974,11,TV,13,Finished Airing,"May 20, 2006 to Aug 26, 2006",Spring 2006,Unknown,Bandai Visual,"Bandai Entertainment,       Discotek Media",Production I.G,Original,"Action, Sci-Fi","Mecha, Racing",,24 min. per ep.,PG-13 - Teens 13 or older,26
"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",7.25,235,2975,804,TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",Spring 2021,Sundays at 01:00 (JST),"TMS Entertainment,       Mainichi Broadcasting System,       Kodansha,       King Records","None found, add some",Telecom Animation Film,Web manga,Comedy,"Romantic Subtext, School",,23 min. per ep.,PG-13 - Teens 13 or older,"8,864"
Jashin-chan Dropkick': Chitose-hen,Dropkick on My Devil!! Dash Episode 12 – Chapter Chitose,7.25,5450,2976,15,Special,1,Finished Airing,"Apr 30, 2020",,,"None found, add some","None found, add some",Nomad,Web manga,"Comedy, Supernatural","CGDCT, Gag Humor, Mythology",,23 min.,PG-13 - Teens 13 or older,8
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,JoJo's Bizarre Adventure: Golden Wind Recaps,7.25,3110,2977,50,TV Special,3,Finished Airing,"Jan 5, 2019 to May 4, 2019",,,"Warner Bros. Japan,       Shueisha",VIZ Media,David Production,Manga,"Action, Adventure",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),549
Kidou Senshi Gundam Thunderbolt: Bandit Flower,Mobile Suit Gundam Thunderbolt: Bandit Flower,7.25,5423,2979,15,Movie,1,Finished Airing,"Nov 18, 2017",,,"None found, add some",NYAV Post,Sunrise,Manga,"Action, Drama, Sci-Fi","Mecha, Military, Space",,1 hr. 29 min.,R+ - Mild Nudity,29
Kakumeiki Valvrave 2nd Season,Valvrave the Liberator 2nd Season,7.25,2185,2978,94,TV,12,Finished Airing,"Oct 10, 2013 to Dec 27, 2013",Fall 2013,Unknown,"Aniplex,       Dentsu,       Mainichi Broadcasting System,       Movic,       Bandai,       Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,"Action, Sci-Fi","Mecha, Military, Space",,24 min. per ep.,R - 17+ (violence & profanity),199
Kobayashi-san Chi no OO Dragon,Miss Kobayashi's Dragon Something,7.25,2053,2980,103,Special,7,Finished Airing,"Mar 15, 2017 to Sep 20, 2017",,,"None found, add some",Funimation,Kyoto Animation,Manga,"Fantasy, Slice of Life",,,3 min. per ep.,PG-13 - Teens 13 or older,139
Kyoro-chan,,7.25,9783,2981,3,TV,91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",Summer 1999,Thursdays at 18:00 (JST),"TV Tokyo,       Aniplex,       Nihon Ad Systems","None found, add some",Group TAC,Other,"Adventure, Comedy, Fantasy",,,25 min. per ep.,PG - Children,26
