Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Master of Torque,,4.86,11796,12832,1,ONA,4,Finished Airing,"Mar 20, 2014 to Jul 18, 2014","None found, add some","None found, add some",Shimogumi,Original,"Action, Sci-Fi",5 min. per ep.,G - All Ages,2,,,,
Frame Arms: A Violent Struggle,,4.86,12227,12830,1,OVA,1,Finished Airing,"May 31, 2015","None found, add some","None found, add some",Studio A-CAT,Other,,5 min.,PG - Children,0,Mecha,,,
Hokuro Kyoudai Full Throttle!!!!,,4.86,16392,12831,478,ONA,7,Finished Airing,"May 25, 2007","None found, add some","None found, add some","None found, add some",Other,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Fantastic Cell,,4.86,13526,12829,1,Movie,1,Finished Airing,2003,"None found, add some","None found, add some",Mirai Film,Original,Avant Garde,6 min.,G - All Ages,0,,,,
Promised Town,,4.86,13552,12833,1,ONA,1,Finished Airing,"Jun 16, 2016",Next,"None found, add some","None found, add some",Original,"Action, Sci-Fi",7 min.,PG-13 - Teens 13 or older,2,Mecha,,,
Rainbow,,4.86,16199,12834,500,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,1 min.,G - All Ages,1,Music,,,
Sensuikan Cassiopeia,Submarine Cassiopeia,4.86,16817,12835,439,Movie,1,Finished Airing,1964,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,0,,,,
Yakan Gakkou no Ura-sensei,,4.85,17285,12836,402,ONA,1,Finished Airing,"Aug 2, 2016",comico,"None found, add some","None found, add some",Web manga,Supernatural,1 min.,G - All Ages,0,School,,,
Fusuma 2,,4.85,18122,12837,338,Movie,1,Finished Airing,2010,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,1 min.,G - All Ages,0,,,,
Hal & Bons,,4.85,14522,12838,767,OVA,5,Finished Airing,"Oct 2, 2002",Grasshoppa!,"None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",8 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Legend of Duo,,4.85,5978,12840,12,TV,12,Finished Airing,"Oct 27, 2004 to Dec 1, 2005","None found, add some","None found, add some","Radix,       Marine Entertainment",Original,"Boys Love, Drama, Supernatural",5 min. per ep.,R - 17+ (violence & profanity),13,Vampire,Fall 2004,Unknown,
Kamishibai Kintarou no Maki,Kamishibai Kintaro,4.85,15037,12839,656,Movie,1,Finished Airing,1934,"None found, add some","None found, add some","None found, add some",Other,Fantasy,7 min.,G - All Ages,0,Historical,,,
Roboteuwang Sseonsyakeu,,4.85,15945,12841,528,Movie,1,Finished Airing,"Jul 20, 1985","None found, add some","None found, add some","None found, add some",Unknown,"Action, Sci-Fi",1 hr. 3 min.,PG - Children,0,Mecha,,,
San-biki no Koguma-san,Three Little Bears,4.85,15524,12842,581,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,9 min.,G - All Ages,1,,,,Kids
Lemon Home Animation Gekijou,,4.84,12567,12843,1,ONA,3,Finished Airing,"Jul 31, 2013 to Oct 31, 2017","None found, add some","None found, add some","None found, add some",Original,Comedy,2 min. per ep.,G - All Ages,1,,,,
Meitantei Gordon,,4.84,13695,12844,980,ONA,1,Finished Airing,Jun 2006,"None found, add some","None found, add some","None found, add some",Original,"Comedy, Mystery",2 min.,PG - Children,5,,,,
Nyancos: Hello! Our Brilliant Future,,4.84,16570,12845,462,OVA,1,Finished Airing,"Dec 17, 2003",Nippon Columbia,"None found, add some",OLM Digital,Original,Sci-Fi,25 min.,G - All Ages,0,Space,,,
Ojousama Sousamou,Debutante Detective Corps,4.84,9346,12846,3,OVA,1,Finished Airing,"Apr 1, 1996",Toho Music,ADV Films,Daume,Original,"Action, Comedy, Mystery",30 min.,PG-13 - Teens 13 or older,1,Detective,,,
Taku Boda,,4.84,16299,12847,489,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Unknown,Avant Garde,3 min.,G - All Ages,0,,,,
Tonbo,,4.84,16944,12848,428,Movie,1,Finished Airing,1988,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,6 min.,R+ - Mild Nudity,0,Music,,,
Box,,4.84,14799,12849,699,Movie,1,Finished Airing,1982,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,7 min.,G - All Ages,0,,,,
Chou Kidou Densetsu DinaGiga,Super Mobile Legend Dinagiga,4.83,11704,12850,1,OVA,2,Finished Airing,"Jul 15, 1998 to Aug 26, 1998",Polygram Japan,"None found, add some",Studio Deen,Original,Sci-Fi,27 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,,,
Superfluid,,4.79,16048,12901,517,ONA,1,Finished Airing,"Apr 16, 2007","None found, add some","None found, add some","None found, add some",Original,Avant Garde,1 min.,G - All Ages,1,Music,,,
Collapse Zen,,4.79,17547,12903,383,ONA,1,Finished Airing,"Oct 26, 2014","None found, add some","None found, add some","None found, add some",Original,Avant Garde,2 min.,G - All Ages,0,,,,
Usawaltz,,4.79,15236,12902,624,ONA,1,Finished Airing,"Sep 15, 2011","None found, add some","None found, add some","None found, add some",Original,Avant Garde,2 min.,PG-13 - Teens 13 or older,0,Music,,,
Deva Zan,,4.79,10871,12904,2,Movie,1,Finished Airing,"Dec 21, 2010",Studio Deva Loka,"None found, add some","None found, add some",Original,"Action, Fantasy",1 min.,PG-13 - Teens 13 or older,1,,,,
Factory,,4.79,16921,12905,430,ONA,2,Finished Airing,"Jun 8, 2012","None found, add some","None found, add some","None found, add some",Original,Avant Garde,23 sec. per ep.,G - All Ages,0,,,,
Kintarou Taiiku Nikki,,4.79,14347,12908,809,Movie,1,Finished Airing,"Sep 19, 1940","None found, add some","None found, add some","None found, add some",Original,"Comedy, Sports",9 min.,G - All Ages,1,Combat Sports,,,
Genroku Koi Moyou: Sankichi to Osayo,Sankichi and Osayo: A Genroku Romance,4.79,13562,12906,1,Movie,1,Finished Airing,"Jun 23, 1934",The National Film Center Japan,"None found, add some","None found, add some",Original,"Adventure, Romance",8 min.,G - All Ages,1,,,,
Henkei Sakuhin Dai 1-ban,Metamorphose Works No.1,4.79,15937,12907,530,Movie,1,Finished Airing,1984,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,16 min.,G - All Ages,0,,,,
Kyouryoku Boukuusen,,4.79,16424,12909,475,Movie,1,Finished Airing,1942,"None found, add some","None found, add some","None found, add some",Original,Action,10 min.,G - All Ages,0,"Historical, Military",,,
Rudolf to Ippaiattena x Godzilla x Toho Cinemas Moving Logo Eizou,,4.79,14931,12910,676,Movie,1,Finished Airing,"Jan 7, 2016",TOHO,"None found, add some","None found, add some",Novel,Comedy,22 sec.,G - All Ages,0,,,,
Shashinki,Photodiary,4.79,16331,12911,486,Movie,1,Finished Airing,1986,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,3 min.,G - All Ages,0,,,,
Master of Torque 2,,4.78,13711,12912,976,ONA,1,Finished Airing,"Mar 27, 2015","None found, add some","None found, add some",Shimogumi,Original,"Action, Sci-Fi",23 min.,G - All Ages,0,,,,
Misemono Kenbutsu,At the Circus,4.78,15756,12913,550,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,2 min.,G - All Ages,0,,,,Kids
Pinky Wakuwaku Tabi Stroll,,4.78,16513,12914,467,ONA,7,Finished Airing,"Dec 1, 2000 to Dec 25, 2000","None found, add some","None found, add some","None found, add some",Other,Slice of Life,1 min. per ep.,G - All Ages,0,,,,
Susume! Gachimuchi Sankyoudai,,4.78,15586,12915,571,ONA,1,Finished Airing,"Jun 2, 2010","None found, add some","None found, add some",TMS Entertainment,Original,Comedy,3 min.,PG-13 - Teens 13 or older,0,,,,
The Humanoid: Ai no Wakusei Lezeria,The Humanoid,4.78,9848,12916,3,OVA,1,Finished Airing,"Mar 5, 1986",Toshiba EMI,Central Park Media,Kaname Productions,Original,"Drama, Sci-Fi",47 min.,PG-13 - Teens 13 or older,1,"Mecha, Space",,,
Toumei Shounen Tantei Akira,,4.78,15681,12917,558,Special,1,Finished Airing,1970,"None found, add some","None found, add some",Knack Productions,Original,Action,13 min.,PG-13 - Teens 13 or older,0,,,,
Ame-iro Cocoa: Rainy Color e Youkoso!,"Rainy Cocoa, Welcome to Rainy Color",4.78,6236,12918,10,TV,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",DAX Production,Funimation,EMT Squared,Web manga,"Comedy, Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,3,Workplace,Fall 2015,Sundays at 22:15 (JST),
77Danui Bimil,,4.77,14926,12920,676,Movie,1,Finished Airing,"Jul 23, 1978",Samdo Film,"None found, add some","None found, add some",Radio,"Action, Adventure, Drama",1 hr. 9 min.,G - All Ages,0,,,,
