Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Potecco Babies,,4.94,15839,12745,539,ONA,2,Finished Airing,"May 17, 2010 to Sep 4, 2010","None found, add some","None found, add some",Shin-Ei Animation,Original,Comedy,3 min. per ep.,G - All Ages,0,,,,
Kenju Giga,Anthropo-Cynical Farce,4.93,12923,12747,1,Movie,1,Finished Airing,1970,"None found, add some","None found, add some","None found, add some",Original,,8 min.,PG-13 - Teens 13 or older,0,"Parody, Psychological",,,
Kuma ni Kuwarenu Otoko,The Bear Dodger,4.93,14086,12748,873,Movie,1,Finished Airing,1948,"None found, add some","None found, add some","None found, add some",Original,Adventure,9 min.,G - All Ages,0,Music,,,
Saru to Kani no Gassen,,4.94,13110,12746,1,Movie,1,Finished Airing,"May 20, 1917",Nikkatsu,"None found, add some","None found, add some",Other,Drama,6 min.,G - All Ages,2,,,,
Kunchi,,4.93,17764,12749,366,ONA,1,Finished Airing,"Oct 9, 2012","None found, add some","None found, add some",Saigo no Shudan,Original,Avant Garde,1 min.,G - All Ages,0,,,,
Ringo to Shoujo,,4.93,16942,12750,428,Movie,1,Finished Airing,Dec 1982,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,7 min.,G - All Ages,0,,,,
Dappys,,4.83,13124,12851,1,TV,4,Finished Airing,"May 2, 2017 to Oct 25, 2017","None found, add some","None found, add some",DLE,Original,Comedy,50 sec. per ep.,G - All Ages,7,Music,Spring 2017,Unknown,
Four Seasons: Fuuka to Nanami,Four Seasons: Fuuka and Nanami,4.83,11866,12852,1,ONA,1,Finished Airing,"Oct 30, 2015","None found, add some","None found, add some",Shimogumi,Original,,4 min.,G - All Ages,2,Racing,,,
Hadakya no Otonosama,,4.83,17825,12853,362,ONA,2,Finished Airing,"Mar 5, 2014 to Mar 20, 2014",7ji,"None found, add some",The Answer Studio,Original,Slice of Life,37 sec. per ep.,G - All Ages,0,,,,Kids
Hakuchuu Meikyuu,,4.83,17049,12854,420,ONA,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,0,,,,
Kaidan,,4.83,13593,12856,1,Movie,1,Finished Airing,2003,"None found, add some","None found, add some","None found, add some",Original,Supernatural,6 min.,G - All Ages,0,,,,
Jikan,Time,4.83,16148,12855,505,Movie,1,Finished Airing,1963,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,7 min.,G - All Ages,1,,,,
Minamo,,4.83,16169,12857,502,Movie,1,Finished Airing,"Sep 17, 2003","None found, add some","None found, add some",Mirai Film,Original,,2 min.,G - All Ages,0,,,,
Osakana wa Ami no Naka,Fish in the Trap,4.83,6954,12858,8,OVA,1,Finished Airing,"Jul 21, 1994",Echo,"None found, add some",J.C.Staff,Manga,"Boys Love, Drama",27 min.,R+ - Mild Nudity,2,,,,
Taishou Mebiusline: Chicchai-san - You and I,,4.83,9549,12859,3,Special,1,Finished Airing,"Feb 28, 2018","None found, add some","None found, add some",Studio A-CAT,Visual novel,Boys Love,4 min.,PG-13 - Teens 13 or older,2,Historical,,,
Tsuiseki,Chase,4.83,16452,12860,473,Movie,1,Finished Airing,1966,"None found, add some","None found, add some","None found, add some",Unknown,Avant Garde,3 min.,G - All Ages,0,,,,
Venus,,4.83,16018,12861,520,Movie,1,Finished Airing,1990,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,0,,,,
Tokyo Daigaku Monogatari,,4.82,9478,12862,3,OVA,2,Finished Airing,"Feb 24, 2004 to Mar 24, 2004",Shogakukan,"None found, add some",Shinkuukan,Manga,"Comedy, Drama, Romance, Ecchi",30 min. per ep.,R - 17+ (violence & profanity),3,School,,,
Battle Spirits: Ryuuko no Ken,Art of Fighting,4.82,9126,12863,4,TV Special,1,Finished Airing,"Dec 23, 1993","Starchild Records,       Studio Comet,       Nihon Ad Systems,       Fuji TV",Central Park Media,"None found, add some",Game,"Action, Comedy",48 min.,PG-13 - Teens 13 or older,8,Martial Arts,,,
Columbos,,4.82,15984,12864,523,Movie,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Unknown,"Drama, Mystery",9 min.,G - All Ages,0,Detective,,,
Gingirl,,4.82,15552,12865,577,ONA,1,Finished Airing,"Oct 28, 2016","None found, add some","None found, add some","None found, add some",Original,,54 sec.,G - All Ages,0,Space,,,
Greed,,4.82,11946,12866,1,OVA,1,Finished Airing,"Jan 21, 1985",Pony Canyon,"None found, add some","Filmlink International,       Bebow",Original,"Adventure, Fantasy",57 min.,PG-13 - Teens 13 or older,0,,,,
Highspeed Etoile,,4.82,5567,12867,14,TV,12,Currently Airing,"Apr 6, 2024 to Jun 22, 2024","Mainichi Broadcasting System,       Good Smile Company,       King Records,       Yostar,       First Call Music","None found, add some",Studio A-CAT,Original,,24 min. per ep.,PG-13 - Teens 13 or older,78,Racing,Spring 2024,Saturdays at 01:53 (JST),
"Ippun de Wakaru Eiga ""Donten ni Warau"" Kaisetsu Yokoku",,4.82,13033,12868,1,ONA,1,Finished Airing,"Feb 9, 2018","None found, add some","None found, add some","None found, add some",Other,,1 min.,G - All Ages,1,"Historical, Parody",,,
Love Kome: We Love Rice Nikisaku,Love Rice 2,4.82,8908,12869,4,TV,12,Finished Airing,"Oct 6, 2017 to Dec 23, 2017",Just Production,"None found, add some",Encourage Films,Original,"Gourmet, Slice of Life",4 min. per ep.,PG-13 - Teens 13 or older,4,,Fall 2017,Fridays at 02:59 (JST),
Ni-hiki no Sanma,,4.82,13722,12870,972,Movie,1,Finished Airing,1961,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,"Award Winning, Comedy",22 min.,G - All Ages,0,,,,
Numa no Taishou,General of the Swamp,4.82,14361,12871,807,Movie,1,Finished Airing,"Nov 17, 1933",The National Film Center Japan,"None found, add some","None found, add some",Original,"Adventure, Comedy",7 min.,G - All Ages,0,,,,
Present made no Michinori,,4.82,14114,12872,868,ONA,1,Finished Airing,"Mar 22, 2009","None found, add some","None found, add some","None found, add some",Original,Action,2 min.,PG - Children,0,Music,,,
Shiawasette Naani,,4.82,11850,12873,1,OVA,1,Finished Airing,"Jul 9, 1991",Gakken,"None found, add some",Kyoto Animation,Novel,Fantasy,15 min.,PG - Children,0,,,,
Kogane no Hana,The Golden Flower,4.81,12894,12875,1,Movie,1,Finished Airing,"Mar 12, 1929","None found, add some","None found, add some","None found, add some",Original,"Action, Adventure, Fantasy",16 min.,G - All Ages,0,Historical,,,
Kakugo no Susume,Apocalypse Zero,4.81,5910,12874,12,OVA,2,Finished Airing,"Oct 23, 1996 to Dec 18, 1996","Victor Entertainment,       Big West",Media Blasters,Ashi Productions,Manga,"Action, Horror, Sci-Fi",37 min. per ep.,R+ - Mild Nudity,43,"Gore, Mecha, Mythology, Super Power",,,Shounen
Makura no Danshi: Sono Ato no Makura no Danshi,,4.81,10158,12876,2,Special,1,Finished Airing,"Nov 27, 2015","Earth Star Entertainment,       Assez Finaud Fabric","None found, add some",feel.,Original,Slice of Life,Unknown,PG-13 - Teens 13 or older,3,,,,
Nazotokine,,4.81,5746,12877,13,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Pony Canyon Enterprises,"None found, add some",Tengu Kobo,Original,,7 min. per ep.,PG-13 - Teens 13 or older,4,Strategy Game,Fall 2016,Wednesdays at 22:20 (JST),
Odoroki Ban,Phenakistoscope,4.81,15145,12878,638,Movie,1,Finished Airing,1975,Studio Zero,"None found, add some",Takun Manga Box,Unknown,Avant Garde,3 min.,G - All Ages,0,,,,
Tako no Hone,The Octopus Bone,4.81,13693,12879,980,Movie,1,Finished Airing,"Nov 2, 1927","None found, add some","None found, add some","None found, add some",Other,Fantasy,8 min.,G - All Ages,0,Historical,,,
Tenpou Suikoden Neo,,4.81,12896,12880,1,TV,5,Finished Airing,"Feb 28, 2013 to Mar 28, 2013","None found, add some","None found, add some",Kachidoki Studio,Unknown,,2 min. per ep.,PG-13 - Teens 13 or older,4,Historical,Winter 2013,Unknown,
Aioi Ai oi,Aioiaioiaioi,4.81,16839,12881,437,Special,2,Finished Airing,"Feb 4, 2017 to May 3, 2018","None found, add some","None found, add some","None found, add some",Original,,1 min. per ep.,G - All Ages,0,Music,,,
Chou Henshin Cosprayers,The Cosmopolitan Prayers,4.81,6698,12882,9,TV,8,Finished Airing,"Jan 13, 2004 to Mar 2, 2004",m.o.e.,"None found, add some","Imagin,       Studio Live",Original,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",17 min. per ep.,PG-13 - Teens 13 or older,4,Super Power,Winter 2004,Unknown,
Double Circle,,4.81,8061,12883,5,ONA,6,Finished Airing,"Dec 19, 2013 to Sep 26, 2014",Toshiba Entertainment,"None found, add some","None found, add some",Original,Sci-Fi,6 min. per ep.,PG-13 - Teens 13 or older,4,Super Power,,,
Gunnm 3D Special,,4.81,9589,12884,3,OVA,1,Finished Airing,"Aug 18, 2000",Shueisha,"None found, add some",Anima,Manga,"Action, Sci-Fi",3 min.,PG-13 - Teens 13 or older,0,,,,
Hoshi no Yuuenchi,,4.81,15652,12885,562,OVA,1,Finished Airing,"Oct 14, 1989",Gakken,"None found, add some","None found, add some",Unknown,"Adventure, Sci-Fi",17 min.,G - All Ages,0,,,,Kids
Ichigeki Sacchuu!! Hoihoi-san: Legacy,,4.81,12407,12886,1,ONA,1,Finished Airing,"Aug 11, 2012","None found, add some","None found, add some",Bridge,Manga,"Comedy, Sci-Fi",1 min.,G - All Ages,0,,,,
Broots,,4.80,15678,12887,558,Special,1,Finished Airing,1984,"None found, add some","None found, add some",TMS Entertainment,Original,Sci-Fi,5 min.,PG - Children,1,Mecha,,,
Fight!!,,4.80,12088,12888,1,OVA,1,Finished Airing,"Jun 18, 1993","None found, add some",Media Blasters,J.C.Staff,Manga,"Action, Fantasy, Supernatural",29 min.,PG-13 - Teens 13 or older,1,,,,
Fuku-chan no Sensuikan,,4.80,13804,12889,948,Movie,1,Finished Airing,"Nov 9, 1944",Asahi Production,"None found, add some",Shochiku Animation Institute,Other,Comedy,30 min.,G - All Ages,0,"Historical, Military",,,
Genki-kun no Christmas @ Tokyo-eki,,4.80,16825,12890,438,ONA,1,Finished Airing,"Dec 3, 2012",Terada Mokei,"None found, add some","None found, add some",Original,Slice of Life,2 min.,G - All Ages,0,,,,
Hana no Hanashi,Nose Tale,4.80,17249,12891,405,Movie,1,Finished Airing,2010,"None found, add some","None found, add some",Takun Manga Box,Unknown,Slice of Life,5 min.,G - All Ages,0,,,,
Hanasaka Jiisan,The Blossom Man,4.80,12477,12892,1,Movie,1,Finished Airing,Jul 1928,"None found, add some","None found, add some","None found, add some",Other,"Comedy, Drama",6 min.,G - All Ages,0,,,,
Kago Shintarou Anime Sakuhin Shuu,,4.80,7862,12893,6,OVA,15,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Comedy, Horror",2 min. per ep.,R+ - Mild Nudity,10,,,,
Kokka Kimigayo,The National Anthem Kimigayo,4.80,11183,12894,2,Movie,1,Finished Airing,"May 1, 1931","None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,"Historical, Music",,,
Norakuro Shoui: Nichiyoubi no Kaijiken,2nd Lieutenant Norakuro: Sunday Magic,4.80,13281,12895,1,Movie,1,Finished Airing,1933,"None found, add some","None found, add some","None found, add some",Manga,Action,1 min.,G - All Ages,0,Military,,,
Paper Film,,4.80,17441,12896,391,Movie,1,Finished Airing,2005,"None found, add some","None found, add some",Takun Manga Box,Unknown,Comedy,6 min.,R+ - Mild Nudity,0,,,,
Stone,,4.80,14179,12897,851,Movie,1,Finished Airing,1975,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,7 min.,G - All Ages,0,,,,
Sushi Ninja,,4.80,14240,12898,836,ONA,3,Finished Airing,"Jul 3, 2014 to Nov 28, 2014",Genco,"None found, add some","None found, add some",Original,"Action, Comedy, Fantasy",4 min. per ep.,G - All Ages,1,,,,
TOTO Green Challenge,,4.80,16280,12899,490,ONA,1,Finished Airing,"Oct 20, 2011","None found, add some","None found, add some",Liberty Animation Studio,Original,Slice of Life,4 min.,G - All Ages,0,Educational,,,
Souiu Megane,"Well, That's Glasses",4.79,15875,12900,536,Movie,1,Finished Airing,2007,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,0,,,,
Sol Levante,,4.93,4876,12751,20,ONA,1,Finished Airing,"Apr 2, 2020",Netflix,"None found, add some",Production I.G,Original,"Action, Fantasy",4 min.,PG-13 - Teens 13 or older,8,,,,
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,,4.93,14190,12752,847,TV,13,Finished Airing,"Mar 18, 2009 to Jul 20, 2009","None found, add some","None found, add some",Kachidoki Studio,Original,Comedy,2 min. per ep.,PG - Children,2,,Spring 2009,Unknown,
Beautiful Name,,4.93,16276,12753,490,Movie,1,Finished Airing,1979,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,0,,,,Kids
Chagama Ondo,,4.93,12606,12754,1,Movie,1,Finished Airing,"Mar 19, 1935","None found, add some","None found, add some","None found, add some",Original,"Comedy, Supernatural",6 min.,G - All Ages,0,,,,
Geki Drive,,4.93,17497,12755,387,ONA,1,Finished Airing,"Oct 20, 2015",Bandai,"None found, add some","None found, add some",Other,Action,2 min.,G - All Ages,0,Racing,,,
Genei Toshi,Illusion City,4.93,16501,12756,468,Movie,1,Finished Airing,1967,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,4 min.,G - All Ages,0,,,,
Genma Taisen: Shinwa Zenya no Shou,Genma Wars,4.93,10696,12757,2,TV,13,Finished Airing,"Feb 2, 2002 to May 11, 2002",KENMedia,Media Blasters,E&G Films,Manga,"Adventure, Drama, Horror, Sci-Fi, Supernatural",25 min. per ep.,PG-13 - Teens 13 or older,1,,Winter 2002,Unknown,Shounen
Hanare Toride no Yonna,Yonna in the Solitary Fortress,4.93,10308,12758,2,Movie,1,Finished Airing,"Apr 8, 2006","Studio 4°C,       Capcom","None found, add some",CoMix Wave Films,Original,"Adventure, Fantasy",33 min.,PG - Children,3,,,,
Kakegae no,,4.92,14722,12759,715,ONA,1,Finished Airing,"Feb 22, 2012","None found, add some","None found, add some","None found, add some",Original,Drama,1 min.,PG - Children,0,,,,
Kanai,,4.92,16490,12760,469,ONA,1,Finished Airing,Mar 2011,"None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,Mecha,,,
MTV Town,,4.92,18687,12761,301,Special,1,Finished Airing,2019,"CEKAI,       MTV Japan","None found, add some","None found, add some",Original,Avant Garde,58 sec.,G - All Ages,0,Music,,,
Shinsetsu Kachikachi Yama,,4.92,14135,12762,864,Movie,1,Finished Airing,Nov 1936,"None found, add some","None found, add some","None found, add some",Original,"Action, Fantasy",6 min.,G - All Ages,1,Historical,,,
Start,,4.92,15232,12763,624,ONA,1,Finished Airing,"Nov 2, 2019",Pony Canyon,"None found, add some",l-a-unch・BOX,Original,Slice of Life,5 min.,G - All Ages,0,,,,
Yakimochi Caprice,,4.92,13297,12764,1,Special,2,Finished Airing,"Dec 17, 2011 to Apr 9, 2012","None found, add some","None found, add some",AIC,Original,Slice of Life,1 min. per ep.,G - All Ages,0,,,,
Sorette♡Dakara ne!,,4.91,11131,12765,2,ONA,1,Finished Airing,"Jun 24, 2011","None found, add some","None found, add some",Asahi Production,Original,Slice of Life,8 min.,PG-13 - Teens 13 or older,1,,,,
Tokyo SOS,,4.91,17793,12766,364,Movie,1,Finished Airing,2011,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,11 min.,G - All Ages,0,,,,
Yans! Gans! Meat or Die Episode 0,Meat or Die - Meat 00: Prototype,4.91,18077,12767,341,Special,1,Finished Airing,"Nov 29, 2008","None found, add some","None found, add some","None found, add some",Original,"Adventure, Comedy",1 min.,PG - Children,0,,,,
Yume,,4.91,14187,12768,849,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,2 min.,G - All Ages,0,,,,
