Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Eien no Hou,The Laws of Eternity,5.06,11911,12605,1,Movie,1,Finished Airing,"Sep 30, 2006","None found, add some","None found, add some",Group TAC,Original,"Fantasy, Sci-Fi",1 hr. 53 min.,G - All Ages,4,,,,
Inunaki-mura x Taka no Tsumedan,Howling Village x Eagle Talon,5.06,16579,12607,461,ONA,1,Finished Airing,"Jan 17, 2020","None found, add some","None found, add some","None found, add some",Other,"Comedy, Horror",2 min.,PG-13 - Teens 13 or older,1,Parody,,,
Futari Zamurai Homare no Kawakiri,Two Samurai,5.06,16588,12606,460,Movie,1,Finished Airing,1963,"None found, add some","None found, add some","None found, add some",Original,Drama,6 min.,G - All Ages,0,"Historical, Samurai",,,
Aragne no Mushikago,Aragne: Sign of Vermillion,5.06,7910,12604,6,Movie,1,Finished Airing,"Aug 18, 2018","Zelico Film,       Presidio",Sentai Filmworks,"None found, add some",Original,"Fantasy, Horror, Mystery",1 hr. 13 min.,R - 17+ (violence & profanity),21,,,,
Joint,,5.06,18246,12608,329,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,3 min.,G - All Ages,0,,,,
Katsura Hime,Princess Katsura,5.06,13966,12609,904,Movie,1,Finished Airing,1937,The National Film Center Japan,"None found, add some","None found, add some",Original,"Action, Comedy",2 min.,G - All Ages,0,,,,
Kinken Chochiku Shiobara Tasuke,,5.06,16037,12610,518,Movie,1,Finished Airing,1925,"None found, add some","None found, add some","None found, add some",Other,,9 min.,G - All Ages,0,Historical,,,
Kitsutsuki Keikaku,,5.06,15431,12611,594,Movie,1,Finished Airing,1966,"None found, add some","None found, add some","None found, add some",Original,"Comedy, Slice of Life",15 min.,G - All Ages,1,,,,
Ousama Game The Animation,King's Game,5.06,993,12612,248,TV,12,Finished Airing,"Oct 5, 2017 to Dec 21, 2017","AT-X,       Warner Music Japan,       Amuse,       Hakuhodo DY Music & Pictures,       Futabasha,       Kakao Japan,       Spacey Music Entertainment,       A-Craft,       Tohan Corporation",Funimation,Seven,Novel,"Drama, Horror, Mystery, Supernatural, Suspense",23 min. per ep.,R - 17+ (violence & profanity),469,"Gore, High Stakes Game, School, Survival",Fall 2017,Thursdays at 23:30 (JST),
Sankou to Tako: Hyakumanryou Chinsoudou,Sanko and the Octopus: A Fight Over a Fortune,5.06,14306,12613,818,Movie,1,Finished Airing,1933,"None found, add some","None found, add some","None found, add some",Original,Action,15 min.,G - All Ages,0,,,,
Saru Kani Gassen (Yokoku),,5.06,18185,12614,334,ONA,1,Finished Airing,"Jul 31, 2012",7ji,"None found, add some","None found, add some",Other,,37 sec.,G - All Ages,0,Historical,,,
Sasurai Zou-san,,5.06,16957,12615,427,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,58 sec.,G - All Ages,1,Music,,,
Kakomareta Sekai,,5.05,11110,12616,2,ONA,1,Finished Airing,1998,"None found, add some","None found, add some","None found, add some",Novel,Drama,30 sec.,G - All Ages,1,,,,
Norakuro Nitouhei: Enshuu no Maki,Private 2nd Class Norakuro: The Drill,5.05,13076,12617,1,Movie,1,Finished Airing,"Jun 14, 1933","None found, add some","None found, add some","None found, add some",Manga,Adventure,5 min.,G - All Ages,1,,,,
