Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Henna Omamesan,,4.43,14299,13149,820,TV Special,1,Finished Airing,2014,"None found, add some","None found, add some","None found, add some",Other,Comedy,Parody,30 sec.,G - All Ages,0,,,
Motion Lumine,,4.42,15676,13150,558,Movie,1,Finished Airing,1978,"None found, add some","None found, add some",Takun Manga Box,Unknown,Avant Garde,,2 min.,G - All Ages,0,,,
Issho ni Sleeping: Sleeping with Hinako,,4.41,4835,13151,20,OVA,1,Finished Airing,"Feb 11, 2010",Primastea,Maiden Japan,Studio Hibari,Original,Ecchi,,49 min.,PG-13 - Teens 13 or older,39,,,
Anomalies,,4.40,13654,13152,991,Special,1,Finished Airing,2013,"None found, add some","None found, add some","None found, add some",Original,,Psychological,3 min.,G - All Ages,1,,,
Bishoujo Yuugi Unit Crane Game Girls,Crane Game Girls,4.40,6994,13153,8,TV,13,Finished Airing,"Apr 6, 2016 to Jun 29, 2016","None found, add some","None found, add some",Kyotoma,Original,"Comedy, Sci-Fi","Space, Strategy Game",4 min. per ep.,PG - Children,6,Spring 2016,Wednesdays at 22:00 (JST),
Direct Animation,,4.40,15464,13154,589,Movie,1,Finished Airing,1987,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,1 min.,G - All Ages,1,,,
Kaeru San Yuushi,Three Brave Frogs,4.40,13328,13155,1,Movie,1,Finished Airing,"Feb 28, 1933","None found, add some","None found, add some","None found, add some",Original,"Adventure, Comedy",,6 min.,G - All Ages,0,,,
Seiyuu Deka,,4.40,14162,13156,856,ONA,1,Finished Airing,"Aug 4, 2010","None found, add some","None found, add some","MooGoo,       Studio Ranmaru,       Sunny Gapen",Original,Comedy,,3 min.,G - All Ages,0,,,
Shousei Shikisai Gensou,Begone Bell Care; Begone Dull Care,4.40,14607,13157,745,Movie,1,Finished Airing,2014,"None found, add some","None found, add some","Yamamura Animation, Inc.",Music,,Music,3 min.,G - All Ages,0,,,
Ai Sky Tree 21,,4.39,14043,13158,880,ONA,1,Finished Airing,"Aug 30, 2012","None found, add some","None found, add some","None found, add some",Original,Action,,15 sec.,G - All Ages,0,,,
Kyochuu Rettou,The Island of Giant Insects,4.39,4974,13159,19,OVA,1,Finished Airing,"Jun 20, 2019","Nihon Ad Systems,       KlockWorx,       Docomo Anime Store,       Akita Shoten,       Crunchyroll","None found, add some",Passione,Web manga,"Horror, Suspense","Gore, Survival",22 min.,R+ - Mild Nudity,18,,,
Kerorinpasu,,4.38,15699,13160,556,ONA,1,Finished Airing,"Feb 14, 2011","None found, add some","None found, add some","None found, add some",Original,,Music,1 min.,G - All Ages,0,,,
Spectral Force Chronicle Divergence,,4.38,12828,13161,1,OVA,1,Finished Airing,"Jun 22, 2005",Idea Factory,"None found, add some",WAO World,Game,Fantasy,,24 min.,PG-13 - Teens 13 or older,1,,,
Taa-chan no Kaitei Ryokou,Ta-chan's Underwater Adventure,4.38,12411,13162,1,Movie,1,Finished Airing,"Mar 26, 1935","None found, add some","None found, add some","None found, add some",Original,Adventure,,1 min.,G - All Ages,0,,,
Hana,Flower,4.38,13152,13163,1,Movie,1,Finished Airing,1967,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,Comedy,,1 min.,G - All Ages,0,,,
Kihei Senki Legacies,,4.37,12884,13164,1,ONA,1,Finished Airing,"Apr 1, 2010",Trick Block,"None found, add some","None found, add some",Original,Fantasy,Mecha,52 sec.,G - All Ages,0,,,
A Woman in a Fashion Building,,4.36,14452,13165,784,Movie,1,Finished Airing,2015,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,50 sec.,G - All Ages,0,,,
Haru no Shikumi,The Mechanism of Spring,4.36,12840,13166,1,Movie,1,Finished Airing,2010,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,G - All Ages,0,,,
"Yami no Kioku, Yume no Inei","Memories Hidden in Darkness, Dreams of Various Shades",4.36,15109,13167,644,Movie,1,Finished Airing,2000,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,R+ - Mild Nudity,0,,,
Nantokashite Alguard,,4.35,15124,13169,641,ONA,1,Finished Airing,"Jan 31, 2012","None found, add some","None found, add some","None found, add some",Original,,"Music, Super Power",1 min.,G - All Ages,0,,,
Kemeko no Love,,4.35,12017,13168,1,Movie,1,Finished Airing,1968,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,Comedy,,3 min.,PG - Children,0,,,
Osekisho,At the Border Checkpoint,4.35,14698,13170,723,Movie,1,Finished Airing,"May 20, 1930","None found, add some","None found, add some","None found, add some",Original,,,8 min.,G - All Ages,1,,,Kids
