Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Hachimitsu Suicide Machine,,5.21,13728,12346,972,ONA,1,Finished Airing,"Mar 26, 2021","None found, add some","None found, add some",Usagi Ou,Original,,10 min.,PG-13 - Teens 13 or older,2,Horror,,,
Himitsukessha Taka no Tsume x Glass no Kamen desu ga,,5.21,16105,12347,511,ONA,1,Finished Airing,"Mar 28, 2013","None found, add some","None found, add some",DLE,Other,Parody,2 min.,G - All Ages,0,Comedy,,,
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Toyama City Stamp Rally: The Search for Hello Kitty!,5.21,15480,12348,587,ONA,1,Finished Airing,"Jul 20, 2016","None found, add some","None found, add some",DLE,Other,,2 min.,G - All Ages,0,Comedy,,,
Kyoudai Koguma,The Bear Brothers,5.21,15943,12349,528,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Unknown,,11 min.,G - All Ages,0,Adventure,,,
Life of the Dead,,5.21,16167,12350,502,ONA,4,Finished Airing,"Jul 26, 2011 to Jan 1, 2012","None found, add some","None found, add some",Studio Binzo,Original,,17 min. per ep.,R - 17+ (violence & profanity),2,"Comedy, Horror",,,
MapleStory,,5.21,8634,12351,4,TV,25,Finished Airing,"Oct 7, 2007 to Mar 30, 2008","TV Tokyo,       Dentsu,       Nexon","None found, add some",Madhouse,Game,,25 min. per ep.,PG - Children,4,"Action, Adventure, Comedy, Fantasy",Kids,Fall 2007,Unknown
Milk House Dreaming: Ai no Shiki,,5.21,13902,12352,918,OVA,1,Finished Airing,"Nov 28, 1987",Shogakukan-Shueisha Productions,"None found, add some",Mook Animation,Manga,Music,43 min.,G - All Ages,1,,Shoujo,,
Nekketsu Uchuujin,Hot-blooded Alien,5.21,11824,12353,1,ONA,1,Finished Airing,"Oct 31, 2009","None found, add some","None found, add some","None found, add some",Original,,2 min.,PG-13 - Teens 13 or older,0,"Comedy, Sci-Fi",,,
Oshiri Kajiri Mushi (TV) 4th Season,Bottom Biting Bug 4,5.21,15113,12354,644,TV,10,Finished Airing,"Oct 5, 2015 to Dec 7, 2015","NHK,       Sound Team Don Juan","None found, add some",Kinema Citrus,Music,,5 min. per ep.,G - All Ages,1,Comedy,Kids,Fall 2015,Mondays at 18:25 (JST)
Kara The Animation,,5.20,12719,12355,1,TV,5,Finished Airing,"Mar 1, 2013",NOTTV,"None found, add some","None found, add some",Unknown,,24 min. per ep.,PG-13 - Teens 13 or older,2,Action,,Winter 2013,Unknown
Mahou no Chocolate,,5.20,9587,12356,3,OVA,1,Finished Airing,"Aug 30, 2001","None found, add some","None found, add some",Ishikawa Pro,Original,,8 min.,G - All Ages,2,"Drama, Romance",,,
Mame-Mofu Collab Animation,,5.20,15420,12357,596,ONA,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Other,,2 min.,G - All Ages,0,Comedy,,,
Nara Shika Monogatari,Nara Deer Story,5.20,15492,12358,585,ONA,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,2,Comedy,,,
Neon The Animation,,5.20,13094,12359,1,ONA,6,Finished Airing,"Jul 4, 2011 to Apr 3, 2015","None found, add some","None found, add some","None found, add some",Original,"Detective, Historical, Mecha",5 min. per ep.,G - All Ages,0,"Comedy, Slice of Life",,,
Odin: Koushi Hansen Starlight,Odin: Starlight Mutiny,5.20,9257,12360,3,Movie,1,Finished Airing,"Aug 10, 1985",Gakken,Central Park Media,Toei Animation,Original,Space,2 hr. 19 min.,PG-13 - Teens 13 or older,3,"Action, Adventure, Drama, Sci-Fi",,,
Tarzan,,5.20,16487,12362,470,Movie,1,Finished Airing,1990,"None found, add some","None found, add some",Takun Manga Box,Original,,6 min.,G - All Ages,1,Avant Garde,,,
Sarasoujuu no Hana no Iro,Spotlight,5.20,16689,12361,450,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Unknown,,2 min.,R+ - Mild Nudity,1,Drama,,,
Tokyo Juushouden: Fuuma Gogyou Denshou,,5.20,12990,12363,1,OVA,3,Finished Airing,"Aug 24, 2001 to Jan 25, 2002","KSS,       Kitty Films",Media Blasters,T.P.O,Unknown,,25 min. per ep.,R+ - Mild Nudity,0,"Action, Adventure, Supernatural",,,
