Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Battle Athletess Daiundoukai ReSTART!,Battle Athletes Victory ReSTART!,5.11,6911,12532,8,TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021","TV Asahi,       Nippon Columbia,       KlockWorx,       BS Fuji,       Wolfsbane,       SUPA LOVE,       Starry Cube,       TV Asahi Music,       tamakoshi,       CTW,       FUTURE LEAP ,       AIC RIGHTS",Funimation,Seven,Original,School,23 min. per ep.,PG-13 - Teens 13 or older,13,"Adventure, Comedy, Sci-Fi, Sports",,Spring 2021,Sundays at 01:30 (JST)
Byoudoku no Denpa,Diseases Spread,5.11,15282,12533,617,Movie,1,Finished Airing,1926,"None found, add some","None found, add some","None found, add some",Original,,14 min.,G - All Ages,0,,Kids,,
Compiler,,5.11,9856,12535,3,OVA,2,Finished Airing,"Mar 5, 1994 to Oct 5, 1994","None found, add some",ADV Films,animate Film,Manga,,30 min. per ep.,R+ - Mild Nudity,0,"Comedy, Drama, Romance, Sci-Fi",,,
Charady no Joke na Mainichi,,5.11,10484,12534,2,TV,365,Finished Airing,"Apr 1, 2009 to Mar 31, 2010","None found, add some","None found, add some","None found, add some",Original,,3 min. per ep.,PG-13 - Teens 13 or older,2,Comedy,,Spring 2009,Unknown
Dangobei Torimonochou: Hirake - Goma no Maki,,5.11,15291,12536,616,Movie,1,Finished Airing,1952,"None found, add some","None found, add some","None found, add some",Original,,9 min.,G - All Ages,1,"Action, Adventure, Comedy",,,
Ganbare Chibi Godzilla,,5.11,15616,12537,567,ONA,1,Finished Airing,"Oct 23, 2018","None found, add some","None found, add some",LIDENFILMS,Picture book,,1 min.,G - All Ages,1,,Kids,,
Izakaya no Ichiya,Over a Drink,5.11,13020,12538,1,Movie,1,Finished Airing,"Jun 6, 1936","None found, add some","None found, add some","None found, add some",Original,,10 min.,G - All Ages,0,Action,,,
Bouningen Weekend,,5.10,16533,12539,465,ONA,20,Finished Airing,"Dec 17, 2015 to Apr 27, 2016","None found, add some","None found, add some","None found, add some",Original,Pets,30 sec. per ep.,G - All Ages,0,Slice of Life,,,
Chinkoroheibei Tamatebako,Chinkoroheibei and the Treasure Box,5.10,13672,12540,985,Movie,1,Finished Airing,1936,"None found, add some","None found, add some","None found, add some",Original,,8 min.,G - All Ages,0,"Comedy, Fantasy",Kids,,
Hakata Mentai! Pirikarako-chan,,5.10,9881,12541,3,TV,12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019","None found, add some","None found, add some",G-angle,Original,,4 min. per ep.,G - All Ages,2,"Comedy, Gourmet, Slice of Life",,Summer 2019,Sundays at 06:15 (JST)
Hawk no Onayami Soudanshitsu,Hawk's Trouble Consultation Room,5.10,12762,12542,1,ONA,39,Finished Airing,"Aug 1, 2019 to Oct 9, 2019",VAP,"None found, add some",Studio Deen,Manga,,30 sec. per ep.,PG-13 - Teens 13 or older,0,Comedy,,,
Kiseichuu no Ichiya,,5.10,10305,12543,2,Movie,1,Finished Airing,1972,"None found, add some","None found, add some",Kuri Jikken Manga Koubou,Original,,9 min.,R - 17+ (violence & profanity),9,"Avant Garde, Horror",,,
MILPOM★,,5.10,12379,12544,1,ONA,6,Finished Airing,"Sep 5, 2015 to Sep 29, 2017","None found, add some","None found, add some",Bandai Namco Pictures,Original,,6 min. per ep.,PG-13 - Teens 13 or older,3,Comedy,,,
Origami of Landscape,,5.10,15187,12545,631,ONA,1,Finished Airing,"Jun 8, 2013","None found, add some","None found, add some","None found, add some",Original,,44 sec.,G - All Ages,0,Avant Garde,,,
Osamishi Tani no Wakare Uta,,5.10,16998,12546,423,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Original,"Historical, Music",3 min.,G - All Ages,0,,,,
Peeping Life: Shinkon-chan Kansai ni Irasshai,"Peeping Life: Welcome to Kansai, Newlyweds!",5.10,14627,12547,740,ONA,1,Finished Airing,"Mar 27, 2014",CoMix Wave Films,"None found, add some","None found, add some",Unknown,,5 min.,G - All Ages,0,"Comedy, Slice of Life",,,
Yaseruyagi,,5.10,15965,12549,525,ONA,1,Finished Airing,"Mar 28, 2010","None found, add some","None found, add some","None found, add some",Original,,37 sec.,G - All Ages,0,,,,
Shiguang Guiyu,The Prisoners of Time,5.10,12662,12548,1,ONA,10,Finished Airing,"Dec 15, 2015 to Mar 8, 2016",Tencent Animation & Comics,"None found, add some","None found, add some",Manga,,13 min. per ep.,R - 17+ (violence & profanity),0,"Drama, Supernatural",,,
Yubi no Sukima-chan,The devil between my fingers,5.10,16182,12550,501,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,0,Avant Garde,,,
Zonmi-chan: Meat Pie of the Dead,,5.16,10800,12451,2,Special,1,Finished Airing,"Mar 26, 2016","None found, add some","None found, add some",Neft Film,Original,,5 min.,PG-13 - Teens 13 or older,1,"Comedy, Horror, Supernatural",,,
2.43 Mini Anime: Fukui-ben Kouza,,5.15,12551,12452,1,ONA,8,Finished Airing,"Jan 7, 2021 to Feb 26, 2021","None found, add some","None found, add some","None found, add some",Novel,,1 min. per ep.,PG-13 - Teens 13 or older,5,Comedy,,,
