Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Gyo,GYO: Tokyo Fish Attack!,5.33,2792,12077,62,Movie,1,Finished Airing,"Oct 29, 2011","Aniplex,       KlockWorx,       Shogakukan",Aniplex of America,ufotable,Manga,"Drama, Horror, Mystery, Sci-Fi, Suspense","Gore, Psychological, Survival",1 hr. 10 min.,R+ - Mild Nudity,66,Seinen,,
Galerians: Rion,,5.33,9560,12076,3,OVA,3,Finished Airing,"Apr 24, 2002",Enterbrain,"None found, add some","None found, add some",Game,"Adventure, Drama, Horror, Mystery, Sci-Fi, Supernatural, Suspense","Military, Psychological",24 min. per ep.,R - 17+ (violence & profanity),5,,,
Hanappe Bazooka,,5.33,9055,12078,4,OVA,1,Finished Airing,"Sep 4, 1992",Nippon Columbia,ADV Films,Studio Signal,Manga,"Action, Comedy, Ecchi",School,45 min.,R+ - Mild Nudity,5,,,
Holiday Advent Calendar 2018,,5.33,18280,12079,327,ONA,13,Finished Airing,"Dec 9, 2018 to Dec 25, 2018","None found, add some","None found, add some","None found, add some",Original,,Music,28 sec. per ep.,G - All Ages,0,,,
Homé-Pato the Movie,,5.33,14443,12080,785,ONA,1,Finished Airing,"May 4, 2015",Kamikaze Douga,"None found, add some","None found, add some",Original,,Racing,1 min.,G - All Ages,1,,,
I Love Picnic,,5.33,15358,12081,606,Special,1,Finished Airing,2003,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,,4 min.,G - All Ages,0,Kids,,
Kekkaku Yobou,Preventing Tuberculosis,5.33,15846,12083,539,Movie,1,Finished Airing,1933,"None found, add some","None found, add some","None found, add some",Original,Drama,"Educational, Historical",29 min.,G - All Ages,0,,,
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,My Life as Inukai-san’s Dog. OVA,5.33,4920,12082,19,Special,2,Finished Airing,"Mar 29, 2023 to Apr 26, 2023","King Records,       WWWave","None found, add some",Quad,Web manga,"Comedy, Ecchi",,12 min. per ep.,R+ - Mild Nudity,75,,,
Kipling Jr.,,5.33,14774,12084,703,Movie,1,Finished Airing,1995,"None found, add some","None found, add some","Yamamura Animation, Inc.",Unknown,Comedy,,14 min.,G - All Ages,1,,,
Koi wa 1-nichi ni Shite Narazu,,5.33,15412,12085,597,ONA,1,Finished Airing,"Feb 8, 2021",Studio Mausu,"None found, add some",Geek Toys,Original,Slice of Life,,6 min.,None,1,,,
Makaryuudo Demon Hunter,,5.33,9278,12086,3,OVA,1,Finished Airing,"Nov 8, 1989",Bandai,"None found, add some",Studio Fantasia,Manga,Supernatural,"Gore, Mythology",30 min.,R+ - Mild Nudity,7,,,
Next Senki Ehrgeiz,Next War Chronicle Ehrgeiz,5.33,11144,12088,2,TV,12,Finished Airing,"Oct 2, 1997 to Dec 25, 1997","Bandai Visual,       BeSTACK,       d-rights",Bandai Entertainment,Studio Deen,Original,"Action, Sci-Fi","Mecha, Space",25 min. per ep.,PG-13 - Teens 13 or older,2,,Fall 1997,Thursdays at 01:15 (JST)
Netsuzou TRap,Netsuzou Trap -NTR-,5.33,1461,12087,162,TV,12,Finished Airing,"Jul 5, 2017 to Sep 20, 2017","DMM.com,       Ichijinsha,       Cloud22","None found, add some",Creators in Pack,Manga,"Drama, Girls Love",,9 min. per ep.,R+ - Mild Nudity,325,,Summer 2017,Wednesdays at 20:00 (JST)
Onigiri,,5.33,4018,12089,31,TV,13,Finished Airing,"Apr 7, 2016 to Jun 30, 2016","Pierrot,       Being,       Zack Promotion,       Bushiroad Music",Sentai Filmworks,Pierrot Plus,Game,"Comedy, Fantasy",Mythology,3 min. per ep.,PG-13 - Teens 13 or older,40,,Spring 2016,Thursdays at 01:00 (JST)
Original Eigakan Manner Eizou,,5.33,17910,12090,355,Special,1,Finished Airing,"Sep 10, 2019","None found, add some","None found, add some","None found, add some",Original,Comedy,Parody,2 min.,PG-13 - Teens 13 or older,1,,,
Peeping Life: Gekijou Original-ban,,5.33,15567,12091,576,Movie,5,Finished Airing,"Dec 1, 2009 to Feb 5, 2010",CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",,1 min. per ep.,PG - Children,0,,,
Piroppo,,5.33,14202,12092,843,TV,23,Finished Airing,"Oct 11, 2001 to Mar 21, 2002","None found, add some","None found, add some",Studio 4°C,Other,Comedy,,2 min. per ep.,None,1,,Fall 2001,Unknown
Ringing City,,5.33,16723,12095,447,Movie,1,Finished Airing,"Mar 3, 2017",Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,Music,3 min.,G - All Ages,1,,,
Power Dolls,,5.33,10217,12093,2,OVA,2,Finished Airing,"Mar 1, 1996 to Mar 1, 1998",VAP,ADV Films,"OLM,       Artmic",Game,"Action, Adventure, Sci-Fi",Mecha,27 min. per ep.,R+ - Mild Nudity,1,,,
