,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
0,Golgo 13: Queen Bee,,6.56,6173,6436,11,OVA,1,Finished Airing,"May 21, 1998",Filmlink International,Urban Vision,Tezuka Productions,Manga,"Action, Adventure, Drama","Adult Cast, Military",Seinen,56 min.,R+ - Mild Nudity,11,,
1,Future Card Buddyfight Triple D,,6.56,8598,6435,4,TV,51,Finished Airing,"Apr 2, 2016 to Mar 25, 2017",Bushiroad,"None found, add some","Xebec,       OLM",Card game,,Strategy Game,,23 min. per ep.,PG - Children,9,Spring 2016,Saturdays at 08:00 (JST)
2,Futoku no Guild,Immoral Guild,6.56,1997,6434,107,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022","Square Enix,       Lantis,       AT-X,       Egg Firm,       Kadokawa,       Bandai Namco Music Live",Sentai Filmworks,TNK,Manga,"Comedy, Fantasy, Ecchi",Harem,Shounen,24 min. per ep.,R+ - Mild Nudity,481,Fall 2022,Wednesdays at 23:30 (JST)
3,Futatsu no Kurumi,,6.56,12714,6433,1,TV Special,1,Finished Airing,"Aug 15, 2007",TV Asahi,"None found, add some",Shin-Ei Animation,Original,Drama,Time Travel,,45 min.,PG - Children,1,,
4,Gundam: G no Reconguista Movie I - Ike! Core Fighter,Gundam Reconguista in G I: Go! Core Fighter,6.56,8788,6437,4,Movie,1,Finished Airing,"Nov 29, 2019","None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Space",,1 hr. 30 min.,PG-13 - Teens 13 or older,3,,
5,Ie Naki Ko Remy Specials (2001),,6.56,13324,6439,1,TV Special,2,Finished Airing,"Jul 14, 2001 to Jul 15, 2001",Bandai Visual,"None found, add some",Nippon Animation,Novel,"Adventure, Drama",Historical,,45 min. per ep.,G - All Ages,1,,
6,Hanma Baki vs. Kengan Ashura,Baki Hanma VS Kengan Ashura,6.56,5170,6438,17,ONA,1,Finished Airing,"Jun 6, 2024",Netflix,"None found, add some",TMS Entertainment,Original,Action,,,1 hr.,R - 17+ (violence & profanity),53,,
7,Inochi no Chikyuu: Dioxin no Natsu,The Summer of Dioxin,6.56,12212,6440,1,Movie,1,Finished Airing,"Aug 18, 2001","None found, add some","None found, add some",Magic Bus,Book,Drama,Historical,,1 hr. 22 min.,PG-13 - Teens 13 or older,2,,
8,Kakutou Bijin Wulong,Fighting Beauty Wulong,6.56,7635,6441,6,TV,25,Finished Airing,"Oct 10, 2005 to Mar 26, 2006","None found, add some","None found, add some",TMS Entertainment,Manga,"Action, Ecchi",Martial Arts,,25 min. per ep.,R - 17+ (violence & profanity),7,Fall 2005,Unknown
9,Kita e.: Diamond Dust Drops,Diamond Daydreams,6.56,6510,6442,9,TV,12,Finished Airing,"Jan 20, 2004 to Apr 5, 2004","None found, add some",ADV Films,Studio Deen,Visual novel,"Drama, Romance",,,24 min. per ep.,PG-13 - Teens 13 or older,10,Winter 2004,Unknown
10,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,,6.56,14843,6443,689,Special,1,Finished Airing,"Apr 2, 2006","None found, add some","None found, add some",Gallop,Manga,Comedy,"Adult Cast, Detective",Shounen,20 min.,PG-13 - Teens 13 or older,0,,
11,Kuragehime: Eiyuu Retsuden☆,Princess Jellyfish Specials,6.56,5334,6444,15,Special,4,Finished Airing,"Jan 28, 2011 to Apr 22, 2011",Asmik Ace,Funimation,Brain's Base,Manga,Comedy,Visual Arts,Josei,5 min. per ep.,PG-13 - Teens 13 or older,15,,
12,La Seine no Hoshi,,6.56,10098,6445,3,TV,39,Finished Airing,"Apr 4, 1975 to Dec 26, 1975","None found, add some","None found, add some",Sunrise,Other,"Action, Adventure, Drama",Historical,,23 min. per ep.,G - All Ages,6,Spring 1975,Unknown
13,Ling Yu 3rd Season,,6.56,11150,6446,2,ONA,12,Finished Airing,"Jul 21, 2016 to Oct 6, 2016",iQIYI,"None found, add some",Haoliners Animation League,Novel,Fantasy,,,14 min. per ep.,PG-13 - Teens 13 or older,2,,
14,M3: Sono Kuroki Hagane,,6.56,2931,6448,57,TV,24,Finished Airing,"Apr 22, 2014 to Sep 30, 2014","Sotsu,       Magic Capsule,       flying DOG,       Happinet Pictures,       Bandai Namco Games,       Mobcast","None found, add some","Satelight,       C2C",Original,"Action, Drama, Mystery, Sci-Fi, Suspense","Mecha, Psychological",,24 min. per ep.,R - 17+ (violence & profanity),79,Spring 2014,Tuesdays at 01:35 (JST)
15,Lupin III vs. Cat's Eye,Lupin the 3rd vs Cat's Eye,6.56,9147,6447,4,ONA,1,Finished Airing,"Jan 27, 2023","None found, add some","None found, add some",TMS Entertainment,Original,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,1 hr. 31 min.,PG-13 - Teens 13 or older,11,,
16,Mahou no Princess Minky Momo: Yume no Naka no Rondo,Magical Princess Minky Momo: La Ronde in my Dream,6.56,10507,6449,2,OVA,1,Finished Airing,"Jul 28, 1985","None found, add some","None found, add some",Ashi Productions,Unknown,,Mahou Shoujo,,1 hr. 26 min.,G - All Ages,4,,
