,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
0,Gakuen Heaven: Hamu Hamu Heaven,Heaven Academy Specials,6.64,7262,6002,7,Special,12,Finished Airing,"Jul 7, 2006 to Dec 8, 2006","None found, add some",Media Blasters,Tokyo Kids,Visual novel,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,6,,,,
1,Haunted Junction,,6.64,8526,6003,5,TV,12,Finished Airing,"Apr 2, 1997 to Jun 25, 1997","None found, add some",Bandai Entertainment,Studio Deen,Manga,"Comedy, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,13,Spring 1997,Thursdays at 01:45 (JST),School,Shounen
2,Gad Guard,,6.64,5523,6001,14,TV,26,Finished Airing,"Apr 16, 2003 to Sep 25, 2003","HAL Film Maker,       Media Factory,       Imagica,       Amber Film Works,       Imagine","Funimation,       Geneon Entertainment USA",Gonzo,Original,"Action, Adventure, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,27,Spring 2003,Thursdays at 02:58 (JST),Mecha,
3,Herlock Saga: Nibelung no Yubiwa,Harlock Saga,6.64,7513,6004,6,OVA,6,Finished Airing,"Jan 25, 1999 to Nov 25, 1999","Bandai Visual,       Avex Entertainment,       81 Produce",Central Park Media,"Studio Z5,       Studio March",Manga,"Action, Adventure, Drama, Sci-Fi",25 min. per ep.,R - 17+ (violence & profanity),4,,,Space,Seinen
4,Hina Logi: From Luck & Logic,Hina Logic – from Luck & Logic,6.64,4068,6005,30,TV,12,Finished Airing,"Jul 1, 2017 to Sep 23, 2017","Bandai Visual,       Lantis,       Nitroplus,       Bushiroad,       Yuhodo",Funimation,Doga Kobo,Card game,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,73,Summer 2017,Saturdays at Unknown,School,
5,Hyakka Ryouran: Samurai After,,6.64,4564,6006,23,OVA,2,Finished Airing,"Jan 23, 2015 to Jul 1, 2015","None found, add some","None found, add some",Arms,Light novel,Ecchi,25 min. per ep.,R+ - Mild Nudity,23,,,Harem,
6,Ishura,,6.64,2387,6007,81,TV,12,Finished Airing,"Jan 3, 2024 to Mar 20, 2024","Magic Capsule,       Tencent Japan,       Kadokawa,       Aiming","None found, add some",Passione,Light novel,"Action, Adventure, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),314,Winter 2024,Wednesdays at 23:00 (JST),"Gore, Isekai",
7,Jiuzhou Piaomiao Lu,Novoland Eagle Flag,6.64,15340,6008,608,ONA,13,Finished Airing,"Jan 24, 2023 to Apr 4, 2023",Tencent Penguin Pictures,"None found, add some",BYMENT,Other,"Action, Drama, Fantasy",20 min. per ep.,PG-13 - Teens 13 or older,2,,,,
8,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",,6.63,9028,6009,4,Movie,1,Finished Airing,"Jun 11, 2021","Production I.G,       OLM,       Shochiku,       Bandai,       Banpresto,       Bandai Namco Entertainment,       Voyager Entertainment,       Bandai Namco Arts,       ADK Marketing Solutions","None found, add some",studio MOTHER,Original,"Action, Drama, Sci-Fi",2 hr.,PG-13 - Teens 13 or older,13,,,"Adult Cast, Military, Space",
9,Arashi no Yoru ni: Himitsu no Tomodachi,,6.63,10394,6010,2,TV,26,Finished Airing,"Apr 4, 2012 to Sep 26, 2012","Bandai Visual,       Dentsu,       TV Osaka,       MediaNet,       AT-X,       Duckbill Entertainment,       Baku Enterprise","None found, add some",Sparky Animation,Book,"Adventure, Drama",23 min. per ep.,G - All Ages,7,Spring 2012,Unknown,Anthropomorphic,
