,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
21,Moetan,,6.38,4135,7485,29,TV,12,Finished Airing,"Jul 9, 2007 to Sep 24, 2007",Lantis,"None found, add some",Actas,Other,"Comedy, Ecchi","Mahou Shoujo, School",24 min. per ep.,R+ - Mild Nudity,85,,Summer 2007,Mondays at 01:30 (JST)
22,"Ore, Tsushima (ONA)","I, Tsushima",6.38,9939,7487,3,ONA,93,Finished Airing,"Jul 5, 2021 to Mar 2, 2022","Asmik Ace,       Bit grooove promotion","None found, add some",AQUA ARIS,Original,Comedy,Pets,1 min. per ep.,PG-13 - Teens 13 or older,8,,,
23,Pokemon: Pikachu no Wanpaku Island,Pikachu's Island Adventure,6.38,6301,7489,10,Special,1,Finished Airing,"Aug 1, 2006","None found, add some","VIZ Media,       The Pokemon Company International",OLM,Game,"Adventure, Comedy, Fantasy",,21 min.,PG - Children,5,Kids,,
24,Panty & Stocking in Sanitarybox,,6.38,3533,7488,40,Special,1,Finished Airing,"Apr 28, 2011","None found, add some",Funimation,Gainax,Original,"Action, Avant Garde, Comedy, Supernatural, Ecchi",Parody,8 min.,R - 17+ (violence & profanity),60,,,
25,Qing Chi Hong Xiaodou Ba!,Little Bean,6.38,13695,7490,980,ONA,12,Finished Airing,"Jul 5, 2018 to Sep 20, 2018","None found, add some","None found, add some",Making Animation,Original,Slice of Life,Anthropomorphic,3 min. per ep.,G - All Ages,5,,,
26,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",,6.38,4102,7491,29,OVA,1,Finished Airing,"Jun 30, 2014","None found, add some","None found, add some",Project No.9,Manga,"Comedy, Romance, Supernatural, Ecchi",,23 min.,PG-13 - Teens 13 or older,9,Shounen,,
27,Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re,Sakura Taisen: Sumire,6.38,9608,7492,3,OVA,1,Finished Airing,"Dec 18, 2002","Sega,       Imagine",Funimation,Radix,Game,"Drama, Sci-Fi","Mecha, Performing Arts",24 min.,PG-13 - Teens 13 or older,0,,,
28,Shiguang Daili Ren x Vatti: Nan Qin Na Yi Wan Mifang Da Gongkai!,Link Click x Vatti,6.38,10610,7493,2,ONA,1,Finished Airing,"Dec 29, 2021","None found, add some","None found, add some","None found, add some",Original,Gourmet,,1 min.,PG-13 - Teens 13 or older,4,,,
29,K-On!: Ura-On!,,6.37,2778,7494,63,Special,7,Finished Airing,"Jul 29, 2009 to Jan 20, 2010","None found, add some",Sentai Filmworks,Kyoto Animation,Original,Comedy,,2 min. per ep.,G - All Ages,83,,,
30,Kagewani,,6.37,3903,7495,33,TV,13,Finished Airing,"Oct 2, 2015 to Dec 25, 2015",Directions,"None found, add some",Tomovies,Original,"Horror, Mystery, Supernatural",,7 min. per ep.,R - 17+ (violence & profanity),31,,Fall 2015,Fridays at 23:17 (JST)
31,Kanokon,Kanokon: The Girl Who Cried Fox,6.37,978,7496,251,TV,12,Finished Airing,"Apr 5, 2008 to Jun 21, 2008","Media Factory,       Movic,       AT-X",Media Blasters,Xebec,Light novel,"Comedy, Romance, Supernatural, Ecchi","Harem, School",24 min. per ep.,R+ - Mild Nudity,603,,Spring 2008,Saturdays at 10:30 (JST)
32,Ladies versus Butlers! Specials,,6.37,3795,7497,34,Special,6,Finished Airing,"Mar 26, 2010 to Aug 27, 2010","None found, add some",Media Blasters,Xebec,Light novel,Ecchi,,2 min. per ep.,R+ - Mild Nudity,32,,,
33,Last Exile: Ginyoku no Fam Movie - Over the Wishes,"Last Exile: Fam, the Silver Wing - Over the Wishes",6.37,8678,7498,4,Movie,1,Finished Airing,"Feb 6, 2016","None found, add some","None found, add some",Gonzo,Original,"Action, Adventure, Sci-Fi",,1 hr. 59 min.,PG-13 - Teens 13 or older,4,,,
34,Look at Me Only,,6.37,14955,7499,673,Movie,1,Finished Airing,2016,Musashino Art University,"None found, add some","None found, add some",Original,"Award Winning, Slice of Life",,7 min.,PG-13 - Teens 13 or older,0,,,
35,Mahou Shoujo Pretty Sammy,Magical Girl Pretty Sammy,6.37,6992,7500,8,OVA,3,Finished Airing,"Aug 25, 1995 to Aug 24, 1997","None found, add some",Geneon Entertainment USA,AIC,Original,"Comedy, Fantasy","Mahou Shoujo, Parody",43 min. per ep.,PG-13 - Teens 13 or older,10,,,
