,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
87,Hamster Club,,6.47,13206,6964,1,TV,130,Finished Airing,"Oct 2, 2000 to Mar 30, 2001",TV Tokyo,"None found, add some","None found, add some",Unknown,,5 min. per ep.,G - All Ages,2,Pets,Kids,Fall 2000,Unknown
88,Hitorigurashi no Shougakusei,,6.47,9050,6965,4,ONA,10,Finished Airing,"Oct 10, 2017 to Dec 12, 2017",Anime Beans,"None found, add some",Signal.MD,4-koma manga,"Comedy, Gourmet, Slice of Life",3 min. per ep.,G - All Ages,12,,,,
89,Kanokon: Manatsu no Dai Shanikusai Specials,Kanokon: The Great Midsummer Carnival Specials,6.47,4933,6967,19,Special,2,Finished Airing,"Nov 25, 2009 to Dec 22, 2009","None found, add some","None found, add some",Xebec,Light novel,Ecchi,3 min. per ep.,R+ - Mild Nudity,14,,,,
90,iDOLM@STER Xenoglossia,,6.47,4549,6966,23,TV,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",Bandai Visual,Sentai Filmworks,Sunrise,Game,"Action, Comedy, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,32,Mecha,,Spring 2007,Mondays at 02:30 (JST)
91,Karakuri no Kimi,Puppet Princess,6.47,6720,6968,9,OVA,1,Finished Airing,"Mar 24, 2000","Shogakukan-Shueisha Productions,       TOHO",Media Blasters,TMS Entertainment,Manga,"Action, Comedy, Fantasy, Horror",41 min.,R+ - Mild Nudity,13,"Historical, Martial Arts, Samurai",Shounen,,
92,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Maguro no Notta Keikan,,6.47,14532,6969,765,TV Special,1,Finished Airing,"Jan 2, 2005","None found, add some","None found, add some",Gallop,Manga,"Comedy, Mystery",22 min.,PG-13 - Teens 13 or older,0,"Adult Cast, Detective",Shounen,,
93,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,6.47,990,6970,248,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021","AT-X,       Sammy,       Kadokawa Media House,       Kadokawa,       Bit grooove promotion",Funimation,ENGI,Light novel,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"1,115",Video Game,,Spring 2021,Wednesdays at 22:30 (JST)
94,Love Get Chu,,6.47,6757,6971,8,TV,25,Finished Airing,"Apr 5, 2006 to Sep 27, 2006","None found, add some","None found, add some",Radix,Visual novel,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,9,Showbiz,,Spring 2006,Unknown
95,Love Live! μ's Go→Go! LoveLive! 2015: Dream Sensation!,,6.47,15525,6972,580,Special,4,Finished Airing,"Jan 31, 2015 to Feb 1, 2015","None found, add some","None found, add some","None found, add some",Other,Comedy,8 min. per ep.,PG-13 - Teens 13 or older,1,Music,,,
96,Moeru! Oniisan,The Burning Wild Man,6.47,11242,6974,2,TV,24,Finished Airing,"Mar 14, 1988 to Sep 19, 1988",TOHO,"None found, add some",Pierrot,Manga,"Action, Adventure, Comedy",24 min. per ep.,PG-13 - Teens 13 or older,15,,Shounen,Spring 1988,Unknown
97,Mirai Nikki (TV): Ura Mirai Nikki,The Future Diary Specials,6.47,2884,6973,58,Special,10,Finished Airing,"Jan 27, 2012 to Aug 31, 2012","None found, add some",Funimation,asread.,Manga,"Comedy, Supernatural",2 min. per ep.,R - 17+ (violence & profanity),67,,Shounen,,
98,Momochi-san Chi no Ayakashi Ouji,The Demon Prince of Momochi House,6.47,3432,6975,42,TV,12,Finished Airing,"Jan 6, 2024 to Mar 23, 2024","Aniplex,       Movic,       BS11,       Crunchyroll","None found, add some",Drive,Manga,"Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,212,Mythology,Shoujo,Winter 2024,Saturdays at 00:00 (JST)
99,Musaigen no Phantom World: Limitless Phantom World,,6.47,3875,6976,33,Special,7,Finished Airing,"Apr 6, 2016 to Oct 5, 2016","Lantis,       Pony Canyon",Funimation,Kyoto Animation,Light novel,"Comedy, Fantasy",6 min. per ep.,PG-13 - Teens 13 or older,26,,,,
100,Oi! Ryouma,Rainbow Samurai,6.47,13012,6977,1,TV,39,Finished Airing,"Apr 7, 1992 to Mar 30, 1993","None found, add some","None found, add some",Animation 21,Manga,"Adventure, Drama",25 min. per ep.,None,3,Historical,,Spring 1992,Saturdays at 17:30 (JST)
101,One Piece: Cry Heart,,6.47,6415,6978,10,Special,3,Finished Airing,"Jan 19, 2014 to Apr 22, 2015",Banpresto,"None found, add some","None found, add some",Manga,"Drama, Fantasy",5 min. per ep.,PG-13 - Teens 13 or older,8,,Shounen,,
102,Ore wa Teppei,My Name Is Teppei,6.47,11269,6979,2,TV,28,Finished Airing,"Sep 12, 1977 to Mar 27, 1978",Fuji TV,"None found, add some",Nippon Animation,Manga,Sports,25 min. per ep.,PG-13 - Teens 13 or older,4,Combat Sports,Shounen,Fall 1977,Unknown
103,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,,6.47,12210,6980,1,TV,26,Finished Airing,"Jul 7, 2018 to Jan 5, 2019",Sotsu,"None found, add some",Studio Deen,Original,"Fantasy, Slice of Life",12 min. per ep.,G - All Ages,4,,,Summer 2018,Saturdays at 08:15 (JST)
104,Phantom The Animation,Phantom: The Animation,6.47,5520,6981,14,OVA,3,Finished Airing,"Feb 27, 2004 to Nov 26, 2004",KSS,Media Blasters,Arcs Create,Visual novel,"Action, Drama",28 min. per ep.,R - 17+ (violence & profanity),16,Organized Crime,,,
105,Pokemon Movie 15: Kyurem vs. Seikenshi,Pokémon the Movie: Kyurem VS. The Sword of Justice,6.47,3032,6982,53,Movie,1,Finished Airing,"Jul 14, 2012","TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO,       Studio Jack",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Drama, Fantasy",1 hr. 11 min.,PG - Children,7,,Kids,,
106,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,Project A-Ko 2: Plot of the Daitokuji Financial Group,6.47,7329,6983,7,OVA,1,Finished Airing,"May 21, 1987",Pony Canyon,"Central Park Media,       Discotek Media",APPP,Original,"Action, Comedy, Sci-Fi",48 min.,PG-13 - Teens 13 or older,3,"Mecha, Super Power",,,
107,Ro-Kyu-Bu! SS Recap,,6.47,8913,6984,4,TV Special,1,Finished Airing,"Aug 16, 2013","AT-X,       Warner Bros. Japan,       KlockWorx,       ASCII Media Works","None found, add some","Barnum Studio,       Project No.9",Unknown,"Comedy, Sports, Ecchi",24 min.,PG-13 - Teens 13 or older,3,"School, Team Sports",,,
108,Jumping,,6.46,8471,6985,5,Movie,1,Finished Airing,Jun 1984,"None found, add some","None found, add some",Tezuka Productions,Original,Adventure,6 min.,G - All Ages,5,,,,
109,Juusen Battle Monsuno,Monsuno: World Master,6.46,6621,6986,9,TV,52,Finished Airing,"Oct 3, 2012 to Sep 25, 2013","TV Tokyo,       Dentsu,       Dentsu Tec",Dentsu Entertainment USA,Larx Entertainment,Original,"Action, Adventure",22 min. per ep.,PG - Children,42,,,Fall 2012,Wednesdays at 18:00 (JST)
110,Kamen no Ninja Akakage,,6.46,12508,6987,1,TV,23,Finished Airing,"Oct 13, 1987 to Mar 22, 1988","None found, add some","None found, add some",Toei Animation,Manga,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,0,,Shounen,Fall 1987,Unknown
111,Keijo!!!!!!!! Specials,,6.46,4361,6988,26,Special,6,Finished Airing,"Nov 23, 2016 to May 31, 2017","Sotsu,       Lantis,       Warner Bros. Japan,       Shogakukan",Funimation,Xebec,Manga,"Comedy, Ecchi",3 min. per ep.,PG-13 - Teens 13 or older,14,,Shounen,,
112,Koi to Uso: Isshou no Koi/Koi no Kimochi,Love and Lies: Love of a Lifetime/Feelings of Love,6.46,3614,6989,38,OVA,1,Finished Airing,"Nov 16, 2018","None found, add some","None found, add some",LIDENFILMS,Web manga,"Drama, Romance",29 min.,PG-13 - Teens 13 or older,36,School,,,
113,Last Exile: Ginyoku no Fam - Adjournment,"Last Exile: Fam, the Silver Wing Recaps",6.46,7567,6990,6,TV Special,2,Finished Airing,"Dec 17, 2011 to Feb 11, 2012","None found, add some",Funimation,Gonzo,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,2,,,,
114,Loveless Specials,,6.46,4986,6991,19,Special,6,Finished Airing,"Nov 1, 2005 to Apr 27, 2006","None found, add some","None found, add some",J.C.Staff,Manga,"Boys Love, Comedy, Supernatural",2 min. per ep.,PG-13 - Teens 13 or older,28,,Josei,,
115,Madoromi no Vevara,Vevara in Your Dream,6.46,10739,6992,2,ONA,1,Finished Airing,"Jul 2, 2019","None found, add some","None found, add some",Arch,Original,Fantasy,10 min.,PG - Children,7,,,,
116,Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation,,6.46,12651,6993,1,Special,1,Finished Airing,"Sep 20, 2017","None found, add some","None found, add some","None found, add some",Mixed media,"Fantasy, Romance",20 min.,PG-13 - Teens 13 or older,0,"Idols (Male), Music, Reverse Harem, School",,,
117,Miracle☆Train: Oedo-sen e Youkoso,Miracle Train: Welcome to the Oedo Line,6.46,4929,6994,19,TV,13,Finished Airing,"Oct 5, 2009 to Dec 28, 2009","TV Tokyo,       Aniplex,       Lantis,       DAX Production,       TYO Animations","None found, add some",Yumeta Company,Mixed media,Fantasy,23 min. per ep.,PG-13 - Teens 13 or older,41,,,Fall 2009,Unknown
118,Mob Psycho Mini,,6.46,3744,6995,36,Special,6,Finished Airing,"Sep 28, 2016 to Feb 22, 2017","None found, add some","None found, add some",Bones,Web manga,Comedy,6 min. per ep.,PG-13 - Teens 13 or older,14,,,,
119,Moetan Specials,Moetan,6.46,7994,6996,5,Special,2,Finished Airing,"Dec 21, 2007 to Mar 25, 2008","None found, add some","None found, add some",Actas,Other,"Comedy, Ecchi",26 min. per ep.,R+ - Mild Nudity,1,"Mahou Shoujo, School",,,
120,Monkey Turn,,6.46,11233,6997,2,TV,25,Finished Airing,"Jan 11, 2004 to Jun 27, 2004","None found, add some","None found, add some",OLM,Manga,"Action, Drama",23 min. per ep.,PG-13 - Teens 13 or older,4,Racing,Shounen,Winter 2004,Sundays at 00:55 (JST)
121,Monkey Turn V,,6.46,12776,6998,1,TV,25,Finished Airing,"Jul 4, 2004 to Dec 19, 2004",AIC,"None found, add some",OLM,Manga,"Action, Drama",24 min. per ep.,PG-13 - Teens 13 or older,2,Racing,Shounen,Summer 2004,Sundays at 00:55 (JST)
122,Mugyutto! Black Clover,Squishy! Black Clover,6.46,4989,6999,19,ONA,8,Finished Airing,"Jul 1, 2019 to Aug 19, 2019","None found, add some","None found, add some",DLE,Manga,"Comedy, Fantasy",7 min. per ep.,PG-13 - Teens 13 or older,40,Parody,Shounen,,
123,Nanatsu no Taizai: Kamigami no Gekirin,The Seven Deadly Sins: Imperial Wrath of the Gods,6.46,273,7000,731,TV,24,Finished Airing,"Oct 9, 2019 to Mar 25, 2020","None found, add some","None found, add some",Studio Deen,Manga,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,"1,377",,Shounen,Fall 2019,Wednesdays at 17:55 (JST)
124,Nezumi Monogatari: George to Gerald no Bouken,,6.46,12848,7001,1,Movie,1,Finished Airing,"Dec 22, 2007","Shogakukan-Shueisha Productions,       Shochiku,       Sanrio,       Bandai,       Yahoo! Japan","None found, add some",Madhouse,Picture book,Adventure,52 min.,G - All Ages,0,Anthropomorphic,Kids,,
125,Onkyou Seimeitai Noiseman,Noiseman Sound Insect,6.46,6167,7002,11,Movie,1,Finished Airing,"Nov 22, 1997",Bandai Visual,"None found, add some",Studio 4°C,Original,"Action, Fantasy, Sci-Fi",15 min.,G - All Ages,30,,,,
126,Pokemon XY SP: Road to Kalos,,6.46,6815,7003,8,TV Special,1,Finished Airing,"Oct 10, 2013",TV Tokyo,"None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",24 min.,PG - Children,4,,Kids,,
127,Power Stone,,6.46,6882,7004,8,TV,26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",Avex Entertainment,ADV Films,Pierrot,Game,"Adventure, Comedy, Fantasy",20 min. per ep.,PG - Children,24,Historical,,Spring 1999,Saturdays at 17:00 (JST)
128,Precure Miracle Universe Movie,,6.46,9753,7005,3,Movie,1,Finished Airing,"Mar 16, 2019","None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",1 hr. 11 min.,G - All Ages,3,Mahou Shoujo,,,
129,Qualidea Code,,6.46,1240,7006,194,TV,12,Finished Airing,"Jul 10, 2016 to Sep 25, 2016","Aniplex,       Marvelous Entertainment,       Delfi Sound,       ABC Animation,       Japan Sleeve","None found, add some",A-1 Pictures,Original,"Action, Fantasy, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,313,Super Power,,Summer 2016,Sundays at 00:00 (JST)
130,Rozen Maiden: Meitantei Kunkun - Duell Walzer,,6.46,5083,7007,18,Special,1,Finished Airing,"Apr 27, 2006",Mellow Head,"None found, add some",Nomad,Manga,"Comedy, Mystery",7 min.,PG-13 - Teens 13 or older,20,,,,
131,Saezuru Doubutsu wa Yarushikanai!,,6.46,10752,7008,2,ONA,25,Finished Airing,"Dec 19, 2019 to Feb 14, 2020","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,50 sec. per ep.,PG-13 - Teens 13 or older,9,,,,
132,Shen Ji Long Wei,The Legend of Dragon Soldier,6.46,13046,7009,1,ONA,26,Finished Airing,"Jun 26, 2022 to Dec 11, 2022",Youku,"None found, add some",Suoyi Technology,Web novel,"Action, Fantasy",15 min. per ep.,PG-13 - Teens 13 or older,4,,,,
133,Shigofumi Picture Drama,,6.46,8969,7010,4,Special,7,Finished Airing,"Mar 25, 2008 to Sep 26, 2008","Bandai Visual,       Genco,       Lantis,       Rakuonsha","None found, add some",J.C.Staff,Original,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,1,,,,
134,Street Fighter Alpha: Generations,,6.46,5514,7011,14,Movie,1,Finished Airing,"Oct 25, 2005","None found, add some",Manga Entertainment,APPP,Game,Adventure,42 min.,PG-13 - Teens 13 or older,16,,,,
135,Teekyuu 3 Specials,Teekyu 3 Specials,6.46,6516,7012,9,Special,2,Finished Airing,"Jan 24, 2014",Earth Star Entertainment,"None found, add some",MAPPA,Manga,"Comedy, Sports",2 min. per ep.,PG-13 - Teens 13 or older,2,School,Shounen,,
136,Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama Specials,The Genius Prince's Guide to Raising a Nation Out of Debt: Short Drama Specials,6.46,9462,7013,3,Special,4,Finished Airing,"Mar 30, 2022 to Jun 29, 2022","None found, add some","None found, add some",AQUA ARIS,Light novel,"Comedy, Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,8,,,,
