,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
0,Uchuu Kazoku Carlvinson,,6.54,9547,6578,3,OVA,1,Finished Airing,"Dec 21, 1988","None found, add some","None found, add some",Doga Kobo,Manga,"Comedy, Fantasy, Sci-Fi",Childcare,45 min.,PG-13 - Teens 13 or older,12,,,
1,"Wake Up, Girls! Shin Shou","Wake Up, Girls! New Chapter",6.54,5543,6579,14,TV,12,Finished Airing,"Oct 10, 2017 to Jan 8, 2018","TV Tokyo,       Sotsu,       Tatsunoko Production,       AT-X,       TOHO,       KlockWorx,       DIVE II Entertainment,       81 Produce,       Good Smile Company,       Avex Pictures,       KLab,       Rakuten,       Epicross","None found, add some",Millepensee,Original,Drama,"Idols (Female), Music",23 min. per ep.,PG-13 - Teens 13 or older,20,Fall 2017,Tuesdays at 02:05 (JST),
2,Wooser no Sono Higurashi: Mugen-hen,Wooser's Hand-to-Mouth Life: Phantasmagoric Arc,6.54,8586,6581,4,TV,13,Finished Airing,"Jul 3, 2015 to Sep 25, 2015","None found, add some","None found, add some",SANZIGEN,Web manga,"Comedy, Fantasy, Slice of Life",,7 min. per ep.,G - All Ages,4,Summer 2015,Fridays at 23:09 (JST),
3,Winter Garden,Di Gi Charat: Winter Garden,6.54,6931,6580,8,TV Special,2,Finished Airing,"Dec 22, 2006 to Dec 23, 2006",Broccoli,Sentai Filmworks,J.C.Staff,Original,"Drama, Romance",,23 min. per ep.,G - All Ages,13,,,
4,Yoroiden Samurai Troopers Gaiden,Ronin Warriors Gaiden,6.54,9548,6582,3,OVA,2,Finished Airing,"Apr 30, 1989 to Jun 1, 1989","None found, add some","Bandai Entertainment,       Discotek Media",Sunrise,Original,"Adventure, Fantasy",Samurai,25 min. per ep.,PG-13 - Teens 13 or older,6,,,
5,Zi Chuan: Yincang Hudong Ju,,6.54,15973,6583,524,ONA,9,Finished Airing,"Dec 21, 2021 to Sep 20, 2022",Tencent Penguin Pictures,"None found, add some",BUILD DREAM,Novel,"Action, Fantasy",Military,19 min. per ep.,PG-13 - Teens 13 or older,1,,,
6,Shin Megami Tensei Devil Children,,6.53,9723,6584,3,TV,50,Finished Airing,"Oct 7, 2000 to Sep 29, 2001","None found, add some","None found, add some",Tokyo Movie,Game,"Action, Adventure, Fantasy, Sci-Fi, Supernatural","Mythology, Video Game",23 min. per ep.,PG - Children,4,Fall 2000,Saturdays at 07:30 (JST),Kids
7,Shuffle! Memories,,6.53,2948,6585,56,TV,12,Finished Airing,"Jan 8, 2007 to Mar 26, 2007",Memory-Tech,Kadokawa Pictures USA,asread.,Visual novel,"Comedy, Drama, Fantasy, Romance, Ecchi","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,45,Winter 2007,Mondays at 00:00 (JST),
8,Sky Girls Specials,,6.53,9215,6586,4,Special,9,Finished Airing,"Nov 13, 2007 to Jun 25, 2008","None found, add some","None found, add some",J.C.Staff,Original,"Comedy, Sci-Fi","Mecha, Military",4 min. per ep.,G - All Ages,1,,,
9,SmaSTATION-3 SMAnime,,6.53,15002,6587,665,Special,3,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,"Action, Comedy",,1 min. per ep.,R+ - Mild Nudity,0,,,
10,Sonic: Night of the WereHog,Sonic Night of the Werehog,6.53,6714,6588,9,ONA,1,Finished Airing,"Nov 1, 2008",Sega,"None found, add some",Marza Animation Planet,Game,Action,Anthropomorphic,11 min.,G - All Ages,30,,,
11,Tenchi Muyou! Ryououki 4th Season,,6.53,6907,6589,8,OVA,4,Finished Airing,"Nov 30, 2016 to Sep 13, 2017","Pony Canyon Enterprises,       AIC RIGHTS,       Youku","None found, add some","AIC,       C2C",Original,"Action, Comedy, Sci-Fi","Harem, Space",29 min. per ep.,PG-13 - Teens 13 or older,17,,,
12,Tenshi no Shippo Chu!,,6.53,7884,6590,6,TV,11,Finished Airing,"Mar 6, 2003 to Apr 3, 2003",Bandai Visual,"None found, add some",Tokyo Kids,Unknown,"Fantasy, Romance",,13 min. per ep.,PG-13 - Teens 13 or older,3,Spring 2003,Unknown,
13,The King of Fighters XV,,6.53,12669,6591,1,ONA,1,Finished Airing,"Feb 9, 2022","None found, add some","None found, add some",Studio G-1Neo,Game,Action,"Martial Arts, Super Power",1 min.,PG-13 - Teens 13 or older,2,,,
14,Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki,"A Certain Scientific Accelerator: Sally Forth, Mr. Accel! A Madcap Onslaught",6.53,5953,6592,12,Special,1,Finished Airing,"Oct 30, 2019","None found, add some","None found, add some",J.C.Staff,Manga,Supernatural,Super Power,8 min.,PG-13 - Teens 13 or older,10,,,
15,Tokkou,Tokko,6.53,3259,6593,46,TV,13,Finished Airing,"Apr 16, 2006 to Jul 30, 2006","WOWOW,       Shochiku",Manga Entertainment,"AIC Spirits,       Group TAC",Manga,"Action, Horror, Mystery, Supernatural","Adult Cast, Detective, Gore",24 min. per ep.,R - 17+ (violence & profanity),106,Spring 2006,Unknown,Seinen
16,Transformers: Car Robots,Transformers: Robots in Disguise,6.53,8272,6594,5,TV,39,Finished Airing,"Apr 5, 2000 to Dec 27, 2000","TV Tokyo,       NEC Interchannel","Hasbro,       Saban Entertainment","Gallop,       Dongwoo A&E",Other,"Adventure, Comedy, Sci-Fi",Mecha,23 min. per ep.,PG - Children,22,Spring 2000,Wednesdays at 18:30 (JST),
17,Uchuu Senkan Tiramisù II,Space Battleship Tiramisu Zwei,6.53,6385,6595,10,TV,13,Finished Airing,"Oct 2, 2018 to Dec 25, 2018","Frontier Works,       Nippon Columbia,       Studio Mausu,       Tokyo MX,       Adores,       Shinchosha,       FuRyu,       Exa International,       NTT Plala,       JY Animation",Funimation,Gonzo,Web manga,"Comedy, Sci-Fi","Mecha, Parody, Space",7 min. per ep.,PG-13 - Teens 13 or older,4,Fall 2018,Tuesdays at 01:00 (JST),
18,Umi ga Kikoeru,The Ocean Waves,6.53,1664,6596,137,TV Special,1,Finished Airing,"May 5, 1993",J.C.Staff,GKIDS,Studio Ghibli,Novel,"Drama, Romance","Love Polygon, School",1 hr. 12 min.,PG-13 - Teens 13 or older,532,,,
19,Yaku nara Mug Cup mo,Let's Make a Mug Too,6.53,3232,6597,47,TV,12,Finished Airing,"Apr 3, 2021 to Jun 21, 2021","CBC Television,       Planet,       Half H.P Studio,       Nippon Columbia,       81 Produce,       Tokyo MX,       BS11,       Maho Film,       Zipang","None found, add some",Nippon Animation,Manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",14 min. per ep.,PG-13 - Teens 13 or older,130,Spring 2021,Saturdays at 00:55 (JST),
20,Yuusha Exkaiser,The Brave Fighter Exkizer,6.53,9664,6598,3,TV,48,Finished Airing,"Feb 3, 1990 to Jan 26, 1991","Nagoya Broadcasting Network,       Tokyu Agency","None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,G - All Ages,8,Winter 1990,Unknown,
21,22/7: 8＋3=?,,6.53,7113,6599,7,Special,1,Finished Airing,"Sep 16, 2020",Aniplex,Aniplex of America,A-1 Pictures,Other,,"Idols (Female), Music",24 min.,PG-13 - Teens 13 or older,9,,,
22,A.I.C.O. Incarnation,,6.53,1889,6600,115,ONA,12,Finished Airing,"Mar 9, 2018","Bandai Visual,       Lantis,       Hakuhodo DY Music & Pictures,       Yamasa,       Studio Easter","None found, add some",Bones,Original,"Action, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),256,,,
23,Appleseed,,6.53,3980,6601,32,OVA,1,Finished Airing,"Apr 21, 1988","Bandai Visual,       TBS,       Movic,       Tohokushinsha Film Corporation","Discotek Media,       Manga Entertainment",Gainax,Manga,"Action, Sci-Fi","Mecha, Military",1 hr. 7 min.,R - 17+ (violence & profanity),42,,,
24,Birthday Wonderland,The Wonderland,6.53,4734,6602,21,Movie,1,Finished Airing,"Apr 26, 2019","Aniplex,       Dentsu,       Fuji TV,       Warner Bros. Japan",Eleven Arts,Signal.MD,Book,"Adventure, Fantasy",Isekai,1 hr. 55 min.,PG-13 - Teens 13 or older,38,,,
25,Bleach: Shuku! Rukia Dakkan! Kagayaku! Shinigami Juuban Shoubu! Mitai Shinigami Doon to Misemasu Special,Bleach: Gathering! Rukia's Rescue! Shining! The Ultimate Shinigami Showdown! Special Showing of the Shinigami Teams!,6.53,11431,6603,1,Special,1,Finished Airing,"Jan 10, 2006","None found, add some","None found, add some",Pierrot,Manga,"Action, Supernatural",,24 min.,PG-13 - Teens 13 or older,1,,,Shounen
26,Blood-C,,6.53,632,6604,373,TV,12,Finished Airing,"Jul 8, 2011 to Sep 30, 2011","Aniplex,       Mainichi Broadcasting System,       Dwango",Funimation,Production I.G,Original,"Action, Horror, Mystery, Supernatural","Gore, School, Vampire",23 min. per ep.,R - 17+ (violence & profanity),"1,193",Summer 2011,Unknown,
27,Bubblegum Crash,,6.53,5832,6605,12,OVA,3,Finished Airing,"May 25, 1991 to Dec 21, 1991","None found, add some",AnimEigo,"Artmic,       Darts",Original,"Action, Adventure, Sci-Fi","Adult Cast, Mecha",45 min. per ep.,PG-13 - Teens 13 or older,16,,,
28,Burn Up Excess,,6.53,5951,6606,12,TV,13,Finished Airing,"Dec 12, 1997 to Jul 1, 1998",AIC,ADV Films,Magic Bus,Original,"Action, Adventure, Comedy, Mystery, Sci-Fi, Ecchi",Detective,25 min. per ep.,PG-13 - Teens 13 or older,21,Winter 1998,Unknown,
29,Busou Shinki Moon Angel,,6.53,5736,6607,13,ONA,10,Finished Airing,"Sep 7, 2011 to Jan 26, 2012","None found, add some","None found, add some","TNK,       Kinema Citrus",Other,"Action, Sci-Fi",,5 min. per ep.,PG-13 - Teens 13 or older,5,,,
30,Entotsu Machi no Poupelle,Poupelle of Chimney Town,6.53,7702,6608,6,Movie,1,Finished Airing,"Dec 25, 2020","None found, add some",Eleven Arts,Studio 4°C,Picture book,"Adventure, Fantasy",,1 hr. 40 min.,G - All Ages,3,,,
31,Fight Ippatsu! Juuden-chan!! Specials,,6.53,7242,6609,7,Special,6,Finished Airing,"Dec 18, 2009 to May 21, 2010","None found, add some",Media Blasters,Studio Hibari,Manga,"Comedy, Sci-Fi, Ecchi",,6 min. per ep.,R+ - Mild Nudity,3,,,Seinen
32,Garouden: The Way of the Lone Wolf,,6.53,8425,6611,5,ONA,8,Finished Airing,"May 23, 2024","None found, add some","None found, add some",NAZ,Novel,Action,Martial Arts,24 min. per ep.,R - 17+ (violence & profanity),19,,,
33,Gambo,,6.53,6659,6610,9,Movie,1,Finished Airing,"Jul 20, 2013","None found, add some",Sentai Filmworks,Sunrise,Original,Action,"Historical, Mythology",12 min.,R - 17+ (violence & profanity),2,,,
34,Ginga Tetsudou 999: Eternal Fantasy,Galaxy Express 999: Eternal Fantasy,6.53,8419,6612,5,Movie,1,Finished Airing,"Mar 7, 1998","None found, add some",Discotek Media,Toei Animation,Manga,"Action, Drama, Sci-Fi",Space,54 min.,PG-13 - Teens 13 or older,4,,,
35,Godzilla 2: Kessen Kidou Zoushoku Toshi,Godzilla: City on the Edge of Battle,6.53,3499,6613,41,Movie,1,Finished Airing,"May 18, 2018","TOHO,       TOHO animation","None found, add some",Polygon Pictures,Original,"Action, Adventure, Sci-Fi",,1 hr. 40 min.,R - 17+ (violence & profanity),38,,,
36,Granblue Fantasy The Animation Season 2 Extras,,6.53,6231,6614,10,Special,2,Finished Airing,"Mar 28, 2020 to Aug 26, 2020","None found, add some","None found, add some",MAPPA,Game,"Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,9,,,
37,Gyakuten Saiban 6 Prologue,Ace Attorney 6 Prologue,6.53,8265,6615,5,ONA,1,Finished Airing,"Mar 17, 2016",Capcom,"None found, add some",A-1 Pictures,Game,Mystery,Workplace,8 min.,PG-13 - Teens 13 or older,10,,,
38,Haha wo Tazunete Sanzenri (Movie),,6.53,15220,6616,626,Movie,1,Finished Airing,"Jul 19, 1980","None found, add some","None found, add some",Nippon Animation,Book,"Adventure, Drama, Slice of Life",Historical,1 hr. 47 min.,G - All Ages,0,,,
39,Hakubo,Twilight,6.53,4141,6617,29,Movie,1,Finished Airing,"Jun 21, 2019","None found, add some","None found, add some",Twilight Studio,Original,Romance,School,52 min.,R+ - Mild Nudity,45,,,
40,Harukanaru Toki no Naka de 3: Owarinaki Unmei,,6.53,9768,6618,3,TV Special,1,Finished Airing,"Jan 4, 2010","None found, add some","None found, add some",Yumeta Company,Visual novel,"Action, Fantasy","Historical, Isekai, Military, Mythology, Time Travel",56 min.,PG-13 - Teens 13 or older,2,,,
41,Ikkitousen: Xtreme Xecutor Specials,,6.53,5479,6619,14,Special,6,Finished Airing,"Jun 25, 2010 to Nov 25, 2010",Genco,Funimation,"Arms,       TNK",Manga,"Comedy, Ecchi",,3 min. per ep.,R+ - Mild Nudity,5,,,Seinen
42,Juuni Taisen,Juni Taisen: Zodiac War,6.53,841,6620,292,TV,12,Finished Airing,"Oct 3, 2017 to Dec 19, 2017","Sotsu,       Mainichi Broadcasting System,       AT-X,       Studio Mausu,       Tokyo MX,       Avex Pictures,       Shueisha,       BS11,       GYAO!,       A-Sketch",Funimation,Graphinica,Novel,"Action, Suspense","Gore, High Stakes Game",23 min. per ep.,R - 17+ (violence & profanity),691,Fall 2017,Tuesdays at 23:30 (JST),
43,Kanojo mo Kanojo,"Girlfriend, Girlfriend",6.53,629,6621,374,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021","Mainichi Broadcasting System,       Kodansha,       Half H.P Studio,       Nikkatsu,       NBCUniversal Entertainment Japan,       Forecast Communications,       Myrica Music","None found, add some",Tezuka Productions,Manga,"Comedy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,"2,451",Summer 2021,Saturdays at 02:25 (JST),Shounen
44,Kanokon: Manatsu no Dai Shanikusai,Kanokon: The Great Midsummer Carnival,6.53,3306,6622,45,OVA,2,Finished Airing,"Oct 5, 2009 to Oct 12, 2009","None found, add some",Media Blasters,Xebec,Light novel,"Romance, Ecchi",,25 min. per ep.,R+ - Mild Nudity,31,,,
45,Kidou Senshi Gundam MS IGLOO: 1-nen Sensou Hiroku,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,6.53,5259,6623,16,OVA,3,Finished Airing,"Jul 19, 2004 to Nov 3, 2004","None found, add some","Nozomi Entertainment,       Bandai Visual USA",Sunrise,Original,"Action, Sci-Fi","Mecha, Military, Space",27 min. per ep.,PG-13 - Teens 13 or older,13,,,
