,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
0,Kekkaishi: Yoshimori no Omoi,,6.41,13676,7308,984,Special,1,Finished Airing,"May 25, 2007","None found, add some","None found, add some",Sunrise,Manga,"Adventure, Comedy, Fantasy",Shounen,25 min.,PG-13 - Teens 13 or older,1,,,
1,Kiniro no Corda: Blue♪Sky,La corda d'oro: Blue♪Sky,6.41,4268,7309,27,TV,12,Finished Airing,"Apr 6, 2014 to Jun 22, 2014",Koei,"None found, add some",TYO Animations,Visual novel,Romance,Josei,23 min. per ep.,PG-13 - Teens 13 or older,34,Spring 2014,Unknown,"Music, Performing Arts, Reverse Harem, School"
2,Kitsune no Koe,Voice of Fox,6.41,4640,7310,22,TV,12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018","Success Corp.,       Tavac,       iQIYI","None found, add some",Yumeta Company,Manga,,,13 min. per ep.,PG-13 - Teens 13 or older,63,Fall 2018,Fridays at 22:30 (JST),Music
3,Kara no Kyoukai: Manner Movies,The Garden of Sinners: Manner Movies,6.41,5780,7307,13,Movie,7,Finished Airing,"Dec 1, 2007 to Aug 8, 2009",Aniplex,Aniplex of America,ufotable,Light novel,"Action, Comedy",,1 min. per ep.,G - All Ages,28,,,
4,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Washi to Ore!? - Bokura wa Asakusa Shounen Tanteidan!,,6.41,15051,7311,654,Special,2,Finished Airing,"Apr 6, 2008 to Apr 13, 2008","None found, add some","None found, add some",Gallop,Manga,Comedy,Shounen,20 min. per ep.,PG-13 - Teens 13 or older,0,,,"Adult Cast, Detective"
5,Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,,6.41,9281,7312,3,OVA,1,Finished Airing,"May 25, 2005","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Romance, Supernatural, Ecchi",Shounen,18 min.,PG-13 - Teens 13 or older,0,,,Super Power
6,Kuiba II: Dazhan Yuan Yang Jie,Kuiba 2,6.41,15122,7313,642,Movie,1,Finished Airing,"May 31, 2013",Vasoon Animation,"None found, add some","None found, add some",Original,"Action, Adventure, Fantasy",Kids,1 hr. 38 min.,G - All Ages,2,,,
7,L/R: Licensed by Royal,Licensed by Royalty,6.41,8322,7314,5,TV,12,Finished Airing,"Jan 8, 2003 to Mar 26, 2003","Victor Entertainment,       Fuji TV,       Pioneer LDC",Geneon Entertainment USA,TNK,Original,"Action, Adventure, Mystery",,23 min. per ep.,PG-13 - Teens 13 or older,9,Winter 2003,Unknown,Detective
8,Maetel Legend,,6.41,8561,7316,5,OVA,2,Finished Airing,"Dec 13, 2000 to Mar 7, 2001","None found, add some",Central Park Media,Vega Entertainment,Unknown,"Drama, Sci-Fi",,45 min. per ep.,PG-13 - Teens 13 or older,4,,,Space
9,Line Offline: Salaryman,,6.41,11228,7315,2,TV,114,Finished Airing,"Jan 8, 2013 to Oct 1, 2013","TV Tokyo,       Shogakukan-Shueisha Productions,       Half H.P Studio","None found, add some",Shogakukan Music & Digital Entertainment,Original,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,4,Winter 2013,Tuesdays at Unknown,Workplace
10,Mei Chuxi de Yinyangshi Yijia 2,,6.41,13429,7317,1,ONA,12,Finished Airing,"Jul 15, 2020 to Sep 30, 2020","None found, add some","None found, add some",Green Monster Team,Web manga,"Comedy, Supernatural",,5 min. per ep.,PG-13 - Teens 13 or older,2,,,"Historical, Mythology"
11,Morita-san wa Mukuchi. Specials,,6.41,8793,7318,4,Special,2,Finished Airing,"Jan 27, 2012","DAX Production,       Takeshobo","None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,0,,,School
12,One Piece: Uchuu tte Omoshiree! Hoshizora Jima-hen,One Piece: Departure to the Starry Sky,6.41,11561,7321,1,Movie,1,Finished Airing,"Apr 21, 2007","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Comedy, Fantasy",Shounen,30 min.,PG-13 - Teens 13 or older,0,,,
13,One Piece: Dai Gekisen Tokushuu! Mugiwara no Ichimi vs. Tobi Roppou,One Piece: Recapping Fierce Fights! Straw Hats vs. Tobi Roppo,6.41,9764,7320,3,TV Special,1,Finished Airing,"Dec 25, 2022","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,2,,,
14,Muteki Robo Trider G7,Invincible Robo Trider G7,6.41,11673,7319,1,TV,50,Finished Airing,"Feb 2, 1980 to Jan 3, 1981",Sotsu,"None found, add some",Sunrise,Original,"Comedy, Sci-Fi",,24 min. per ep.,G - All Ages,2,Winter 1980,Saturdays at 17:30 (JST),"Mecha, Space"
15,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,,6.41,6700,7322,9,Special,1,Finished Airing,"Jan 22, 2014",Aniplex,"None found, add some","None found, add some",Light novel,"Comedy, Romance",,44 min.,PG-13 - Teens 13 or older,4,,,
16,Planetarium Pokemon: Aurora kara no Message,,6.41,11507,7323,1,Movie,1,Finished Airing,"Aug 29, 2020","None found, add some","None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,27 min.,PG - Children,0,,,
17,Prism Ark,,6.41,4605,7324,22,TV,12,Finished Airing,"Oct 8, 2007 to Dec 24, 2007","Marvelous Entertainment,       Media Factory,       5pb.,       Pencil","None found, add some",Front Line,Visual novel,"Action, Comedy, Drama, Fantasy",,24 min. per ep.,R+ - Mild Nudity,27,Fall 2007,Unknown,
