,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
104,Akuma no Riddle,Riddle Story of Devil,6.59,914,6250,268,TV,12,Finished Airing,"Apr 4, 2014 to Jun 20, 2014","Mainichi Broadcasting System,       Pony Canyon,       DAX Production",Funimation,Diomedéa,Manga,"Action, Girls Love, Suspense","High Stakes Game, School",23 min. per ep.,R - 17+ (violence & profanity),"1,044",Spring 2014,Fridays at 02:19 (JST),
105,Atashinchi Movie,,6.59,13922,6252,910,Movie,1,Finished Airing,"Dec 6, 2003",Toei Animation,"None found, add some",Shin-Ei Animation,Unknown,Comedy,Super Power,1 hr. 35 min.,G - All Ages,1,,,
106,Anmitsu Hime,Princess Anmitsu,6.59,11444,6251,1,TV,51,Finished Airing,"Oct 5, 1986 to Sep 27, 1987",Fujipacific Music,"None found, add some",Pierrot,Manga,Comedy,Historical,24 min. per ep.,G - All Ages,16,Fall 1986,Sundays at 18:00 (JST),Shoujo
107,Bai Lian Feisheng Lu,Hundred Refining Soaring Record,6.59,15115,6253,644,ONA,60,Finished Airing,"Mar 24, 2023 to Oct 6, 2023",iQIYI,"None found, add some",Suoyi Technology,Web novel,"Action, Adventure, Fantasy","Historical, Martial Arts",11 min. per ep.,PG-13 - Teens 13 or older,1,,,
108,"Chuunibyou demo Koi ga Shitai! Movie: Take On Me - Weekly Short Movie ""Kotatsu DE Photo Session""","Love, Chunibyou and Other Delusions!: Take On Me Weekly Short Movies",6.59,5389,6254,15,Movie,3,Finished Airing,"Jan 6, 2018","None found, add some","None found, add some",Kyoto Animation,Light novel,Comedy,,5 min. per ep.,G - All Ages,17,,,
109,Chuuzumou,A Sumo Wrestler's Tail,6.59,10332,6255,2,Movie,1,Finished Airing,"Jan 3, 2010","None found, add some","None found, add some",Studio Ghibli,Original,"Comedy, Sports",Combat Sports,13 min.,G - All Ages,3,,,
110,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama,Code Geass: Akito the Exiled - Memories of Hatred Picture Drama,6.59,6404,6256,10,Special,1,Finished Airing,"Oct 28, 2015","None found, add some","None found, add some",Sunrise,Original,"Comedy, Ecchi",Military,9 min.,PG-13 - Teens 13 or older,14,,,
111,Daisetsusan no Yuusha Kibaou,King Fang,6.59,13037,6257,1,Special,1,Finished Airing,"Sep 23, 1978","None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama",,1 hr. 7 min.,PG-13 - Teens 13 or older,4,,,
112,Di Gi Charat Christmas Special,,6.59,8892,6259,4,Special,1,Finished Airing,"Dec 17, 2000",TBS,Sentai Filmworks,Madhouse,Original,Comedy,,23 min.,G - All Ages,3,,,
113,Devilman Lady,The Devil Lady,6.59,4354,6258,26,TV,26,Finished Airing,"Oct 10, 1998 to May 8, 1999",Dynamic Planning,"ADV Films,       Discotek Media",TMS Entertainment,Manga,"Action, Drama, Horror, Suspense",Psychological,24 min. per ep.,R+ - Mild Nudity,113,Fall 1998,Sundays at 01:40 (JST),
114,Digimon Universe: Appli Monsters,Digimon Universe App Monsters,6.59,5373,6260,15,TV,52,Finished Airing,"Oct 1, 2016 to Sep 30, 2017",Dentsu,"None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Fantasy, Sci-Fi",,24 min. per ep.,PG - Children,84,Fall 2016,Saturdays at 09:30 (JST),Kids
115,E's Otherwise,,6.59,5218,6261,16,TV,26,Finished Airing,"Apr 1, 2003 to Sep 23, 2003",Sotsu,ADV Films,Pierrot,Manga,"Action, Adventure, Drama, Sci-Fi, Supernatural","Military, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,26,Spring 2003,Tuesdays at 18:00 (JST),Shounen
116,Final Fantasy XV: Episode Ardyn - Prologue,FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,6.59,6149,6262,11,ONA,1,Finished Airing,"Feb 17, 2019",Square Enix,"None found, add some",Satelight,Game,Action,,13 min.,PG-13 - Teens 13 or older,9,,,
117,Fuyu no Okurimono,,6.59,14172,6263,853,ONA,1,Finished Airing,"Mar 18, 2023","flying DOG,       Sound Team Don Juan","None found, add some",Wit Studio,Original,Fantasy,,12 min.,PG - Children,0,,,
118,Gokukoku no Brynhildr: Kara Sawagi,Brynhildr in the Darkness Special,6.59,3384,6265,43,Special,1,Finished Airing,"Sep 24, 2014",VAP,Sentai Filmworks,Arms,Manga,"Comedy, Sci-Fi, Ecchi",Harem,20 min.,R+ - Mild Nudity,24,,,Seinen
119,Glass no Usagi,Glass Rabbit,6.59,10545,6264,2,Movie,1,Finished Airing,"Sep 9, 2005","Kyodo Eiga,       Tokyo MX,       GoGo Visual Planning","None found, add some",Magic Bus,Book,,Historical,1 hr. 24 min.,PG - Children,0,,,
120,Green Legend Ran,,6.59,7393,6266,7,OVA,3,Finished Airing,"Nov 25, 1992 to Mar 25, 1993",Pioneer LDC,"Sentai Filmworks,       Geneon Entertainment USA",AIC,Original,"Adventure, Drama, Sci-Fi",,47 min. per ep.,R+ - Mild Nudity,10,,,
121,Hakugei Densetsu,Hakugei: Legend of the Moby Dick,6.59,8369,6267,5,TV,26,Finished Airing,"Apr 9, 1997 to May 12, 1999","Tezuka Productions,       Sony Music Entertainment,       Image Kei",ADV Films,"Studio Junio,       Annapuru",Original,"Adventure, Sci-Fi",Space,23 min. per ep.,PG-13 - Teens 13 or older,31,Spring 1997,Wednesdays at 18:30 (JST),
122,Hakuouki: Otogisoushi,,6.59,7682,6268,6,TV,12,Finished Airing,"Apr 5, 2016 to Jun 28, 2016","None found, add some","None found, add some",DLE,Visual novel,Fantasy,"Historical, Samurai",3 min. per ep.,PG-13 - Teens 13 or older,10,Spring 2016,Tuesdays at 21:55 (JST),Josei
123,Happy☆Lesson,,6.59,5981,6269,12,OVA,5,Finished Airing,"Jul 19, 2001 to May 23, 2003",KSS,ADV Films,"Studio Kyuuma,       Venet,       Chaos Project",Unknown,"Comedy, Romance","Harem, School",30 min. per ep.,PG-13 - Teens 13 or older,14,,,
124,Hatsumei Boy Kanipan,,6.59,12417,6270,1,TV,31,Finished Airing,"Jul 3, 1998 to Jan 29, 1999",Studio Comet,"None found, add some","None found, add some",Original,"Adventure, Comedy, Sci-Fi",Mecha,24 min. per ep.,PG - Children,2,Summer 1998,Fridays at 18:00 (JST),
125,JoJo no Kimyou na Bouken: Phantom Blood Pilot,JoJo's Bizarre Adventure: Phantom Blood Pilot,6.59,9777,6271,3,Special,1,Finished Airing,"Mar 28, 2004",KlockWorx,"None found, add some",APPP,Manga,"Action, Supernatural",Vampire,2 min.,R - 17+ (violence & profanity),12,,,Shounen
126,Kanamewo,,6.59,5199,6272,17,ONA,1,Finished Airing,"Nov 4, 2015","None found, add some","None found, add some","None found, add some",Original,"Drama, Girls Love, Supernatural",,5 min.,PG-13 - Teens 13 or older,52,,,
127,Kiss x Sis (TV),,6.59,381,6273,577,TV,12,Finished Airing,"Apr 5, 2010 to Jun 21, 2010","Starchild Records,       GANSIS","None found, add some",feel.,Manga,"Comedy, Romance, Ecchi","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,"1,810",Spring 2010,Unknown,Seinen
128,Konchuu Monogatari Minashigo Hutch,The Adventures of Hutch the Honeybee,6.59,9226,6274,3,TV,91,Finished Airing,"Apr 7, 1970 to Dec 28, 1971",Bandai,Saban Entertainment,Tatsunoko Production,Original,"Adventure, Comedy, Drama",,24 min. per ep.,G - All Ages,31,Spring 1970,Unknown,
129,Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,,6.59,9702,6275,3,OVA,1,Finished Airing,2006,"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Supernatural",,21 min.,PG-13 - Teens 13 or older,1,,,Shounen
130,Koukyoushihen Eureka Seven: New Order,,6.59,6559,6277,9,Special,1,Finished Airing,"Apr 6, 2012","None found, add some","None found, add some",Bones,Original,"Adventure, Drama, Romance, Sci-Fi",Mecha,24 min.,PG-13 - Teens 13 or older,2,,,
131,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,YU-NO: A Girl Who Chants Love at the Bound of This World,6.59,1474,6276,160,TV,26,Finished Airing,"Apr 2, 2019 to Oct 1, 2019","Genco,       AT-X,       BS Fuji,       MAGES.,       NBCUniversal Entertainment Japan,       Nagoya Broadcasting Network,       bilibili,       Yomiuri TV Enterprise,       ABC Animation",Funimation,feel.,Visual novel,"Drama, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,513,Spring 2019,Tuesdays at 23:00 (JST),
132,Kyouryuu Daisensou Izenborg,,6.59,11838,6278,1,TV,39,Finished Airing,"Oct 7, 1977 to Jun 30, 1978","TV Tokyo,       Tsuburaya Productions","None found, add some","None found, add some",Original,Action,Mecha,24 min. per ep.,G - All Ages,10,Fall 1977,Unknown,
133,Lupin III: Napoleon no Jisho wo Ubae,Lupin III: Napoleon's Dictionary,6.59,7334,6279,7,TV Special,1,Finished Airing,"Aug 9, 1991","VAP,       Tokyo Movie Shinsha",Discotek Media,"None found, add some",Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,1 hr. 30 min.,PG-13 - Teens 13 or older,2,,,Seinen
134,Maken-Ki! OVA,,6.59,2805,6280,62,OVA,2,Finished Airing,"Mar 1, 2012 to Sep 25, 2013",AIC,Funimation,"Xebec,       AIC Spirits",Manga,"Action, Ecchi","Harem, Martial Arts, School, Super Power",26 min. per ep.,R+ - Mild Nudity,44,,,
135,Mao Yao de Huo Han,Love Story of Cat Spirit,6.59,13739,6281,970,ONA,20,Finished Airing,"Dec 21, 2018 to Jun 13, 2019",Tencent Animation & Comics,"None found, add some",Rocen,Web manga,"Fantasy, Romance",Reincarnation,17 min. per ep.,PG-13 - Teens 13 or older,10,,,
136,Mars Red,,6.59,1775,6282,125,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","VAP,       Yomiuri TV Enterprise,       Pony Canyon Enterprises,       D-techno,       Nihon Keizai Koukokusha",Funimation,Signal.MD,Other,"Action, Supernatural","Adult Cast, Historical, Military, Vampire",23 min. per ep.,PG-13 - Teens 13 or older,589,Spring 2021,Tuesdays at 01:59 (JST),
137,Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto,,6.59,7381,6283,7,Special,1,Finished Airing,"May 22, 2009","None found, add some","None found, add some",Madhouse,Novel,"Mystery, Supernatural, Suspense",Historical,16 min.,R - 17+ (violence & profanity),0,,,
138,Nokemono-tachi no Yoru,The Tale of Outcasts,6.59,3478,6284,41,TV,13,Finished Airing,"Jan 8, 2023 to Apr 2, 2023","Pony Canyon,       KlockWorx,       Studio Mausu,       Shogakukan,       Crunchyroll,       Yomiuri TV Enterprise","None found, add some",Ashi Productions,Manga,"Action, Fantasy","Anthropomorphic, Historical",23 min. per ep.,PG-13 - Teens 13 or older,120,Winter 2023,Sundays at 22:00 (JST),Shounen
139,Peace Maker Kurogane Special,Peace Maker Kurogane: Festival of Gion,6.59,10068,6285,3,Special,1,Finished Airing,"Dec 21, 2003","None found, add some","None found, add some",Gonzo,Manga,"Action, Comedy, Drama","Historical, Samurai",17 min.,PG - Children,4,,,Shounen
140,Pokemon XY&Z: Subete no Nazo wo Tokiakase!,Uncover All the Mysteries! The Pokémon XY&Z Complete Overview Special!,6.59,8611,6286,4,TV Special,1,Finished Airing,"Dec 31, 2015","None found, add some","None found, add some",OLM,Original,"Action, Adventure, Fantasy",,51 min.,PG - Children,1,,,Kids
141,Princess Tutu Recaps,,6.59,7962,6287,5,TV Special,3,Finished Airing,"Dec 27, 2002 to May 16, 2003","None found, add some","ADV Films,       Sentai Filmworks",HAL Film Maker,Original,"Drama, Fantasy, Mystery, Romance","Anthropomorphic, Love Polygon, Mahou Shoujo, Performing Arts",11 min. per ep.,PG-13 - Teens 13 or older,7,,,
142,Rolling☆Girls,The Rolling Girls,6.59,2238,6288,90,TV,12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015","Dentsu,       Shochiku,       Mainichi Broadcasting System,       Pony Canyon,       Movic",Funimation,Wit Studio,Original,"Action, Adventure, Sci-Fi","CGDCT, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,207,Winter 2015,Sundays at 01:58 (JST),
143,Sangsil-ui Jib,The House of Loss,6.59,18673,6289,302,Movie,1,Finished Airing,2022,Geidai Animation,"None found, add some","None found, add some",Original,"Avant Garde, Suspense",Psychological,9 min.,PG-13 - Teens 13 or older,2,,,
144,Jungle Taitei,Kimba the White Lion,6.58,6895,6290,8,TV,52,Finished Airing,"Oct 6, 1965 to Sep 28, 1966","None found, add some","Nozomi Entertainment,       Media Blasters",Mushi Production,Manga,Adventure,,25 min. per ep.,G - All Ages,23,Fall 1965,Unknown,"KidsKids,         ShounenShounen"
145,Kaiketsu Jouki Tanteidan,Steam Detectives,6.58,8303,6291,5,TV,26,Finished Airing,"Oct 7, 1998 to Mar 31, 1999",Studio Tron,ADV Films,Xebec,Manga,"Action, Mystery","Detective, Mecha",24 min. per ep.,PG-13 - Teens 13 or older,9,Fall 1998,Wednesdays at 18:00 (JST),
