,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
20,Bakegyamon,,6.61,9367,6166,3,TV,51,Finished Airing,"Apr 3, 2006 to Mar 26, 2007","TV Tokyo,       Dentsu","None found, add some",Radix,Manga,"Action, Fantasy","Isekai, Mythology, Strategy Game",25 min. per ep.,PG-13 - Teens 13 or older,13,Spring 2006,Mondays at 18:00 (JST),Shounen
21,Bakusou Kyoudai Let's & Go MAX,,6.61,8893,6167,4,TV,51,Finished Airing,"Jan 5, 1998 to Dec 21, 1998","None found, add some","None found, add some",Xebec,Manga,Action,Racing,25 min. per ep.,G - All Ages,7,Winter 1998,Mondays at 18:00 (JST),Kids
22,Bari Bari Densetsu (1987),,6.61,9942,6168,3,Movie,1,Finished Airing,"Aug 1, 1987","None found, add some","None found, add some",Pierrot,Manga,"Action, Drama",Racing,1 hr. 25 min.,PG-13 - Teens 13 or older,11,,,Shounen
23,Bastard!! Ankoku no Hakaishin (ONA),"Bastard‼ Heavy Metal, Dark Fantasy",6.61,2628,6169,69,ONA,13,Finished Airing,"Jun 30, 2022","Warner Bros. Japan,       Shueisha","None found, add some",LIDENFILMS,Manga,"Action, Adventure, Fantasy, Ecchi",Gore,23 min. per ep.,R+ - Mild Nudity,295,,,Seinen
24,Battle Spirits: Sword Eyes Gekitouden,,6.61,11038,6170,2,TV,21,Finished Airing,"Apr 7, 2013 to Sep 8, 2013","None found, add some","None found, add some",Sunrise,Card game,"Adventure, Fantasy",Strategy Game,25 min. per ep.,PG - Children,1,Spring 2013,Unknown,
25,Boku no Hero Academia: Memories,My Hero Academia: Memories,6.61,5613,6171,14,TV Special,4,Finished Airing,"Apr 6, 2024 to Apr 27, 2024",TOHO animation,"None found, add some",Bones,Manga,Action,"School, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,12,,,Shounen
26,Bucchigiri?!,,6.61,2411,6172,80,TV,12,Finished Airing,"Jan 13, 2024 to Apr 6, 2024","TOHO animation,       dugout","None found, add some",MAPPA,Original,"Comedy, Fantasy","Delinquents, School",24 min. per ep.,PG-13 - Teens 13 or older,364,Winter 2024,Saturdays at 23:00 (JST),
27,Chocchan Monogatari,,6.61,11741,6173,1,Movie,1,Finished Airing,"Mar 20, 1996","None found, add some","None found, add some",Triangle Staff,Unknown,"Drama, Slice of Life",Historical,1 hr. 15 min.,G - All Ages,3,,,
28,Chou Hatsumei Boy Kanipan,,6.61,12220,6174,1,TV,21,Finished Airing,"Feb 5, 1999 to Jun 25, 1999",Studio Comet,Saban Entertainment,"None found, add some",Original,"Adventure, Comedy, Romance",Mecha,30 min. per ep.,G - All Ages,2,Winter 1999,Fridays at 18:00 (JST),
29,Chousoku Spinner,Super YoYo,6.61,7853,6175,6,TV,22,Finished Airing,"Nov 30, 1998 to Sep 10, 1999",Shogakukan-Shueisha Productions,"None found, add some",Xebec,Manga,Sports,,23 min. per ep.,G - All Ages,11,Fall 1998,Unknown,Shounen
30,Cutie Honey F,Cutey Honey F,6.61,6246,6176,10,TV,39,Finished Airing,"Feb 15, 1997 to Jan 31, 1998","Dynamic Planning,       Toei Advertising","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Romance, Sci-Fi, Ecchi",,23 min. per ep.,PG-13 - Teens 13 or older,37,Winter 1997,Saturdays at 19:00 (JST),Shoujo
31,Emblem Take 2,,6.61,10843,6177,2,OVA,2,Finished Airing,"Oct 25, 1993 to Nov 21, 1995","None found, add some","None found, add some",Toei Animation,Manga,"Action, Drama","Organized Crime, Time Travel",51 min. per ep.,R+ - Mild Nudity,1,,,Seinen
32,Eyeshield 21: Maboroshi no Golden Bowl,The Illusionary Golden Bowl,6.61,6791,6178,8,Special,1,Finished Airing,"Aug 6, 2004",Bandai Visual,"None found, add some",Production I.G,Manga,Sports,Team Sports,29 min.,PG - Children,8,,,Shounen
33,Fight Ippatsu! Juuden-chan!!,Charger Girl Ju-den Chan,6.61,3750,6179,35,TV,12,Finished Airing,"Jun 25, 2009 to Sep 10, 2009","Avex Entertainment,       Genco,       Mobcast",Media Blasters,Studio Hibari,Manga,"Comedy, Sci-Fi, Ecchi",,24 min. per ep.,R+ - Mild Nudity,63,Summer 2009,Unknown,Seinen
34,Gilgamesh,,6.61,3447,6180,42,TV,26,Finished Airing,"Oct 2, 2003 to Mar 18, 2004",Kansai Telecasting,ADV Films,"Group TAC,       Japan Vistec",Manga,"Drama, Fantasy, Sci-Fi",,23 min. per ep.,R - 17+ (violence & profanity),185,Fall 2003,Unknown,Shounen
35,Granblue Fantasy The Animation: Kabocha no Lantern,,6.61,5105,6181,17,Special,1,Finished Airing,"Nov 29, 2017","Aniplex,       Tohokushinsha Film Corporation,       Cygames",Aniplex of America,A-1 Pictures,Game,Fantasy,,23 min.,PG-13 - Teens 13 or older,10,,,
36,Gregory Horror Show,,6.61,8862,6182,4,TV,25,Finished Airing,Oct 1999 to Jun 2001,"VAP,       TV Asahi","None found, add some",Milky Cartoon,Original,"Comedy, Horror, Mystery, Supernatural",Mythology,2 min. per ep.,PG-13 - Teens 13 or older,62,Fall 1999,Unknown,
37,Gregory Horror Show: The Second Guest,,6.61,11340,6183,2,TV,25,Finished Airing,"Apr 1, 2000 to Oct 1, 2000","VAP,       TV Asahi","None found, add some",Milky Cartoon,Original,"Comedy, Horror, Mystery, Supernatural",Mythology,3 min. per ep.,PG - Children,8,Spring 2000,Unknown,
38,GS Mikami: Gokuraku Daisakusen!!,Ghost Sweeper Mikami Movie,6.61,9287,6184,3,Movie,1,Finished Airing,"Aug 20, 1994","None found, add some",Manga Entertainment,Toei Animation,Manga,"Comedy, Fantasy",,59 min.,PG-13 - Teens 13 or older,3,,,Shounen
39,Hi no Tori: Eden no Sora,PHOENIX: EDEN17,6.61,8103,6185,5,ONA,4,Finished Airing,"Sep 13, 2023","None found, add some","None found, add some",Studio 4°C,Manga,"Drama, Romance, Sci-Fi, Supernatural, Suspense","Psychological, Space",24 min. per ep.,R+ - Mild Nudity,8,,,Shounen
40,Hua Jianghu: Bu Liang Ren III,,6.61,14033,6186,882,ONA,40,Finished Airing,"Oct 25, 2018 to Nov 12, 2019","None found, add some","None found, add some",Rocen,Original,"Drama, Fantasy, Romance","Historical, Martial Arts",20 min. per ep.,R - 17+ (violence & profanity),1,,,
41,Hurricane Live! 2033,,6.61,10473,6187,2,Special,5,Finished Airing,"Jun 27, 1990","None found, add some","None found, add some",AIC,Original,,"Adult Cast, Music",4 min. per ep.,PG-13 - Teens 13 or older,3,,,
42,Ikkitousen: Dragon Destiny Specials,,6.61,4548,6189,23,Special,6,Finished Airing,"Jun 24, 2007 to Nov 24, 2007",Genco,Media Blasters,Arms,Manga,"Action, Ecchi","Martial Arts, School, Super Power",3 min. per ep.,R+ - Mild Nudity,14,,,Seinen
43,Hyakka Ryouran: Samurai Girls Specials,,6.61,4428,6188,25,Special,6,Finished Airing,"Nov 25, 2010 to Apr 27, 2011",Hobby Japan,Sentai Filmworks,Arms,Light novel,Ecchi,,3 min. per ep.,R+ - Mild Nudity,13,,,
44,Jarinko Chie (TV),,6.61,12149,6190,1,TV,64,Finished Airing,"Oct 3, 1981 to Mar 25, 1983",Mainichi Broadcasting System,Discotek Media,Tokyo Movie Shinsha,Manga,"Comedy, Drama",,24 min. per ep.,G - All Ages,3,Fall 1981,Unknown,Seinen
45,Jiandao Di Yi Xian,,6.61,13205,6191,1,ONA,20,Finished Airing,"Jun 20, 2022 to Aug 16, 2022",Tencent Penguin Pictures,"None found, add some","Xing Yi Kai Chen,       Kuai Ying Hu Yu",Novel,"Action, Fantasy",,8 min. per ep.,PG-13 - Teens 13 or older,2,,,
46,Jigoku Shoujo: Yoi no Togi,Hell Girl: Fourth Twilight,6.61,2808,6192,61,TV,6,Finished Airing,"Jul 15, 2017 to Aug 19, 2017","Aniplex,       Fujishouji",Aniplex of America,Studio Deen,Original,"Horror, Mystery, Supernatural",Psychological,23 min. per ep.,R - 17+ (violence & profanity),86,Summer 2017,Saturdays at 00:00 (JST),
47,Aldnoah.Zero Extra Archives,,6.60,5449,6193,15,Special,1,Finished Airing,"Jan 4, 2015",Aniplex,"None found, add some","A-1 Pictures,       TROYCA",Original,"Action, Sci-Fi",Mecha,48 min.,R - 17+ (violence & profanity),13,,,
48,Bakumatsu no Spasibo,,6.60,11776,6194,1,Movie,1,Finished Airing,"Sep 20, 1997","None found, add some","None found, add some",Magic Bus,Other,,Historical,1 hr. 25 min.,PG - Children,1,,,
49,Beyblade Burst Chouzetsu,Beyblade Burst Turbo,6.60,5289,6195,16,TV,51,Finished Airing,"Apr 2, 2018 to Mar 25, 2019","TV Tokyo,       d-rights",ADK Emotions NY Inc.,OLM,Manga,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG - Children,95,Spring 2018,Mondays at 17:55 (JST),Kids
50,Bleach KaraBuri!: Gotei Juusan Yatai Daisakusen!,"Bleach: Karaburi! - Gotei 13, Food Stall Devotion!",6.60,4949,6196,19,OVA,1,Finished Airing,"Sep 21, 2008","None found, add some","None found, add some",Pierrot,Manga,Comedy,,12 min.,PG-13 - Teens 13 or older,44,,,Shounen
51,Dagashi Kashi,,6.60,494,6197,458,TV,12,Finished Airing,"Jan 8, 2016 to Apr 1, 2016","Pony Canyon,       TBS,       DAX Production,       BS-TBS,       Shogakukan,       Lawson,       RAY,       U-NEXT,       Nichion",Funimation,feel.,Manga,"Comedy, Gourmet",Romantic Subtext,24 min. per ep.,PG-13 - Teens 13 or older,"1,003",Winter 2016,Fridays at 02:16 (JST),Shounen
52,Dahuoji Yu Gongzhu Qun,Lighter & Skirt,6.60,10977,6198,2,ONA,13,Finished Airing,"Aug 8, 2021 to Oct 24, 2021","None found, add some","None found, add some",2:10 AM Animation,Novel,"Drama, Romance",School,14 min. per ep.,PG-13 - Teens 13 or older,23,,,
53,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Nenmatsu Special,Fate/Grand Order: You've Lost Ritsuka Fujimaru - Year-End Special,6.60,10910,6199,2,TV Special,1,Finished Airing,"Dec 31, 2022","None found, add some","None found, add some",DLE,Manga,Comedy,,7 min.,PG-13 - Teens 13 or older,2,,,
54,Fumiko no Kokuhaku,Fumiko's Confession,6.60,4189,6200,28,ONA,1,Finished Airing,"Nov 8, 2009","None found, add some","None found, add some","None found, add some",Original,"Award Winning, Comedy",,2 min.,PG-13 - Teens 13 or older,17,,,
55,Girls & Panzer Heartful Tank Disc Picture Drama,,6.60,8070,6201,5,Special,4,Finished Airing,"Sep 25, 2013",Lantis,"None found, add some",Actas,Original,,"CGDCT, Military, School",10 min. per ep.,PG-13 - Teens 13 or older,6,,,
56,Gundam vs Hello Kitty,,6.60,7399,6203,7,ONA,3,Finished Airing,"Mar 29, 2019 to Jan 15, 2020","Sunrise,       Sanrio,       Sunrise Beyond","None found, add some","None found, add some",Mixed media,"Comedy, Fantasy, Sci-Fi","Mecha, Space",2 min. per ep.,G - All Ages,26,,,Kids
57,Girls Bravo: Second Season,,6.60,2204,6202,92,TV,13,Finished Airing,"Jan 27, 2005 to Apr 21, 2005","WOWOW,       AIC,       Lantis,       Kadokawa Shoten,       Rakuonsha,       KlockWorx,       Happinet Pictures,       Studio Jack","Funimation,       Geneon Entertainment USA",AIC Spirits,Manga,"Comedy, Fantasy, Romance, Ecchi","Harem, Isekai, School",23 min. per ep.,R+ - Mild Nudity,134,Winter 2005,Unknown,Shounen
58,Hana no Mahoutsukai Mary Bell,,6.60,9516,6204,3,TV,50,Finished Airing,"Feb 3, 1992 to Jan 18, 1993","Big West,       TV Setouchi","None found, add some",Ashi Productions,Original,"Adventure, Fantasy",,23 min. per ep.,G - All Ages,14,Winter 1992,Mondays at 18:00 (JST),
59,Happy☆Lesson (TV),,6.60,4152,6205,28,TV,13,Finished Airing,"Apr 1, 2002 to Jun 30, 2002",KSS,ADV Films,Studio Hibari,Manga,"Comedy, Drama, Romance",Harem,23 min. per ep.,PG-13 - Teens 13 or older,32,Spring 2002,Unknown,
60,Hataage! Kemono Michi,Kemono Michi: Rise Up,6.60,1210,6206,200,TV,12,Finished Airing,"Oct 2, 2019 to Dec 18, 2019","AT-X,       Nippon Columbia,       Sammy,       Kadokawa Media House,       Kadokawa,       CA-Cygames Anime Fund",Funimation,ENGI,Manga,"Comedy, Fantasy","Anthropomorphic, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,271,Fall 2019,Wednesdays at 22:00 (JST),Shounen
61,Hikari no Densetsu,,6.60,7883,6207,6,TV,19,Finished Airing,"May 3, 1986 to Sep 20, 1986","None found, add some","None found, add some",Tatsunoko Production,Manga,"Romance, Sports",Music,24 min. per ep.,PG-13 - Teens 13 or older,14,Spring 1986,Unknown,Shoujo
62,Kaibutsu-kun (1980),,6.60,11442,6208,1,TV,94,Finished Airing,"Sep 2, 1980 to Sep 28, 1982","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Horror",,25 min. per ep.,G - All Ages,4,Fall 1980,Unknown,Kids
63,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,6.60,3891,6209,33,Movie,1,Finished Airing,"Mar 16, 1991","Sotsu,       Shochiku,       Atelier Musa,       Nagoya Broadcasting Network","Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",2 hr.,PG-13 - Teens 13 or older,84,,,
64,Koukaku Kidoutai: SAC_2045,Ghost in the Shell: SAC_2045,6.60,3841,6210,33,ONA,12,Finished Airing,"Apr 23, 2020","Dentsu,       Kodansha,       flying DOG,       Bandai Namco Arts","None found, add some","Production I.G,       Sola Digital Arts",Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),70,,,Seinen
65,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D - Tachikoma na Hibi,Ghost in the Shell: Stand Alone Complex: Solid State Society 3D: Tachikomatic Days,6.60,8114,6211,5,Special,3,Finished Airing,"Jul 22, 2011","None found, add some","None found, add some",Production I.G,Unknown,"Comedy, Sci-Fi",Mecha,4 min. per ep.,PG - Children,6,,,
66,Kurokami: Intermission,,6.60,7667,6212,6,TV Special,1,Finished Airing,"Apr 3, 2009","None found, add some","Bandai Entertainment,       NYAV Post",Sunrise,Manga,"Action, Fantasy","Martial Arts, Super Power",23 min.,R - 17+ (violence & profanity),2,,,Seinen
67,Mahou Sensei Negima!: Introduction Film,,6.60,5831,6213,12,OVA,3,Finished Airing,"Aug 25, 2004 to Mar 24, 2005","None found, add some","None found, add some",Xebec,Manga,"Action, Comedy, Romance, Supernatural, Ecchi",Harem,8 min. per ep.,R+ - Mild Nudity,4,,,
68,Majokko Tsukune-chan,,6.60,9393,6214,3,OVA,6,Finished Airing,"Aug 24, 2005 to Jan 25, 2006",Starchild Records,"None found, add some",Xebec,Manga,Comedy,Gag Humor,13 min. per ep.,R - 17+ (violence & profanity),12,,,Seinen
69,Maze☆Bakunetsu Jikuu (TV),Maze: The Mega-Burst Space,6.60,7250,6215,7,TV,25,Finished Airing,"Apr 3, 1997 to Sep 25, 1997",Kadokawa Shoten,Central Park Media,J.C.Staff,Manga,"Adventure, Comedy, Fantasy","Magical Sex Shift, Mecha",24 min. per ep.,R+ - Mild Nudity,10,Spring 1997,Unknown,Shounen
70,MM! Specials,MM! Hidden Camera Shorts,6.60,3853,6216,33,Special,9,Finished Airing,"Dec 22, 2010 to May 25, 2011","None found, add some","None found, add some",Xebec,Light novel,"Comedy, Ecchi",School,1 min. per ep.,R+ - Mild Nudity,15,,,
71,Ninja Slayer From Animation,,6.60,3418,6217,43,ONA,26,Finished Airing,"Apr 16, 2015 to Oct 8, 2015","Movic,       KlockWorx,       Ultra Super Pictures,       Grooove,       Good Smile Company,       famima.com,       King Records,       Fields,       QREAZY",Funimation,Trigger,Novel,Action,,12 min. per ep.,R - 17+ (violence & profanity),206,,,
72,Pokemon Movie 18: Ring no Choumajin Hoopa,Pokémon the Movie: Hoopa and the Clash of Ages,6.60,2945,6218,56,Movie,1,Finished Airing,"Jul 18, 2015","None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Fantasy",,1 hr. 18 min.,PG - Children,17,,,Kids
73,Project BLUE Chikyuu SOS,Project Blue Earth SOS,6.60,9236,6219,3,TV,6,Finished Airing,"Jul 2, 2006 to Dec 3, 2006","None found, add some","ADV Films,       Funimation",A.C.G.T.,Other,"Adventure, Comedy, Sci-Fi",,45 min. per ep.,PG-13 - Teens 13 or older,8,Summer 2006,Sundays at 23:00 (JST),
74,Ray The Animation,,6.60,5453,6220,15,TV,13,Finished Airing,"Apr 5, 2006 to Jun 28, 2006",Tohokushinsha Film Corporation,Maiden Japan,OLM,Manga,"Drama, Romance, Sci-Fi",Medical,24 min. per ep.,PG-13 - Teens 13 or older,15,Spring 2006,Unknown,
75,Recorder to Randoseru Mi☆,Recorder and Randsell Mi,6.60,4538,6221,23,TV,12,Finished Airing,"Jul 8, 2013 to Sep 23, 2013",Takeshobo,"None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",School,3 min. per ep.,PG-13 - Teens 13 or older,7,Summer 2013,Unknown,Seinen
76,Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi,,6.60,9899,6222,3,Special,1,Finished Airing,"Mar 18, 2015","TV Tokyo,       Square Enix,       Sotsu,       Lantis,       Pony Canyon","None found, add some",Studio Gokumi,Unknown,Slice of Life,"School, Strategy Game",11 min.,PG-13 - Teens 13 or older,3,,,
77,Shin Ace wo Nerae!,,6.60,9633,6223,3,TV,25,Finished Airing,"Oct 14, 1978 to Mar 31, 1979",Tohokushinsha Film Corporation,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Romance, Sports",School,25 min. per ep.,PG-13 - Teens 13 or older,4,Fall 1978,Unknown,Shoujo
78,Skull Man,The Skull Man,6.60,3898,6224,33,TV,13,Finished Airing,"Apr 29, 2007 to Jul 22, 2007","Diomedéa,       Geneon Entertainment",Sentai Filmworks,Bones,Manga,"Action, Mystery, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,70,Spring 2007,Sundays at 02:45 (JST),
79,Sounan desu ka?,Are You Lost?,6.60,1478,6225,160,TV,12,Finished Airing,"Jul 2, 2019 to Sep 17, 2019","Nihon Ad Systems,       Kodansha,       KlockWorx,       flying DOG,       Avex Pictures,       Docomo Anime Store,       GYAO!,       BS NTV,       Marui Group","None found, add some",Ezόla,Manga,"Adventure, Comedy, Suspense","CGDCT, Survival",12 min. per ep.,PG-13 - Teens 13 or older,251,Summer 2019,Tuesdays at 23:15 (JST),Seinen
80,Sumikko Gurashi Movie 2: Aoi Tsukiyo no Mahou no Ko,,6.60,13945,6226,908,Movie,1,Finished Airing,"Nov 5, 2021","None found, add some","None found, add some",Fanworks,Other,Comedy,,1 hr. 4 min.,G - All Ages,1,,,
81,Sword Art Online II: Sword Art Offline II,Sword Art Offline II,6.60,2749,6227,64,Special,9,Finished Airing,"Oct 22, 2014 to Jun 24, 2015",Aniplex,Aniplex of America,I was a Ballerina,Light novel,Comedy,,13 min. per ep.,PG-13 - Teens 13 or older,168,,,
82,Tekken: Blood Vengeance,,6.60,4585,6228,23,Movie,1,Finished Airing,"Jul 26, 2011",Bandai Namco Games,Bandai Entertainment,Digital Frontier,Game,"Action, Fantasy, Sci-Fi, Supernatural",Martial Arts,1 hr. 32 min.,PG-13 - Teens 13 or older,38,,,
83,Tokyo Mew Mew New ♡,Tokyo Mew Mew New,6.60,3351,6229,44,TV,12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022","TV Tokyo,       Dentsu,       Pony Canyon,       Kodansha",Sentai Filmworks,"Yumeta Company,       Graphinica",Manga,"Fantasy, Romance, Sci-Fi",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,348,Summer 2022,Wednesdays at 00:00 (JST),Shoujo
84,Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,,6.60,10927,6230,2,Movie,1,Finished Airing,"Dec 14, 2002",Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy",,54 min.,PG - Children,4,,,Kids
