,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
130,"Shirarezaru ""Momowarou Monogatari""",The Untold Story of Pecharunt,6.41,19279,7286,267,ONA,1,Finished Airing,"Jan 15, 2024","None found, add some","None found, add some","None found, add some",Game,Fantasy,Kids,5 min.,G - All Ages,1,,,
131,Sukeban Deka,Delinquent Detective,6.41,7223,7287,7,OVA,2,Finished Airing,"Apr 21, 1991 to Jul 21, 1991","Hakusensha,       Big Bang",ADV Films,SIDO LIMITED,Manga,"Action, Drama",Shoujo,47 min. per ep.,R - 17+ (violence & profanity),14,,,"Delinquents, Detective, School"
132,Tenkai Knights,,6.41,8250,7288,5,TV,52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015","None found, add some","None found, add some",Bones,Original,"Action, Adventure, Comedy, Sci-Fi",Kids,24 min. per ep.,G - All Ages,29,Spring 2014,Unknown,"Mecha, Super Power"
133,Time Bokan,Time Fighters,6.41,9976,7289,3,TV,61,Finished Airing,"Oct 4, 1975 to Dec 25, 1976",Harmony Gold,"None found, add some",Tatsunoko Production,Original,"Adventure, Comedy",,24 min. per ep.,G - All Ages,2,Fall 1975,Unknown,Mecha
134,Toradora!: SOS! Kuishinbou Banbanzai,Toradora!: SOS! Hurray for Gourmands,6.41,1970,7290,109,Special,4,Finished Airing,"Feb 3, 2009 to Aug 26, 2009","None found, add some","NIS America, Inc.",J.C.Staff,Light novel,"Comedy, Gourmet",,5 min. per ep.,PG-13 - Teens 13 or older,85,,,
135,Transformers: The☆Headmasters,Transformers The Headmasters,6.41,8917,7291,4,TV,35,Finished Airing,"Jul 3, 1987 to Mar 28, 1988","Takara,       Nippon Television Network",Hasbro,Toei Animation,Other,"Action, Adventure, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,5,Summer 1987,Unknown,"Mecha, Space"
136,Tsukipro The Animation 2,,6.41,7160,7292,7,TV,13,Finished Airing,"Jul 7, 2021 to Dec 29, 2021",AZ Creative,Sentai Filmworks,PRA,Mixed media,,,23 min. per ep.,PG-13 - Teens 13 or older,50,Summer 2021,Wednesdays at 22:30 (JST),"Idols (Male), Music"
137,Youkai Watch ♪,,6.41,10652,7293,2,TV,98,Finished Airing,"Apr 9, 2021 to Mar 31, 2023","None found, add some","None found, add some",OLM,Game,"Comedy, Supernatural",Kids,24 min. per ep.,G - All Ages,27,Spring 2021,Fridays at 18:25 (JST),Mythology
138,Ys,,6.41,6817,7294,8,OVA,7,Finished Airing,"Nov 21, 1989 to Sep 5, 1991","Starchild Records,       Nihon Falcom",Media Blasters,"Tokyo Kids,       Urban Product",Game,"Action, Adventure, Drama, Fantasy",,26 min. per ep.,PG-13 - Teens 13 or older,13,,,Mythology
139,Artiswitch: Ruru's Episodes of Memories,,6.41,15582,7295,572,ONA,2,Finished Airing,"Nov 20, 2023 to May 17, 2024",Bandai Namco Filmworks,"None found, add some",Sunrise,Original,"Slice of Life, Supernatural",,3 min. per ep.,PG-13 - Teens 13 or older,4,,,
140,Blue Seed 2,Blue Seed Beyond,6.41,7339,7296,7,OVA,3,Finished Airing,"Jul 24, 1996 to Feb 4, 1998","Movic,       ING,       King Records","ADV Films,       Discotek Media","Production I.G,       Xebec",Manga,"Action, Adventure, Drama, Horror, Mystery, Supernatural",Seinen,28 min. per ep.,R - 17+ (violence & profanity),1,,,Mythology
141,eX-Driver: Nina & Rei Danger Zone,,6.41,8652,7299,4,Movie,1,Finished Airing,"Apr 20, 2002","Bandai Visual,       Dentsu,       Genco",Geneon Entertainment USA,Actas,Original,"Action, Sci-Fi",,27 min.,PG-13 - Teens 13 or older,2,,,Racing
142,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,Digimon Fusion,6.41,4281,7298,27,TV,25,Finished Airing,"Oct 2, 2011 to Mar 25, 2012",TV Asahi,Flatiron Film Company,Toei Animation,Original,"Action, Adventure, Comedy, Fantasy",,25 min. per ep.,PG - Children,32,Fall 2011,Sundays at 06:30 (JST),Isekai
143,Cutie Honey,,6.41,5147,7297,17,TV,25,Finished Airing,"Oct 13, 1973 to Mar 30, 1974",Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Sci-Fi, Ecchi",,25 min. per ep.,PG-13 - Teens 13 or older,48,Fall 1973,Saturdays at 20:30 (JST),School
144,Getsuyoubi no Tawawa,Tawawa on Monday,6.41,1506,7300,156,ONA,12,Finished Airing,"Oct 10, 2016 to Dec 26, 2016","NBCUniversal Entertainment Japan,       i0+","None found, add some",PINE JAM,Web manga,"Slice of Life, Ecchi",,4 min. per ep.,PG-13 - Teens 13 or older,337,,,
145,Ginga Hyouryuu Vifam 13,,6.41,13682,7301,982,TV,26,Finished Airing,"Mar 21, 1998 to Oct 3, 1998","None found, add some","None found, add some",Sunrise,Unknown,"Action, Adventure, Sci-Fi",,24 min. per ep.,G - All Ages,1,Spring 1998,Sundays at 02:05 (JST),Mecha
146,Ginga Tetsudou 999 for Planetarium,,6.41,12834,7302,1,Movie,1,Finished Airing,"Jun 1, 2002","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",,Unknown,G - All Ages,1,,,Space
147,Hello Kitty no Cinderella,Hello Kitty in Cinderella,6.41,11974,7303,1,Movie,1,Finished Airing,"Jul 22, 1989","Sanrio,       TOHO","None found, add some","None found, add some",Unknown,Fantasy,Kids,30 min.,PG - Children,5,,,
148,Hoero! Bun Bun,,6.41,12472,7304,1,TV,39,Finished Airing,"Oct 9, 1980 to Jul 9, 1981","TV Tokyo,       Wako Productions","None found, add some","None found, add some",Unknown,"Adventure, Slice of Life",,23 min. per ep.,G - All Ages,3,Fall 1980,Unknown,
149,Jiu Tian Xuan Di Jue 4th Season,The Success Of Empyrean Xuan Emperor 4th Season,6.41,15811,7305,543,ONA,52,Finished Airing,"May 1, 2023 to Nov 16, 2023",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,1,,,"Martial Arts, Mythology"
150,JoJo no Kimyou na Bouken: The Real 4-D Dio no Sekai,JoJo's Bizarre Adventure: The Real 4-D - Dio's World,6.41,11238,7306,2,Special,1,Finished Airing,"Jun 30, 2017","None found, add some","None found, add some","None found, add some",Manga,"Action, Supernatural",Shounen,15 min.,PG-13 - Teens 13 or older,3,,,
