,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
31,Takarajima Memorial: Yuunagi to Yobareta Otoko,,6.50,11950,6750,1,OVA,1,Finished Airing,"Dec 21, 1992",,,"None found, add some","None found, add some",Tokyo Movie Shinsha,Novel,"Adventure, Drama, Mystery, Supernatural",Historical,,7 min.,G - All Ages,0
32,Tenchi Muyou! Ryououki 5th Season,,6.50,8277,6751,5,OVA,6,Finished Airing,"Feb 28, 2020 to May 28, 2021",,,"Pony Canyon Enterprises,       Happinet,       AIC RIGHTS","None found, add some","AIC,       A-Line",Original,"Action, Comedy, Sci-Fi","Harem, Space",,28 min. per ep.,PG-13 - Teens 13 or older,13
33,Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,In The Beginning: The Bible Stories,6.50,10750,6752,2,TV,26,Finished Airing,"Apr 1, 1997 to May 9, 1997",Spring 1997,Unknown,"None found, add some","None found, add some",Tezuka Productions,Book,,Historical,,24 min. per ep.,PG - Children,12
34,Tistou Midori no Oyayubi,Tistou the Green Thumb,6.50,13717,6753,974,Movie,1,Finished Airing,"Mar 24, 1990",,,"None found, add some","None found, add some",Production I.G,Original,,Historical,,1 hr. 14 min.,G - All Ages,2
35,Tobidase! Narase! Pui Pui Molcar,,6.50,13477,6754,1,Movie,1,Finished Airing,"Jul 22, 2021",,,"None found, add some","None found, add some",Shin-Ei Animation,Other,Comedy,Anthropomorphic,Kids,34 min.,G - All Ages,5
36,Tono to Issho,,6.50,9202,6755,4,OVA,1,Finished Airing,"Mar 25, 2010",,,Frontier Works,"None found, add some",Gathering,4-koma manga,Comedy,"Historical, Parody, Samurai",Seinen,37 min.,PG-13 - Teens 13 or older,8
37,UFO Robo Grendizer tai Great Mazinger,,6.50,10112,6757,2,Movie,1,Finished Airing,"Mar 20, 1976",,,Dynamic Planning,"None found, add some",Toei Animation,Manga,"Action, Sci-Fi",Mecha,,24 min.,PG-13 - Teens 13 or older,5
38,Touka Gettan,Toka Gettan: The Moonlight Lady Returns,6.50,4857,6756,20,TV,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",Spring 2007,Tuesdays at 01:30 (JST),"Avex Entertainment,       DAX Production,       WAO World,       Imagine",Sentai Filmworks,Studio Deen,Visual novel,"Drama, Fantasy, Romance, Ecchi",,,23 min. per ep.,R - 17+ (violence & profanity),48
39,Xing Hai Qishi: Xinghuo Chongran,Knights on Debris: Spark Reignited,6.50,16340,6758,484,ONA,1,Finished Airing,"Jan 1, 2022",,,D.ROCK-ART,"None found, add some","None found, add some",Original,"Action, Fantasy, Sci-Fi",,,32 min.,PG-13 - Teens 13 or older,3
40,Yao Jing Zhong Zhi Shou Ce,Demon Spirit Seed Manual,6.50,4603,6759,23,ONA,14,Finished Airing,"Jan 17, 2020 to Apr 10, 2020",,,Tencent Penguin Pictures,"None found, add some",Big Firebird Culture,Web manga,"Action, Fantasy, Ecchi",,,16 min. per ep.,PG-13 - Teens 13 or older,86
41,Yoru no Yatterman,Yatterman Night,6.50,3917,6760,32,TV,12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",Winter 2015,Sundays at 22:00 (JST),"Yomiuri Telecasting,       Starchild Records,       Lantis,       Half H.P Studio",Funimation,Tatsunoko Production,Original,"Action, Adventure, Comedy, Drama",,,24 min. per ep.,PG-13 - Teens 13 or older,34
42,Yoza-Quar!,,6.50,6595,6761,9,Special,6,Finished Airing,"Dec 18, 2013 to May 21, 2014",,,"None found, add some","None found, add some",Tatsunoko Production,Manga,Comedy,,,1 min. per ep.,PG-13 - Teens 13 or older,2
43,Yuugen Kaisha,Phantom Quest Corp.,6.50,7441,6762,7,OVA,4,Finished Airing,"Aug 25, 1994 to Feb 25, 1995",,,"None found, add some","None found, add some",Madhouse,Original,"Action, Adventure, Comedy, Supernatural","Super Power, Vampire",,29 min. per ep.,R+ - Mild Nudity,10
44,Area 88 Movie,,6.50,11143,6765,2,Movie,1,Finished Airing,"Jul 20, 1985",,,"None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Drama, Romance",Military,Shounen,1 hr. 39 min.,R+ - Mild Nudity,2
45,Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,Riddle Story of Devil: Who's the Winner?,6.50,3505,6764,41,Special,1,Finished Airing,"Nov 22, 2014",,,Pony Canyon,Funimation,Diomedéa,Manga,"Action, Comedy, Girls Love, Ecchi",,,23 min.,R - 17+ (violence & profanity),35
46,19 Tian,,6.50,10393,6763,2,ONA,60,Finished Airing,"Jan 28, 2019 to Apr 22, 2019",,,Shenfan Animation,"None found, add some","None found, add some",Web manga,"Boys Love, Comedy",,,1 min. per ep.,PG-13 - Teens 13 or older,32
47,Chameleon (OVA),Bite me!,6.50,10758,6767,2,OVA,6,Finished Airing,"Aug 16, 1992 to Mar 22, 1996",,,"Daume,       HoriPro",ADV Films,Egg,Manga,"Comedy, Ecchi","Delinquents, School",Seinen,50 min. per ep.,R+ - Mild Nudity,4
48,Brothers Conflict OVA,,6.50,4202,6766,28,OVA,2,Finished Airing,"Dec 19, 2014 to Feb 11, 2015",,,"None found, add some",Funimation,Brain's Base,Novel,Romance,Reverse Harem,,22 min. per ep.,PG-13 - Teens 13 or older,25
49,Chunqiu Feng Shen,,6.50,14303,6768,819,ONA,24,Finished Airing,"Jul 8, 2021 to Nov 11, 2021",,,"iQIYI,       Youliao Studio","None found, add some",LX Animation Studio,Web manga,"Adventure, Fantasy",Martial Arts,,15 min. per ep.,PG-13 - Teens 13 or older,3
50,Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 2nd Season,6.50,8918,6769,4,ONA,13,Finished Airing,"Oct 3, 2017 to Dec 26, 2017",,,"Frontier Works,       Half H.P Studio,       Nippon Columbia,       Bandai Namco Entertainment,       Anime Consortium Japan,       Kadokawa",Crunchyroll,"Gathering,       Lesprit",4-koma manga,Comedy,,,2 min. per ep.,PG-13 - Teens 13 or older,0
51,ClassicaLoid 2nd Season,ClassicaLoid 2,6.50,7256,6770,7,TV,25,Finished Airing,"Oct 7, 2017 to Mar 24, 2018",Fall 2017,Saturdays at 17:35 (JST),"NHK,       Bandai Namco Pictures",Sentai Filmworks,Sunrise,Original,Comedy,"Anthropomorphic, Music",,24 min. per ep.,PG-13 - Teens 13 or older,16
52,D.C.III: Da Capo III,,6.50,4036,6771,30,TV,13,Finished Airing,"Jan 5, 2013 to Mar 30, 2013",Winter 2013,Unknown,"Lantis,       Pony Canyon,       Dwango,       Good Smile Company","None found, add some",Kazami Gakuen Koushiki Douga-bu,Visual novel,"Drama, Romance, Ecchi","Harem, School",,23 min. per ep.,PG-13 - Teens 13 or older,37
53,Dame x Prince Anime Caravan,Damepri Anime Caravan,6.50,4071,6772,30,TV,12,Finished Airing,"Jan 10, 2018 to Mar 28, 2018",Winter 2018,Wednesdays at 22:30 (JST),"Pierrot,       Movic,       BS Fuji,       Tokyo MX,       AZ Creative,       Kadokawa,       Live Viewing Japan,       Libre",Sentai Filmworks,Studio Flad,Visual novel,"Adventure, Comedy, Fantasy",Reverse Harem,,23 min. per ep.,PG-13 - Teens 13 or older,86
54,Devilman,,6.50,3858,6773,33,TV,39,Finished Airing,"Jul 8, 1972 to Apr 7, 1973",Summer 1972,Saturdays at 20:30 (JST),Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Horror, Supernatural",Mythology,,25 min. per ep.,R - 17+ (violence & profanity),127
55,Di Gi Charat Tsuyu Specials,,6.50,10286,6774,2,Special,2,Finished Airing,"Jun 1, 2001",,,"None found, add some","None found, add some",Madhouse,Original,Comedy,,,13 min. per ep.,G - All Ages,2
56,Dorami & Doraemons: Space Land's Critical Event,,6.50,11420,6775,1,Movie,1,Finished Airing,"Mar 10, 2001",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy, Sci-Fi",,"KidsKids,         ShounenShounen",16 min.,PG - Children,0
57,Fake,,6.50,4725,6776,21,OVA,1,Finished Airing,"Apr 21, 1998",,,"None found, add some",Media Blasters,J.C.Staff,Manga,"Boys Love, Comedy, Mystery","Adult Cast, Detective",,58 min.,R - 17+ (violence & profanity),61
58,Feng Qi Luoyang: Shen Ji Shaonian,Luoyang,6.50,14621,6777,740,ONA,16,Finished Airing,"Dec 17, 2021 to Mar 18, 2022",,,"iQIYI,       High Energy Studio","None found, add some",Chosen,Original,"Action, Adventure, Fantasy",Historical,,19 min. per ep.,PG-13 - Teens 13 or older,2
59,Getter Robo G,,6.50,9483,6778,3,TV,39,Finished Airing,"May 15, 1975 to Mar 25, 1976",Spring 1975,Unknown,"Fuji TV,       Dynamic Planning","None found, add some",Toei Animation,Manga,"Action, Sci-Fi",Mecha,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,7
60,Gin no Guardian II,The Silver Guardian 2,6.50,2895,6779,58,TV,6,Finished Airing,"Jan 13, 2018 to Feb 17, 2018",Winter 2018,Saturdays at 21:00 (JST),Haoliners Animation League,Funimation,"Emon,       Blade",Web manga,"Adventure, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,73
61,Ginga Tetsudou 999: Glass no Clair,Galaxy Express 999: Claire of the Glass,6.50,10015,6780,3,Movie,1,Finished Airing,"Mar 15, 1980",,,"None found, add some","None found, add some",Toei Animation,Manga,"Drama, Sci-Fi",Space,,15 min.,G - All Ages,3
62,Gundam Build Fighters Specials,,6.50,8503,6781,5,Special,3,Finished Airing,"Mar 26, 2014 to Jun 20, 2014",,,"None found, add some","None found, add some",Sunrise,Original,Comedy,Mecha,,4 min. per ep.,G - All Ages,1
63,HenSemi (TV),,6.50,3271,6782,46,TV,13,Finished Airing,"Apr 8, 2011 to Jul 1, 2011",Spring 2011,Unknown,"None found, add some","None found, add some",Xebec,Manga,"Comedy, Ecchi",,Seinen,12 min. per ep.,R - 17+ (violence & profanity),69
64,Holo no Graffiti Specials,Holo Graffiti Specials,6.50,13767,6783,960,ONA,Unknown,Currently Airing,"Apr 29, 2019 to ?",,,"None found, add some","None found, add some",Hololive Production,Other,Comedy,,,1 min.,PG-13 - Teens 13 or older,5
65,Honoo no Mirage,Mirage of Blaze,6.50,4492,6784,24,TV,13,Finished Airing,"Jan 7, 2002 to Apr 8, 2002",Winter 2002,Unknown,"Aniplex,       Shueisha",Media Blasters,Madhouse,Light novel,"Action, Boys Love, Drama, Supernatural","Historical, Reincarnation, School",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,82
66,Hurricane Polymar,,6.50,10315,6785,2,TV,26,Finished Airing,"Oct 4, 1974 to Mar 8, 1975",Fall 1974,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi","Detective, Super Power",,25 min. per ep.,PG-13 - Teens 13 or older,5
67,ID-0,,6.50,4726,6786,21,TV,12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017",Spring 2017,Sundays at 23:00 (JST),"Bandai Visual,       Lantis,       Ultra Super Pictures,       World Cosplay Summit","None found, add some",SANZIGEN,Original,Sci-Fi,"Mecha, Space",,24 min. per ep.,PG-13 - Teens 13 or older,26
68,Je T'aime,,6.50,7078,6788,8,OVA,1,Finished Airing,"Jul 6, 2010",,,"None found, add some","None found, add some",Production I.G,Original,Sci-Fi,,,11 min.,R - 17+ (violence & profanity),16
69,IGPX: Immortal Grand Prix,,6.50,8859,6787,4,TV,5,Finished Airing,"Sep 15, 2003 to Sep 19, 2003",Summer 2003,Unknown,"None found, add some","Bandai Entertainment,       Discotek Media","Bee Train,       Production I.G",Original,"Sci-Fi, Sports",Mecha,,5 min. per ep.,PG-13 - Teens 13 or older,5
70,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,"Reborn as a Vending Machine, I Now Wander the Dungeon",6.50,1724,6789,131,TV,12,Finished Airing,"Jul 5, 2023 to Sep 20, 2023",Summer 2023,Wednesdays at 22:00 (JST),"VAP,       Slow Curve,       Nippon Television Network,       Nippon Television Music,       Yomiuri TV Enterprise,       BS NTV,       NetEase,       NTV Wands","None found, add some","Studio Gokumi,       AXsiZ",Light novel,"Comedy, Fantasy","Isekai, Reincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,346
71,"Jitsu wa Ore, Saikyou deshita?",Am I Actually the Strongest?,6.50,1526,6790,152,TV,12,Finished Airing,"Jul 2, 2023 to Oct 1, 2023",Summer 2023,Sundays at 02:00 (JST),"Kodansha,       DAX Production,       Avex Pictures,       Crunchyroll,       ABC Animation,       MAGNET,       ADK Marketing Solutions","None found, add some",Staple Entertainment,Light novel,"Adventure, Fantasy","Isekai, Reincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,536
72,Kabigon to Karakara,The Adventures of Snorlax & Cubone,6.50,17132,6791,413,ONA,4,Finished Airing,"Dec 8, 2023 to Dec 29, 2023",,,Glovision,"None found, add some",Polygon Pictures,Game,Fantasy,,Kids,1 min. per ep.,PG - Children,0
73,Kaibutsu Oujo Specials,,6.50,10659,6792,2,Special,3,Finished Airing,"Dec 9, 2010 to Oct 7, 2011",,,"None found, add some","None found, add some",Tatsunoko Production,Unknown,"Adventure, Comedy, Horror, Supernatural",,Shounen,4 min. per ep.,R - 17+ (violence & profanity),2
74,Kamen Rider Den-O: Imagin Anime 2,,6.50,13458,6793,1,OVA,12,Finished Airing,"Nov 22, 2008",,,animate Film,"None found, add some","None found, add some",Other,"Action, Adventure, Comedy",Super Power,Kids,4 min. per ep.,G - All Ages,1
75,Kidou Keisatsu Patlabor: Reboot,Mobile Police Patlabor: Reboot,6.50,7680,6794,6,Movie,1,Finished Airing,"Oct 15, 2016",,,"None found, add some","None found, add some",Khara,Original,"Comedy, Sci-Fi","Adult Cast, Mecha, Workplace",,7 min.,PG-13 - Teens 13 or older,4
76,Kidou Senshi Gundam NT,Mobile Suit Gundam Narrative,6.50,4716,6795,21,Movie,1,Finished Airing,"Nov 30, 2018",,,"Sotsu,       Shochiku","Nozomi Entertainment,       NYAV Post",Sunrise,Novel,"Action, Drama, Sci-Fi","Mecha, Military, Space",,1 hr. 30 min.,PG-13 - Teens 13 or older,36
77,Kigyou Senshi Arslan,Corporate Warrior Arslan,6.50,7535,6796,6,Special,6,Finished Airing,"Oct 5, 2016",,,"None found, add some","None found, add some",W-Toon Studio,Manga,Comedy,Parody,,4 min. per ep.,PG - Children,3
78,Kimagure Orange☆Road: Shounen Jump Special,Kimagure Orange Road TV Pilot,6.50,8780,6797,4,OVA,1,Finished Airing,"Nov 23, 1985",,,"None found, add some","None found, add some",Pierrot,Manga,"Drama, Romance",,Shounen,24 min.,PG-13 - Teens 13 or older,6
79,KO Seiki Beast Sanjuushi,KO Century Beast Warriors,6.50,9607,6798,3,OVA,7,Finished Airing,"May 2, 1992 to Nov 21, 1993",,,"Movic,       Sony Music Entertainment",Nozomi Entertainment,"animate Film,       Zero-G Room",Original,"Action, Adventure, Comedy, Fantasy, Supernatural",Mecha,,27 min. per ep.,PG-13 - Teens 13 or older,12
80,Kobo-chan,,6.50,13662,6799,988,TV,63,Finished Airing,"Oct 19, 1992 to Mar 21, 1994",Fall 1992,Unknown,"Yomiuri Telecasting,       Studio Jack,       Meruhensha","None found, add some",Eiken,4-koma manga,"Comedy, Slice of Life",,Kids,25 min. per ep.,G - All Ages,4
81,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Seton Tankentai! Sumidagawa no Chikai - Omoide no Shiroi Kujira wo Sagase!,,6.50,15179,6800,632,Special,2,Finished Airing,"Aug 5, 2007 to Aug 12, 2007",,,"None found, add some","None found, add some",Gallop,Manga,Comedy,"Adult Cast, Detective",Shounen,20 min. per ep.,PG-13 - Teens 13 or older,1
82,"Kono Naka ni Hitori, Imouto ga Iru!",NAKAIMO - My Little Sister Is Among Them!,6.50,1151,6801,212,TV,12,Finished Airing,"Jul 6, 2012 to Sep 28, 2012",Summer 2012,Fridays at 01:55 (JST),"Lantis,       TBS,       DAX Production",Sentai Filmworks,Studio Gokumi,Light novel,"Comedy, Mystery, Romance, Ecchi","Harem, School",,24 min. per ep.,R+ - Mild Nudity,262
83,Koro no Dai Sanpo,Koro's Big Day Out,6.50,9700,6802,3,Special,1,Finished Airing,"Oct 1, 2001",,,"None found, add some","None found, add some",Studio Ghibli,Original,Adventure,Pets,,14 min.,G - All Ages,1
84,Koukaku no Pandora,Pandora in the Crimson Shell,6.50,3248,6803,46,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,Fridays at 23:00 (JST),"Lantis,       Rakuonsha,       AT-X,       KlockWorx,       Kadokawa",Funimation,"Studio Gokumi,       AXsiZ",Manga,"Action, Comedy, Sci-Fi, Ecchi",,,24 min. per ep.,PG-13 - Teens 13 or older,92
85,Nande Koko ni Sensei ga!?,"Why the Hell are You Here, Teacher!?",6.50,669,6804,355,TV,12,Finished Airing,"Apr 8, 2019 to Jun 24, 2019",Spring 2019,Mondays at 01:05 (JST),"None found, add some",Sentai Filmworks,Tear Studio,Manga,"Comedy, Ecchi",School,Seinen,11 min. per ep.,R+ - Mild Nudity,"1,042"
86,PetoPeto-san,,6.50,7222,6805,7,TV,13,Finished Airing,"Jul 9, 2005 to Oct 1, 2005",Summer 2005,Unknown,"Xebec,       Mellow Head,       Genco,       Media Factory,       Enterbrain,       Toshiba Entertainment","None found, add some",XEBEC M2,Light novel,"Comedy, Romance","Mythology, School",,25 min. per ep.,PG-13 - Teens 13 or older,10
87,Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki,Pokémon: Pichu Bros. in Party Panic,6.50,5687,6806,13,Special,1,Finished Airing,"Jul 18, 2003",,,Nintendo,"4Kids Entertainment,       Nintendo of America",OLM,Game,"Adventure, Comedy, Fantasy",,Kids,20 min.,PG - Children,9
88,Pokemon: Pikapika Hoshizora Camp,Pokémon: Camp Pikachu,6.50,4884,6808,20,Movie,1,Finished Airing,"Jul 13, 2002",,,"None found, add some","4Kids Entertainment,       Miramax Films",OLM,Game,"Adventure, Comedy, Fantasy",,Kids,22 min.,PG - Children,8
89,Pokemon: Pikachu no Fuyuyasumi,Pokémon: Pikachu's Winter Vacation,6.50,5466,6807,14,OVA,2,Finished Airing,"Dec 22, 1998",,,"None found, add some",4Kids Entertainment,OLM,Game,"Adventure, Comedy, Fantasy",,Kids,9 min. per ep.,PG - Children,6
90,Pon no Michi,The Way of Pon,6.50,4161,6809,28,TV,12,Finished Airing,"Jan 6, 2024 to Mar 23, 2024",Winter 2024,Saturdays at 01:53 (JST),"Mainichi Broadcasting System,       Kodansha,       Good Smile Company,       DMM.com,       Myrica Music,       AQUA ARIS,       Bit grooove promotion,       SUPA LOVE,       Yostar,       Sankyo","None found, add some",OLM,Original,"Slice of Life, Supernatural","CGDCT, Strategy Game",,24 min. per ep.,PG-13 - Teens 13 or older,130
91,Reporter Blues,,6.50,12700,6811,1,TV,52,Finished Airing,"Oct 3, 1991 to Nov 8, 1991",Fall 1991,Unknown,"None found, add some","None found, add some",TMS Entertainment,Original,"Comedy, Mystery",,,22 min. per ep.,PG-13 - Teens 13 or older,2
92,Pretty Rhythm: All Star Selection,,6.50,9541,6810,3,TV,11,Finished Airing,"Apr 5, 2014 to Jun 14, 2014",Spring 2014,Saturdays at 10:00 (JST),"None found, add some","None found, add some","Tatsunoko Production,       Dongwoo A&E",Game,Sports,"Idols (Female), Music",,23 min. per ep.,PG - Children,7
93,Rizelmine,,6.50,4389,6812,25,TV,24,Finished Airing,"Apr 3, 2002 to Dec 22, 2002",Spring 2002,Unknown,m.o.e.,"None found, add some","Madhouse,       Imagin",Manga,"Comedy, Romance, Sci-Fi, Ecchi",School,,15 min. per ep.,R+ - Mild Nudity,49
94,Ryuuseiki Gakusaver,Shooting Star Gakusaver,6.50,11219,6813,2,OVA,6,Finished Airing,"Aug 21, 1993 to Mar 24, 1994",,,"Starchild Records,       Movic","None found, add some",Production I.G,Original,"Action, Comedy, Sci-Fi","Mecha, Parody, School, Space",,27 min. per ep.,PG-13 - Teens 13 or older,2
95,Sekai no Owari ni Shiba Inu to,Doomsday with My Dog,6.50,8036,6814,5,ONA,72,Finished Airing,"Aug 2, 2022 to Feb 5, 2023",,,Kadokawa,Sentai Filmworks,DLE,Web manga,"Adventure, Sci-Fi, Slice of Life",Pets,,1 min. per ep.,G - All Ages,14
96,Shadow Skill,,6.50,7596,6815,6,OVA,1,Finished Airing,"Oct 25, 1995",,,Takeshobo,Manga Entertainment,Zero-G Room,Manga,"Action, Adventure, Drama, Fantasy","Martial Arts, Super Power",Shounen,51 min.,R - 17+ (violence & profanity),9
97,Joshikousei: Girl's High Specials,High School Girls Specials,6.49,8632,6816,4,Special,3,Finished Airing,"May 25, 2006 to Sep 22, 2006",,,"None found, add some",Media Blasters,Arms,Manga,Comedy,School,Seinen,8 min. per ep.,PG-13 - Teens 13 or older,3
98,Kinkyuu Hasshin Saver Kids,Emergency Departure Rescue Kids,6.49,12856,6817,1,TV,50,Finished Airing,"Feb 19, 1991 to Feb 18, 1992",Winter 1991,Unknown,"TV Tokyo,       Sotsu","None found, add some",Tokyo Movie Shinsha,Original,"Action, Adventure, Comedy, Sci-Fi",Mecha,,25 min. per ep.,PG-13 - Teens 13 or older,2
99,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: The Final - Ryoutsu Kankichi Saigo no Hi,,6.49,13451,6818,1,TV Special,1,Finished Airing,"Sep 18, 2016",,,"None found, add some","None found, add some",Gallop,Manga,"Comedy, Mystery","Adult Cast, Detective",Shounen,48 min.,PG-13 - Teens 13 or older,2
100,Koi to Uso,Love and Lies,6.49,551,6819,420,TV,12,Finished Airing,"Jul 4, 2017 to Sep 19, 2017",Summer 2017,Tuesdays at 00:00 (JST),"Frontier Works,       Pony Canyon,       Kodansha,       Ultra Super Pictures,       Memory-Tech,       Amuse,       Hakuhodo DY Music & Pictures,       Animatic,       DeNA,       A-Sketch",Sentai Filmworks,LIDENFILMS,Web manga,"Drama, Romance","Love Polygon, School",,24 min. per ep.,PG-13 - Teens 13 or older,"1,302"
101,Koukaku Kidoutai Arise: Another Mission,,6.49,6087,6820,11,Special,1,Finished Airing,"Jun 4, 2013",,,"None found, add some","None found, add some",Production I.G,Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha",,3 min.,PG-13 - Teens 13 or older,6
102,Kuiba: Shiwanhuoji,,6.49,12894,6822,1,Movie,1,Finished Airing,"Jul 8, 2011",,,Vasoon Animation,"None found, add some","None found, add some",Original,"Action, Adventure, Fantasy",,Kids,1 hr. 30 min.,G - All Ages,0
103,Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,Eureka Seven Hi-Evolution 3,6.49,5834,6821,12,Movie,1,Finished Airing,"Nov 26, 2021",,,"Mainichi Broadcasting System,       Showgate,       Bandai Namco Entertainment,       Hakuhodo DY Music & Pictures,       Bandai Namco Arts",Funimation,Bones,Original,"Adventure, Drama, Sci-Fi",Mecha,,1 hr. 56 min.,PG-13 - Teens 13 or older,27
104,Kurayukaba,,6.49,8417,6823,5,Movie,1,Finished Airing,"Apr 12, 2024",,,"Tohokushinsha Film Corporation,       Tokyo Theatres,       Twin Engine","None found, add some",Team OneOne,Original,"Mystery, Sci-Fi, Suspense",Detective,,1 hr. 3 min.,PG-13 - Teens 13 or older,7
105,Murenase! Seton Gakuen Special,Come Together! to the Seton Academy,6.49,5322,6825,16,Special,1,Finished Airing,"Jul 3, 2020",,,"None found, add some","None found, add some",Studio Gokumi,Web manga,Comedy,School,,6 min.,PG-13 - Teens 13 or older,8
106,Morita-san wa Mukuchi.,,6.49,4449,6824,24,TV,13,Finished Airing,"Jul 6, 2011 to Sep 28, 2011",Summer 2011,Unknown,"DAX Production,       Takeshobo","None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",School,,3 min. per ep.,PG-13 - Teens 13 or older,14
107,Omoi no Kakera,,6.49,7737,6826,6,TV Special,1,Finished Airing,"Mar 24, 2016",,,NHK,"None found, add some",Gaina,Original,"Slice of Life, Sports",,,24 min.,PG-13 - Teens 13 or older,2
